Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,25.72,25.91,25.35,25.4,2533607,,0.0,0.0
09-08-2021,24.33,25.26,24.33,24.65,4752686,,0.0,0.0
10-08-2021,24.75,25.07,24.0,24.1,3194627,,0.0,0.0
11-08-2021,24.33,24.33,23.31,23.73,3264817,,0.0,0.0
12-08-2021,23.91,24.42,23.77,24.28,2608448,,0.0,0.0
13-08-2021,24.47,24.47,23.73,23.87,2362586,,0.0,0.0
16-08-2021,23.96,24.05,23.45,23.54,2272160,,0.0,0.0
17-08-2021,23.49,23.82,22.7,22.75,3687868,,0.0,0.0
18-08-2021,22.75,23.08,22.38,22.52,2777924,,0.0,0.0
20-08-2021,21.4,21.59,18.02,18.29,44407619,,0.0,0.0
23-08-2021,18.29,18.39,16.53,17.13,34457765,,0.0,0.0
24-08-2021,17.64,19.32,17.55,18.8,24839487,,0.0,0.0
25-08-2021,19.04,19.04,18.34,18.43,6285476,,0.0,0.0
26-08-2021,18.57,18.62,18.06,18.29,3945102,,0.0,0.0
27-08-2021,18.29,18.57,18.11,18.48,3185563,,0.0,0.0
30-08-2021,18.8,19.08,18.48,18.57,4889230,,0.0,0.0
31-08-2021,18.67,18.71,18.34,18.39,2691115,,0.0,0.0
01-09-2021,18.39,18.53,18.25,18.43,2758102,,0.0,0.0
02-09-2021,18.43,18.67,18.34,18.39,2971235,,0.0,0.0
03-09-2021,18.39,18.43,18.29,18.34,2324742,,0.0,0.0
06-09-2021,18.48,18.48,17.88,18.11,3289977,,0.0,0.0
07-09-2021,18.11,18.11,17.27,17.46,6899708,,0.0,0.0
08-09-2021,17.41,17.78,17.37,17.55,6137985,,0.0,0.0
09-09-2021,17.64,19.64,17.55,19.04,20479433,,0.0,0.0
13-09-2021,19.45,19.87,18.85,19.04,21053268,,0.0,0.0
14-09-2021,19.22,19.27,18.67,18.76,6161845,,0.0,0.0
15-09-2021,18.76,19.18,18.76,18.9,4498658,,0.0,0.0
16-09-2021,18.99,19.36,18.85,19.13,6748991,,0.0,0.0
17-09-2021,19.36,19.97,19.04,19.18,7501303,,0.0,0.0
20-09-2021,19.13,19.41,18.57,18.71,2653306,,0.0,0.0
21-09-2021,18.71,18.9,18.15,18.57,3381970,,0.0,0.0
22-09-2021,18.62,18.8,18.39,18.48,2133650,,0.0,0.0
23-09-2021,18.67,18.94,18.43,18.43,4519888,,0.0,0.0
24-09-2021,18.57,18.62,18.34,18.39,2192716,,0.0,0.0
27-09-2021,18.76,18.8,18.39,18.57,7826743,,0.0,0.0
28-09-2021,18.62,18.9,18.53,18.71,3373576,,0.0,0.0
29-09-2021,18.71,19.04,18.53,18.94,2741472,,0.0,0.0
30-09-2021,19.08,19.87,18.99,19.59,7067040,,0.0,0.0
01-10-2021,19.69,19.69,19.32,19.41,2859127,,0.0,0.0
04-10-2021,19.5,19.83,19.5,19.59,3611089,,0.0,0.0
05-10-2021,19.59,19.69,19.36,19.45,2363679,,0.0,0.0
06-10-2021,19.59,19.59,19.18,19.18,2260172,,0.0,0.0
07-10-2021,19.32,19.45,19.13,19.18,1730347,,0.0,0.0
08-10-2021,19.41,19.64,19.22,19.32,2895622,,0.0,0.0
11-10-2021,19.36,19.5,19.27,19.32,2679630,,0.0,0.0
12-10-2021,20.24,21.82,20.01,21.4,25814969,,0.0,0.0
13-10-2021,21.4,22.05,21.08,21.17,9050413,,0.0,0.0
14-10-2021,21.27,21.45,20.66,20.8,5413011,,0.0,0.0
18-10-2021,21.22,22.05,21.03,21.68,6322002,,0.0,0.0
19-10-2021,21.92,22.05,21.08,21.22,3952940,,0.0,0.0
20-10-2021,20.99,21.17,20.52,20.66,2843294,,0.0,0.0
21-10-2021,21.03,21.03,20.62,20.75,2096990,,0.0,0.0
22-10-2021,20.75,21.03,20.29,20.38,2505864,,0.0,0.0
25-10-2021,20.85,20.85,19.55,20.15,2236350,,0.0,0.0
26-10-2021,20.1,20.62,20.1,20.38,2708945,,0.0,0.0
27-10-2021,20.52,20.62,19.55,20.29,1513168,,0.0,0.0
28-10-2021,20.24,20.48,19.5,19.69,1957691,,0.0,0.0
29-10-2021,19.69,21.36,19.41,20.66,12175484,,0.0,0.0
01-11-2021,20.89,20.89,19.97,20.06,4758962,,0.0,0.0
02-11-2021,20.2,20.34,19.97,20.06,2039129,,0.0,0.0
03-11-2021,20.2,20.29,19.87,19.92,1707098,,0.0,0.0
04-11-2021,20.1,20.34,20.06,20.24,720287,,0.0,0.0
08-11-2021,20.43,20.52,20.2,20.29,2020619,,0.0,0.0
09-11-2021,17.64,19.83,17.18,19.59,15860565,,0.0,0.0
10-11-2021,19.55,19.78,19.04,19.55,2339037,,0.0,0.0
11-11-2021,19.5,19.92,19.32,19.36,2747416,,0.0,0.0
12-11-2021,19.45,19.69,19.27,19.36,1649973,,0.0,0.0
