Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,239.12,244.37,234.62,237.97,2555587,,0.0,0.0
09-08-2021,237.97,262.02,237.47,258.16,9537257,,0.0,0.0
10-08-2021,256.6,257.01,237.28,240.92,4733680,,0.0,0.0
11-08-2021,236.64,241.93,225.33,230.06,3306480,,0.0,0.0
12-08-2021,231.98,248.57,229.18,244.79,3616266,,4.0,0.0
13-08-2021,243.94,256.94,242.17,246.28,5300289,,0.0,0.0
16-08-2021,247.07,251.75,239.92,248.34,1820321,,0.0,0.0
17-08-2021,248.2,251.23,241.47,244.04,1605355,,0.0,0.0
18-08-2021,243.85,248.15,236.56,240.63,1198137,,0.0,0.0
20-08-2021,234.83,238.71,224.32,227.07,1425542,,0.0,0.0
23-08-2021,226.05,228.66,203.85,208.47,2953205,,0.0,0.0
24-08-2021,208.33,228.52,207.49,226.19,4199466,,0.0,0.0
25-08-2021,224.32,233.48,220.9,229.27,2937977,,0.0,0.0
26-08-2021,225.25,231.42,222.45,224.22,1548838,,0.0,0.0
27-08-2021,222.45,228.57,222.45,223.9,1091862,,0.0,0.0
30-08-2021,224.46,235.39,224.46,231.09,2846326,,0.0,0.0
31-08-2021,232.07,233.38,226.79,228.48,994527,,0.0,0.0
01-09-2021,228.8,232.68,223.38,224.83,1301412,,0.0,0.0
02-09-2021,226.56,234.13,225.72,229.41,1607660,,0.0,0.0
03-09-2021,229.41,231.61,226.75,228.43,907923,,0.0,0.0
06-09-2021,229.46,233.06,228.15,229.27,787253,,0.0,0.0
07-09-2021,231.09,231.09,223.66,224.46,658792,,0.0,0.0
08-09-2021,226.47,241.47,226.19,236.47,4956803,,0.0,0.0
09-09-2021,235.53,242.82,232.26,236.37,3043260,,0.0,0.0
13-09-2021,236.28,238.34,233.34,234.97,898536,,0.0,0.0
14-09-2021,236.93,238.15,231.79,234.22,757372,,0.0,0.0
15-09-2021,234.32,237.31,232.91,235.44,747635,,0.0,0.0
16-09-2021,236.28,241.14,231.09,232.03,1273267,,0.0,0.0
17-09-2021,234.18,234.18,225.48,227.49,1153168,,0.0,0.0
20-09-2021,227.03,230.39,216.51,218.15,1029739,,0.0,0.0
21-09-2021,218.24,221.33,213.1,215.67,1207130,,0.0,0.0
22-09-2021,217.54,224.6,216.89,220.39,1000593,,0.0,0.0
23-09-2021,223.38,228.19,222.35,223.38,845928,,0.0,0.0
24-09-2021,225.62,228.05,219.64,220.2,694022,,0.0,0.0
27-09-2021,222.26,228.05,216.42,217.31,4253933,,0.0,0.0
28-09-2021,218.61,220.02,211.32,212.17,1278502,,0.0,0.0
29-09-2021,211.23,212.73,204.5,207.59,1782185,,0.0,0.0
30-09-2021,222.45,222.45,213.1,214.32,5523018,,0.0,0.0
01-10-2021,213.01,215.44,210.72,212.73,934494,,0.0,0.0
04-10-2021,213.15,218.66,212.82,217.82,1371196,,0.0,0.0
05-10-2021,217.26,232.87,214.08,230.77,8222516,,0.0,0.0
06-10-2021,231.75,237.07,224.32,225.72,4257737,,0.0,0.0
07-10-2021,227.49,230.63,225.81,228.66,1128705,,0.0,0.0
08-10-2021,230.86,236.37,229.36,230.77,1809844,,0.0,0.0
11-10-2021,231.79,232.54,228.99,230.3,783180,,0.0,0.0
12-10-2021,229.88,235.95,226.84,231.7,1334929,,0.0,0.0
13-10-2021,232.54,236.93,231.89,235.86,1856339,,0.0,0.0
14-10-2021,237.78,238.24,234.13,234.64,940129,,0.0,0.0
18-10-2021,235.44,238.34,233.1,233.99,1237026,,0.0,0.0
19-10-2021,235.81,235.81,224.32,225.02,1079142,,0.0,0.0
20-10-2021,226.65,226.65,214.97,217.26,1108927,,0.0,0.0
21-10-2021,219.18,220.76,209.08,210.81,1221977,,0.0,0.0
22-10-2021,212.59,215.86,207.26,210.86,853210,,0.0,0.0
25-10-2021,214.83,215.76,206.09,208.38,686168,,0.0,0.0
26-10-2021,207.49,215.44,207.49,209.03,1063295,,0.0,0.0
27-10-2021,210.3,224.08,210.3,220.76,5474974,,0.0,0.0
28-10-2021,220.58,220.72,209.83,210.62,1249515,,0.0,0.0
29-10-2021,212.17,212.17,205.9,210.9,768927,,0.0,0.0
01-11-2021,211.04,214.04,209.36,211.65,504944,,0.0,0.0
02-11-2021,213.43,213.94,210.3,210.72,448136,,0.0,0.0
03-11-2021,211.23,214.32,209.55,210.48,383514,,0.0,0.0
04-11-2021,211.93,214.97,211.28,214.36,152152,,0.0,0.0
08-11-2021,217.49,217.49,211.42,212.49,612006,,0.0,0.0
09-11-2021,214.03,216.56,212.73,213.52,815109,,0.0,0.0
10-11-2021,213.52,220.11,212.45,216.23,639617,,0.0,0.0
11-11-2021,216.18,216.7,208.29,209.64,526266,,0.0,0.0
12-11-2021,210.48,213.1,208.99,210.25,455169,,0.0,0.0
15-11-2021,211.18,212.68,206.84,207.54,471562,,0.0,0.0
16-11-2021,208.29,209.32,204.64,205.53,497884,,0.0,0.0
17-11-2021,205.48,208.43,204.97,206.32,250007,,0.0,0.0
18-11-2021,206.98,208.15,199.55,202.26,436701,,0.0,0.0
22-11-2021,205.62,205.62,194.5,197.82,436719,,0.0,0.0
23-11-2021,196.28,203.75,193.61,201.79,364704,,0.0,0.0
24-11-2021,202.82,206.93,202.26,204.45,332907,,0.0,0.0
25-11-2021,205.48,208.43,202.91,206.56,324250,,0.0,0.0
26-11-2021,203.75,205.53,197.59,198.38,388921,,0.0,0.0
29-11-2021,198.38,198.61,184.73,188.33,873807,,0.0,0.0
30-11-2021,188.8,196.14,188.8,194.5,538791,,0.0,0.0
01-12-2021,196.28,204.6,194.69,199.27,1108166,,0.0,0.0
02-12-2021,200.02,200.02,196.0,198.05,258366,,0.0,0.0
03-12-2021,199.08,199.55,195.34,195.86,292679,,0.0,0.0
06-12-2021,195.86,196.6,190.01,191.6,248557,,0.0,0.0
07-12-2021,194.22,196.6,192.35,195.53,302993,,0.0,0.0
08-12-2021,196.23,200.48,196.04,198.29,401743,,0.0,0.0
09-12-2021,199.73,204.41,198.75,202.4,711780,,0.0,0.0
10-12-2021,202.12,202.68,197.63,199.41,415643,,0.0,0.0
13-12-2021,200.76,207.03,200.53,203.19,693007,,0.0,0.0
14-12-2021,202.26,205.76,200.48,202.45,410196,,0.0,0.0
15-12-2021,202.73,205.16,198.15,198.89,491403,,0.0,0.0
16-12-2021,200.02,201.32,194.41,195.11,391719,,0.0,0.0
17-12-2021,196.0,196.0,189.83,190.67,386058,,0.0,0.0
20-12-2021,188.8,188.8,179.45,180.95,509531,,0.0,0.0
21-12-2021,182.72,186.28,181.32,182.07,282094,,0.0,0.0
22-12-2021,183.1,191.46,183.1,190.39,555001,,0.0,0.0
23-12-2021,191.79,193.47,188.1,189.78,439215,,0.0,0.0
24-12-2021,189.92,191.28,185.29,187.07,301764,,0.0,0.0
27-12-2021,184.27,188.71,184.27,185.72,493589,,0.0,0.0
28-12-2021,186.65,193.43,186.65,189.55,677730,,0.0,0.0
29-12-2021,189.64,195.9,188.19,192.87,579112,,0.0,0.0
30-12-2021,192.54,192.54,189.08,189.83,287680,,0.0,0.0
31-12-2021,189.83,195.34,189.83,191.7,373658,,0.0,0.0
03-01-2022,191.6,193.99,188.19,192.54,766226,,0.0,0.0
04-01-2022,192.54,197.21,190.67,194.36,878776,,0.0,0.0
05-01-2022,194.83,203.01,192.35,198.05,2423753,,0.0,0.0
06-01-2022,195.72,196.09,193.38,195.34,540950,,0.0,0.0
07-01-2022,195.67,201.37,195.62,197.02,737650,,0.0,0.0
10-01-2022,198.15,199.55,195.48,197.12,482519,,0.0,0.0
11-01-2022,198.71,198.71,194.41,194.73,416767,,0.0,0.0
12-01-2022,195.34,198.15,194.41,195.39,581311,,0.0,0.0
13-01-2022,195.53,198.61,195.34,196.7,433688,,0.0,0.0
14-01-2022,196.74,201.7,196.09,198.47,886217,,0.0,0.0
