Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,654.51,659.53,651.4,655.69,125452,,0.0,0.0
09-08-2021,658.45,660.08,650.76,653.82,129900,,0.0,0.0
10-08-2021,654.75,657.51,637.15,641.24,201810,,0.0,0.0
11-08-2021,642.23,643.86,623.2,635.23,200173,,0.0,0.0
12-08-2021,639.07,652.73,636.17,648.05,145423,,0.0,0.0
13-08-2021,649.77,653.72,638.93,640.06,151070,,0.0,0.0
16-08-2021,638.88,638.88,625.12,625.91,164575,,0.0,0.0
17-08-2021,626.11,626.11,609.45,613.34,260875,,0.0,0.0
18-08-2021,616.2,619.06,606.44,608.95,255786,,0.0,0.0
20-08-2021,611.32,611.32,593.57,594.85,247673,,0.0,0.0
23-08-2021,598.5,601.26,571.88,578.34,250300,,0.0,0.0
24-08-2021,578.34,607.37,573.21,604.91,270001,,0.0,0.0
25-08-2021,610.38,623.15,608.85,620.59,200906,,0.0,0.0
26-08-2021,625.02,625.02,602.69,605.25,162597,,0.0,0.0
27-08-2021,601.46,604.22,591.6,593.57,276354,,0.0,0.0
30-08-2021,596.53,605.8,595.69,598.85,159367,,0.0,0.0
31-08-2021,604.07,616.05,600.37,607.52,192117,,0.0,0.0
01-09-2021,609.3,613.29,602.44,603.92,120713,,0.0,0.0
02-09-2021,609.3,610.68,603.43,608.51,121442,,0.0,0.0
03-09-2021,611.27,618.02,609.05,612.55,128348,,0.0,0.0
06-09-2021,617.23,617.38,607.87,608.95,101259,,0.0,0.0
07-09-2021,615.71,615.71,602.44,603.68,105315,,0.0,0.0
08-09-2021,606.39,606.39,599.54,601.21,123559,,0.0,0.0
09-09-2021,601.46,603.92,597.56,599.63,101871,,0.0,0.0
13-09-2021,600.47,604.37,596.53,597.56,109399,,0.0,0.0
14-09-2021,600.72,607.87,598.8,603.33,147899,,0.0,0.0
15-09-2021,606.39,616.25,603.82,611.66,209096,,0.0,0.0
16-09-2021,613.24,619.85,605.45,608.02,221608,,0.0,0.0
17-09-2021,611.32,624.43,604.22,618.52,292123,,0.0,0.0
20-09-2021,617.73,639.22,611.47,621.92,672406,,0.0,0.0
21-09-2021,624.53,624.53,604.71,610.78,188130,,0.0,0.0
22-09-2021,618.22,618.22,608.51,612.9,117397,,0.0,0.0
23-09-2021,615.16,617.88,609.15,610.87,120387,,0.0,0.0
24-09-2021,612.3,615.11,603.04,605.21,116407,,0.0,0.0
27-09-2021,605.21,609.35,599.83,601.06,146925,,0.0,0.0
28-09-2021,605.4,605.9,596.58,600.47,147659,,0.0,0.0
29-09-2021,597.02,605.4,597.02,600.28,118604,,0.0,0.0
30-09-2021,601.66,606.39,597.66,598.8,95787,,0.0,0.0
01-10-2021,601.46,603.48,595.35,596.04,128684,,0.0,0.0
04-10-2021,597.51,604.42,596.73,597.91,263845,,0.0,0.0
05-10-2021,601.26,625.52,598.55,616.54,613426,,0.0,0.0
06-10-2021,619.21,636.56,618.22,622.51,471858,,0.0,0.0
07-10-2021,627.83,635.97,623.15,623.89,154629,,0.0,0.0
08-10-2021,629.02,629.02,619.31,620.39,128396,,0.0,0.0
11-10-2021,625.81,625.81,614.08,615.51,170583,,0.0,0.0
12-10-2021,613.29,618.76,613.29,615.95,139931,,0.0,0.0
13-10-2021,616.3,619.95,613.29,615.21,157862,,0.0,0.0
14-10-2021,616.25,619.11,612.6,615.85,157551,,0.0,0.0
18-10-2021,612.06,629.07,612.06,620.93,219740,,0.0,0.0
19-10-2021,626.11,626.11,611.32,613.24,170660,,0.0,0.0
20-10-2021,612.3,614.72,601.46,603.63,209653,,0.0,0.0
21-10-2021,609.35,609.35,597.02,607.03,173885,,0.0,0.0
22-10-2021,606.73,620.19,598.89,601.01,165581,,0.0,0.0
25-10-2021,625.12,633.01,598.5,625.17,502271,,0.0,0.0
26-10-2021,627.78,634.98,621.18,623.4,300312,,0.0,0.0
27-10-2021,627.05,627.05,610.28,614.03,132248,,0.0,0.0
28-10-2021,601.46,603.87,582.18,583.12,497450,,0.0,0.0
29-10-2021,577.25,581.74,565.12,577.35,359162,,0.0,0.0
01-11-2021,581.74,589.77,568.13,571.04,173532,,0.0,0.0
02-11-2021,577.25,577.25,564.98,566.11,181548,,0.0,0.0
03-11-2021,565.96,570.79,552.16,555.36,214541,,0.0,0.0
04-11-2021,591.3,591.3,559.75,568.72,97406,,0.0,0.0
08-11-2021,575.18,575.18,555.07,557.34,169160,,0.0,0.0
09-11-2021,557.34,562.36,553.14,554.08,164230,,0.0,0.0
10-11-2021,554.67,559.21,552.16,553.83,106996,,0.0,0.0
11-11-2021,553.83,555.91,542.3,545.16,211329,,0.0,0.0
12-11-2021,543.28,553.54,543.28,545.16,121292,,0.0,0.0
15-11-2021,547.23,552.16,537.37,539.0,146694,,0.0,0.0
16-11-2021,539.0,548.07,537.37,541.41,166028,,0.0,0.0
17-11-2021,539.34,545.9,528.49,531.95,169428,,0.0,0.0
18-11-2021,531.45,545.85,522.78,524.01,162062,,0.0,0.0
22-11-2021,524.06,525.68,496.45,498.87,256887,,0.0,0.0
23-11-2021,497.93,506.51,477.22,500.3,350502,,0.0,0.0
24-11-2021,502.86,532.44,501.92,528.84,345854,,0.0,0.0
25-11-2021,528.49,540.33,517.75,522.58,208325,,0.0,0.0
26-11-2021,522.58,522.58,506.31,508.87,233401,,0.0,0.0
29-11-2021,507.84,508.87,484.62,496.15,169304,,0.0,0.0
30-11-2021,493.0,519.18,493.0,499.65,257278,,0.0,0.0
01-12-2021,504.58,512.23,497.88,505.03,137938,,0.0,0.0
02-12-2021,505.62,512.67,500.2,505.37,177422,,0.0,0.0
03-12-2021,506.8,518.63,506.26,515.04,174033,,0.0,0.0
06-12-2021,515.04,531.35,510.25,521.4,279124,,0.0,0.0
07-12-2021,528.49,534.66,521.59,523.81,139806,,0.0,0.0
08-12-2021,532.34,535.0,524.6,530.96,132206,,0.0,0.0
09-12-2021,537.37,540.18,533.42,535.64,149131,,0.0,0.0
10-12-2021,545.06,581.44,540.47,569.51,693466,,0.0,0.0
13-12-2021,585.68,599.49,550.63,572.32,968162,,0.0,0.0
14-12-2021,579.77,581.54,550.38,557.19,256449,,0.0,0.0
15-12-2021,560.15,564.93,538.65,541.02,182679,,0.0,0.0
16-12-2021,543.53,551.17,533.67,536.97,152241,,0.0,0.0
17-12-2021,536.97,536.97,518.68,522.78,140285,,0.0,0.0
20-12-2021,522.58,522.58,500.15,507.99,154671,,0.0,0.0
21-12-2021,512.72,519.62,507.79,509.96,131671,,0.0,0.0
22-12-2021,518.14,520.11,512.72,515.78,64848,,0.0,0.0
23-12-2021,521.59,521.59,512.72,513.8,75272,,0.0,0.0
24-12-2021,517.45,521.59,507.05,517.45,153941,,0.0,0.0
27-12-2021,517.45,524.65,511.54,515.68,128396,,0.0,0.0
28-12-2021,512.72,519.62,509.76,511.88,169439,,0.0,0.0
29-12-2021,511.88,524.01,511.88,521.35,219546,,0.0,0.0
30-12-2021,521.59,521.59,512.77,515.38,82915,,0.0,0.0
31-12-2021,518.14,541.81,517.4,537.27,241859,,0.0,0.0
03-01-2022,542.3,544.57,530.96,536.97,152309,,0.0,0.0
04-01-2022,539.04,539.04,528.49,530.47,86580,,0.0,0.0
05-01-2022,530.42,531.45,524.06,526.92,131752,,0.0,0.0
06-01-2022,526.52,530.96,520.16,521.59,115313,,0.0,0.0
07-01-2022,521.59,529.53,497.93,515.58,188493,,0.0,0.0
10-01-2022,515.58,522.58,514.69,521.74,104630,,0.0,0.0
11-01-2022,522.58,530.17,520.61,521.54,134328,,0.0,0.0
12-01-2022,524.8,525.68,519.13,520.31,71620,,0.0,0.0
13-01-2022,520.31,524.55,517.65,519.18,102525,,0.0,0.0
14-01-2022,515.48,521.89,515.48,520.06,80577,,0.0,0.0
17-01-2022,517.65,522.28,513.46,515.78,115446,,0.0,0.0
18-01-2022,515.87,519.62,510.75,511.78,116491,,0.0,0.0
19-01-2022,514.2,514.2,502.86,504.29,115673,,0.0,0.0
20-01-2022,504.54,507.79,496.65,497.68,135788,,0.0,0.0
21-01-2022,497.93,499.75,485.8,488.22,179940,,0.0,0.0
24-01-2022,488.22,503.89,478.21,490.73,264868,,0.0,0.0
25-01-2022,489.05,497.09,481.31,491.27,111764,,0.0,0.0
27-01-2022,488.07,499.9,486.1,493.98,135950,,0.0,0.0
28-01-2022,495.96,501.38,487.18,490.63,132148,,0.0,0.0
31-01-2022,500.15,510.75,486.74,496.4,295306,,0.0,0.0
01-02-2022,498.57,500.89,491.72,495.46,92252,,0.0,0.0
02-02-2022,497.39,508.77,497.39,505.72,121124,,0.0,0.0
03-02-2022,509.66,509.76,499.9,506.51,130816,,0.0,0.0
04-02-2022,506.51,520.9,506.51,517.75,301978,,0.0,0.0
07-02-2022,519.62,528.89,516.71,518.63,219486,,0.0,0.0
08-02-2022,521.4,522.38,512.13,515.13,189733,,0.0,0.0
09-02-2022,513.21,520.62,513.21,518.64,71601,,1.0,0.0
10-02-2022,516.72,522.54,516.07,518.79,93492,,0.0,0.0
11-02-2022,518.49,518.49,509.9,511.97,75074,,0.0,0.0
14-02-2022,498.88,503.82,494.93,497.75,122174,,0.0,0.0
15-02-2022,497.75,502.54,492.66,495.23,136576,,0.0,0.0
16-02-2022,493.94,502.69,493.94,496.81,114088,,0.0,0.0
17-02-2022,496.81,500.86,494.24,495.92,68910,,0.0,0.0
18-02-2022,494.93,497.8,489.99,492.36,76587,,0.0,0.0
21-02-2022,491.38,491.38,485.65,487.28,102227,,0.0,0.0
22-02-2022,474.19,479.13,474.19,477.64,137201,,0.0,0.0
23-02-2022,477.64,490.78,476.51,486.29,91149,,0.0,0.0
24-02-2022,481.1,481.1,444.55,447.91,261995,,0.0,0.0
25-02-2022,450.28,474.19,450.28,461.79,126175,,0.0,0.0
28-02-2022,457.59,457.59,445.04,450.18,121865,,0.0,0.0
02-03-2022,444.55,457.54,444.55,451.56,100856,,0.0,0.0
