Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
30-01-2023,295.82,310.57,282.21,284.33,329027,,0.0,0.0
31-01-2023,285.07,285.07,270.12,270.12,150034,,0.0,0.0
01-02-2023,256.61,256.61,256.61,256.61,69850,,0.0,0.0
02-02-2023,243.79,243.79,243.79,243.79,89213,,0.0,0.0
03-02-2023,231.61,255.97,231.61,255.97,2065032,,0.0,0.0
06-02-2023,268.74,268.74,262.58,268.74,660667,,0.0,0.0
07-02-2023,282.16,282.16,282.16,282.16,343557,,0.0,0.0
08-02-2023,296.26,296.26,296.26,296.26,310278,,0.0,0.0
09-02-2023,311.06,311.06,311.06,311.06,724706,,0.0,0.0
10-02-2023,326.6,326.6,303.86,308.79,751226,,0.0,0.0
13-02-2023,313.67,333.3,309.48,318.65,360101,,0.0,0.0
14-02-2023,326.0,326.0,287.83,294.39,260690,,0.0,0.0
15-02-2023,298.83,305.88,284.03,290.54,198992,,0.0,0.0
16-02-2023,294.93,297.6,288.13,291.28,112913,,0.0,0.0
17-02-2023,296.9,307.76,291.18,298.88,370491,,0.0,0.0
20-02-2023,309.73,312.69,306.37,310.42,173844,,0.0,0.0
21-02-2023,313.67,318.9,302.82,306.57,334866,,0.0,0.0
22-02-2023,307.61,308.74,298.58,301.34,211511,,0.0,0.0
23-02-2023,299.86,319.59,298.43,311.26,229805,,0.0,0.0
24-02-2023,313.53,317.62,306.28,309.93,145854,,0.0,0.0
27-02-2023,305.78,309.38,301.89,306.08,65321,,0.0,0.0
28-02-2023,305.78,305.78,293.95,298.48,248161,,0.0,0.0
01-03-2023,295.92,304.8,293.95,295.82,165820,,0.0,0.0
02-03-2023,298.73,298.88,292.37,293.85,101327,,0.0,0.0
03-03-2023,296.81,302.72,293.95,295.92,126945,,0.0,0.0
06-03-2023,296.9,305.68,296.17,301.1,209425,,0.0,0.0
08-03-2023,298.88,299.86,290.0,297.05,183874,,0.0,0.0
09-03-2023,299.86,303.71,293.85,295.03,160844,,0.0,0.0
10-03-2023,293.95,302.68,291.48,298.88,84792,,0.0,0.0
13-03-2023,299.86,299.91,293.06,296.21,84730,,0.0,0.0
14-03-2023,295.92,299.72,290.49,293.95,60882,,0.0,0.0
15-03-2023,294.04,303.46,292.52,298.04,71116,,0.0,0.0
16-03-2023,298.04,298.04,283.49,287.14,110888,,0.0,0.0
17-03-2023,291.92,291.92,279.94,282.01,75035,,0.0,0.0
20-03-2023,277.47,282.06,273.33,276.49,205501,,0.0,0.0
21-03-2023,281.12,281.71,272.29,276.98,290366,,0.0,0.0
22-03-2023,283.84,289.41,277.28,284.03,409524,,0.0,0.0
23-03-2023,281.37,295.28,281.37,291.82,247918,,0.0,0.0
24-03-2023,290.99,291.78,279.05,281.27,161484,,0.0,0.0
27-03-2023,281.27,281.86,274.07,278.95,264550,,0.0,0.0
28-03-2023,281.12,281.12,271.16,275.06,240227,,0.0,0.0
29-03-2023,275.2,281.22,271.36,275.25,180290,,0.0,0.0
31-03-2023,279.15,279.15,265.34,272.1,288058,,0.0,0.0
03-04-2023,273.23,276.39,267.86,271.46,302266,,0.0,0.0
05-04-2023,271.41,284.08,271.36,274.27,180008,,0.0,0.0
06-04-2023,275.65,288.57,274.66,283.59,168327,,0.0,0.0
10-04-2023,299.17,304.5,288.13,297.64,1135020,,0.0,0.0
11-04-2023,305.78,308.3,297.35,297.99,475237,,0.0,0.0
12-04-2023,298.88,319.99,298.88,307.8,798998,,0.0,0.0
13-04-2023,312.19,320.28,309.28,314.66,394409,,0.0,0.0
17-04-2023,323.54,377.59,316.04,360.63,2070659,,0.0,0.0
18-04-2023,366.35,378.78,355.4,372.71,536032,,0.0,0.0
19-04-2023,370.59,370.59,354.12,358.46,181275,,0.0,0.0
20-04-2023,361.76,367.33,347.61,358.65,102033,,0.0,0.0
21-04-2023,355.35,364.87,345.24,359.34,142737,,0.0,0.0
