Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,389.06,405.23,382.93,388.4,449915,,0.0,0.0
09-08-2021,394.15,400.32,384.77,388.63,299612,,0.0,0.0
10-08-2021,389.43,392.26,362.09,373.07,315447,,0.0,0.0
11-08-2021,377.18,377.18,348.84,360.44,515622,,0.0,0.0
12-08-2021,363.97,375.24,363.13,367.75,252179,,0.0,0.0
13-08-2021,371.14,377.18,364.92,366.28,202644,,0.0,0.0
16-08-2021,366.8,369.44,360.2,362.14,137275,,0.0,0.0
17-08-2021,361.71,366.47,347.0,348.98,250944,,0.0,0.0
18-08-2021,357.75,358.13,349.83,355.96,159165,,0.0,0.0
20-08-2021,352.66,367.75,350.82,353.84,406514,,0.0,0.0
23-08-2021,363.03,363.03,333.14,347.57,396837,,0.0,0.0
24-08-2021,348.89,354.59,339.55,348.42,197592,,0.0,0.0
25-08-2021,350.16,358.32,347.43,348.42,134723,,0.0,0.0
26-08-2021,349.45,352.94,340.4,345.16,135501,,0.0,0.0
27-08-2021,347.94,355.2,341.44,349.78,164332,,0.0,0.0
30-08-2021,358.22,360.16,352.19,353.74,237674,,0.0,0.0
31-08-2021,355.4,363.81,355.4,360.45,258595,,0.9,0.0
01-09-2021,362.11,368.63,360.45,363.38,232718,,0.0,0.0
02-09-2021,363.81,368.63,357.48,358.94,226453,,0.0,0.0
03-09-2021,359.27,362.53,356.39,357.95,85617,,0.0,0.0
06-09-2021,360.12,360.12,354.45,355.59,83034,,0.0,0.0
07-09-2021,356.34,358.56,345.99,348.54,117960,,0.0,0.0
08-09-2021,350.29,351.62,344.34,346.23,155455,,0.0,0.0
09-09-2021,346.23,355.87,344.34,346.47,163553,,0.0,0.0
13-09-2021,347.55,399.21,346.18,389.71,5716457,,0.0,0.0
14-09-2021,392.12,394.81,380.92,384.98,1042393,,0.0,0.0
15-09-2021,386.78,391.27,368.63,372.17,721363,,0.0,0.0
16-09-2021,373.55,374.96,364.05,368.82,433042,,0.0,0.0
17-09-2021,371.37,386.78,368.72,377.09,806265,,0.0,0.0
20-09-2021,373.07,383.71,366.69,369.48,520743,,0.0,0.0
21-09-2021,371.18,371.18,359.46,363.72,375378,,0.0,0.0
22-09-2021,365.79,375.1,363.53,369.2,253441,,0.0,0.0
23-09-2021,371.47,373.31,364.61,366.13,203092,,0.0,0.0
24-09-2021,367.4,369.91,357.34,359.37,188830,,0.0,0.0
27-09-2021,362.96,370.85,360.64,364.33,284062,,0.0,0.0
28-09-2021,364.85,369.58,362.49,363.72,260605,,0.0,0.0
29-09-2021,362.72,375.15,362.01,369.48,321684,,0.0,0.0
30-09-2021,372.79,374.16,365.94,367.26,235983,,0.0,0.0
01-10-2021,366.27,370.38,357.52,363.01,306252,,0.0,0.0
04-10-2021,365.51,370.24,364.66,366.55,200522,,0.0,0.0
05-10-2021,367.4,372.41,365.79,367.69,264097,,0.0,0.0
06-10-2021,368.16,382.19,368.16,378.41,703221,,0.0,0.0
07-10-2021,381.91,385.64,378.08,380.26,332082,,0.0,0.0
08-10-2021,380.21,397.84,380.21,383.09,982434,,0.0,0.0
11-10-2021,386.31,398.4,382.34,390.28,731286,,0.0,0.0
12-10-2021,390.28,393.21,378.93,380.3,301078,,0.0,0.0
13-10-2021,382.43,386.92,368.96,371.94,316995,,0.0,0.0
14-10-2021,372.03,380.07,369.15,371.7,242215,,0.0,0.0
18-10-2021,374.3,383.33,372.03,373.78,285027,,0.0,0.0
19-10-2021,374.11,376.95,364.85,366.03,211459,,0.0,0.0
20-10-2021,364.0,366.74,359.18,361.26,145487,,0.0,0.0
21-10-2021,361.26,370.52,360.12,362.01,197331,,0.0,0.0
22-10-2021,362.68,365.51,347.41,351.9,233718,,0.0,0.0
25-10-2021,354.12,359.18,350.01,357.76,153509,,0.0,0.0
26-10-2021,358.71,362.39,354.55,359.79,108206,,0.0,0.0
27-10-2021,361.45,366.65,356.96,361.12,113084,,0.0,0.0
28-10-2021,361.12,362.44,349.73,358.33,135305,,0.0,0.0
29-10-2021,358.33,358.33,349.73,356.15,131604,,0.0,0.0
01-11-2021,356.39,365.13,353.08,363.43,109106,,0.0,0.0
02-11-2021,366.46,369.72,345.33,348.88,421491,,0.0,0.0
03-11-2021,345.0,351.62,344.05,346.32,242107,,0.0,0.0
04-11-2021,346.42,348.17,342.16,344.2,62688,,0.0,0.0
08-11-2021,345.47,346.89,335.5,338.57,300192,,0.0,0.0
09-11-2021,338.76,345.95,337.25,341.79,201537,,0.0,0.0
10-11-2021,340.18,344.2,339.28,340.18,154540,,0.0,0.0
11-11-2021,340.18,343.11,336.21,337.34,65649,,0.0,0.0
12-11-2021,337.06,340.13,332.71,333.52,151058,,0.0,0.0
15-11-2021,330.82,340.42,330.82,334.84,115283,,0.0,0.0
16-11-2021,334.84,336.02,331.77,332.71,70476,,0.0,0.0
17-11-2021,332.71,335.45,323.31,325.53,122606,,0.0,0.0
18-11-2021,326.1,328.88,316.5,318.06,116435,,0.0,0.0
22-11-2021,318.53,320.05,304.07,308.09,188134,,0.0,0.0
23-11-2021,307.66,323.26,303.08,320.19,146902,,0.0,0.0
24-11-2021,321.8,326.62,317.26,318.53,72361,,0.0,0.0
25-11-2021,319.57,322.36,313.24,316.6,70793,,0.0,0.0
26-11-2021,314.75,326.1,312.3,318.2,118435,,0.0,0.0
29-11-2021,311.92,315.6,286.35,310.59,125712,,0.0,0.0
30-11-2021,309.08,314.85,302.47,309.51,138583,,0.0,0.0
01-12-2021,312.53,313.48,302.47,304.92,59761,,0.0,0.0
02-12-2021,305.3,310.17,305.3,308.0,59203,,0.0,0.0
03-12-2021,309.65,318.53,309.65,315.13,84636,,0.0,0.0
06-12-2021,316.83,320.9,311.92,312.39,71690,,0.0,0.0
07-12-2021,312.86,326.05,312.86,316.36,156344,,0.0,0.0
