Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
04-02-2025,402.0,412.9,370.2,401.65,15635750,,0.0,0.0
05-02-2025,392.05,410.0,389.0,395.5,2348481,,0.0,0.0
06-02-2025,392.1,421.55,365.7,404.4,7037799,,0.0,0.0
07-02-2025,405.0,425.5,398.3,402.05,2451596,,0.0,0.0
10-02-2025,397.5,407.95,385.35,402.8,1146330,,0.0,0.0
11-02-2025,397.25,413.5,392.8,406.85,2169020,,0.0,0.0
12-02-2025,401.0,433.3,396.0,425.6,3489372,,0.0,0.0
13-02-2025,420.1,464.0,420.1,449.0,3917987,,0.0,0.0
14-02-2025,449.7,456.6,434.0,439.0,3396560,,0.0,0.0
17-02-2025,430.0,443.35,405.15,424.7,1437535,,0.0,0.0
18-02-2025,419.95,433.45,410.45,416.8,850826,,0.0,0.0
19-02-2025,417.3,429.8,411.6,421.95,655123,,0.0,0.0
20-02-2025,428.0,435.0,411.7,418.5,574120,,0.0,0.0
21-02-2025,415.65,420.0,406.2,412.6,469512,,0.0,0.0
24-02-2025,412.0,412.0,397.55,402.5,1740787,,0.0,0.0
25-02-2025,402.05,414.15,398.55,404.8,695024,,0.0,0.0
27-02-2025,404.8,410.0,395.6,407.15,1008519,,0.0,0.0
28-02-2025,398.5,405.0,391.05,401.0,644242,,0.0,0.0
03-03-2025,380.05,398.0,376.55,391.8,897408,,0.0,0.0
04-03-2025,388.0,405.5,383.0,402.55,400581,,0.0,0.0
05-03-2025,390.0,419.95,390.0,418.0,568420,,0.0,0.0
06-03-2025,414.95,418.0,402.0,414.95,895496,,0.0,0.0
07-03-2025,408.75,415.0,403.6,405.85,644999,,0.0,0.0
10-03-2025,405.85,423.0,403.1,414.7,649020,,0.0,0.0
11-03-2025,413.0,426.0,406.0,420.1,503076,,0.0,0.0
12-03-2025,416.0,431.0,413.15,428.55,424023,,0.0,0.0
13-03-2025,434.65,434.65,420.1,422.95,308000,,0.0,0.0
17-03-2025,417.35,423.45,405.7,416.4,333108,,0.0,0.0
18-03-2025,416.4,416.4,416.4,416.4,0,,0.0,0.0
19-03-2025,420.7,434.0,392.6,417.55,273920,,0.0,0.0
20-03-2025,425.0,449.0,420.5,433.9,908383,,0.0,0.0
21-03-2025,442.75,457.0,436.3,444.9,591909,,0.0,0.0
24-03-2025,442.15,451.2,435.4,442.0,338406,,0.0,0.0
25-03-2025,442.0,463.05,440.15,448.65,568937,,0.0,0.0
26-03-2025,447.55,450.7,431.0,432.45,187760,,0.0,0.0
27-03-2025,432.45,445.0,427.05,442.8,186346,,0.0,0.0
28-03-2025,448.6,458.45,442.0,445.85,318735,,0.0,0.0
01-04-2025,437.25,456.85,435.2,453.3,260203,,0.0,0.0
02-04-2025,450.0,460.0,433.0,435.45,223197,,0.0,0.0
03-04-2025,440.0,444.45,419.85,435.95,200337,,0.0,0.0
04-04-2025,435.0,437.9,426.7,434.1,130455,,0.0,0.0
07-04-2025,361.1,420.45,361.1,417.3,230337,,0.0,0.0
08-04-2025,421.0,437.4,421.0,425.75,213789,,0.0,0.0
09-04-2025,427.85,430.6,415.0,422.7,121866,,0.0,0.0
11-04-2025,434.9,434.9,407.1,415.2,287409,,0.0,0.0
15-04-2025,418.9,420.45,409.0,410.4,295918,,0.0,0.0
16-04-2025,412.0,413.95,398.7,399.75,234255,,0.0,0.0
17-04-2025,401.95,405.1,394.55,402.55,161590,,0.0,0.0
21-04-2025,404.65,408.25,397.8,402.75,286586,,0.0,0.0
22-04-2025,402.8,407.0,393.0,395.55,303912,,0.0,0.0
23-04-2025,396.65,402.0,387.4,398.15,206559,,0.0,0.0
24-04-2025,398.15,398.15,387.55,389.45,387625,,0.0,0.0
25-04-2025,387.25,393.0,381.4,386.5,121550,,0.0,0.0
28-04-2025,384.95,387.3,376.1,378.55,228628,,0.0,0.0
29-04-2025,379.0,380.55,370.0,374.55,150163,,0.0,0.0
30-04-2025,371.0,374.75,361.0,364.9,284657,,0.0,0.0
02-05-2025,363.05,368.45,351.4,354.8,358328,,0.0,0.0
05-05-2025,350.55,361.65,344.25,348.7,517960,,0.0,0.0
06-05-2025,349.55,356.0,346.0,348.5,753895,,0.0,0.0
07-05-2025,342.0,371.7,330.0,359.55,1235223,,0.0,0.0
08-05-2025,364.95,369.75,353.7,360.7,398600,,0.0,0.0
09-05-2025,359.0,359.8,349.05,355.6,238658,,0.0,0.0
12-05-2025,360.0,372.8,360.0,368.05,184051,,0.0,0.0
13-05-2025,370.05,378.5,368.15,370.65,158062,,0.0,0.0
14-05-2025,375.0,401.05,367.5,385.7,801677,,0.0,0.0
15-05-2025,388.8,394.7,378.3,386.2,485223,,0.0,0.0
16-05-2025,388.7,399.3,382.75,397.75,204664,,0.0,0.0
19-05-2025,397.15,406.0,397.1,401.6,226995,,0.0,0.0
20-05-2025,405.0,407.0,398.35,400.55,276645,,0.0,0.0
21-05-2025,400.55,401.6,389.05,391.55,278461,,0.0,0.0
22-05-2025,391.0,394.5,385.65,389.3,225798,,0.0,0.0
23-05-2025,386.05,395.0,385.9,389.45,319167,,0.0,0.0
26-05-2025,389.4,394.6,382.0,383.65,144571,,0.0,0.0
27-05-2025,384.75,385.5,373.0,375.25,296851,,0.0,0.0
28-05-2025,390.7,390.7,340.1,352.85,1561930,,0.0,0.0
29-05-2025,360.0,360.0,345.0,347.05,684686,,0.0,0.0
30-05-2025,347.15,360.0,327.0,338.5,2805645,,0.0,0.0
02-06-2025,331.5,337.6,328.75,334.05,583531,,0.0,0.0
03-06-2025,335.4,339.4,332.5,336.75,903645,,0.0,0.0
04-06-2025,338.3,348.45,336.85,345.5,828576,,0.0,0.0
05-06-2025,345.0,356.7,345.0,354.5,318488,,0.0,0.0
