Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2024,721.59,793.75,721.59,792.5,23470747,,0.0,0.0
07-08-2024,812.16,820.12,779.51,790.01,2975148,,0.0,0.0
08-08-2024,783.79,811.16,781.55,796.04,951754,,0.0,0.0
09-08-2024,805.19,811.16,791.26,799.37,457347,,0.0,0.0
12-08-2024,797.98,879.29,793.8,879.29,1329957,,0.0,0.0
13-08-2024,894.77,953.39,885.81,930.85,1163892,,0.0,0.0
14-08-2024,933.09,1023.91,932.59,965.14,1933549,,0.0,0.0
16-08-2024,989.32,1061.63,972.8,1061.63,982763,,0.0,0.0
19-08-2024,1084.87,1114.68,1084.62,1114.68,148337,,0.0,0.0
20-08-2024,1170.37,1170.37,1058.94,1058.94,723301,,0.0,0.0
21-08-2024,1005.99,1005.99,1005.99,1005.99,26680,,0.0,0.0
22-08-2024,995.29,1004.2,955.73,955.73,1499113,,0.0,0.0
23-08-2024,965.43,1003.5,921.19,936.22,1875805,,0.0,0.0
26-08-2024,952.5,964.34,889.44,889.44,499271,,0.0,0.0
27-08-2024,877.85,897.75,847.34,851.52,437871,,0.0,0.0
28-08-2024,867.75,894.07,859.54,879.29,542955,,0.0,0.0
29-08-2024,886.76,886.76,852.82,862.17,363781,,0.0,0.0
30-08-2024,870.78,885.51,857.05,859.98,297889,,0.0,0.0
02-09-2024,866.35,871.78,817.14,829.53,744178,,0.0,0.0
03-09-2024,817.14,857.25,817.14,850.23,560309,,0.0,0.0
04-09-2024,844.9,892.73,829.43,892.73,352387,,0.0,0.0
05-09-2024,925.52,925.52,870.09,880.29,351327,,0.0,0.0
06-09-2024,883.82,888.8,856.95,860.88,178715,,0.0,0.0
09-09-2024,863.82,880.79,843.56,863.52,139788,,0.0,0.0
10-09-2024,877.5,906.66,869.69,906.66,197487,,0.0,0.0
11-09-2024,925.32,944.53,897.41,905.97,352235,,0.0,0.0
12-09-2024,923.63,924.43,896.31,906.21,209660,,0.0,0.0
13-09-2024,939.56,939.56,895.76,898.35,206479,,0.0,0.0
16-09-2024,903.68,905.62,880.83,884.32,115505,,0.0,0.0
17-09-2024,886.71,891.24,847.99,851.22,143280,,0.0,0.0
18-09-2024,851.22,859.83,824.15,841.32,619367,,0.0,0.0
19-09-2024,854.91,854.91,826.09,837.19,108418,,0.0,0.0
20-09-2024,841.02,853.86,841.02,847.74,100514,,0.0,0.0
