Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,656.61,699.51,646.11,655.3,20222318,,0.0,0.0
09-08-2021,658.1,664.01,624.7,645.1,3967075,,0.0,0.0
10-08-2021,647.86,675.87,647.86,669.83,2882997,,0.0,0.0
11-08-2021,677.97,678.02,643.48,654.86,894950,,0.0,0.0
12-08-2021,658.14,671.58,654.86,658.32,502395,,0.0,0.0
13-08-2021,663.88,667.07,649.83,663.4,816238,,0.0,0.0
16-08-2021,661.87,661.87,639.98,642.47,592645,,0.0,0.0
17-08-2021,646.85,648.73,630.35,631.53,461158,,0.0,0.0
18-08-2021,632.97,639.98,627.33,630.48,298872,,0.0,0.0
20-08-2021,630.35,636.21,618.4,621.81,419924,,0.0,0.0
23-08-2021,630.13,630.13,588.85,592.18,455913,,0.0,0.0
24-08-2021,591.39,601.59,582.33,585.17,283832,,0.0,0.0
25-08-2021,588.06,602.33,587.45,591.39,221101,,0.0,0.0
26-08-2021,595.24,598.83,584.82,586.97,148919,,0.0,0.0
27-08-2021,588.41,591.74,584.82,587.06,116522,,0.0,0.0
30-08-2021,590.69,599.62,589.2,593.75,164890,,0.0,0.0
31-08-2021,595.33,611.79,593.8,605.0,228572,,0.0,0.0
01-09-2021,609.95,618.31,605.4,609.25,150209,,0.0,0.0
02-09-2021,597.43,603.69,585.44,587.27,575226,,0.0,0.0
03-09-2021,588.32,595.24,588.32,590.03,156097,,0.0,0.0
06-09-2021,592.18,594.76,584.91,586.35,157712,,0.0,0.0
07-09-2021,590.95,592.79,583.95,586.22,127727,,0.0,0.0
08-09-2021,586.57,590.86,583.07,585.57,120635,,0.0,0.0
09-09-2021,586.57,590.08,576.94,578.91,210408,,0.0,0.0
13-09-2021,582.2,587.32,577.69,581.67,251245,,0.0,0.0
14-09-2021,586.75,605.27,584.03,601.68,419073,,0.0,0.0
15-09-2021,604.0,634.07,597.96,623.56,792659,,0.0,0.0
16-09-2021,631.22,631.22,610.39,614.2,238899,,0.0,0.0
17-09-2021,617.22,620.72,598.83,604.3,155235,,0.0,0.0
20-09-2021,602.95,602.95,587.93,591.91,128362,,0.0,0.0
21-09-2021,590.95,597.74,582.94,594.37,176199,,0.0,0.0
22-09-2021,594.89,612.75,594.37,605.09,169208,,0.0,0.0
23-09-2021,611.96,617.22,598.83,603.73,211225,,0.0,0.0
24-09-2021,607.06,611.92,596.47,599.31,160766,,0.0,0.0
27-09-2021,602.68,602.68,588.89,592.0,95084,,0.0,0.0
28-09-2021,594.37,601.15,587.58,594.02,114694,,0.0,0.0
29-09-2021,584.17,595.33,584.17,591.04,90332,,0.0,0.0
30-09-2021,592.79,597.08,588.15,595.28,101088,,0.0,0.0
01-10-2021,591.35,594.45,589.2,589.99,64348,,0.0,0.0
04-10-2021,588.46,594.41,587.67,588.98,102668,,0.0,0.0
05-10-2021,588.76,590.64,585.79,588.81,132451,,0.0,0.0
06-10-2021,590.86,594.02,584.6,585.79,104112,,0.0,0.0
07-10-2021,586.79,590.51,584.82,585.48,98753,,0.0,0.0
08-10-2021,592.18,592.18,586.57,587.41,106597,,0.0,0.0
11-10-2021,588.46,590.69,583.82,585.09,138126,,0.0,0.0
12-10-2021,588.24,588.94,583.29,584.21,86356,,0.0,0.0
13-10-2021,584.03,586.57,583.07,583.25,107213,,0.0,0.0
14-10-2021,583.95,585.39,578.69,579.61,196401,,0.0,0.0
18-10-2021,580.45,583.12,574.32,575.37,152187,,0.0,0.0
19-10-2021,578.52,578.52,559.43,562.28,217341,,0.0,0.0
20-10-2021,563.64,563.64,553.35,555.71,130102,,0.0,0.0
21-10-2021,555.93,559.92,548.58,550.42,112146,,0.0,0.0
22-10-2021,550.59,554.09,539.87,541.14,136052,,0.0,0.0
25-10-2021,544.55,544.55,527.04,534.26,94791,,0.0,0.0
26-10-2021,536.58,564.69,534.92,558.25,95632,,0.0,0.0
27-10-2021,560.31,567.36,553.7,558.16,89712,,0.0,0.0
28-10-2021,556.81,563.72,547.26,551.77,59964,,0.0,0.0
29-10-2021,547.18,559.61,541.09,553.66,77287,,0.0,0.0
01-11-2021,556.81,557.42,545.43,547.53,47460,,0.0,0.0
02-11-2021,548.93,552.3,542.8,547.79,61341,,0.0,0.0
03-11-2021,545.86,553.92,545.43,549.37,41305,,0.0,0.0
04-11-2021,548.05,553.31,548.05,552.21,28393,,0.0,0.0
08-11-2021,555.67,556.81,551.6,555.63,68484,,0.0,0.0
09-11-2021,558.3,559.92,555.28,557.77,58669,,0.0,0.0
10-11-2021,558.56,566.79,552.43,553.92,54439,,0.0,0.0
11-11-2021,573.22,583.95,567.75,569.98,310002,,0.0,0.0
12-11-2021,571.69,575.98,562.5,565.65,99999,,0.0,0.0
