Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,736.83,742.79,732.14,735.0,261379,,0.0,0.0
09-08-2021,737.11,738.71,719.94,725.05,446528,,0.0,0.0
10-08-2021,722.85,734.02,713.37,721.95,334206,,0.0,0.0
11-08-2021,727.21,727.21,698.63,715.43,511172,,0.0,0.0
12-08-2021,713.37,719.05,707.31,711.21,275285,,0.0,0.0
13-08-2021,715.24,725.01,707.78,722.8,435377,,0.0,0.0
16-08-2021,722.8,727.07,710.83,722.61,288468,,0.0,0.0
17-08-2021,723.69,729.89,713.41,722.94,294942,,0.0,0.0
18-08-2021,726.46,726.46,713.37,715.9,140780,,0.0,0.0
20-08-2021,713.37,716.75,688.02,693.33,349031,,0.0,0.0
23-08-2021,699.29,700.23,676.15,689.48,407659,,0.0,0.0
24-08-2021,685.72,696.47,685.72,693.98,182380,,0.0,0.0
25-08-2021,697.13,703.56,688.3,701.59,198800,,0.0,0.0
26-08-2021,704.64,708.02,688.4,690.7,215912,,0.0,0.0
27-08-2021,688.02,702.95,685.21,700.37,171902,,0.0,0.0
30-08-2021,703.51,712.29,696.56,705.15,218410,,0.0,0.0
31-08-2021,705.11,708.49,700.84,705.25,168262,,0.0,0.0
01-09-2021,708.2,715.24,701.26,708.86,194882,,0.0,0.0
02-09-2021,708.63,734.02,708.2,729.89,653911,,0.0,0.0
03-09-2021,739.65,741.38,720.41,727.21,439856,,0.0,0.0
06-09-2021,727.45,738.43,723.93,731.67,306349,,0.0,0.0
07-09-2021,736.22,736.22,718.06,720.12,195661,,0.0,0.0
08-09-2021,720.12,724.58,713.51,718.48,133027,,0.0,0.0
09-09-2021,717.92,722.57,714.31,718.81,98671,,0.0,0.0
13-09-2021,718.06,729.65,715.29,725.94,129941,,0.0,0.0
14-09-2021,727.68,735.8,726.41,732.33,253775,,0.0,0.0
15-09-2021,734.96,745.8,732.42,741.29,428396,,0.0,0.0
16-09-2021,745.19,745.8,732.14,734.96,185281,,0.0,0.0
17-09-2021,736.83,740.63,719.94,730.5,296309,,0.0,0.0
20-09-2021,726.51,744.34,718.29,733.73,528098,,0.0,0.0
21-09-2021,734.49,743.31,720.92,733.45,219767,,0.0,0.0
22-09-2021,733.08,771.14,728.57,763.44,1143768,,0.0,0.0
23-09-2021,770.01,788.04,760.86,769.92,807108,,0.0,0.0
24-09-2021,769.64,773.06,739.84,742.61,422450,,0.0,0.0
27-09-2021,741.29,754.29,736.32,739.88,335946,,0.0,0.0
28-09-2021,741.53,749.79,727.49,733.41,260349,,0.0,0.0
29-09-2021,732.14,749.03,727.68,745.98,175883,,0.0,0.0
30-09-2021,742.93,750.87,737.77,740.68,290745,,0.0,0.0
01-10-2021,736.83,745.28,734.96,739.79,127931,,0.0,0.0
04-10-2021,741.53,757.95,739.93,745.94,205379,,0.0,0.0
05-10-2021,749.88,749.88,738.29,739.09,135258,,0.0,0.0
06-10-2021,737.77,743.83,728.38,730.92,755192,,0.0,0.0
07-10-2021,732.23,736.83,727.77,730.17,214567,,0.0,0.0
08-10-2021,733.83,736.83,728.38,729.32,117586,,0.0,0.0
11-10-2021,733.17,783.76,727.45,769.73,1371722,,0.0,0.0
12-10-2021,779.07,811.03,767.9,771.98,3340693,,0.0,0.0
13-10-2021,771.98,775.27,754.67,765.98,327875,,0.0,0.0
14-10-2021,769.83,771.94,754.48,757.11,282241,,0.0,0.0
18-10-2021,759.83,764.05,752.98,761.42,298155,,0.0,0.0
19-10-2021,763.11,769.54,741.9,745.37,234519,,0.0,0.0
20-10-2021,742.46,744.34,720.73,729.04,280780,,0.0,0.0
21-10-2021,728.85,746.08,726.37,739.7,315612,,0.0,0.0
