Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,246.8,252.25,244.25,248.65,246737,,0.0,0.0
09-08-2021,249.9,264.75,249.1,256.8,383866,,0.0,0.0
10-08-2021,257.9,258.0,247.05,252.95,219957,,0.0,0.0
11-08-2021,254.5,256.75,242.0,245.55,190030,,0.0,0.0
12-08-2021,248.3,258.0,248.3,253.4,376240,,0.0,0.0
13-08-2021,259.8,262.65,242.0,243.45,436834,,0.0,0.0
16-08-2021,243.45,243.8,229.1,231.85,437286,,0.0,0.0
17-08-2021,234.4,248.7,227.1,229.15,498760,,0.0,0.0
18-08-2021,230.5,237.6,224.15,234.4,294836,,0.0,0.0
20-08-2021,231.7,233.65,220.1,222.3,237041,,0.0,0.0
23-08-2021,229.0,229.0,212.5,218.5,146238,,0.0,0.0
24-08-2021,219.15,225.3,219.05,221.65,116116,,0.0,0.0
25-08-2021,223.15,225.7,220.0,222.35,123187,,0.0,0.0
26-08-2021,225.95,226.0,220.55,221.45,72805,,0.0,0.0
27-08-2021,220.0,230.9,220.0,230.15,319450,,0.0,0.0
30-08-2021,232.45,234.7,226.2,230.35,254075,,0.0,0.0
31-08-2021,235.0,244.65,229.8,239.5,622110,,0.0,0.0
01-09-2021,241.0,242.9,230.7,233.25,152079,,0.0,0.0
02-09-2021,236.8,240.1,233.25,234.6,133542,,0.0,0.0
03-09-2021,236.4,240.0,233.2,236.8,132330,,0.0,0.0
06-09-2021,244.4,252.9,241.05,242.4,850949,,0.0,0.0
07-09-2021,242.5,244.4,235.1,240.2,122728,,0.0,0.0
08-09-2021,243.5,243.5,237.0,239.5,67002,,0.0,0.0
09-09-2021,242.8,250.0,239.1,241.7,364510,,0.0,0.0
13-09-2021,242.7,246.0,240.0,241.05,91243,,0.0,0.0
14-09-2021,240.1,243.7,236.9,238.55,116375,,0.0,0.0
15-09-2021,240.8,243.4,238.55,240.55,155379,,0.0,0.0
16-09-2021,244.9,247.6,239.6,240.9,168845,,0.0,0.0
17-09-2021,254.95,255.0,247.05,253.5,733256,,0.0,0.0
20-09-2021,249.2,258.0,248.05,253.2,422560,,0.0,0.0
21-09-2021,250.0,255.85,242.2,243.5,209426,,0.0,0.0
22-09-2021,244.95,252.0,242.3,243.9,355482,,0.0,0.0
23-09-2021,244.25,250.9,244.25,249.2,147050,,0.0,0.0
24-09-2021,253.0,254.9,247.0,248.65,157220,,0.0,0.0
27-09-2021,245.55,249.9,241.05,244.75,88146,,0.0,0.0
28-09-2021,244.75,248.0,240.0,242.0,62414,,0.0,0.0
29-09-2021,242.0,244.4,237.05,238.2,109539,,0.0,0.0
30-09-2021,238.0,249.85,237.05,247.4,405602,,0.0,0.0
01-10-2021,245.9,247.75,240.3,245.4,88712,,0.0,0.0
04-10-2021,249.45,253.9,244.55,250.9,170699,,0.0,0.0
05-10-2021,252.7,253.75,244.6,247.75,115583,,0.0,0.0
06-10-2021,248.95,248.95,239.1,242.85,111331,,0.0,0.0
07-10-2021,243.5,247.45,243.25,245.35,59644,,0.0,0.0
