Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,82.28,82.87,81.94,82.13,1558239,,0.0,0.0
09-08-2021,82.38,82.48,78.7,79.05,2347386,,0.0,0.0
10-08-2021,78.75,79.98,73.11,75.02,3489204,,0.0,0.0
11-08-2021,75.02,75.91,68.16,70.51,6701748,,0.0,0.0
12-08-2021,71.54,77.48,71.1,76.69,3057813,,0.0,0.0
13-08-2021,77.43,78.11,73.85,74.19,2283230,,0.0,0.0
16-08-2021,73.55,74.24,71.2,72.82,1813236,,0.0,0.0
17-08-2021,73.11,73.9,70.71,71.3,1481594,,0.0,0.0
18-08-2021,71.44,71.94,69.29,69.88,1420976,,0.0,0.0
20-08-2021,68.65,69.63,66.69,67.03,2314959,,0.0,0.0
23-08-2021,66.69,68.16,61.0,66.3,7066187,,0.0,0.0
24-08-2021,66.69,69.63,65.12,69.09,4770208,,0.0,0.0
25-08-2021,69.09,70.46,67.67,68.45,2049191,,0.0,0.0
26-08-2021,68.85,71.49,67.77,70.37,4469908,,0.0,0.0
27-08-2021,70.86,72.03,69.14,71.35,2354640,,0.0,0.0
30-08-2021,72.92,73.06,71.49,71.69,1555058,,0.0,0.0
31-08-2021,69.83,71.79,69.14,69.48,1591007,,0.0,0.0
01-09-2021,69.88,70.32,69.19,69.73,1209145,,0.0,0.0
02-09-2021,69.83,73.55,69.73,71.94,2735796,,0.0,0.0
03-09-2021,72.33,72.87,71.35,71.54,1576682,,0.0,0.0
06-09-2021,72.08,73.06,71.89,72.23,1345307,,0.0,0.0
07-09-2021,72.28,72.62,70.61,70.76,1107484,,0.0,0.0
08-09-2021,71.15,71.15,69.19,69.92,1137438,,0.0,0.0
09-09-2021,70.12,70.12,68.45,68.7,1683876,,0.0,0.0
13-09-2021,69.19,71.25,68.11,69.63,2764317,,0.0,0.0
14-09-2021,70.22,71.3,69.97,70.71,1649242,,0.0,0.0
15-09-2021,71.35,71.35,69.48,69.77,1900751,,0.25,0.0
16-09-2021,70.17,70.36,68.99,69.92,1709959,,0.0,0.0
17-09-2021,70.46,70.76,67.95,70.02,2240187,,0.0,0.0
20-09-2021,69.87,70.02,67.95,68.2,1121397,,0.0,0.0
21-09-2021,68.0,69.04,66.77,68.49,1366807,,0.0,0.0
22-09-2021,68.0,69.04,67.9,68.05,935362,,0.0,0.0
23-09-2021,68.64,70.17,68.15,68.59,2047053,,0.0,0.0
24-09-2021,68.59,69.13,67.51,67.95,1570896,,0.0,0.0
27-09-2021,68.54,68.59,67.12,67.22,787220,,0.0,0.0
28-09-2021,67.51,67.51,66.48,66.92,1055985,,0.0,0.0
29-09-2021,66.63,68.84,66.63,67.26,2199166,,0.0,0.0
30-09-2021,67.51,69.18,66.92,67.9,1905442,,0.0,0.0
01-10-2021,67.71,68.89,67.71,67.81,1403193,,0.0,0.0
04-10-2021,68.05,73.22,68.0,72.04,5127526,,0.0,0.0
05-10-2021,72.83,76.76,72.28,74.55,3778441,,0.0,0.0
06-10-2021,74.79,75.63,70.51,71.55,2033663,,0.0,0.0
07-10-2021,72.33,72.68,70.17,70.66,1182835,,0.0,0.0
08-10-2021,71.3,71.59,69.63,69.82,1189022,,0.0,0.0
11-10-2021,70.17,70.56,69.23,69.38,1089333,,0.0,0.0
12-10-2021,69.38,69.87,68.45,68.74,1239771,,0.0,0.0
13-10-2021,69.33,70.17,68.69,68.74,1397892,,0.0,0.0
14-10-2021,68.94,69.18,68.2,68.89,1361428,,0.0,0.0
18-10-2021,69.77,69.77,67.9,68.05,1537859,,0.0,0.0
19-10-2021,68.3,68.74,66.92,67.02,1722175,,0.0,0.0
20-10-2021,66.92,67.86,65.64,66.33,1182106,,0.0,0.0
21-10-2021,66.72,67.71,65.54,66.13,945870,,0.0,0.0
22-10-2021,66.43,66.92,64.46,65.2,1215394,,0.0,0.0
25-10-2021,65.3,65.69,63.57,65.05,1033634,,0.0,0.0
26-10-2021,64.95,65.79,64.56,64.85,989085,,0.0,0.0
27-10-2021,64.95,69.18,64.85,66.97,2311084,,0.0,0.0
28-10-2021,67.26,67.31,65.0,65.39,900576,,0.0,0.0
29-10-2021,65.39,65.69,64.02,65.0,1207972,,0.0,0.0
01-11-2021,65.2,66.53,64.71,65.64,931964,,0.0,0.0
02-11-2021,66.08,66.18,64.85,65.25,950414,,0.0,0.0
03-11-2021,65.3,65.64,65.05,65.39,701495,,0.0,0.0
04-11-2021,65.94,66.38,65.84,66.18,232938,,0.0,0.0
08-11-2021,66.18,66.67,64.71,65.2,712481,,0.0,0.0
09-11-2021,65.59,67.02,65.15,66.28,1125037,,0.0,0.0
10-11-2021,66.23,67.36,61.41,62.0,5029825,,0.0,0.0
11-11-2021,62.1,62.1,59.54,60.08,2727582,,0.0,0.0
12-11-2021,57.08,60.43,57.08,58.51,2162641,,0.0,0.0
15-11-2021,58.51,58.56,56.39,57.87,2664913,,0.0,0.0
16-11-2021,58.06,60.47,57.87,58.85,2523302,,0.0,0.0
17-11-2021,59.0,59.29,58.06,58.16,1332687,,0.0,0.0
18-11-2021,58.65,58.65,55.6,56.09,1569926,,0.0,0.0
22-11-2021,56.49,56.93,52.75,53.19,1664156,,0.0,0.0
23-11-2021,53.59,57.08,52.36,56.54,2327114,,0.0,0.0
24-11-2021,57.18,59.05,56.0,56.19,2533876,,0.0,0.0
25-11-2021,56.29,57.08,55.5,56.24,1054504,,0.0,0.0
26-11-2021,56.44,58.95,55.6,57.52,3803296,,0.0,0.0
29-11-2021,58.46,58.65,55.06,55.6,2189439,,0.0,0.0
30-11-2021,55.5,57.47,54.18,55.46,1359140,,0.0,0.0
01-12-2021,55.65,56.39,54.13,54.57,1384154,,0.0,0.0
02-12-2021,54.72,56.34,54.67,56.0,1327198,,0.0,0.0
03-12-2021,56.34,58.16,56.14,57.13,1449631,,0.0,0.0
06-12-2021,57.52,60.03,57.08,58.75,3359359,,0.0,0.0
07-12-2021,59.05,59.69,57.77,58.11,1328024,,0.0,0.0
08-12-2021,58.46,58.46,57.52,57.77,884067,,0.0,0.0
09-12-2021,58.01,59.93,57.92,58.95,1835556,,0.0,0.0
10-12-2021,61.7,63.43,60.82,61.8,5838715,,0.0,0.0
13-12-2021,62.79,62.98,59.88,60.38,1639254,,0.0,0.0
14-12-2021,60.13,61.21,59.54,60.43,1124762,,0.0,0.0
15-12-2021,60.43,61.46,60.13,60.43,1205573,,0.0,0.0
16-12-2021,60.33,60.52,59.1,59.83,1191527,,0.0,0.0
17-12-2021,59.83,59.83,56.69,57.03,1335967,,0.0,0.0
20-12-2021,56.34,56.78,54.86,55.21,1452756,,0.0,0.0
21-12-2021,56.19,56.98,55.6,55.95,838059,,0.0,0.0
22-12-2021,56.29,57.47,56.09,56.93,1025908,,0.0,0.0
23-12-2021,57.57,57.77,56.88,57.08,1113046,,0.0,0.0
24-12-2021,57.77,57.77,55.31,55.9,1247925,,0.0,0.0
27-12-2021,55.9,58.36,55.36,57.57,1411701,,0.0,0.0
28-12-2021,58.06,59.69,57.92,59.1,1244871,,0.0,0.0
29-12-2021,59.05,59.93,58.06,58.31,896502,,0.0,0.0
30-12-2021,58.36,58.8,57.67,57.87,772230,,0.0,0.0
31-12-2021,58.16,59.54,58.01,59.19,924919,,0.0,0.0
03-01-2022,59.54,61.51,59.29,60.82,1969464,,0.0,0.0
04-01-2022,61.11,61.51,60.13,60.33,1057738,,0.0,0.0
05-01-2022,60.52,61.46,60.33,60.97,1020692,,0.0,0.0
06-01-2022,60.03,61.46,59.69,60.67,874252,,0.0,0.0
07-01-2022,61.16,61.16,59.54,60.13,1185426,,0.0,0.0
10-01-2022,59.1,61.21,59.1,60.62,1190886,,0.0,0.0
11-01-2022,60.57,63.72,60.38,63.03,5751283,,0.0,0.0
12-01-2022,63.57,63.97,61.56,62.29,1968584,,0.0,0.0
13-01-2022,62.89,62.89,60.77,61.11,1217985,,0.0,0.0
14-01-2022,60.87,61.7,59.39,59.79,1648749,,0.0,0.0
17-01-2022,59.79,60.47,59.54,59.79,1013492,,0.0,0.0
18-01-2022,59.74,61.85,59.74,60.67,2152326,,0.0,0.0
19-01-2022,60.43,60.47,59.05,59.34,1116929,,0.0,0.0
20-01-2022,59.05,59.83,59.05,59.19,618451,,0.0,0.0
21-01-2022,58.95,59.54,57.77,58.01,827437,,0.0,0.0
24-01-2022,57.77,57.96,54.23,54.52,1600918,,0.0,0.0
25-01-2022,55.11,56.59,53.73,56.14,1150134,,0.0,0.0
27-01-2022,55.9,56.34,54.52,55.46,791860,,0.0,0.0
28-01-2022,55.11,56.83,55.11,55.75,779041,,0.0,0.0
31-01-2022,56.78,56.78,55.01,55.21,978766,,0.0,0.0
01-02-2022,56.05,56.09,55.11,55.5,490375,,0.0,0.0
02-02-2022,56.0,56.98,55.7,56.54,660220,,0.0,0.0
03-02-2022,56.98,57.23,56.34,56.69,522626,,0.0,0.0
04-02-2022,56.34,57.08,56.14,56.54,544737,,0.0,0.0
07-02-2022,56.69,56.73,55.21,55.6,667128,,0.0,0.0
08-02-2022,56.44,56.73,54.23,54.47,825816,,0.0,0.0
09-02-2022,54.57,56.0,54.57,55.55,674399,,0.0,0.0
10-02-2022,55.85,56.14,55.21,55.55,626201,,0.0,0.0
11-02-2022,55.5,55.5,52.55,52.95,1813604,,0.0,0.0
14-02-2022,51.76,52.4,49.45,49.89,1554079,,0.0,0.0
15-02-2022,51.08,51.67,48.03,49.4,1985999,,0.0,0.0
16-02-2022,50.78,52.65,50.19,51.96,1374288,,0.0,0.0
17-02-2022,53.09,53.54,51.17,51.67,847552,,0.0,0.0
18-02-2022,51.62,51.72,49.8,50.24,749059,,0.0,0.0
21-02-2022,50.19,50.98,48.27,48.86,1077761,,0.0,0.0
22-02-2022,47.14,47.83,46.45,47.53,1487789,,0.0,0.0
23-02-2022,49.06,49.99,46.94,47.63,2388066,,0.0,0.0
24-02-2022,46.25,46.35,42.86,43.25,1922770,,0.0,0.0
25-02-2022,43.7,46.45,43.7,45.81,1561745,,0.0,0.0
28-02-2022,45.66,46.99,44.83,46.35,1161904,,0.0,0.0
02-03-2022,46.25,47.24,45.81,46.45,827066,,0.0,0.0
03-03-2022,46.55,47.73,46.55,47.34,904070,,0.0,0.0
04-03-2022,47.24,47.58,46.25,46.84,679984,,0.0,0.0
07-03-2022,45.27,45.86,44.93,45.17,739826,,0.0,0.0
08-03-2022,45.66,46.25,45.02,45.52,922067,,0.0,0.0
09-03-2022,45.52,47.19,45.52,46.99,970504,,0.0,0.0
10-03-2022,48.03,48.71,46.16,46.35,2245874,,0.0,0.0
11-03-2022,46.7,48.03,46.25,47.43,1160856,,0.0,0.0
14-03-2022,47.98,47.98,46.55,47.14,854758,,0.0,0.0
15-03-2022,47.48,48.12,46.84,47.29,1211171,,0.0,0.0
16-03-2022,47.73,48.37,47.24,48.03,922244,,0.0,0.0
17-03-2022,49.01,49.65,48.22,48.81,1185882,,0.0,0.0
21-03-2022,49.21,50.14,47.78,47.88,1342718,,0.0,0.0
22-03-2022,47.88,48.62,47.73,48.12,728166,,0.0,0.0
23-03-2022,48.42,48.91,47.93,48.42,1027357,,0.0,0.0
24-03-2022,48.62,50.88,48.17,50.09,2641854,,0.0,0.0
25-03-2022,50.53,50.83,48.71,48.81,1440563,,0.0,0.0
28-03-2022,49.21,49.55,46.06,46.45,1894079,,0.0,0.0
29-03-2022,46.75,47.48,45.37,45.71,2243445,,0.0,0.0
30-03-2022,46.25,46.75,45.52,45.76,1644211,,0.0,0.0
31-03-2022,45.86,46.25,44.53,44.78,1964232,,0.0,0.0
01-04-2022,44.88,52.6,44.78,51.52,4673421,,0.0,0.0
04-04-2022,52.06,53.78,51.42,52.7,3588917,,0.0,0.0
05-04-2022,52.95,55.8,52.11,54.62,3900055,,0.0,0.0
06-04-2022,54.52,57.42,54.13,57.13,3210550,,0.0,0.0
07-04-2022,57.77,57.96,56.39,57.28,2808707,,0.0,0.0
08-04-2022,57.13,60.67,57.13,57.96,3872600,,0.0,0.0
11-04-2022,58.06,61.41,55.26,58.06,3278561,,0.0,0.0
12-04-2022,58.26,58.95,56.0,56.29,916396,,0.0,0.0
13-04-2022,56.73,57.77,56.29,56.49,605163,,0.0,0.0
18-04-2022,56.09,57.96,55.31,56.29,963462,,0.0,0.0
19-04-2022,56.34,57.87,55.5,56.0,790426,,0.0,0.0
20-04-2022,56.29,56.98,54.13,54.67,670888,,0.0,0.0
21-04-2022,55.75,56.0,54.86,55.06,811483,,0.0,0.0
22-04-2022,54.62,55.75,54.52,54.96,682633,,0.0,0.0
25-04-2022,54.23,55.75,52.9,53.59,1760391,,0.0,0.0
26-04-2022,54.32,54.91,54.13,54.42,564297,,0.0,0.0
27-04-2022,54.13,54.37,53.14,53.63,570538,,0.0,0.0
28-04-2022,53.98,55.8,53.88,54.27,842191,,0.0,0.0
29-04-2022,54.62,55.41,52.65,52.95,632927,,0.0,0.0
02-05-2022,52.65,52.65,51.17,51.42,537626,,0.0,0.0
04-05-2022,51.42,51.86,49.6,50.58,657131,,0.0,0.0
05-05-2022,50.58,52.11,49.75,50.14,642566,,0.0,0.0
06-05-2022,49.16,49.55,48.42,49.11,707977,,0.0,0.0
09-05-2022,49.11,49.11,47.78,47.93,587156,,0.0,0.0
10-05-2022,47.93,48.91,45.76,46.2,481846,,0.0,0.0
11-05-2022,46.2,46.7,44.38,45.32,614482,,0.0,0.0
12-05-2022,44.38,45.17,43.99,44.78,818765,,0.0,0.0
13-05-2022,44.09,46.75,44.09,44.97,756733,,0.0,0.0
16-05-2022,45.91,46.65,44.88,46.25,433072,,0.0,0.0
17-05-2022,47.24,48.52,46.45,48.32,554262,,0.0,0.0
18-05-2022,48.71,49.3,48.12,48.66,611465,,0.0,0.0
19-05-2022,47.98,48.03,46.6,46.84,473584,,0.0,0.0
20-05-2022,47.58,48.42,47.29,48.22,355459,,0.0,0.0
23-05-2022,48.32,49.26,48.03,48.47,460112,,0.0,0.0
24-05-2022,48.66,48.96,47.48,47.73,337320,,0.0,0.0
25-05-2022,48.66,48.66,45.56,46.01,430069,,0.0,0.0
26-05-2022,46.01,46.45,43.79,45.12,786555,,0.0,0.0
27-05-2022,46.11,46.55,45.32,45.96,306923,,0.0,0.0
30-05-2022,46.3,47.73,46.16,47.48,472650,,0.0,0.0
31-05-2022,43.99,46.99,43.99,46.06,738255,,0.0,0.0
01-06-2022,46.6,47.04,45.66,46.06,336053,,0.0,0.0
02-06-2022,46.16,46.55,45.91,46.4,228050,,0.0,0.0
03-06-2022,46.94,47.34,45.52,45.66,459925,,0.0,0.0
06-06-2022,45.71,45.86,44.14,45.27,396600,,0.0,0.0
07-06-2022,45.07,45.71,44.73,45.12,413936,,0.0,0.0
08-06-2022,45.47,45.66,44.73,44.83,493603,,0.0,0.0
09-06-2022,45.17,46.65,44.83,46.16,665755,,0.0,0.0
10-06-2022,45.91,45.96,45.07,45.47,289603,,0.0,0.0
13-06-2022,44.88,45.27,43.84,44.04,513721,,0.0,0.0
14-06-2022,44.24,45.47,43.3,43.84,581623,,0.0,0.0
15-06-2022,44.33,44.93,43.89,44.33,393998,,0.0,0.0
16-06-2022,44.78,44.78,41.33,42.27,608109,,0.0,0.0
17-06-2022,42.66,42.66,40.55,41.53,387929,,0.0,0.0
20-06-2022,41.43,41.43,37.99,38.82,764025,,0.0,0.0
21-06-2022,39.36,41.53,39.22,41.19,739679,,0.0,0.0
22-06-2022,41.28,41.53,40.15,40.69,414117,,0.0,0.0
23-06-2022,40.79,40.99,39.46,40.0,540881,,0.0,0.0
24-06-2022,40.64,41.28,39.66,40.94,503504,,0.0,0.0
27-06-2022,41.58,42.17,41.14,41.38,488923,,0.0,0.0
28-06-2022,41.38,42.37,40.89,41.97,377712,,0.0,0.0
29-06-2022,41.73,42.02,41.33,41.78,276317,,0.0,0.0
30-06-2022,41.92,45.91,41.92,42.91,3647895,,0.0,0.0
01-07-2022,43.55,43.99,42.51,42.81,542850,,0.0,0.0
04-07-2022,43.06,43.65,42.17,42.61,417820,,0.0,0.0
05-07-2022,47.04,50.58,46.3,48.57,24752878,,0.0,0.0
06-07-2022,48.86,48.86,46.5,47.19,4669423,,0.0,0.0
07-07-2022,47.93,49.7,47.04,49.01,3258092,,0.0,0.0
08-07-2022,49.4,50.09,48.37,49.3,2543838,,0.0,0.0
11-07-2022,48.12,49.3,47.04,48.71,2961257,,0.0,0.0
12-07-2022,48.17,49.01,47.43,47.93,982380,,0.0,0.0
13-07-2022,47.93,48.57,46.99,47.53,832341,,0.0,0.0
14-07-2022,48.03,48.52,47.04,47.58,636777,,0.0,0.0
15-07-2022,47.83,49.11,47.53,48.42,765132,,0.0,0.0
18-07-2022,48.91,48.96,48.12,48.42,765111,,0.0,0.0
19-07-2022,48.22,49.01,48.12,48.52,552538,,0.0,0.0
20-07-2022,48.91,48.96,48.32,48.42,527978,,0.0,0.0
21-07-2022,48.96,50.78,48.81,49.55,2750088,,0.0,0.0
22-07-2022,50.09,50.39,48.32,48.76,901404,,0.0,0.0
25-07-2022,48.96,48.96,48.32,48.52,344537,,0.0,0.0
26-07-2022,48.47,48.91,48.32,48.47,545578,,0.0,0.0
27-07-2022,48.62,48.71,48.07,48.17,522281,,0.0,0.0
28-07-2022,48.37,48.37,47.88,47.98,377940,,0.0,0.0
29-07-2022,48.22,48.66,47.93,47.98,461569,,0.0,0.0
01-08-2022,48.37,48.37,47.68,48.12,362992,,0.0,0.0
02-08-2022,48.12,49.85,47.88,48.91,960405,,0.0,0.0
03-08-2022,49.11,49.11,48.12,48.42,330452,,0.0,0.0
04-08-2022,48.66,49.35,48.22,48.47,529079,,0.0,0.0
05-08-2022,49.21,49.75,48.57,49.16,658253,,0.0,0.0
08-08-2022,49.6,49.6,48.52,49.01,611447,,0.0,0.0
10-08-2022,49.11,49.45,48.52,49.16,568918,,0.0,0.0
11-08-2022,49.26,49.6,48.91,49.06,507905,,0.0,0.0
12-08-2022,49.06,49.4,48.71,49.06,871135,,0.0,0.0
