Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,742.65,773.39,700.85,709.85,5150624,,0.0,0.0
09-08-2021,720.52,723.95,677.51,686.57,1905768,,0.0,0.0
10-08-2021,691.53,702.15,677.24,681.49,750536,,0.0,0.0
11-08-2021,686.42,687.26,649.7,658.03,1426188,,0.0,0.0
12-08-2021,661.72,662.37,641.53,646.92,706360,,0.0,0.0
13-08-2021,649.17,674.93,648.22,658.93,1260412,,0.0,0.0
16-08-2021,661.45,663.71,644.79,656.75,432588,,0.0,0.0
17-08-2021,654.12,670.59,641.83,666.23,728204,,0.0,0.0
18-08-2021,670.76,699.62,666.23,687.9,2090452,,0.0,0.0
20-08-2021,687.9,694.77,670.11,675.21,1167492,,0.0,0.0
23-08-2021,683.09,683.1,657.81,660.32,420516,,0.0,0.0
24-08-2021,660.32,676.26,648.06,658.88,530872,,0.0,0.0
25-08-2021,662.18,666.27,657.07,661.87,218084,,0.0,0.0
26-08-2021,665.09,665.09,652.54,660.98,751900,,0.0,0.0
27-08-2021,660.97,676.01,660.76,670.35,697716,,0.0,0.0
30-08-2021,670.35,690.87,668.39,685.69,648184,,0.0,0.0
31-08-2021,687.32,698.13,682.75,694.34,848344,,0.0,0.0
01-09-2021,694.7,719.29,694.7,712.71,1133352,,0.0,0.0
02-09-2021,718.13,719.7,703.11,708.46,744204,,0.0,0.0
03-09-2021,709.45,715.6,693.09,697.4,393344,,0.0,0.0
06-09-2021,698.39,725.44,695.23,718.1,966036,,0.0,0.0
07-09-2021,723.72,731.31,702.73,707.56,552300,,0.0,0.0
08-09-2021,709.4,725.72,704.04,720.33,574360,,0.0,0.0
09-09-2021,716.61,749.95,715.63,739.8,1913876,,0.0,0.0
13-09-2021,745.11,758.38,733.07,755.66,1082480,,0.0,0.0
14-09-2021,760.85,760.85,744.86,756.78,478252,,0.0,0.0
15-09-2021,756.78,791.83,750.21,780.66,1663176,,0.0,0.0
16-09-2021,778.8,796.75,771.73,786.72,839668,,0.0,0.0
17-09-2021,789.37,791.19,766.96,773.54,495188,,0.0,0.0
20-09-2021,769.46,778.66,739.42,746.2,390092,,0.0,0.0
21-09-2021,744.13,759.35,737.89,755.08,282824,,0.0,0.0
22-09-2021,757.82,757.87,731.34,737.91,1260560,,0.0,0.0
23-09-2021,740.19,777.31,740.0,765.69,1172324,,0.0,0.0
24-09-2021,764.78,770.29,732.02,751.36,848664,,0.0,0.0
27-09-2021,752.24,761.29,717.45,724.37,3646400,,0.0,0.0
28-09-2021,726.67,728.73,683.62,687.94,1087140,,0.0,0.0
29-09-2021,688.49,689.14,662.28,665.82,978380,,0.0,0.0
30-09-2021,666.42,676.24,659.48,664.16,1069832,,0.0,0.0
01-10-2021,658.81,687.08,655.6,684.0,1297268,,0.0,0.0
