Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
17-12-2025,158.8,165.87,146.93,147.95,41035070,,0.0,0.0
18-12-2025,148.8,159.44,138.1,155.36,11462623,,0.0,0.0
19-12-2025,157.7,162.7,152.5,154.89,4599296,,0.0,0.0
22-12-2025,154.0,154.21,147.6,149.61,1568222,,0.0,0.0
23-12-2025,150.01,152.89,146.25,147.53,1722420,,0.0,0.0
24-12-2025,147.53,151.28,145.3,148.36,1839244,,0.0,0.0
26-12-2025,148.0,148.23,144.11,145.47,813830,,0.0,0.0
29-12-2025,144.08,153.7,142.0,148.87,1058168,,0.0,0.0
30-12-2025,148.5,148.82,144.42,147.28,650113,,0.0,0.0
31-12-2025,146.3,148.39,145.79,146.55,387680,,0.0,0.0
01-01-2026,147.97,150.35,146.26,149.9,547337,,0.0,0.0
02-01-2026,149.1,151.5,148.31,149.73,715698,,0.0,0.0
05-01-2026,149.5,151.9,146.42,150.0,808658,,0.0,0.0
06-01-2026,149.26,150.49,146.46,147.6,447766,,0.0,0.0
07-01-2026,146.7,148.4,146.25,147.83,280409,,0.0,0.0
08-01-2026,148.8,150.0,147.26,149.29,537191,,0.0,0.0
09-01-2026,148.5,156.0,144.01,148.76,583141,,0.0,0.0
12-01-2026,147.7,148.02,140.71,143.92,630011,,0.0,0.0
13-01-2026,143.98,154.4,143.34,150.62,1019325,,0.0,0.0
14-01-2026,148.0,151.0,147.3,149.67,788594,,0.0,0.0
15-01-2026,149.67,149.67,149.67,149.67,0,,0.0,0.0
16-01-2026,149.0,152.9,148.99,151.41,776790,,0.0,0.0
19-01-2026,151.41,157.0,151.0,155.43,2455874,,0.0,0.0
20-01-2026,155.98,156.45,150.65,153.92,1238278,,0.0,0.0
21-01-2026,151.33,152.79,149.0,150.03,719855,,0.0,0.0
22-01-2026,150.25,160.7,148.69,157.61,2737286,,0.0,0.0
23-01-2026,157.55,159.97,153.91,156.14,2342575,,0.0,0.0
27-01-2026,156.14,156.14,150.35,152.02,522603,,0.0,0.0
28-01-2026,152.49,155.5,149.9,152.35,1144810,,0.0,0.0
29-01-2026,152.35,152.35,144.0,146.81,563809,,0.0,0.0
30-01-2026,145.23,156.23,144.84,153.63,604793,,0.0,0.0
02-02-2026,151.27,155.92,149.24,153.58,890555,,0.0,0.0
03-02-2026,156.0,160.0,151.94,157.11,1859322,,0.0,0.0
04-02-2026,154.5,159.75,153.71,157.35,1087598,,0.0,0.0
05-02-2026,156.5,157.99,153.1,155.52,843342,,0.0,0.0
06-02-2026,154.94,155.9,151.4,153.19,688429,,0.0,0.0
09-02-2026,153.01,160.25,151.32,158.8,1967971,,0.0,0.0
10-02-2026,159.0,169.34,158.14,166.46,6400577,,0.0,0.0
11-02-2026,167.2,174.5,166.11,170.21,3667740,,0.0,0.0
12-02-2026,170.21,179.6,170.21,172.23,3059525,,0.0,0.0
13-02-2026,174.0,177.8,169.91,175.53,2231981,,0.0,0.0
16-02-2026,175.0,177.99,173.64,175.7,996795,,0.0,0.0
17-02-2026,176.99,180.0,172.93,178.33,941338,,0.0,0.0
18-02-2026,180.0,183.5,178.03,179.89,1297213,,0.0,0.0
19-02-2026,180.4,189.0,180.4,184.24,1748101,,0.0,0.0
20-02-2026,185.69,188.25,183.0,184.37,666835,,0.0,0.0
