Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
16-10-2025,620.0,639.0,587.35,628.2,24688246,,0.0,0.0
17-10-2025,628.5,637.0,615.0,618.8,2670670,,0.0,0.0
20-10-2025,618.0,618.0,601.55,604.9,845549,,0.0,0.0
21-10-2025,609.0,618.4,609.0,611.85,126686,,0.0,0.0
23-10-2025,612.3,614.7,594.75,600.15,494649,,0.0,0.0
24-10-2025,598.8,599.65,570.75,577.25,788455,,0.0,0.0
27-10-2025,576.5,601.65,576.0,589.85,1020168,,0.0,0.0
28-10-2025,591.0,622.0,590.95,618.2,610072,,0.0,0.0
29-10-2025,622.0,639.7,598.0,600.45,1090113,,0.0,0.0
30-10-2025,600.9,612.9,600.9,609.8,159122,,0.0,0.0
31-10-2025,614.25,627.15,612.3,618.15,609379,,0.0,0.0
03-11-2025,620.0,663.0,607.15,653.6,1254314,,0.0,0.0
04-11-2025,662.0,671.95,635.2,652.65,791479,,0.0,0.0
06-11-2025,652.05,654.9,621.05,638.5,560225,,0.0,0.0
07-11-2025,634.65,641.95,624.0,627.2,359161,,0.0,0.0
10-11-2025,630.0,634.0,616.0,620.2,419581,,0.0,0.0
11-11-2025,622.0,629.3,617.05,620.9,175157,,0.0,0.0
12-11-2025,618.05,632.6,617.0,627.25,356041,,0.0,0.0
13-11-2025,625.0,669.0,625.0,654.35,1072466,,0.0,0.0
14-11-2025,675.95,731.9,662.2,713.8,5056058,,0.0,0.0
17-11-2025,712.85,754.8,677.6,742.1,1319952,,0.0,0.0
18-11-2025,744.05,752.25,717.55,724.4,677527,,0.0,0.0
19-11-2025,722.0,729.4,683.25,695.05,564836,,0.0,0.0
20-11-2025,700.0,712.45,690.5,696.15,305870,,0.0,0.0
21-11-2025,692.0,694.95,666.3,677.9,391448,,0.0,0.0
24-11-2025,679.9,679.9,650.5,655.75,226703,,0.0,0.0
25-11-2025,656.0,667.75,652.2,654.8,183865,,0.0,0.0
26-11-2025,662.85,685.65,656.95,658.75,265649,,0.0,0.0
27-11-2025,665.25,665.25,638.1,644.7,252502,,0.0,0.0
28-11-2025,648.6,664.0,648.6,655.85,195096,,0.0,0.0
01-12-2025,658.5,663.1,636.1,640.2,203639,,0.0,0.0
02-12-2025,640.6,650.0,630.2,637.45,123273,,0.0,0.0
03-12-2025,637.65,644.75,628.8,630.85,146896,,0.0,0.0
04-12-2025,630.85,633.95,620.0,624.3,144192,,0.0,0.0
05-12-2025,623.8,656.0,616.25,635.8,578869,,0.0,0.0
08-12-2025,638.3,654.4,612.1,615.2,286478,,0.0,0.0
