Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
13-09-2024,4548.49,4775.91,4480.31,4775.91,36959,,0.0,0.0
16-09-2024,5014.68,5014.68,5014.68,5014.68,41796,,0.0,0.0
17-09-2024,5063.72,5063.72,4773.48,5009.18,190092,,0.0,0.0
18-09-2024,4967.3,5058.85,4788.82,5008.89,106558,,0.0,0.0
19-09-2024,5008.89,5223.8,4870.87,5210.75,74963,,0.0,0.0
20-09-2024,5235.09,5235.14,4957.56,4979.47,67766,,0.0,0.0
23-09-2024,4804.64,5064.7,4748.15,4957.31,36868,,0.0,0.0
24-09-2024,4957.56,5157.22,4822.37,5141.01,14412,,0.0,0.0
25-09-2024,5141.64,5162.19,4991.65,5084.91,92131,,0.0,0.0
26-09-2024,5079.31,5079.31,4918.6,4969.64,36179,,0.0,0.0
27-09-2024,5062.75,5107.55,4860.16,4970.66,47327,,0.0,0.0
30-09-2024,4970.66,4972.17,4821.2,4914.22,21390,,0.0,0.0
01-10-2024,4873.16,5003.73,4850.42,4941.34,10149,,0.0,0.0
03-10-2024,4773.48,4932.19,4773.48,4890.01,56171,,0.0,0.0
04-10-2024,4947.82,4947.82,4772.5,4858.02,20161,,0.0,0.0
07-10-2024,4802.7,4858.02,4577.71,4755.9,44780,,0.0,0.0
08-10-2024,4753.02,4986.78,4101.97,4971.88,13422,,0.0,0.0
09-10-2024,4971.34,5045.22,4801.72,4831.67,8882,,0.0,0.0
10-10-2024,4972.17,5043.56,4821.4,4854.02,65223,,0.0,0.0
11-10-2024,4869.9,4873.02,4737.44,4774.5,15939,,0.0,0.0
14-10-2024,4775.42,4908.86,4675.1,4746.01,9066,,0.0,0.0
15-10-2024,4725.75,4725.75,4641.06,4706.27,12652,,0.0,0.0
16-10-2024,4675.1,4755.31,4494.92,4709.34,17308,,0.0,0.0
17-10-2024,4662.25,4723.71,4551.31,4694.34,13125,,0.0,0.0
18-10-2024,4623.92,4772.5,4574.15,4698.29,8876,,0.0,0.0
21-10-2024,4745.28,4787.11,4610.87,4727.07,12241,,0.0,0.0
22-10-2024,4792.91,4792.91,4537.82,4588.76,20703,,0.0,0.0
