Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,306.48,313.61,305.21,307.3,366272,,0.0,0.0
09-08-2021,309.09,311.08,246.46,303.0,601200,,0.0,0.0
10-08-2021,304.69,308.29,287.27,294.77,796162,,0.0,0.0
11-08-2021,295.22,299.67,280.11,291.42,1092228,,0.0,0.0
12-08-2021,291.97,305.66,290.08,301.88,900010,,0.0,0.0
13-08-2021,308.14,310.08,294.72,298.03,789214,,0.0,0.0
16-08-2021,288.26,292.74,281.8,283.47,1141570,,0.0,0.0
17-08-2021,283.81,289.26,272.71,274.07,1289050,,0.0,0.0
18-08-2021,275.81,279.57,269.92,272.04,635080,,0.0,0.0
20-08-2021,267.89,290.25,254.69,285.21,10437570,,0.0,0.0
23-08-2021,288.26,294.72,273.35,275.74,1751244,,0.0,0.0
24-08-2021,275.24,285.13,271.86,282.32,910814,,0.0,0.0
25-08-2021,279.84,295.67,278.65,286.85,1062160,,0.0,0.0
26-08-2021,288.26,294.23,281.88,285.36,686856,,0.0,0.0
27-08-2021,285.36,289.63,281.01,284.76,483782,,0.0,0.0
30-08-2021,284.76,290.0,281.8,284.29,574540,,0.0,0.0
31-08-2021,284.24,294.62,282.8,286.42,1286726,,0.0,0.0
01-09-2021,287.27,304.42,277.35,297.93,1728776,,0.0,0.0
02-09-2021,298.6,305.66,291.15,297.06,1121020,,0.0,0.0
03-09-2021,298.03,302.68,291.74,292.71,1516076,,0.0,0.0
06-09-2021,294.18,305.06,291.25,301.93,1357290,,0.0,0.0
07-09-2021,303.12,311.47,299.22,307.77,1860708,,0.0,0.0
08-09-2021,310.63,313.96,302.38,306.23,1058282,,0.0,0.0
09-09-2021,305.01,306.16,301.68,302.97,391040,,0.0,0.0
13-09-2021,302.18,303.92,290.25,292.59,973948,,0.0,0.0
14-09-2021,293.18,300.79,288.83,290.08,783042,,0.0,0.0
15-09-2021,290.7,295.0,290.25,292.84,423846,,0.0,0.0
16-09-2021,293.18,295.69,287.37,288.46,294132,,0.0,0.0
17-09-2021,290.55,291.89,279.32,283.09,524954,,0.0,0.0
20-09-2021,283.34,286.58,274.38,276.0,429282,,0.55,0.0
21-09-2021,277.57,279.73,272.39,275.82,279962,,0.0,0.0
22-09-2021,277.22,287.33,276.15,281.45,378998,,0.0,0.0
23-09-2021,283.79,287.82,282.85,284.26,302462,,0.0,0.0
24-09-2021,287.25,290.31,276.12,278.49,1222096,,0.0,0.0
27-09-2021,283.84,287.78,276.37,277.39,409990,,0.0,0.0
28-09-2021,278.51,280.85,269.5,272.99,292898,,0.0,0.0
29-09-2021,271.39,280.33,270.99,273.58,295278,,0.0,0.0
30-09-2021,274.18,279.51,273.11,277.32,471106,,0.0,0.0
01-10-2021,273.83,276.84,272.91,274.4,143644,,0.0,0.0
04-10-2021,269.4,275.5,268.9,270.57,686352,,0.0,0.0
05-10-2021,272.24,290.46,271.67,287.43,1556984,,0.0,0.0
06-10-2021,289.77,289.79,275.35,276.97,522496,,0.0,0.0
07-10-2021,280.8,286.33,275.87,283.57,371298,,0.0,0.0
