Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
02-08-2021,762.46,762.46,745.37,749.25,372614,,0.0,0.0
03-08-2021,753.92,794.84,749.2,773.22,2157201,,0.0,0.0
04-08-2021,779.66,792.92,768.36,771.21,861403,,0.0,0.0
05-08-2021,770.81,780.62,755.54,770.52,469147,,2.5,0.0
06-08-2021,773.77,777.91,706.74,722.32,4458779,,0.0,0.0
09-08-2021,703.94,715.42,663.87,671.46,2627505,,0.0,0.0
10-08-2021,672.24,707.58,671.46,682.1,2162131,,0.0,0.0
11-08-2021,687.82,689.99,647.31,667.46,1079483,,0.0,0.0
12-08-2021,667.66,673.23,655.73,659.92,608308,,0.0,0.0
13-08-2021,664.9,677.12,649.57,652.68,924540,,0.0,0.0
16-08-2021,650.07,652.53,618.87,625.03,1131209,,0.0,0.0
17-08-2021,620.0,645.58,618.03,626.36,842573,,0.0,0.0
18-08-2021,629.66,633.8,617.29,622.86,411932,,0.0,0.0
20-08-2021,609.16,619.51,589.45,592.99,745763,,0.0,0.0
23-08-2021,602.9,606.2,567.76,573.33,713988,,0.0,0.0
24-08-2021,574.66,587.23,554.5,579.0,774264,,0.0,0.0
25-08-2021,580.03,588.76,569.73,573.23,757505,,0.0,0.0
26-08-2021,576.39,583.88,571.21,573.43,488872,,0.0,0.0
27-08-2021,577.27,599.99,571.75,594.57,1330779,,0.0,0.0
30-08-2021,599.3,606.89,593.68,599.01,536406,,0.0,0.0
31-08-2021,600.29,614.04,599.3,604.63,592795,,0.0,0.0
01-09-2021,606.2,609.51,593.39,600.19,383916,,0.0,0.0
02-09-2021,601.27,614.98,601.27,604.77,545941,,0.0,0.0
03-09-2021,607.68,610.44,600.83,604.53,248179,,0.0,0.0
06-09-2021,610.1,610.69,596.49,601.37,251059,,0.0,0.0
07-09-2021,602.26,602.26,584.71,591.47,293677,,0.0,0.0
08-09-2021,590.43,599.45,579.84,587.62,361430,,0.0,0.0
09-09-2021,586.49,595.36,584.52,587.57,316633,,0.0,0.0
13-09-2021,587.47,592.45,577.62,589.0,301452,,0.0,0.0
14-09-2021,591.17,596.1,587.38,592.21,349097,,0.0,0.0
15-09-2021,594.28,633.21,592.7,613.2,2345659,,0.0,0.0
16-09-2021,614.88,615.81,598.96,609.65,635947,,0.0,0.0
17-09-2021,612.12,612.86,590.14,600.68,523423,,0.0,0.0
20-09-2021,598.32,598.51,573.18,576.98,567253,,0.0,0.0
21-09-2021,579.54,584.52,563.33,578.31,547951,,0.0,0.0
22-09-2021,580.08,627.89,578.75,615.52,2437578,,0.0,0.0
23-09-2021,614.09,619.76,601.23,606.15,793763,,0.0,0.0
24-09-2021,606.2,610.39,585.31,588.95,622470,,0.0,0.0
27-09-2021,588.85,595.46,580.38,583.33,362074,,0.0,0.0
28-09-2021,584.52,589.1,571.85,577.47,490984,,0.0,0.0
29-09-2021,576.39,592.9,569.78,586.09,675148,,0.0,0.0
30-09-2021,588.95,591.32,577.62,581.07,637386,,0.0,0.0
01-10-2021,578.51,586.98,572.74,574.71,643796,,0.0,0.0
04-10-2021,577.62,593.39,576.09,581.02,825080,,0.0,0.0
05-10-2021,581.02,595.71,578.6,588.26,682741,,0.0,0.0
06-10-2021,590.14,591.22,571.9,575.84,484554,,0.0,0.0
07-10-2021,578.6,583.53,573.43,577.77,489746,,0.0,0.0
08-10-2021,581.51,590.04,575.06,578.36,539240,,0.0,0.0
11-10-2021,581.51,587.23,574.27,583.78,741864,,0.0,0.0
12-10-2021,585.01,600.24,581.76,592.06,1021626,,0.0,0.0
13-10-2021,592.5,596.84,583.63,587.43,392968,,0.0,0.0
14-10-2021,589.15,597.33,579.59,584.17,536393,,0.0,0.0
18-10-2021,586.39,589.5,569.78,571.9,794223,,0.0,0.0
19-10-2021,572.69,576.53,540.16,551.2,914250,,0.0,0.0
20-10-2021,547.06,547.06,529.91,534.94,1038888,,0.0,0.0
21-10-2021,540.16,571.65,538.63,549.13,3326396,,0.0,0.0
22-10-2021,551.99,554.95,534.64,539.08,459317,,0.0,0.0
25-10-2021,542.13,544.84,520.5,523.95,470155,,0.0,0.0
26-10-2021,527.35,535.97,523.11,530.45,662241,,0.0,0.0
27-10-2021,532.28,545.98,529.57,536.37,676008,,0.0,0.0
28-10-2021,537.11,540.06,511.33,515.08,703876,,0.0,0.0
29-10-2021,515.67,536.71,509.8,527.1,730141,,0.0,0.0
01-11-2021,528.14,537.94,521.78,534.54,472449,,0.0,0.0
02-11-2021,534.54,538.78,527.4,532.67,331598,,0.0,0.0
03-11-2021,533.26,538.93,523.9,529.76,309619,,0.0,0.0
04-11-2021,532.28,535.43,529.96,532.37,52036,,0.0,0.0
08-11-2021,538.09,543.12,524.0,541.2,517221,,0.0,0.0
09-11-2021,544.1,551.79,538.49,543.12,647575,,0.0,0.0
