Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
28-12-2021,418.24,418.24,380.69,388.29,23557665,,0.0,0.0
29-12-2021,390.33,465.93,383.12,460.56,19288145,,0.0,0.0
30-12-2021,462.95,524.39,460.96,504.82,19007929,,0.0,0.0
31-12-2021,493.4,501.2,477.11,480.53,4981681,,0.0,0.0
03-01-2022,486.79,506.66,481.82,489.18,3222004,,0.0,0.0
04-01-2022,493.05,499.71,465.13,475.02,2651426,,0.0,0.0
05-01-2022,477.85,481.82,463.59,475.22,2087215,,0.0,0.0
06-01-2022,471.89,499.51,469.21,484.06,3378718,,0.0,0.0
07-01-2022,489.77,494.74,478.89,489.13,1339608,,0.0,0.0
10-01-2022,493.65,532.49,484.51,524.89,5558323,,0.0,0.0
11-01-2022,528.37,541.33,489.62,499.56,3337747,,0.0,0.0
12-01-2022,494.74,515.4,492.9,502.89,2279107,,0.0,0.0
13-01-2022,506.66,506.66,496.48,500.85,1067758,,0.0,0.0
14-01-2022,501.4,513.42,493.8,498.27,1178583,,0.0,0.0
17-01-2022,500.6,541.33,495.78,531.79,3008084,,0.0,0.0
18-01-2022,543.62,597.96,538.45,566.52,10248842,,0.0,0.0
19-01-2022,567.46,582.81,550.37,566.47,3389732,,0.0,0.0
20-01-2022,567.01,580.87,562.29,566.57,1696783,,0.0,0.0
21-01-2022,566.81,578.44,454.01,463.79,8434323,,0.0,0.0
24-01-2022,472.14,486.2,440.2,457.58,5525488,,0.0,0.0
25-01-2022,457.98,493.65,445.07,486.49,3274804,,0.0,0.0
27-01-2022,484.8,488.78,470.85,477.5,1534895,,0.0,0.0
28-01-2022,481.72,489.18,455.75,460.37,1144089,,0.0,0.0
31-01-2022,466.82,477.85,456.19,459.02,1269696,,0.0,0.0
01-02-2022,463.89,466.92,447.05,456.79,769529,,0.0,0.0
02-02-2022,462.35,485.8,460.32,478.79,2072020,,0.0,0.0
03-02-2022,479.74,485.5,469.01,472.29,745561,,0.0,0.0
04-02-2022,473.88,479.29,462.05,464.54,554059,,0.0,0.0
07-02-2022,466.87,470.8,452.62,466.03,609219,,0.0,0.0
08-02-2022,466.03,474.12,455.99,460.32,735832,,0.0,0.0
09-02-2022,461.96,467.92,455.55,461.56,423076,,0.0,0.0
10-02-2022,462.95,463.99,450.83,453.16,316740,,0.0,0.0
11-02-2022,447.05,462.05,447.05,449.29,335420,,0.0,0.0
14-02-2022,443.08,444.07,417.3,419.44,500734,,0.0,0.0
15-02-2022,422.02,429.97,398.77,422.27,643298,,0.0,0.0
16-02-2022,426.19,443.48,425.3,429.87,574381,,0.0,0.0
17-02-2022,433.14,434.34,413.52,417.65,497400,,0.0,0.0
18-02-2022,409.4,420.68,405.63,408.86,301781,,0.0,0.0
21-02-2022,409.3,415.51,392.51,395.24,545628,,0.0,0.0
22-02-2022,384.47,390.08,374.28,379.4,527529,,0.0,0.0
23-02-2022,382.48,424.9,382.48,411.29,1393075,,0.0,0.0
24-02-2022,392.07,407.12,375.57,383.77,684836,,0.0,0.0
25-02-2022,402.3,436.13,400.36,428.82,1159936,,0.0,0.0
28-02-2022,413.92,430.07,409.3,417.4,854374,,0.0,0.0
02-03-2022,415.26,425.89,409.8,415.56,356277,,0.0,0.0
03-03-2022,421.17,429.17,415.26,417.5,326280,,0.0,0.0
04-03-2022,408.31,421.02,408.31,414.62,322383,,0.0,0.0
07-03-2022,402.35,417.85,400.96,415.01,319316,,0.0,0.0
08-03-2022,417.99,423.21,412.73,417.1,317078,,0.0,0.0
09-03-2022,419.24,428.18,413.47,419.78,325310,,0.0,0.0
10-03-2022,426.09,441.59,422.02,424.95,420641,,0.0,0.0
11-03-2022,428.18,450.93,423.21,446.56,458854,,0.0,0.0
14-03-2022,446.85,460.02,439.35,445.46,458070,,0.0,0.0
15-03-2022,448.94,448.94,428.48,431.65,181290,,0.0,0.0
16-03-2022,435.93,440.3,428.23,429.67,246106,,0.0,0.0
17-03-2022,435.63,475.76,433.24,462.65,1260020,,0.0,0.0
21-03-2022,462.75,474.87,455.3,467.97,697541,,0.0,0.0
22-03-2022,467.42,469.85,455.25,458.28,396824,,0.0,0.0
23-03-2022,461.96,480.48,457.04,460.32,809561,,0.0,0.0
24-03-2022,462.0,468.81,457.04,459.52,252007,,0.0,0.0
25-03-2022,462.65,470.9,449.19,467.77,513081,,0.0,0.0
28-03-2022,467.92,476.81,461.96,467.17,433333,,0.0,0.0
29-03-2022,467.92,495.53,467.92,474.72,1495772,,0.0,0.0
30-03-2022,479.84,503.83,472.14,497.27,914455,,0.0,0.0
31-03-2022,502.14,512.62,479.19,490.07,1471056,,0.0,0.0
01-04-2022,494.44,511.78,491.26,492.9,902613,,0.0,0.0
04-04-2022,495.68,505.67,489.37,495.78,644214,,0.0,0.0
05-04-2022,498.41,510.04,492.55,500.85,717721,,0.0,0.0
06-04-2022,501.59,511.03,494.74,497.07,509865,,0.0,0.0
07-04-2022,496.68,502.39,478.84,481.72,445398,,0.0,0.0
08-04-2022,480.83,493.65,478.05,479.34,341449,,0.0,0.0
