Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,283.28,295.25,282.88,288.47,1232949,,0.0,0.0
09-08-2021,291.36,295.15,284.92,287.27,794880,,0.0,0.0
10-08-2021,289.36,290.36,275.69,279.84,812201,,0.0,0.0
11-08-2021,246.46,253.79,223.91,238.88,13298047,,0.0,0.0
12-08-2021,234.63,269.31,234.63,265.12,7544162,,0.0,0.0
13-08-2021,264.37,266.02,249.45,252.1,2718819,,0.0,0.0
16-08-2021,251.9,251.9,241.57,243.71,1119920,,0.0,0.0
17-08-2021,243.37,250.95,240.47,243.07,1091940,,0.0,0.0
18-08-2021,243.86,247.36,236.68,240.02,731198,,0.0,0.0
20-08-2021,239.47,248.3,235.48,244.81,2028947,,0.0,0.0
23-08-2021,248.4,251.5,229.5,231.59,1304584,,0.0,0.0
24-08-2021,231.59,238.18,227.2,234.24,948522,,0.0,0.0
25-08-2021,235.48,237.08,229.5,230.69,547253,,0.0,0.0
26-08-2021,230.89,235.98,224.56,226.7,727605,,0.0,0.0
27-08-2021,229.2,235.58,225.65,232.94,557414,,0.0,0.0
30-08-2021,234.48,237.63,230.19,231.64,781847,,0.0,0.0
31-08-2021,234.48,234.48,227.6,228.8,553399,,0.0,0.0
01-09-2021,229.75,236.58,228.7,231.14,798595,,0.0,0.0
02-09-2021,231.74,233.29,229.55,231.34,532246,,0.0,0.0
03-09-2021,232.79,237.88,231.79,232.79,749971,,0.0,0.0
06-09-2021,233.49,234.48,229.6,230.79,428354,,0.0,0.0
07-09-2021,230.89,231.34,226.5,227.6,370659,,0.0,0.0
08-09-2021,228.9,231.1,227.05,227.9,429741,,0.5,0.0
09-09-2021,227.9,239.7,227.05,236.15,1220502,,0.0,0.0
13-09-2021,239.6,239.6,231.65,232.5,415553,,0.0,0.0
14-09-2021,234.5,238.5,233.5,235.65,671388,,0.0,0.0
15-09-2021,235.95,238.0,232.05,233.15,698256,,0.0,0.0
16-09-2021,233.95,234.3,226.5,227.25,794596,,0.0,0.0
17-09-2021,228.0,228.9,218.0,218.8,1070253,,0.0,0.0
20-09-2021,218.0,225.4,213.8,214.75,833812,,0.0,0.0
21-09-2021,214.0,218.55,206.5,208.55,997772,,0.0,0.0
22-09-2021,210.0,222.8,208.1,213.6,1663255,,0.0,0.0
23-09-2021,217.0,219.8,216.05,218.0,761386,,0.0,0.0
24-09-2021,219.4,224.0,215.6,216.9,1217098,,0.0,0.0
27-09-2021,218.0,220.05,200.25,207.7,1124745,,0.0,0.0
28-09-2021,209.2,210.0,202.0,203.95,1173066,,0.0,0.0
29-09-2021,203.0,207.7,198.0,203.3,1382887,,0.0,0.0
30-09-2021,200.0,221.95,199.3,219.75,4181938,,0.0,0.0
01-10-2021,216.0,217.75,211.35,213.95,939659,,0.0,0.0
04-10-2021,213.0,215.5,212.25,213.3,635991,,0.0,0.0
05-10-2021,214.45,224.7,213.65,218.8,1516423,,0.0,0.0
06-10-2021,220.95,221.85,217.25,218.55,561828,,0.0,0.0
07-10-2021,220.3,220.3,211.35,211.85,1017346,,0.0,0.0
08-10-2021,214.0,215.85,212.1,212.4,555055,,0.0,0.0
11-10-2021,213.4,220.7,211.25,218.1,877565,,0.0,0.0
12-10-2021,218.15,220.0,213.6,215.05,399863,,0.0,0.0
13-10-2021,216.75,224.9,215.35,221.9,1858692,,0.0,0.0
14-10-2021,222.9,226.65,220.0,220.65,754837,,0.0,0.0
18-10-2021,222.4,222.55,214.25,214.85,653551,,0.0,0.0
19-10-2021,216.35,217.9,208.1,209.2,731116,,0.0,0.0
20-10-2021,210.1,211.65,203.0,205.1,616926,,0.0,0.0
21-10-2021,206.7,208.75,192.45,195.2,1486721,,0.0,0.0
22-10-2021,195.55,197.0,184.1,185.7,1978650,,0.0,0.0
25-10-2021,188.85,188.85,176.95,179.85,981300,,0.0,0.0
26-10-2021,180.7,186.8,179.35,180.7,1131884,,0.0,0.0
27-10-2021,179.2,207.9,179.2,203.2,7462839,,0.0,0.0
28-10-2021,201.0,206.65,195.0,202.9,1681879,,0.0,0.0
29-10-2021,201.3,203.3,190.0,191.35,1318871,,0.0,0.0
01-11-2021,192.0,192.85,185.45,186.9,867127,,0.0,0.0
02-11-2021,183.95,183.95,171.15,175.6,5085891,,0.0,0.0
03-11-2021,177.15,180.95,174.7,175.35,1562621,,0.0,0.0
04-11-2021,179.45,182.9,177.0,181.0,404732,,0.0,0.0
08-11-2021,182.0,190.0,177.35,188.35,1899604,,0.0,0.0
09-11-2021,189.75,189.8,183.25,184.55,1004132,,0.0,0.0
10-11-2021,183.55,194.9,183.05,193.65,1769536,,0.0,0.0
11-11-2021,192.0,192.25,183.1,184.05,1730831,,0.0,0.0
12-11-2021,185.45,185.55,179.6,181.05,963730,,0.0,0.0
15-11-2021,182.4,185.35,180.0,181.2,885484,,0.0,0.0
16-11-2021,182.0,183.5,181.15,182.05,350598,,0.0,0.0
17-11-2021,181.0,184.4,181.0,182.05,369769,,0.0,0.0
18-11-2021,182.05,183.25,175.55,177.25,649243,,0.0,0.0
22-11-2021,177.1,178.7,169.75,172.5,891609,,0.0,0.0
23-11-2021,173.1,183.0,170.05,179.7,573013,,0.0,0.0
24-11-2021,182.0,182.0,171.0,171.75,1569004,,0.0,0.0
25-11-2021,169.3,170.0,161.65,162.5,2582886,,0.0,0.0
26-11-2021,162.9,166.0,155.65,156.3,1949880,,0.0,0.0
29-11-2021,154.2,156.0,144.75,150.9,1913462,,0.0,0.0
30-11-2021,150.9,157.8,150.9,151.65,1379503,,0.0,0.0
01-12-2021,153.45,154.95,150.5,152.9,908854,,0.0,0.0
02-12-2021,154.35,158.45,151.35,153.0,1388877,,0.0,0.0
03-12-2021,154.85,163.5,153.3,161.45,3997833,,0.0,0.0
06-12-2021,161.45,162.3,153.15,154.25,1164012,,0.0,0.0
07-12-2021,155.4,158.7,154.25,155.9,595348,,0.0,0.0
08-12-2021,156.0,173.9,156.0,170.15,3230195,,0.0,0.0
09-12-2021,172.0,179.4,161.25,171.0,38736249,,0.0,0.0
10-12-2021,171.0,185.0,168.6,181.25,18881683,,0.0,0.0
13-12-2021,181.25,184.0,173.85,175.45,4154133,,0.0,0.0
14-12-2021,174.85,182.3,172.8,179.1,4915168,,0.0,0.0
15-12-2021,179.5,180.5,174.15,174.8,2012848,,0.0,0.0
16-12-2021,176.8,177.8,165.6,166.85,4231867,,0.0,0.0
17-12-2021,166.0,166.65,157.7,158.65,2666534,,0.0,0.0
20-12-2021,155.0,159.7,150.6,157.6,2868575,,0.0,0.0
21-12-2021,159.7,163.25,157.35,159.5,1646773,,0.0,0.0
22-12-2021,161.0,164.95,160.05,161.9,1171696,,0.0,0.0
23-12-2021,163.05,163.4,157.4,158.4,1040614,,0.0,0.0
24-12-2021,159.85,159.85,155.6,157.35,775019,,0.0,0.0
27-12-2021,157.0,159.7,154.95,156.8,960218,,0.0,0.0
28-12-2021,157.65,165.9,157.65,162.8,2009976,,0.0,0.0
29-12-2021,163.75,164.25,160.35,161.15,596276,,0.0,0.0
30-12-2021,161.4,164.3,160.5,160.9,574995,,0.0,0.0
