Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
07-08-2023,306.1,343.1,306.1,333.85,22195923,,0.0,0.0
08-08-2023,330.0,361.9,320.6,349.1,11284783,,0.0,0.0
09-08-2023,347.85,354.8,337.0,343.0,2731983,,0.0,0.0
10-08-2023,340.95,347.55,331.7,333.25,1351282,,0.0,0.0
11-08-2023,333.25,335.95,326.3,330.2,1212011,,0.0,0.0
14-08-2023,325.6,339.0,322.2,337.2,1006122,,0.0,0.0
16-08-2023,330.0,336.5,324.45,326.15,759396,,0.0,0.0
17-08-2023,324.9,330.95,310.1,312.25,748120,,0.0,0.0
18-08-2023,331.35,349.4,331.35,342.25,5353668,,0.0,0.0
21-08-2023,344.4,352.7,340.2,348.45,1671470,,0.0,0.0
22-08-2023,351.8,388.0,350.05,376.3,6336778,,0.0,0.0
23-08-2023,380.0,391.0,377.3,381.65,1627788,,0.0,0.0
24-08-2023,381.95,404.7,378.0,397.05,2923686,,0.0,0.0
25-08-2023,396.55,403.95,382.8,393.0,1081746,,0.0,0.0
28-08-2023,396.5,397.05,375.4,379.05,506322,,0.0,0.0
29-08-2023,384.4,385.7,370.0,371.85,299379,,0.0,0.0
30-08-2023,375.0,383.9,366.0,380.8,416147,,0.0,0.0
31-08-2023,380.5,381.45,371.0,374.8,266173,,0.0,0.0
01-09-2023,379.0,389.45,372.0,373.7,433957,,0.0,0.0
04-09-2023,373.7,382.05,362.05,373.6,316561,,0.0,0.0
05-09-2023,374.05,380.0,367.65,369.7,271163,,0.0,0.0
06-09-2023,370.5,375.7,364.5,367.2,225573,,0.0,0.0
07-09-2023,370.0,374.3,366.0,369.65,194521,,0.0,0.0
08-09-2023,371.6,373.6,361.05,363.0,262360,,0.0,0.0
11-09-2023,370.0,378.95,360.5,377.1,660003,,0.0,0.0
12-09-2023,380.45,381.0,352.15,355.35,549001,,0.0,0.0
13-09-2023,358.4,364.0,351.5,359.25,264361,,0.0,0.0
14-09-2023,364.8,372.0,359.05,370.1,353019,,0.0,0.0
15-09-2023,374.4,396.25,371.0,386.95,1205161,,0.0,0.0
18-09-2023,389.1,392.0,377.15,379.4,340332,,0.0,0.0
20-09-2023,378.4,380.45,366.65,369.95,264244,,0.0,0.0
21-09-2023,370.45,373.45,358.8,362.4,205762,,0.0,0.0
22-09-2023,362.0,372.05,356.8,366.15,218082,,0.0,0.0
25-09-2023,366.15,371.0,359.0,360.3,270416,,0.0,0.0
26-09-2023,361.0,365.7,360.15,361.1,174682,,0.0,0.0
27-09-2023,364.7,373.5,361.3,369.35,513928,,0.0,0.0
28-09-2023,372.9,377.8,366.35,370.0,390124,,0.0,0.0
29-09-2023,379.3,383.8,366.2,378.35,412483,,0.0,0.0
03-10-2023,370.0,388.35,369.0,383.65,420842,,0.0,0.0
04-10-2023,385.0,404.0,375.55,378.45,1026935,,0.0,0.0
05-10-2023,383.45,388.15,374.8,381.05,351910,,0.0,0.0
06-10-2023,385.9,415.4,383.5,401.75,3345234,,0.0,0.0
09-10-2023,389.9,408.0,386.0,392.2,825731,,0.0,0.0
10-10-2023,397.0,419.0,396.05,409.15,989058,,0.0,0.0
11-10-2023,413.0,426.95,409.2,417.15,978366,,0.0,0.0
12-10-2023,420.75,421.45,393.05,395.85,884179,,0.0,0.0
13-10-2023,394.55,408.9,393.4,403.95,393049,,0.0,0.0
