Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,104.48,104.48,100.11,100.7,65016,,0.0,0.0
09-08-2021,99.18,103.42,98.63,101.25,34434,,0.0,0.0
10-08-2021,102.5,102.5,96.19,96.61,81358,,0.0,0.0
11-08-2021,93.16,98.58,91.78,94.59,90358,,0.0,0.0
12-08-2021,96.42,99.3,89.88,99.3,100410,,0.0,0.0
13-08-2021,98.58,98.58,95.13,96.83,29906,,0.0,0.0
16-08-2021,96.83,96.83,92.23,92.97,37224,,0.0,0.0
17-08-2021,92.18,96.12,91.81,93.58,32172,,0.0,0.0
18-08-2021,91.22,98.24,91.22,94.0,86672,,0.0,0.0
20-08-2021,93.63,96.12,92.18,93.04,32124,,0.0,0.0
23-08-2021,93.11,93.16,88.41,88.82,75232,,0.0,0.0
24-08-2021,85.55,92.08,84.78,90.7,62376,,0.0,0.0
25-08-2021,91.68,93.66,88.73,90.8,40128,,0.0,0.0
26-08-2021,91.19,93.61,89.74,91.29,41426,,0.0,0.0
27-08-2021,90.7,93.01,89.71,90.89,16080,,0.0,0.0
30-08-2021,90.48,95.43,90.2,95.43,85990,,0.0,0.0
31-08-2021,97.6,100.19,93.66,100.19,79576,,0.0,0.0
01-09-2021,103.27,105.19,96.39,102.53,149386,,0.0,0.0
02-09-2021,104.75,104.75,99.57,102.06,38738,,0.0,0.0
03-09-2021,98.81,103.51,98.58,99.0,46802,,0.0,0.0
06-09-2021,102.9,102.9,94.74,99.5,23500,,0.0,0.0
07-09-2021,96.79,100.56,96.79,97.94,19390,,0.0,0.0
08-09-2021,97.94,102.82,96.61,100.56,61496,,0.0,0.0
09-09-2021,101.05,101.94,97.85,100.11,18062,,0.0,0.0
13-09-2021,96.86,102.53,96.86,98.93,52148,,0.0,0.0
14-09-2021,98.09,103.0,98.09,98.71,35446,,0.0,0.0
15-09-2021,100.8,100.8,97.25,98.07,50674,,0.0,0.0
16-09-2021,100.01,100.01,94.91,96.0,43692,,0.0,0.0
17-09-2021,96.02,97.99,95.68,96.29,25784,,0.0,0.0
20-09-2021,96.0,96.0,91.51,94.86,17474,,0.0,0.0
21-09-2021,93.14,96.12,91.61,93.8,30482,,0.0,0.0
22-09-2021,96.61,97.01,92.67,94.89,40594,,0.0,0.0
