Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,230.49,238.48,230.49,232.69,6070,,0.0,0.0
09-08-2021,233.49,237.48,229.69,230.72,3675,,0.0,0.0
10-08-2021,230.69,231.49,224.51,227.88,9610,,0.0,0.0
11-08-2021,229.48,229.48,216.49,225.62,17085,,0.0,0.0
12-08-2021,217.54,229.47,214.35,225.7,5670,,0.0,0.0
13-08-2021,219.92,229.5,219.52,225.94,7680,,0.0,0.0
16-08-2021,229.5,229.5,222.53,227.91,10035,,0.0,0.0
17-08-2021,229.5,229.5,219.52,219.9,8050,,0.0,0.0
18-08-2021,215.53,227.3,208.91,215.4,15995,,0.0,0.0
20-08-2021,219.52,219.52,204.75,215.74,7795,,0.0,0.0
23-08-2021,219.3,219.3,204.95,207.56,7770,,0.0,0.0
24-08-2021,198.02,211.53,198.02,199.5,17010,,0.0,0.0
25-08-2021,199.56,204.55,195.57,196.23,7925,,0.0,0.0
26-08-2021,199.56,202.55,186.42,193.66,16995,,0.0,0.0
27-08-2021,191.64,195.3,190.78,191.13,6915,,0.0,0.0
30-08-2021,193.77,199.5,183.6,184.55,14225,,0.0,0.0
31-08-2021,189.18,189.18,180.6,184.87,15725,,0.0,0.0
01-09-2021,187.58,187.59,175.82,183.62,10250,,0.0,0.0
02-09-2021,176.02,183.59,176.02,181.97,55970,,0.0,0.0
03-09-2021,182.2,191.06,182.2,191.06,37045,,0.0,0.0
06-09-2021,199.36,200.61,199.36,200.61,15910,,0.0,0.0
07-09-2021,210.64,210.64,207.54,210.64,15515,,0.0,0.0
08-09-2021,219.32,221.16,219.32,221.16,14555,,0.0,0.0
09-09-2021,232.22,232.22,221.31,231.36,81625,,0.0,0.0
13-09-2021,242.93,242.93,237.48,242.93,87860,,0.0,0.0
14-09-2021,254.24,255.07,249.45,255.07,21390,,0.0,0.0
15-09-2021,267.82,267.82,259.43,264.39,65345,,0.0,0.0
16-09-2021,264.42,264.42,251.18,251.18,13705,,0.0,0.0
17-09-2021,238.63,241.07,238.63,238.63,42260,,0.0,0.0
20-09-2021,226.72,226.72,226.7,226.7,36280,,0.0,0.0
21-09-2021,215.37,227.1,215.37,215.37,59900,,0.0,0.0
22-09-2021,215.37,225.29,204.63,208.13,23035,,0.0,0.0
23-09-2021,208.13,217.92,204.75,207.99,31685,,0.0,0.0
24-09-2021,217.31,217.31,205.55,209.95,14945,,0.0,0.0
27-09-2021,219.3,219.3,203.95,207.05,20145,,0.0,0.0
28-09-2021,211.53,211.53,201.56,203.61,10480,,0.0,0.0
29-09-2021,199.54,212.47,199.54,200.45,6595,,0.0,0.0
30-09-2021,201.56,208.54,198.36,200.93,17765,,0.0,0.0
01-10-2021,202.55,206.39,196.19,203.75,13735,,0.0,0.0
04-10-2021,206.35,206.35,198.56,199.7,12590,,0.0,0.0
05-10-2021,204.55,204.55,198.56,198.57,31045,,0.0,0.0
06-10-2021,204.55,204.85,195.77,200.51,32280,,0.0,0.0
07-10-2021,203.55,208.54,197.6,201.28,8025,,0.0,0.0
08-10-2021,206.54,208.76,195.67,205.16,22640,,0.0,0.0
11-10-2021,206.15,206.15,196.57,201.27,9355,,0.0,0.0
12-10-2021,201.36,209.34,201.36,204.01,4560,,0.0,0.0
