Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
21-11-2025,571.9,633.9,570.05,606.5,24241476,,0.0,0.0
24-11-2025,603.5,636.0,581.75,625.25,7318296,,0.0,0.0
25-11-2025,618.9,750.3,612.9,732.15,24054760,,0.0,0.0
26-11-2025,726.85,798.95,666.75,689.3,44194333,,0.0,0.0
27-11-2025,694.0,730.0,663.5,676.15,22489700,,0.0,0.0
28-11-2025,681.05,697.7,626.65,644.0,9308614,,0.0,0.0
01-12-2025,635.0,643.7,617.2,626.5,4605155,,0.0,0.0
02-12-2025,626.5,657.55,613.0,647.1,3781594,,0.0,0.0
03-12-2025,643.95,667.2,624.05,634.15,5563170,,0.0,0.0
04-12-2025,650.0,724.8,640.0,695.7,23906002,,0.0,0.0
05-12-2025,704.0,723.8,677.4,703.15,16893353,,0.0,0.0
08-12-2025,703.0,703.15,646.15,660.95,3568229,,0.0,0.0
09-12-2025,651.0,715.95,628.75,705.55,9588344,,0.0,0.0
10-12-2025,698.6,713.65,678.15,702.1,4033437,,0.0,0.0
11-12-2025,691.0,736.9,683.0,725.25,7889718,,0.0,0.0
12-12-2025,714.9,733.3,713.05,719.35,3060597,,0.0,0.0
15-12-2025,718.65,742.0,688.0,703.4,4048985,,0.0,0.0
16-12-2025,696.3,699.8,672.15,677.25,1941217,,0.0,0.0
17-12-2025,680.4,689.4,661.35,679.9,1851063,,0.0,0.0
18-12-2025,681.0,694.0,671.1,678.0,1192306,,0.0,0.0
19-12-2025,678.9,685.8,668.15,672.25,808224,,0.0,0.0
22-12-2025,679.0,726.8,668.4,693.45,3983314,,0.0,0.0
23-12-2025,697.95,704.0,680.0,686.55,931789,,0.0,0.0
24-12-2025,690.0,690.95,672.7,679.3,806395,,0.0,0.0
26-12-2025,679.3,697.35,676.45,682.75,680567,,0.0,0.0
29-12-2025,686.05,697.4,664.0,678.9,947132,,0.0,0.0
30-12-2025,682.05,685.45,665.0,670.05,283024,,0.0,0.0
31-12-2025,674.45,680.4,669.35,673.15,353444,,0.0,0.0
01-01-2026,673.15,683.1,672.15,677.05,174648,,0.0,0.0
02-01-2026,679.95,680.05,670.0,673.2,153576,,0.0,0.0
05-01-2026,674.95,674.95,650.0,654.85,399262,,0.0,0.0
06-01-2026,659.95,674.0,652.05,666.8,373155,,0.0,0.0
07-01-2026,671.5,672.3,654.3,661.3,127476,,0.0,0.0
08-01-2026,662.0,662.0,631.1,641.75,253393,,0.0,0.0
09-01-2026,641.75,644.45,626.9,630.25,218837,,0.0,0.0
12-01-2026,632.0,633.45,609.05,626.8,352983,,0.0,0.0
13-01-2026,628.0,682.8,628.0,670.3,703845,,0.0,0.0
14-01-2026,673.7,684.65,628.05,635.75,645788,,0.0,0.0
15-01-2026,635.75,635.75,635.75,635.75,0,,0.0,0.0
16-01-2026,635.0,643.45,627.8,634.0,259759,,0.0,0.0
19-01-2026,632.65,632.65,616.15,618.2,151291,,0.0,0.0
20-01-2026,620.0,634.9,609.4,625.65,381502,,0.0,0.0
21-01-2026,625.65,625.95,606.15,615.95,171385,,0.0,0.0
22-01-2026,624.0,626.35,612.1,622.35,101534,,0.0,0.0
23-01-2026,624.0,624.95,606.0,616.55,100922,,0.0,0.0
27-01-2026,609.0,620.0,601.25,615.45,126344,,0.0,0.0
28-01-2026,615.45,621.0,613.0,616.35,52684,,0.0,0.0
29-01-2026,620.0,646.8,607.2,637.05,237976,,0.0,0.0
30-01-2026,635.75,635.75,623.05,627.55,65076,,0.0,0.0
02-02-2026,606.4,614.0,592.5,603.4,114382,,0.0,0.0
03-02-2026,617.8,634.0,612.0,617.55,105700,,0.0,0.0
04-02-2026,608.0,628.1,597.9,610.65,169415,,0.0,0.0
05-02-2026,612.0,618.0,599.1,611.6,132702,,0.0,0.0
06-02-2026,611.6,619.95,605.0,607.7,95731,,0.0,0.0
09-02-2026,607.95,631.95,591.3,597.2,727339,,0.0,0.0
10-02-2026,600.0,604.5,582.0,587.5,141784,,0.0,0.0
11-02-2026,589.9,592.0,573.0,577.55,169466,,0.0,0.0
12-02-2026,575.0,575.0,555.3,562.15,270957,,0.0,0.0
13-02-2026,552.0,556.45,511.95,518.15,219802,,0.0,0.0
16-02-2026,514.9,534.7,489.0,525.75,673420,,0.0,0.0
17-02-2026,520.55,564.95,516.0,544.25,534713,,0.0,0.0
18-02-2026,551.55,552.05,525.35,532.6,184075,,0.0,0.0
19-02-2026,536.85,550.05,534.0,540.9,128363,,0.0,0.0
20-02-2026,536.9,546.25,535.5,543.6,86910,,0.0,0.0
23-02-2026,545.0,548.7,518.0,525.55,109367,,0.0,0.0
24-02-2026,528.15,528.15,504.0,511.75,91140,,0.0,0.0
25-02-2026,522.0,545.0,515.1,518.95,89216,,0.0,0.0
26-02-2026,522.0,527.3,508.15,511.9,42641,,0.0,0.0
27-02-2026,516.0,529.0,507.75,514.05,98915,,0.0,0.0
02-03-2026,481.0,516.6,481.0,504.65,88134,,0.0,0.0
04-03-2026,500.15,517.9,499.45,510.65,109648,,0.0,0.0
05-03-2026,514.9,521.4,509.6,512.8,49288,,0.0,0.0
06-03-2026,519.8,525.8,513.6,521.8,383487,,0.0,0.0
09-03-2026,517.95,520.0,502.95,516.9,24595,,0.0,0.0
10-03-2026,519.0,525.0,514.15,515.25,24824,,0.0,0.0
11-03-2026,519.95,528.0,513.55,514.9,35421,,0.0,0.0
12-03-2026,512.35,517.85,512.3,515.35,29661,,0.0,0.0
13-03-2026,515.0,518.6,512.9,515.55,64762,,0.0,0.0
16-03-2026,515.55,520.0,511.8,515.15,19338,,0.0,0.0
17-03-2026,520.0,520.0,503.2,507.6,134326,,0.0,0.0
18-03-2026,508.0,514.9,506.6,509.0,23710,,0.0,0.0
19-03-2026,501.35,509.0,501.35,504.6,15679,,0.0,0.0
20-03-2026,503.0,512.0,502.2,507.4,18383,,0.0,0.0
23-03-2026,509.95,509.95,471.5,475.8,44570,,0.0,0.0
24-03-2026,480.0,490.8,472.0,477.15,37689,,0.0,0.0
25-03-2026,479.0,483.0,466.2,471.0,71641,,0.0,0.0
27-03-2026,469.9,520.0,464.25,512.85,608796,,0.0,0.0
30-03-2026,501.25,505.0,471.2,479.45,74328,,0.0,0.0
01-04-2026,484.9,497.0,484.9,485.65,44477,,0.0,0.0
02-04-2026,480.6,499.6,475.1,493.1,46053,,0.0,0.0
06-04-2026,490.0,492.9,484.7,486.95,25652,,0.0,0.0
07-04-2026,490.8,510.0,485.25,505.55,83318,,0.0,0.0
08-04-2026,525.0,529.0,511.25,517.4,54020,,0.0,0.0
09-04-2026,520.0,547.0,514.05,544.85,163661,,0.0,0.0
10-04-2026,551.95,556.9,540.05,549.75,60426,,0.0,0.0
13-04-2026,545.0,550.0,532.0,547.9,39945,,0.0,0.0
15-04-2026,551.0,574.45,545.0,566.25,99642,,0.0,0.0
16-04-2026,575.0,578.0,555.95,557.5,33432,,0.0,0.0
17-04-2026,560.25,574.0,560.25,566.4,37604,,0.0,0.0
20-04-2026,566.4,571.95,556.45,563.15,25098,,0.0,0.0
21-04-2026,563.1,566.5,555.4,555.95,17630,,0.0,0.0
22-04-2026,561.6,561.6,547.9,555.3,16602,,0.0,0.0
23-04-2026,555.3,565.3,546.75,551.8,34288,,0.0,0.0
24-04-2026,551.8,570.0,551.0,561.15,56908,,0.0,0.0
27-04-2026,564.0,571.05,562.1,565.55,28490,,0.0,0.0
28-04-2026,565.55,587.0,563.55,580.25,83825,,0.0,0.0
29-04-2026,583.0,584.95,555.5,560.7,81594,,0.0,0.0
30-04-2026,559.4,564.3,550.05,551.4,25757,,0.0,0.0
01-05-2026,551.4,551.4,551.4,551.4,0,,0.0,0.0
04-05-2026,551.5,555.0,535.5,539.9,33486,,0.0,0.0
05-05-2026,539.9,547.3,532.15,540.8,56858,,0.0,0.0
06-05-2026,554.0,585.95,548.0,567.7,568067,,0.0,0.0
07-05-2026,570.0,592.6,546.5,553.55,217227,,0.0,0.0
08-05-2026,554.65,590.0,546.75,572.9,184440,,0.0,0.0
11-05-2026,572.9,576.9,560.0,561.0,26861,,0.0,0.0
12-05-2026,565.0,565.0,526.3,533.3,43558,,0.0,0.0
13-05-2026,530.2,530.2,519.95,524.75,36989,,0.0,0.0
14-05-2026,530.0,539.35,519.0,521.5,34669,,0.0,0.0
15-05-2026,524.8,535.0,524.8,526.45,41596,,0.0,0.0
18-05-2026,529.75,531.95,515.1,519.1,74617,,0.0,0.0
19-05-2026,526.5,533.75,515.05,518.3,42162,,0.0,0.0
20-05-2026,515.05,522.45,512.3,517.55,19723,,0.0,0.0
21-05-2026,524.95,527.0,510.35,514.3,14639,,0.0,0.0
22-05-2026,517.4,519.0,513.0,516.3,14769,,0.0,0.0
25-05-2026,516.95,531.0,516.95,522.1,15470,,0.0,0.0
26-05-2026,526.0,530.95,512.3,515.4,42292,,0.0,0.0
27-05-2026,518.9,518.9,510.3,514.65,15574,,0.0,0.0
28-05-2026,514.65,514.65,514.65,514.65,0,,0.0,0.0
29-05-2026,514.65,526.05,506.3,511.65,15381,,0.0,0.0
01-06-2026,511.65,521.7,506.5,510.15,12149,,0.0,0.0
02-06-2026,512.0,515.95,505.45,510.75,12311,,0.0,0.0
03-06-2026,510.75,513.4,501.0,503.7,31011,,0.0,0.0
04-06-2026,503.7,512.5,501.3,506.15,30210,,0.0,0.0
05-06-2026,512.1,515.05,503.2,506.6,7992,,0.0,0.0
08-06-2026,505.0,506.95,496.05,499.95,15465,,0.0,0.0
09-06-2026,505.1,505.1,497.7,500.05,10734,,0.0,0.0
10-06-2026,500.05,508.0,500.0,504.35,12478,,0.0,0.0
11-06-2026,500.4,509.85,483.6,497.5,299883,,0.0,0.0
12-06-2026,502.95,545.0,477.05,508.05,5664651,,0.0,0.0
15-06-2026,518.15,527.35,498.0,504.1,157442,,0.0,0.0
16-06-2026,499.8,507.0,498.0,498.6,51246,,0.0,0.0
17-06-2026,496.05,505.0,496.05,501.0,32500,,0.0,0.0
18-06-2026,503.95,503.95,491.5,496.4,32900,,0.0,0.0
19-06-2026,496.35,506.0,491.0,495.25,246923,,0.0,0.0
22-06-2026,495.25,500.8,492.0,496.1,32128,,0.0,0.0
23-06-2026,495.5,503.85,490.15,494.25,34270,,0.0,0.0
