Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,1333.06,1374.19,1330.95,1368.09,1514198,,0.0,0.0
09-08-2021,1381.88,1403.41,1370.35,1383.61,964892,,0.0,0.0
10-08-2021,1389.57,1389.57,1317.5,1340.8,949176,,0.0,0.0
11-08-2021,1340.56,1340.56,1245.47,1321.2,1366128,,0.0,0.0
12-08-2021,1324.99,1369.39,1324.61,1336.09,976678,,0.0,0.0
13-08-2021,1341.81,1364.58,1321.34,1340.7,689409,,0.0,0.0
16-08-2021,1337.68,1347.43,1326.14,1339.89,448827,,0.0,0.0
17-08-2021,1336.76,1363.0,1322.78,1354.11,833656,,0.0,0.0
18-08-2021,1359.87,1390.91,1352.09,1376.93,1322648,,0.0,0.0
20-08-2021,1361.51,1417.44,1346.52,1366.79,1842429,,0.0,0.0
23-08-2021,1380.92,1398.22,1306.92,1335.27,1159433,,0.0,0.0
24-08-2021,1341.52,1373.9,1298.28,1366.55,774202,,0.0,0.0
25-08-2021,1370.83,1392.84,1355.98,1379.53,857308,,0.0,0.0
26-08-2021,1382.75,1410.23,1370.4,1381.54,1008215,,0.0,0.0
27-08-2021,1382.84,1387.93,1352.52,1358.72,676684,,0.0,0.0
30-08-2021,1364.2,1373.23,1353.05,1359.73,654214,,0.0,0.0
31-08-2021,1366.51,1383.8,1359.83,1371.98,599405,,0.0,0.0
01-09-2021,1377.75,1382.65,1355.21,1362.32,436202,,0.0,0.0
02-09-2021,1368.38,1441.46,1360.74,1430.03,2429808,,0.0,0.0
03-09-2021,1441.46,1477.02,1431.85,1444.39,2092303,,0.0,0.0
06-09-2021,1449.15,1452.99,1403.02,1436.32,872848,,0.0,0.0
07-09-2021,1433.77,1443.82,1408.79,1416.86,572604,,0.0,0.0
08-09-2021,1419.36,1423.2,1388.61,1393.17,577237,,0.0,0.0
09-09-2021,1390.53,1414.03,1386.54,1397.45,545372,,0.0,0.0
13-09-2021,1401.1,1426.57,1398.55,1422.77,575664,,0.0,0.0
14-09-2021,1429.93,1455.88,1428.25,1440.74,670479,,0.0,0.0
15-09-2021,1448.96,1506.81,1427.05,1442.33,1742335,,0.0,0.0
16-09-2021,1452.03,1459.43,1434.25,1437.52,651976,,0.0,0.0
17-09-2021,1441.46,1448.96,1403.98,1431.76,2285302,,0.0,0.0
20-09-2021,1412.87,1499.12,1408.02,1431.18,1261094,,0.0,0.0
21-09-2021,1414.55,1421.67,1346.28,1394.09,1229270,,0.0,0.0
22-09-2021,1393.41,1418.25,1374.19,1388.42,647588,,0.0,0.0
23-09-2021,1383.8,1402.06,1354.97,1376.5,342584,,0.0,0.0
24-09-2021,1417.44,1417.44,1372.27,1382.7,239569,,0.0,0.0
27-09-2021,1382.7,1395.33,1354.97,1366.75,253943,,0.0,0.0
28-09-2021,1368.48,1374.19,1343.68,1349.35,341681,,0.0,0.0
29-09-2021,1343.44,1345.36,1308.85,1330.08,255254,,0.0,0.0
30-09-2021,1326.14,1340.56,1321.34,1326.1,147078,,0.0,0.0
01-10-2021,1326.14,1335.75,1307.93,1322.06,143894,,0.0,0.0
04-10-2021,1335.75,1342.67,1304.04,1334.79,155144,,0.0,0.0
05-10-2021,1335.75,1337.68,1310.05,1333.5,182203,,0.0,0.0
06-10-2021,1345.36,1364.58,1317.5,1322.16,270838,,0.0,0.0
07-10-2021,1344.4,1344.4,1314.61,1329.84,153337,,0.0,0.0
08-10-2021,1343.44,1364.78,1330.95,1350.36,245661,,0.0,0.0
11-10-2021,1354.97,1363.62,1330.95,1335.08,185013,,0.0,0.0
12-10-2021,1328.07,1335.08,1317.59,1329.56,134381,,0.0,0.0
13-10-2021,1344.26,1344.4,1321.34,1324.99,152677,,0.0,0.0
14-10-2021,1354.01,1379.0,1345.36,1355.26,306369,,0.0,0.0
18-10-2021,1381.88,1382.84,1345.36,1360.16,194270,,0.0,0.0
19-10-2021,1369.39,1369.39,1322.3,1339.55,248106,,0.0,0.0
20-10-2021,1338.64,1338.64,1305.0,1330.28,202701,,0.0,0.0
21-10-2021,1329.89,1348.25,1297.31,1340.61,227845,,0.0,0.0
22-10-2021,1334.02,1340.56,1273.58,1293.81,323298,,0.0,0.0
25-10-2021,1292.51,1293.47,1229.13,1229.13,302960,,0.0,0.0
26-10-2021,1222.36,1258.88,1169.51,1247.2,229077,,0.0,0.0
27-10-2021,1286.74,1286.74,1250.56,1259.26,104115,,0.0,0.0
28-10-2021,1297.31,1315.57,1234.85,1244.17,232933,,0.0,0.0
29-10-2021,1244.37,1249.27,1182.24,1224.67,177454,,0.0,0.0
01-11-2021,1220.44,1220.44,1188.72,1212.03,202057,,0.0,0.0
02-11-2021,1212.65,1224.28,1196.41,1202.23,137152,,0.0,0.0
03-11-2021,1209.87,1214.67,1164.7,1185.17,164917,,0.0,0.0
04-11-2021,1201.03,1239.66,1196.41,1234.52,104886,,0.0,0.0
08-11-2021,1234.52,1280.98,1234.52,1277.04,163303,,0.0,0.0
09-11-2021,1289.4,1318.27,1250.91,1290.85,129786,,1.75,0.0
10-11-2021,1293.25,1294.21,1262.46,1273.24,74669,,0.0,0.0
11-11-2021,1274.92,1274.92,1250.91,1253.32,88262,,0.0,0.0
12-11-2021,1246.1,1265.35,1238.4,1256.49,124275,,0.0,0.0
15-11-2021,1265.25,1276.89,1253.8,1268.09,105978,,0.0,0.0
16-11-2021,1270.16,1276.89,1250.91,1258.8,107101,,0.0,0.0
17-11-2021,1259.57,1265.35,1225.9,1227.43,232321,,0.0,0.0
18-11-2021,1235.9,1246.1,1207.61,1216.95,145147,,0.0,0.0
22-11-2021,1225.85,1225.85,1178.46,1194.96,164055,,0.0,0.0
23-11-2021,1183.56,1221.57,1167.2,1219.79,122178,,0.0,0.0
24-11-2021,1226.86,1250.87,1220.12,1236.86,80628,,0.0,0.0
