Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,2402.54,2408.25,2377.59,2396.78,59355,,0.0,0.0
09-08-2021,2399.66,2416.98,2164.16,2334.75,207331,,0.0,0.0
10-08-2021,2349.58,2350.73,2260.54,2283.85,142190,,0.0,0.0
11-08-2021,2254.78,2273.01,2134.85,2233.43,245680,,0.0,0.0
12-08-2021,2240.39,2357.4,2231.42,2343.2,159035,,0.0,0.0
13-08-2021,2384.31,2385.27,2285.24,2329.09,77902,,0.0,0.0
16-08-2021,2350.73,2356.49,2299.11,2348.19,55485,,0.0,0.0
17-08-2021,2356.49,2494.65,2331.54,2397.7,208458,,0.0,0.0
18-08-2021,2445.38,2581.0,2409.26,2487.02,367970,,0.0,0.0
20-08-2021,2485.06,2559.89,2432.28,2491.53,200000,,0.0,0.0
23-08-2021,2513.84,2548.62,2366.08,2397.74,144575,,0.0,0.0
24-08-2021,2397.74,2517.97,2367.57,2476.85,88156,,0.0,0.0
25-08-2021,2499.45,2502.33,2408.39,2422.02,67817,,0.0,0.0
26-08-2021,2419.67,2536.87,2414.87,2478.58,112883,,0.0,0.0
27-08-2021,2483.14,2533.03,2448.98,2496.57,85145,,0.0,0.0
30-08-2021,2504.25,2557.88,2483.14,2491.72,83825,,0.0,0.0
31-08-2021,2531.11,2531.11,2456.27,2477.19,51116,,0.0,0.0
01-09-2021,2502.81,2669.28,2500.89,2600.39,514003,,0.0,0.0
02-09-2021,2600.39,2628.98,2581.0,2608.49,83214,,0.0,0.0
03-09-2021,2613.63,2705.74,2613.63,2684.53,268860,,0.0,0.0
06-09-2021,2696.14,2698.2,2639.53,2686.88,100634,,0.0,0.0
07-09-2021,2699.98,2752.75,2659.73,2711.78,194872,,0.0,0.0
08-09-2021,2719.5,2844.86,2684.29,2812.67,260672,,0.0,0.0
09-09-2021,2816.08,2862.76,2734.52,2771.7,112568,,0.0,0.0
13-09-2021,2761.39,2873.65,2744.16,2803.17,184740,,0.0,0.0
14-09-2021,2820.83,2828.55,2764.79,2779.9,77879,,0.0,0.0
15-09-2021,2792.04,2955.06,2770.31,2906.56,182108,,0.0,0.0
16-09-2021,2920.37,2974.39,2864.53,2920.32,133807,,0.0,0.0
17-09-2021,2921.62,2936.01,2776.74,2841.98,177942,,0.0,0.0
20-09-2021,2830.47,2955.3,2801.68,2839.01,138210,,0.0,0.0
21-09-2021,2840.02,2869.47,2705.74,2843.42,156668,,0.0,0.0
22-09-2021,2854.46,3036.76,2854.46,3011.62,246271,,0.0,0.0
23-09-2021,3040.68,3088.79,2968.51,3021.87,124505,,9.0,0.0
24-09-2021,3035.68,3112.75,2989.54,3018.02,136656,,0.0,0.0
27-09-2021,3021.43,3031.06,2926.17,2946.19,86461,,0.0,0.0
28-09-2021,2972.17,3010.42,2925.21,2971.21,94461,,0.0,0.0
29-09-2021,2944.45,2976.21,2885.42,2915.88,93984,,0.0,0.0
30-09-2021,2915.88,3011.76,2915.88,3001.23,61270,,0.0,0.0
01-10-2021,2987.76,3001.23,2897.98,2935.12,61179,,0.0,0.0
04-10-2021,2963.7,2981.02,2910.78,2949.6,39490,,0.0,0.0
05-10-2021,2934.83,2937.67,2865.36,2907.99,79206,,0.0,0.0
06-10-2021,2923.29,2982.94,2864.78,2898.46,79987,,0.0,0.0
07-10-2021,2934.83,3002.19,2915.59,2994.59,83736,,0.0,0.0
08-10-2021,3007.24,3079.17,2992.57,3041.78,91452,,0.0,0.0
11-10-2021,3041.79,3074.36,2993.67,3050.06,48061,,0.0,0.0
12-10-2021,3050.3,3099.38,2949.27,2980.59,77850,,0.0,0.0
13-10-2021,2997.09,3007.24,2937.96,2981.26,102569,,0.0,0.0
14-10-2021,3021.43,3175.39,3016.62,3104.04,240839,,0.0,0.0
18-10-2021,3145.37,3223.5,3117.66,3190.6,149773,,0.0,0.0
19-10-2021,3211.0,3530.46,3122.47,3307.75,385606,,0.0,0.0
20-10-2021,2982.94,3031.06,2714.43,2844.77,861677,,0.0,0.0
21-10-2021,2871.32,2884.6,2696.2,2715.87,257845,,0.0,0.0
22-10-2021,2741.42,2871.81,2721.21,2741.37,200112,,0.0,0.0
25-10-2021,2761.63,2775.87,2506.49,2594.1,228151,,0.0,0.0
26-10-2021,2594.1,2808.2,2593.24,2725.11,166227,,0.0,0.0
27-10-2021,2732.57,2773.18,2670.75,2694.56,60595,,0.0,0.0
28-10-2021,2718.04,2770.29,2694.56,2725.3,108487,,0.0,0.0
29-10-2021,2724.87,2730.79,2624.03,2653.47,69217,,0.0,0.0
01-11-2021,2646.16,2742.38,2646.16,2683.59,69316,,0.0,0.0
02-11-2021,2699.08,2761.63,2699.08,2718.09,82436,,0.0,0.0
03-11-2021,2723.91,2741.9,2646.16,2715.25,51823,,0.0,0.0
04-11-2021,2742.38,2742.38,2714.48,2726.84,14769,,0.0,0.0
08-11-2021,2737.57,2801.08,2683.64,2790.02,78067,,0.0,0.0
09-11-2021,2800.12,2828.7,2776.11,2783.76,42675,,0.0,0.0
10-11-2021,2780.87,2817.44,2723.24,2744.84,33078,,0.0,0.0
11-11-2021,2741.42,2761.63,2687.15,2710.2,37335,,0.0,0.0
12-11-2021,2721.21,2749.65,2694.27,2738.34,48700,,0.0,0.0
15-11-2021,2752.97,2801.08,2737.62,2785.11,69893,,0.0,0.0
16-11-2021,2799.16,2832.11,2789.68,2821.38,63447,,0.0,0.0
17-11-2021,2828.99,2856.27,2750.32,2776.06,62008,,0.0,0.0
18-11-2021,2780.87,2802.91,2606.47,2617.0,155698,,0.0,0.0
22-11-2021,2573.99,2612.34,2395.98,2477.72,184741,,0.0,0.0
23-11-2021,2458.52,2607.67,2384.43,2587.27,79881,,0.0,0.0
24-11-2021,2635.58,2635.58,2491.24,2517.12,74364,,0.0,0.0
25-11-2021,2524.92,2577.79,2520.97,2543.01,63230,,0.0,0.0
26-11-2021,2501.63,2520.83,2407.52,2415.56,177666,,0.0,0.0
29-11-2021,2320.92,2450.92,2320.92,2424.41,86998,,0.0,0.0
30-11-2021,2521.07,2703.89,2487.39,2593.72,501990,,0.0,0.0
01-12-2021,2578.8,2612.48,2525.88,2571.39,65813,,0.0,0.0
02-12-2021,2588.43,2847.27,2550.9,2827.64,390877,,0.0,0.0
03-12-2021,2838.61,2838.61,2747.19,2763.31,80984,,0.0,0.0
06-12-2021,2763.55,2763.55,2646.16,2653.67,67836,,0.0,0.0
07-12-2021,2694.27,2710.63,2576.88,2604.21,69428,,0.0,0.0
08-12-2021,2702.93,2742.38,2649.29,2698.75,78870,,0.0,0.0
09-12-2021,2697.16,2723.14,2668.34,2685.61,36644,,0.0,0.0
10-12-2021,2694.27,2718.04,2638.56,2661.41,36777,,0.0,0.0
13-12-2021,2682.34,2727.95,2665.45,2678.2,46728,,0.0,0.0
14-12-2021,2679.84,2698.7,2656.84,2674.59,33478,,0.0,0.0
15-12-2021,2694.27,2727.95,2647.12,2681.91,39181,,0.0,0.0
16-12-2021,2694.27,2718.33,2580.73,2603.73,92307,,0.0,0.0
17-12-2021,2646.16,2703.89,2619.22,2647.8,224200,,0.0,0.0
20-12-2021,2646.16,2701.83,2580.58,2675.08,163771,,0.0,0.0
21-12-2021,2670.22,2773.13,2670.22,2758.31,120055,,0.0,0.0
22-12-2021,2790.5,2814.55,2727.9,2739.21,86071,,0.0,0.0
23-12-2021,2747.2,2878.06,2747.2,2863.0,151243,,0.0,0.0
24-12-2021,2877.1,2933.87,2857.85,2880.47,136796,,0.0,0.0
27-12-2021,2879.98,2925.21,2843.76,2872.43,119222,,0.0,0.0
28-12-2021,2872.29,2904.09,2829.95,2848.71,78435,,0.0,0.0
29-12-2021,2860.84,2933.87,2856.02,2920.54,112156,,0.0,0.0
30-12-2021,2944.45,2968.51,2867.48,2893.65,76173,,0.0,0.0
31-12-2021,2905.96,2922.56,2887.35,2906.45,43084,,0.0,0.0
03-01-2022,2911.74,2958.36,2909.81,2927.28,60545,,0.0,0.0
04-01-2022,2915.59,2954.7,2876.9,2913.9,61829,,0.0,0.0
05-01-2022,2924.25,2924.25,2877.1,2899.13,38773,,0.0,0.0
06-01-2022,2877.1,2918.04,2830.91,2897.26,44243,,0.0,0.0
07-01-2022,2934.83,2944.45,2842.94,2857.85,93663,,0.0,0.0
10-01-2022,2886.72,2925.16,2880.61,2891.48,42509,,0.0,0.0
11-01-2022,2917.51,2917.51,2891.87,2905.1,40042,,0.0,0.0
12-01-2022,2925.21,3145.56,2906.98,3126.94,259514,,0.0,0.0
13-01-2022,3126.32,3174.43,3055.11,3100.1,99174,,0.0,0.0
