Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
17-12-2021,360.0,383.0,333.85,340.05,18246530,,0.0,0.0
20-12-2021,320.0,359.8,313.15,335.15,5054723,,0.0,0.0
21-12-2021,338.35,374.85,338.35,364.4,3952930,,0.0,0.0
22-12-2021,361.85,401.85,361.45,396.95,4429807,,0.0,0.0
23-12-2021,403.0,411.0,376.1,382.7,2220750,,0.0,0.0
24-12-2021,380.25,381.85,361.3,371.7,1230112,,0.0,0.0
27-12-2021,365.0,385.0,297.4,375.45,868755,,0.0,0.0
28-12-2021,377.0,387.55,375.5,378.65,617253,,0.0,0.0
29-12-2021,375.0,401.0,371.05,383.5,995673,,0.0,0.0
30-12-2021,380.2,399.75,368.1,372.85,1135196,,0.0,0.0
31-12-2021,375.0,383.75,370.75,372.35,374458,,0.0,0.0
03-01-2022,372.65,381.45,372.3,374.4,303511,,0.0,0.0
04-01-2022,374.9,396.0,372.0,389.05,930829,,0.0,0.0
05-01-2022,385.9,388.9,376.45,384.6,608533,,0.0,0.0
06-01-2022,378.0,388.0,375.4,379.8,300557,,0.0,0.0
07-01-2022,383.4,385.65,376.35,381.4,244856,,0.0,0.0
10-01-2022,383.0,429.0,381.0,423.5,2874946,,0.0,0.0
11-01-2022,430.0,434.5,416.4,428.0,1389428,,0.0,0.0
12-01-2022,431.6,436.0,411.15,414.05,707263,,0.0,0.0
13-01-2022,416.9,447.0,412.0,443.3,1883531,,0.0,0.0
14-01-2022,438.3,503.3,431.1,475.95,5375191,,0.0,0.0
17-01-2022,472.0,503.0,472.0,493.9,1806638,,0.0,0.0
18-01-2022,496.0,525.0,485.2,515.2,2604393,,0.0,0.0
19-01-2022,508.0,511.6,482.7,488.1,1169946,,0.0,0.0
20-01-2022,486.95,489.6,462.0,465.9,837657,,0.0,0.0
21-01-2022,466.1,475.0,418.5,431.75,1296735,,0.0,0.0
24-01-2022,430.0,434.25,385.75,401.2,2391835,,0.0,0.0
25-01-2022,397.95,397.95,367.55,374.9,1441451,,0.0,0.0
27-01-2022,366.0,377.9,355.5,365.45,1365450,,0.0,0.0
28-01-2022,368.35,385.0,360.0,372.7,726090,,0.0,0.0
31-01-2022,375.1,389.1,368.0,371.9,382230,,0.0,0.0
01-02-2022,374.9,392.0,374.9,389.7,517981,,0.0,0.0
02-02-2022,393.0,404.8,390.5,395.95,371936,,0.0,0.0
03-02-2022,392.0,395.0,382.25,391.25,287056,,0.0,0.0
04-02-2022,385.0,389.75,380.1,382.2,149555,,0.0,0.0
07-02-2022,382.35,388.35,369.0,379.55,202011,,0.0,0.0
08-02-2022,384.8,385.55,363.15,365.85,312364,,0.0,0.0
09-02-2022,369.0,390.0,364.75,383.65,843603,,0.0,0.0
10-02-2022,383.65,386.7,375.55,379.95,208920,,0.0,0.0
11-02-2022,376.2,381.0,370.0,373.75,192076,,0.0,0.0
14-02-2022,363.4,369.55,339.0,341.75,460834,,0.0,0.0
15-02-2022,345.0,353.8,326.95,349.7,523133,,0.0,0.0
16-02-2022,353.7,356.4,338.0,341.0,322958,,0.0,0.0
17-02-2022,342.0,370.2,338.15,361.75,653830,,0.0,0.0
18-02-2022,359.0,371.65,353.0,355.5,288788,,0.0,0.0
21-02-2022,354.0,354.6,330.35,335.9,598694,,0.0,0.0
22-02-2022,325.0,329.9,306.35,311.75,1033098,,0.0,0.0
23-02-2022,319.0,325.45,316.2,319.8,369787,,0.0,0.0
24-02-2022,299.8,315.45,280.0,292.25,1016237,,0.0,0.0
25-02-2022,310.0,315.0,298.05,299.7,419728,,0.0,0.0
28-02-2022,294.0,304.2,290.85,299.55,388322,,0.0,0.0
02-03-2022,299.0,305.0,286.45,288.65,370713,,0.0,0.0
03-03-2022,292.95,297.6,286.45,294.05,537436,,0.0,0.0
04-03-2022,293.2,295.15,284.4,287.0,277584,,0.0,0.0
07-03-2022,281.95,284.0,275.2,280.65,216008,,0.0,0.0
08-03-2022,284.0,291.75,282.05,284.65,259379,,0.0,0.0
09-03-2022,289.75,316.0,287.0,303.5,890302,,0.0,0.0
10-03-2022,313.05,314.9,305.65,308.15,351811,,0.0,0.0
11-03-2022,308.0,312.95,303.05,305.35,227271,,0.0,0.0
14-03-2022,308.0,309.35,290.0,292.25,407817,,0.0,0.0
15-03-2022,295.9,297.7,282.05,288.05,1722455,,0.0,0.0
16-03-2022,293.0,297.9,282.85,292.9,1478122,,0.0,0.0
17-03-2022,297.0,351.45,294.95,334.15,5084576,,0.0,0.0
21-03-2022,335.0,354.8,322.4,347.1,3178061,,0.0,0.0
22-03-2022,346.75,358.4,342.1,349.45,1103745,,0.0,0.0
23-03-2022,352.25,355.3,345.05,349.95,735260,,0.0,0.0
24-03-2022,354.0,361.7,347.0,349.8,567076,,0.0,0.0
25-03-2022,350.0,354.65,335.15,337.1,447681,,0.0,0.0
28-03-2022,339.0,348.9,328.5,332.05,392969,,0.0,0.0
29-03-2022,335.3,348.0,333.75,342.25,563704,,0.0,0.0
30-03-2022,347.0,353.95,338.2,341.95,321173,,0.0,0.0
31-03-2022,344.9,344.9,332.5,334.1,240325,,0.0,0.0
01-04-2022,335.6,348.4,335.35,343.95,303517,,0.0,0.0
04-04-2022,347.2,357.5,343.1,351.25,524541,,0.0,0.0
05-04-2022,356.4,395.0,356.4,383.05,2080017,,0.0,0.0
06-04-2022,383.9,395.0,374.35,381.0,796520,,0.0,0.0
07-04-2022,383.9,418.0,369.3,400.0,2001279,,0.0,0.0
08-04-2022,403.9,406.7,387.1,392.05,451201,,0.0,0.0
11-04-2022,391.0,392.05,381.5,383.3,346860,,0.0,0.0
12-04-2022,384.9,385.0,363.95,369.9,423671,,0.0,0.0
13-04-2022,372.0,397.7,371.25,387.95,881628,,0.0,0.0
18-04-2022,386.0,394.0,375.6,381.6,348811,,0.0,0.0
19-04-2022,384.9,392.9,360.0,368.7,319863,,0.0,0.0
20-04-2022,371.4,374.8,362.2,364.5,287624,,0.0,0.0
21-04-2022,368.75,382.75,363.3,364.7,428217,,0.0,0.0
22-04-2022,362.0,377.45,362.0,371.6,313468,,0.0,0.0
25-04-2022,373.75,373.95,354.35,355.7,232801,,0.0,0.0
26-04-2022,361.7,369.8,356.65,361.0,317834,,0.0,0.0
27-04-2022,358.0,359.45,346.85,351.3,157672,,0.0,0.0
28-04-2022,354.7,364.9,343.5,362.05,290259,,0.0,0.0
29-04-2022,364.7,365.8,350.6,354.45,151506,,0.0,0.0
02-05-2022,349.35,353.75,341.45,344.05,112919,,0.0,0.0
04-05-2022,350.0,372.0,345.0,353.5,463518,,0.0,0.0
05-05-2022,355.05,361.8,342.5,344.15,215654,,0.0,0.0
06-05-2022,338.0,344.3,331.2,338.7,292331,,0.0,0.0
09-05-2022,332.7,339.2,324.95,333.35,214263,,0.0,0.0
10-05-2022,330.05,339.5,302.6,309.85,409188,,0.0,0.0
11-05-2022,308.5,326.8,291.7,317.2,431924,,0.0,0.0
12-05-2022,310.6,322.0,299.65,304.9,378185,,0.0,0.0
13-05-2022,306.0,317.5,305.3,307.4,247897,,0.0,0.0
16-05-2022,317.0,341.0,309.75,333.75,272285,,0.0,0.0
17-05-2022,340.0,341.0,313.6,317.05,983657,,0.0,0.0
