Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,865.2,875.45,852.16,857.75,45913,,0.0,0.0
09-08-2021,856.82,858.22,825.15,834.56,76958,,0.0,0.0
10-08-2021,845.46,851.93,800.94,807.83,67345,,0.0,0.0
11-08-2021,814.91,827.95,767.46,822.27,139545,,0.0,0.0
12-08-2021,828.88,863.34,782.31,832.74,108262,,0.0,0.0
13-08-2021,832.6,874.37,800.94,859.66,165224,,0.0,0.0
16-08-2021,857.28,860.54,828.88,844.39,35404,,0.0,0.0
17-08-2021,844.71,884.76,830.74,869.48,136210,,0.0,0.0
18-08-2021,869.48,869.81,847.51,852.77,58307,,0.0,0.0
20-08-2021,838.19,855.7,824.36,835.72,98485,,0.0,0.0
23-08-2021,835.4,842.85,794.0,810.11,80539,,0.0,0.0
24-08-2021,808.39,827.85,800.94,821.1,49747,,0.0,0.0
25-08-2021,834.47,838.19,810.25,829.02,60271,,0.0,0.0
26-08-2021,828.83,837.26,805.74,828.74,43096,,0.0,0.0
27-08-2021,819.57,834.47,812.11,832.46,52917,,0.0,0.0
30-08-2021,824.22,837.26,818.63,820.92,50811,,0.0,0.0
31-08-2021,821.43,838.19,796.38,829.2,64019,,0.0,0.0
01-09-2021,829.2,863.34,818.63,836.8,128212,,0.0,0.0
02-09-2021,854.96,856.82,838.19,844.29,44362,,0.0,0.0
03-09-2021,854.96,866.13,842.85,847.78,39174,,0.0,0.0
06-09-2021,856.63,856.77,825.15,835.31,35225,,0.0,0.0
07-09-2021,842.76,842.76,820.5,828.83,24690,,0.0,0.0
08-09-2021,839.12,839.12,814.91,819.61,35642,,0.0,0.0
09-09-2021,832.42,832.42,796.28,817.8,123266,,0.0,0.0
13-09-2021,819.57,833.54,816.77,826.64,95947,,0.0,0.0
14-09-2021,825.15,825.15,805.6,810.07,77012,,0.0,0.0
15-09-2021,811.18,811.18,790.44,791.7,148252,,1.0,0.0
16-09-2021,790.67,794.77,773.89,779.62,62125,,0.0,0.0
17-09-2021,783.35,792.54,773.89,777.76,108280,,0.0,0.0
20-09-2021,773.89,791.6,755.24,759.53,45742,,0.0,0.0
21-09-2021,759.02,769.23,735.19,765.96,58680,,0.0,0.0
22-09-2021,777.53,792.54,764.57,789.74,47228,,0.0,0.0
23-09-2021,797.2,798.78,783.21,789.88,46280,,0.0,0.0
24-09-2021,803.73,803.73,764.19,769.74,40673,,0.0,0.0
27-09-2021,770.16,792.54,770.16,781.39,87191,,0.0,0.0
28-09-2021,780.42,792.54,774.08,780.7,62728,,0.0,0.0
29-09-2021,769.27,785.4,769.23,774.68,51498,,0.0,0.0
30-09-2021,785.08,813.38,775.57,813.38,105206,,0.0,0.0
01-10-2021,854.03,854.03,854.03,854.03,68663,,0.0,0.0
04-10-2021,885.12,885.12,827.6,840.42,269614,,0.0,0.0
05-10-2021,854.87,854.87,803.03,812.16,148212,,0.0,0.0
06-10-2021,819.11,842.19,795.71,807.27,81156,,0.0,0.0
07-10-2021,811.18,847.6,810.11,847.6,108751,,0.0,0.0
08-10-2021,871.79,875.52,830.39,838.32,167949,,0.0,0.0
11-10-2021,839.16,853.14,829.51,836.41,106016,,0.0,0.0
12-10-2021,827.97,878.22,827.97,857.15,360843,,0.0,0.0
13-10-2021,856.69,876.45,841.07,856.5,136193,,0.0,0.0
14-10-2021,857.8,875.05,855.94,860.09,81803,,0.0,0.0
18-10-2021,866.34,895.1,855.94,887.13,227489,,0.0,0.0
19-10-2021,909.09,921.16,890.44,906.85,285806,,0.0,0.0
20-10-2021,912.82,951.04,888.62,929.97,377373,,0.0,0.0
21-10-2021,940.51,974.35,932.4,944.19,444653,,0.0,0.0
22-10-2021,991.37,991.37,991.37,991.37,132152,,0.0,0.0
25-10-2021,1040.93,1040.93,1040.93,1040.93,94987,,0.0,0.0
26-10-2021,1092.96,1092.96,1092.96,1092.96,71032,,0.0,0.0
27-10-2021,1147.59,1147.59,1074.21,1141.02,1605580,,0.0,0.0
28-10-2021,1186.66,1198.04,1096.17,1198.04,638424,,0.0,0.0
29-10-2021,1221.44,1243.82,1138.18,1138.18,633419,,0.0,0.0
01-11-2021,1154.87,1168.29,1086.75,1106.99,181309,,0.0,0.0
02-11-2021,1114.21,1162.33,1109.55,1152.63,527140,,0.0,0.0
