Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
22-09-2023,164.0,176.0,155.3,158.35,21564281,,0.0,0.0
25-09-2023,160.95,173.0,160.3,171.05,5622723,,0.0,0.0
26-09-2023,170.5,183.4,170.05,179.2,5907712,,0.0,0.0
27-09-2023,180.45,184.9,176.3,183.95,4167955,,0.0,0.0
28-09-2023,185.0,202.8,183.4,196.85,6555885,,0.0,0.0
29-09-2023,195.85,209.7,193.3,200.55,4086420,,0.0,0.0
03-10-2023,198.7,206.9,185.0,194.9,4232354,,0.0,0.0
04-10-2023,191.0,198.45,181.3,189.0,1182476,,0.0,0.0
05-10-2023,191.05,204.65,188.5,202.95,1611549,,0.0,0.0
06-10-2023,204.95,222.4,201.15,217.8,3612987,,0.0,0.0
09-10-2023,211.1,224.8,208.35,211.1,2015207,,0.0,0.0
10-10-2023,213.8,226.35,213.8,221.2,1755863,,0.0,0.0
11-10-2023,222.1,226.45,210.65,214.15,1155486,,0.0,0.0
12-10-2023,206.5,220.7,201.35,216.05,3641001,,0.0,0.0
13-10-2023,220.0,247.8,219.0,235.25,5804623,,0.0,0.0
16-10-2023,235.85,236.7,226.45,228.55,1111793,,0.0,0.0
17-10-2023,228.0,229.8,217.85,219.85,1182276,,0.0,0.0
18-10-2023,219.0,235.0,217.0,224.6,1667159,,0.0,0.0
19-10-2023,221.6,231.3,221.6,223.15,536075,,0.0,0.0
20-10-2023,225.05,226.4,210.1,214.75,910593,,0.0,0.0
23-10-2023,216.7,217.15,196.2,200.05,1205009,,0.0,0.0
25-10-2023,202.4,203.7,187.45,198.45,1738700,,0.0,0.0
26-10-2023,196.0,211.7,194.5,207.95,1793758,,0.0,0.0
27-10-2023,210.0,217.6,206.65,214.0,1243591,,0.0,0.0
30-10-2023,214.9,214.9,206.2,208.8,763578,,0.0,0.0
31-10-2023,209.8,214.5,205.55,206.7,655485,,0.0,0.0
01-11-2023,210.0,222.0,210.0,215.8,1318341,,0.0,0.0
02-11-2023,216.9,225.9,215.2,224.55,1062812,,0.0,0.0
03-11-2023,224.05,230.5,222.5,224.1,683985,,0.0,0.0
06-11-2023,226.4,235.3,226.4,232.9,1057933,,0.0,0.0
07-11-2023,233.05,236.4,223.25,226.2,469103,,0.0,0.0
08-11-2023,226.2,240.0,226.2,233.1,1210818,,0.0,0.0
09-11-2023,235.2,242.75,234.5,237.0,841160,,0.0,0.0
10-11-2023,236.9,238.45,231.2,233.55,337328,,0.0,0.0
13-11-2023,235.95,264.0,233.0,259.5,3454620,,0.0,0.0
15-11-2023,258.45,261.6,250.55,252.85,1325390,,0.0,0.0
16-11-2023,253.9,256.7,247.65,250.6,671906,,0.0,0.0
17-11-2023,252.2,265.0,248.9,251.75,2033957,,0.0,0.0
20-11-2023,251.3,253.45,243.25,245.4,628344,,0.0,0.0
21-11-2023,246.65,251.25,241.15,244.8,901066,,0.0,0.0
22-11-2023,245.9,266.2,245.9,259.35,3405005,,0.0,0.0
23-11-2023,257.8,261.75,250.25,251.7,920893,,0.0,0.0
24-11-2023,253.15,261.5,252.0,253.65,836198,,0.0,0.0
28-11-2023,255.0,255.35,245.1,246.0,506991,,0.0,0.0
29-11-2023,247.9,252.95,242.65,244.4,811404,,0.0,0.0
30-11-2023,247.8,247.8,235.2,237.1,949644,,0.0,0.0
01-12-2023,238.45,243.8,235.0,235.9,478703,,0.0,0.0
04-12-2023,240.0,252.5,238.15,247.35,1350339,,0.0,0.0
05-12-2023,247.0,247.1,239.1,241.5,666859,,0.0,0.0
06-12-2023,242.0,242.0,237.5,238.4,405699,,0.0,0.0
07-12-2023,238.3,242.45,236.95,237.45,245666,,0.0,0.0
08-12-2023,238.8,241.0,231.95,236.1,320635,,0.0,0.0
11-12-2023,237.5,247.4,234.5,243.55,1014261,,0.0,0.0
12-12-2023,244.6,247.0,236.6,239.55,491483,,0.0,0.0
13-12-2023,239.9,241.55,232.5,234.9,503573,,0.0,0.0
14-12-2023,237.0,246.8,236.9,242.0,888469,,0.0,0.0
15-12-2023,243.4,251.0,239.0,245.65,1163729,,0.0,0.0
18-12-2023,245.3,245.3,238.2,239.15,433457,,0.0,0.0
19-12-2023,238.0,239.35,233.0,233.65,1586359,,0.0,0.0
