Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,228.0,228.0,222.75,223.73,1357216,,0.0,0.0
09-08-2021,223.5,225.74,215.0,216.19,1187128,,0.0,0.0
10-08-2021,216.84,222.11,206.88,207.88,1652320,,0.0,0.0
11-08-2021,209.25,211.73,197.95,205.39,1727336,,0.0,0.0
12-08-2021,206.46,211.39,205.62,208.06,854168,,0.0,0.0
13-08-2021,209.12,213.74,207.76,209.96,765712,,0.0,0.0
16-08-2021,210.68,211.04,207.0,207.81,397232,,0.0,0.0
17-08-2021,206.54,210.25,205.76,208.12,608464,,0.0,0.0
18-08-2021,208.62,208.75,202.12,206.34,868552,,0.0,0.0
20-08-2021,203.25,209.88,203.25,205.79,797728,,0.0,0.0
23-08-2021,207.5,207.75,195.12,196.69,883984,,0.0,0.0
24-08-2021,196.88,205.0,196.88,199.18,527160,,0.0,0.0
25-08-2021,200.46,201.84,197.5,198.16,473848,,0.0,0.0
26-08-2021,200.81,213.12,200.81,210.99,2808608,,0.0,0.0
27-08-2021,213.59,219.05,209.25,214.12,1708344,,0.0,0.0
30-08-2021,221.09,229.75,219.0,227.16,5304320,,0.0,0.0
31-08-2021,227.64,230.5,222.62,229.61,2145248,,0.0,0.0
01-09-2021,229.5,230.0,223.75,224.27,755184,,0.0,0.0
02-09-2021,225.57,232.88,225.39,229.84,1676648,,0.0,0.0
03-09-2021,231.46,232.39,225.0,227.0,956760,,0.0,0.0
06-09-2021,228.38,236.0,227.62,232.02,1527416,,0.0,0.0
07-09-2021,235.21,236.25,226.01,228.08,1150952,,0.0,0.0
08-09-2021,228.38,229.05,224.75,226.93,626816,,0.0,0.0
09-09-2021,226.26,228.74,221.93,223.04,1300344,,0.0,0.0
13-09-2021,223.25,243.71,223.19,240.74,6060944,,0.0,0.0
14-09-2021,241.25,261.11,241.25,254.41,12624752,,0.0,0.0
15-09-2021,256.88,276.75,256.88,272.41,9474720,,0.0,0.0
16-09-2021,275.5,279.96,263.12,270.42,7145040,,0.0,0.0
17-09-2021,271.8,271.8,252.49,259.81,4345704,,0.0,0.0
20-09-2021,262.16,271.25,260.62,262.6,5072392,,0.0,0.0
21-09-2021,262.6,267.27,252.44,264.95,2483592,,0.0,0.0
22-09-2021,266.88,270.0,262.75,268.64,2279280,,0.0,0.0
23-09-2021,270.5,275.33,268.75,270.0,2077296,,0.0,0.0
24-09-2021,271.37,271.5,263.36,267.82,1530392,,0.0,0.0
