Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,48.15,49.05,47.75,48.0,443068,,0.0,0.0
09-08-2021,48.3,53.0,47.7,51.6,4881399,,0.0,0.0
10-08-2021,50.5,54.15,49.3,50.0,6114206,,0.0,0.0
11-08-2021,50.45,50.95,48.05,50.35,1878779,,0.0,0.0
12-08-2021,50.5,52.6,50.15,50.6,2314948,,0.0,0.0
13-08-2021,50.75,51.2,49.25,50.0,1027681,,0.0,0.0
16-08-2021,50.25,50.25,48.15,48.5,928650,,0.0,0.0
17-08-2021,48.6,50.1,48.05,49.05,1225501,,0.0,0.0
18-08-2021,48.75,51.7,48.5,50.75,1429814,,0.0,0.0
20-08-2021,49.3,50.65,48.3,48.9,1508104,,0.0,0.0
23-08-2021,49.1,50.0,46.7,47.45,1200945,,0.0,0.0
24-08-2021,47.05,49.25,47.05,47.75,817123,,0.0,0.0
25-08-2021,48.0,48.65,47.25,47.5,490775,,0.0,0.0
26-08-2021,47.5,49.0,47.25,48.6,887935,,0.0,0.0
27-08-2021,48.85,49.4,48.15,49.0,645363,,0.0,0.0
30-08-2021,49.2,50.0,48.4,48.65,463468,,0.0,0.0
31-08-2021,48.75,49.85,48.35,48.8,678288,,0.0,0.0
01-09-2021,48.9,49.25,48.1,48.55,340915,,0.0,0.0
02-09-2021,48.7,49.9,48.4,49.3,704638,,0.0,0.0
03-09-2021,49.55,53.8,49.35,51.85,4401303,,0.0,0.0
06-09-2021,52.0,53.9,51.2,52.1,2687504,,0.0,0.0
07-09-2021,52.2,52.6,50.8,51.05,700876,,0.0,0.0
08-09-2021,51.25,52.55,50.6,50.8,1000556,,0.0,0.0
09-09-2021,50.75,52.0,50.1,50.3,830688,,0.0,0.0
13-09-2021,50.6,51.9,50.4,50.8,994598,,0.0,0.0
14-09-2021,51.75,54.5,51.2,54.2,7168982,,0.0,0.0
15-09-2021,54.8,55.85,52.05,52.3,3340164,,0.0,0.0
16-09-2021,52.5,52.9,51.7,52.0,1118749,,0.0,0.0
17-09-2021,52.1,52.4,50.5,50.8,1166684,,0.0,0.0
20-09-2021,50.1,52.15,49.75,50.2,1019834,,0.0,0.0
21-09-2021,50.45,52.4,49.8,51.0,1076367,,0.0,0.0
22-09-2021,53.0,55.9,52.25,52.6,8128024,,0.0,0.0
23-09-2021,52.85,53.55,51.7,52.0,1725895,,0.0,0.0
24-09-2021,52.05,52.7,51.25,51.5,714006,,0.0,0.0
27-09-2021,51.95,52.3,51.0,51.15,901535,,0.0,0.0
28-09-2021,51.55,53.0,50.9,51.2,1240826,,0.0,0.0
29-09-2021,51.0,53.5,50.8,52.7,2080440,,0.0,0.0
30-09-2021,53.0,53.35,51.7,51.95,881934,,0.0,0.0
01-10-2021,51.7,55.2,51.1,54.3,4521676,,0.0,0.0
