Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
02-08-2021,145.85,148.17,142.83,143.77,40113,,0.0,0.0
03-08-2021,144.41,144.41,137.49,138.97,87760,,0.0,0.0
04-08-2021,140.11,140.11,132.79,136.99,93997,,0.0,0.0
05-08-2021,135.51,142.73,134.52,138.72,44669,,0.0,0.0
06-08-2021,139.42,141.84,135.51,136.45,54007,,0.0,0.0
09-08-2021,138.48,140.46,133.53,134.52,87566,,0.0,0.0
10-08-2021,133.98,136.94,128.54,131.01,108598,,0.0,0.0
11-08-2021,133.53,137.54,124.48,137.54,111637,,0.0,0.0
12-08-2021,139.47,144.41,139.47,143.42,116889,,0.0,0.0
13-08-2021,150.59,150.59,143.92,144.71,211161,,0.0,0.0
16-08-2021,147.28,147.28,137.49,138.33,53919,,0.0,0.0
17-08-2021,138.33,140.26,133.53,134.52,36812,,0.0,0.0
18-08-2021,136.85,138.38,129.08,131.26,31041,,0.0,0.0
20-08-2021,131.01,131.55,125.72,127.6,53039,,0.0,0.0
23-08-2021,127.15,133.33,121.22,121.22,74832,,0.0,0.0
24-08-2021,123.64,123.64,115.18,121.07,124903,,0.0,0.0
25-08-2021,120.62,124.98,118.99,120.62,61205,,0.0,0.0
26-08-2021,122.45,123.64,119.78,122.6,25821,,0.0,0.0
27-08-2021,122.55,125.62,120.97,123.39,86375,,0.0,0.0
30-08-2021,125.52,127.3,122.65,126.26,30399,,0.0,0.0
31-08-2021,128.19,128.59,123.54,124.33,50672,,0.0,0.0
01-09-2021,126.85,130.51,123.84,130.51,47939,,0.0,0.0
02-09-2021,135.51,136.99,134.03,136.99,50906,,0.0,0.0
03-09-2021,141.64,143.82,138.63,143.82,123382,,0.0,0.0
06-09-2021,140.46,146.39,136.65,137.54,168467,,0.0,0.0
07-09-2021,135.02,142.43,131.7,138.92,72752,,0.0,0.0
08-09-2021,139.66,145.85,137.64,145.45,155876,,0.0,0.0
09-09-2021,143.37,145.4,138.18,140.26,191430,,0.0,0.0
13-09-2021,141.35,141.35,133.28,133.28,68760,,0.0,0.0
14-09-2021,126.66,132.0,126.66,126.66,246626,,0.0,0.0
15-09-2021,126.41,130.17,123.64,124.83,204125,,0.0,0.0
16-09-2021,127.05,127.05,122.65,125.67,244853,,0.0,0.0
17-09-2021,124.33,128.29,121.46,124.88,99011,,0.0,0.0
20-09-2021,124.73,125.52,119.88,121.37,94808,,0.0,0.0
21-09-2021,123.95,127.42,115.31,124.39,212749,,0.5,0.0
22-09-2021,126.93,126.93,121.71,124.59,73278,,0.0,0.0
23-09-2021,126.03,126.03,121.17,122.16,43149,,0.0,0.0
24-09-2021,123.8,124.05,118.04,119.08,85725,,0.0,0.0
27-09-2021,120.62,121.66,114.51,117.34,72210,,0.0,0.0
28-09-2021,120.47,120.57,113.87,115.21,72601,,0.0,0.0
29-09-2021,115.26,120.97,115.21,120.97,67444,,0.0,0.0
30-09-2021,125.64,125.64,118.68,121.91,96930,,0.0,0.0
01-10-2021,121.17,125.78,119.18,124.49,89850,,0.0,0.0
04-10-2021,124.15,130.7,123.4,130.7,277516,,0.0,0.0
05-10-2021,134.08,137.21,130.7,137.21,330715,,0.0,0.0
06-10-2021,138.25,140.78,130.35,130.35,182975,,0.0,0.0
07-10-2021,130.4,134.72,126.13,128.81,131743,,0.0,0.0
08-10-2021,129.11,134.08,124.69,125.69,146068,,0.0,0.0
11-10-2021,128.71,128.81,120.37,123.0,85902,,0.0,0.0
12-10-2021,123.15,126.13,122.21,124.05,42049,,0.0,0.0
13-10-2021,124.69,126.93,123.75,124.64,54293,,0.0,0.0
14-10-2021,124.64,126.08,121.61,123.3,54784,,0.0,0.0
18-10-2021,122.16,125.14,117.79,119.23,143216,,0.0,0.0
19-10-2021,121.46,122.11,115.26,116.65,114943,,0.0,0.0
20-10-2021,117.19,117.19,110.34,113.27,157123,,0.0,0.0
21-10-2021,115.01,117.24,111.33,113.77,63616,,0.0,0.0
22-10-2021,113.82,115.51,109.25,111.78,100711,,0.0,0.0
25-10-2021,111.78,113.12,107.36,108.5,70942,,0.0,0.0
26-10-2021,108.5,113.72,108.26,111.04,54611,,0.0,0.0
27-10-2021,113.22,115.21,111.28,112.38,48400,,0.0,0.0
28-10-2021,110.39,112.92,105.28,107.56,92139,,0.0,0.0
29-10-2021,105.28,109.25,104.28,106.22,60365,,0.0,0.0
01-11-2021,107.26,113.87,105.87,111.53,97816,,0.0,0.0
02-11-2021,115.7,115.7,112.08,112.97,62920,,0.0,0.0
03-11-2021,114.21,114.21,109.79,110.44,48526,,0.0,0.0
