Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
02-08-2021,411.93,427.81,381.92,390.22,528046,,0.0,0.0
03-08-2021,393.16,403.09,375.97,383.01,303880,,0.0,0.0
04-08-2021,388.72,393.93,366.98,373.06,263706,,0.0,0.0
05-08-2021,380.16,381.9,354.41,373.01,126970,,0.0,0.0
06-08-2021,385.33,387.9,368.16,369.28,39604,,0.0,0.0
09-08-2021,371.17,377.58,358.29,361.02,59612,,0.0,0.0
10-08-2021,364.73,364.73,342.98,342.98,84274,,0.0,0.0
11-08-2021,341.13,356.19,325.83,348.85,178142,,0.0,0.0
12-08-2021,351.86,356.15,334.69,352.18,56148,,0.0,0.0
13-08-2021,354.05,356.15,334.59,341.37,53464,,0.0,0.0
16-08-2021,342.85,343.28,324.31,331.71,61800,,0.0,0.0
17-08-2021,321.82,345.42,321.82,333.17,50928,,0.0,0.0
18-08-2021,326.52,338.9,319.68,323.5,56660,,0.0,0.0
20-08-2021,313.69,313.69,307.34,307.34,41666,,0.0,0.0
23-08-2021,292.21,301.23,291.98,291.98,71782,,0.0,0.0
24-08-2021,280.2,305.04,278.05,303.63,129088,,0.0,0.0
25-08-2021,304.66,308.95,296.55,297.86,33104,,0.0,0.0
26-08-2021,297.86,306.78,287.07,293.18,23530,,0.0,0.0
27-08-2021,299.94,299.94,287.92,291.66,22864,,0.0,0.0
30-08-2021,299.85,306.22,287.84,301.48,45298,,0.0,0.0
31-08-2021,304.57,306.37,296.51,298.14,19008,,0.0,0.0
01-09-2021,296.08,302.51,290.5,293.89,24068,,0.0,0.0
02-09-2021,293.93,299.94,290.76,291.44,24502,,0.0,0.0
03-09-2021,299.08,303.8,293.93,300.13,39320,,0.0,0.0
06-09-2021,304.23,304.23,285.78,293.44,41860,,0.0,0.0
07-09-2021,288.35,296.93,285.78,287.22,29694,,0.0,0.0
08-09-2021,285.78,295.39,285.78,290.22,27794,,0.0,0.0
09-09-2021,298.14,298.14,281.06,286.12,46682,,0.0,0.0
13-09-2021,285.35,291.36,283.31,289.47,33440,,0.0,0.0
14-09-2021,289.47,296.08,286.66,291.83,26918,,0.0,0.0
15-09-2021,293.93,306.42,292.69,306.42,34560,,0.0,0.0
16-09-2021,320.53,321.61,306.85,311.14,48636,,0.0,0.0
17-09-2021,317.02,317.02,295.58,308.84,69744,,0.0,0.0
20-09-2021,294.02,300.15,293.42,293.42,54254,,0.0,0.0
21-09-2021,279.62,289.64,278.76,283.74,62278,,0.0,0.0
22-09-2021,285.35,296.08,285.35,291.44,103352,,0.0,0.0
23-09-2021,294.4,302.08,293.78,300.22,48940,,0.0,0.0
24-09-2021,300.22,304.66,290.07,301.33,43572,,0.0,0.0
27-09-2021,302.51,302.51,290.93,292.36,34158,,0.0,0.0
28-09-2021,294.15,306.37,291.83,302.96,71714,,0.0,0.0
29-09-2021,302.51,315.17,302.51,306.07,65394,,0.0,0.0
