Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,13.38,13.76,13.38,13.64,549020,,0.0,0.0
09-08-2021,13.64,13.96,13.0,13.14,362910,,0.0,0.0
10-08-2021,13.14,13.51,12.49,12.49,458110,,0.0,0.0
11-08-2021,11.91,12.6,11.87,12.47,1418830,,0.0,0.0
12-08-2021,12.72,12.82,12.4,12.58,1049450,,0.0,0.0
13-08-2021,12.6,13.0,12.59,12.96,407635,,0.0,0.0
16-08-2021,13.2,13.25,12.79,12.98,497680,,0.0,0.0
17-08-2021,12.98,13.2,12.87,13.08,766785,,0.0,0.0
18-08-2021,13.09,13.37,12.99,13.18,322220,,0.0,0.0
20-08-2021,13.1,13.1,12.53,12.89,1490605,,0.0,0.0
23-08-2021,12.26,13.16,12.25,12.25,1475060,,0.0,0.0
24-08-2021,12.25,12.28,11.64,11.89,450070,,0.0,0.0
25-08-2021,11.94,12.38,11.8,11.91,116310,,0.0,0.0
26-08-2021,12.21,12.21,11.6,11.67,338740,,0.0,0.0
27-08-2021,11.8,11.8,11.4,11.44,181465,,0.0,0.0
30-08-2021,11.43,11.78,11.39,11.68,551975,,0.0,0.0
31-08-2021,11.9,11.9,11.4,11.53,277210,,0.0,0.0
01-09-2021,11.7,11.75,11.41,11.59,203190,,0.0,0.0
02-09-2021,11.74,11.87,11.5,11.61,355245,,0.0,0.0
03-09-2021,11.78,11.78,11.5,11.58,102295,,0.0,0.0
06-09-2021,11.5,11.68,11.25,11.54,66080,,0.0,0.0
07-09-2021,11.6,11.6,11.1,11.12,248900,,0.0,0.0
08-09-2021,11.4,11.4,11.01,11.09,200595,,0.0,0.0
09-09-2021,11.01,11.31,10.96,11.17,143860,,0.0,0.0
13-09-2021,11.17,11.17,10.62,10.8,158495,,0.0,0.0
14-09-2021,11.06,11.1,10.7,10.77,149880,,0.0,0.0
15-09-2021,10.8,11.1,10.77,10.8,105255,,0.0,0.0
16-09-2021,11.0,11.0,10.53,10.6,150545,,0.0,0.0
17-09-2021,10.62,11.12,10.32,10.41,160030,,0.0,0.0
20-09-2021,10.3,10.56,10.04,10.28,173970,,0.0,0.0
21-09-2021,10.57,10.57,9.81,10.07,438590,,0.0,0.0
22-09-2021,10.3,10.57,10.08,10.55,340280,,0.0,0.0
23-09-2021,10.92,11.07,10.6,10.9,742835,,0.0,0.0
24-09-2021,10.9,11.18,10.47,10.57,130390,,0.0,0.0
27-09-2021,10.78,10.78,10.17,10.27,161365,,0.0,0.0
28-09-2021,10.48,10.5,10.1,10.2,106970,,0.0,0.0
29-09-2021,10.38,10.71,10.2,10.7,489515,,0.0,0.0
30-09-2021,10.78,11.0,10.38,10.97,424590,,0.0,0.0
01-10-2021,10.8,11.02,10.62,10.8,229580,,0.0,0.0
04-10-2021,10.98,10.98,10.51,10.79,394820,,0.0,0.0
05-10-2021,10.9,11.0,10.6,10.96,475285,,0.0,0.0
06-10-2021,10.96,11.08,10.46,10.58,247460,,0.0,0.0
07-10-2021,11.16,12.12,10.81,11.14,1916735,,0.0,0.0
08-10-2021,11.26,11.26,10.84,10.94,292160,,0.0,0.0
11-10-2021,10.73,11.29,10.73,11.17,281905,,0.0,0.0
12-10-2021,11.26,11.4,11.02,11.14,215335,,0.0,0.0
13-10-2021,11.39,11.39,10.82,11.02,323185,,0.0,0.0
14-10-2021,11.24,11.24,10.95,11.0,183735,,0.0,0.0
18-10-2021,10.86,11.3,10.86,11.08,386385,,0.0,0.0
19-10-2021,11.25,11.25,10.8,10.86,721765,,0.0,0.0
20-10-2021,11.0,11.0,10.41,10.44,249005,,0.0,0.0
21-10-2021,10.45,10.8,10.38,10.4,74110,,0.0,0.0
22-10-2021,10.65,10.66,10.21,10.3,85520,,0.0,0.0
25-10-2021,10.3,10.76,9.8,9.98,121780,,0.0,0.0
26-10-2021,10.17,10.77,9.66,9.89,1145325,,0.0,0.0
27-10-2021,9.99,11.6,9.88,10.33,1648745,,0.0,0.0
28-10-2021,10.33,11.49,10.33,10.83,1494310,,0.0,0.0
29-10-2021,10.43,10.79,10.3,10.54,190815,,0.0,0.0
