Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
17-10-2024,54.31,54.56,50.82,53.83,2186739,,0.0,0.0
18-10-2024,53.98,53.98,51.22,52.56,1035616,,0.0,0.0
21-10-2024,52.82,53.32,50.82,51.05,713173,,0.0,0.0
22-10-2024,51.07,51.27,48.49,48.49,1161365,,0.0,0.0
23-10-2024,46.69,47.83,46.06,46.06,2399473,,0.0,0.0
24-10-2024,45.84,46.84,44.07,45.59,876896,,0.0,0.0
25-10-2024,46.24,46.24,43.31,43.31,1653326,,0.0,0.0
28-10-2024,42.6,45.47,41.14,44.19,1245658,,0.0,0.0
29-10-2024,44.35,44.57,42.94,43.6,594281,,0.0,0.0
30-10-2024,45.34,45.77,44.56,45.77,240999,,0.0,0.0
31-10-2024,48.05,48.05,46.9,48.05,1803791,,0.0,0.0
01-11-2024,49.83,50.03,48.56,49.22,758588,,0.0,0.0
04-11-2024,50.2,50.2,46.76,46.78,1116839,,0.0,0.0
05-11-2024,45.99,48.57,45.49,46.37,898212,,0.0,0.0
06-11-2024,46.73,48.68,46.55,48.68,962894,,0.0,0.0
07-11-2024,49.13,50.76,47.96,49.78,1994899,,0.0,0.0
08-11-2024,50.77,50.93,47.34,47.82,858180,,0.0,0.0
11-11-2024,46.84,47.72,46.31,46.53,1669657,,0.0,0.0
12-11-2024,46.77,47.73,44.89,45.38,423461,,0.0,0.0
13-11-2024,45.38,45.78,43.11,43.33,915384,,0.0,0.0
14-11-2024,43.7,44.84,42.36,43.9,638191,,0.0,0.0
18-11-2024,44.64,46.09,43.48,44.76,1028407,,0.0,0.0
19-11-2024,45.44,46.99,44.89,45.72,758593,,0.0,0.0
21-11-2024,45.87,45.89,43.64,43.98,584761,,0.0,0.0
22-11-2024,44.29,44.76,43.25,43.74,436942,,0.0,0.0
25-11-2024,44.34,45.92,43.84,44.63,734062,,0.0,0.0
26-11-2024,45.27,45.83,43.25,44.1,700050,,0.0,0.0
27-11-2024,44.59,46.3,43.46,46.27,1053075,,0.0,0.0
28-11-2024,46.24,48.25,46.05,47.32,1037471,,0.0,0.0
29-11-2024,47.82,48.31,46.66,47.46,622786,,0.0,0.0
02-12-2024,48.17,48.83,46.84,48.21,1788802,,0.0,0.0
03-12-2024,48.57,49.67,48.2,49.01,1199404,,0.0,0.0
04-12-2024,49.63,51.22,49.2,50.33,2439486,,0.0,0.0
05-12-2024,50.82,51.17,48.88,49.29,779101,,0.0,0.0
06-12-2024,49.53,50.85,48.58,49.18,904255,,0.0,0.0
09-12-2024,49.18,51.39,49.0,50.16,1822019,,0.0,0.0
10-12-2024,50.41,50.47,47.3,48.83,1342250,,0.0,0.0
11-12-2024,48.93,49.58,48.43,48.59,997960,,0.0,0.0
12-12-2024,48.71,49.11,47.4,47.62,796888,,0.0,0.0
13-12-2024,47.54,50.16,46.65,49.49,1103207,,0.0,0.0
16-12-2024,49.78,51.31,48.82,49.24,1499375,,0.0,0.0
17-12-2024,49.17,49.72,48.44,48.74,642940,,0.0,0.0
18-12-2024,48.83,49.22,47.24,47.49,1020686,,0.0,0.0
19-12-2024,45.99,47.06,45.84,46.69,971303,,0.0,0.0
20-12-2024,46.83,47.05,45.09,45.62,1596661,,0.0,0.0
23-12-2024,46.33,47.15,44.77,45.16,949439,,0.0,0.0
24-12-2024,44.89,46.14,44.73,44.95,658127,,0.0,0.0
26-12-2024,45.13,45.34,44.3,44.43,644778,,0.0,0.0
27-12-2024,44.43,47.78,44.43,46.81,1005304,,0.0,0.0
30-12-2024,46.84,49.33,46.56,47.42,2026817,,0.0,0.0
31-12-2024,46.89,50.92,46.69,49.3,2500153,,0.0,0.0
01-01-2025,49.73,50.53,48.84,49.19,1553967,,0.0,0.0
02-01-2025,49.56,54.1,49.03,53.96,7124895,,0.0,0.0
03-01-2025,53.91,58.7,53.76,57.1,7775552,,0.0,0.0
06-01-2025,57.79,59.72,53.91,54.36,6176725,,0.0,0.0
07-01-2025,54.7,59.48,54.7,59.23,4107258,,0.0,0.0
08-01-2025,59.77,59.77,57.1,58.07,2373126,,0.0,0.0
09-01-2025,58.19,59.08,56.57,57.37,3161640,,0.0,0.0
10-01-2025,57.2,58.55,55.3,56.97,2113209,,0.0,0.0
13-01-2025,56.75,57.4,51.78,53.01,4046488,,0.0,0.0
14-01-2025,52.82,54.76,52.31,53.52,2083750,,0.0,0.0
15-01-2025,53.8,56.49,53.38,54.1,1986286,,0.0,0.0
16-01-2025,54.81,57.05,54.51,54.79,1519098,,0.0,0.0
17-01-2025,55.11,58.53,54.52,55.74,2682853,,0.0,0.0
20-01-2025,56.0,58.7,54.56,58.03,2821897,,0.0,0.0
21-01-2025,58.8,62.23,58.1,59.22,8861247,,0.0,0.0
22-01-2025,59.79,62.19,58.3,61.88,5842726,,0.0,0.0
23-01-2025,62.48,62.78,59.89,60.4,2700448,,0.0,0.0
