Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,162.3,162.3,158.63,159.86,318405,,0.0,0.0
09-08-2021,159.73,159.73,157.15,158.81,256364,,0.0,0.0
10-08-2021,157.59,159.25,150.17,151.48,450464,,0.0,0.0
11-08-2021,151.48,153.18,146.24,150.47,502001,,0.0,0.0
12-08-2021,151.08,154.36,150.86,153.35,343444,,0.0,0.0
13-08-2021,153.79,161.04,152.79,158.55,1244899,,0.0,0.0
16-08-2021,157.67,157.67,151.48,152.48,510743,,0.0,0.0
17-08-2021,152.52,152.52,148.51,149.21,384523,,0.0,0.0
18-08-2021,149.03,151.74,148.11,149.86,400095,,0.0,0.0
20-08-2021,146.67,148.42,144.05,144.75,460863,,0.0,0.0
23-08-2021,146.15,147.02,137.94,138.69,503383,,0.0,0.0
24-08-2021,140.39,141.09,137.11,139.6,407750,,0.0,0.0
25-08-2021,140.61,144.19,140.56,143.01,314778,,0.0,0.0
26-08-2021,143.14,143.71,140.17,140.87,152953,,0.0,0.0
27-08-2021,141.26,143.01,140.56,141.65,240922,,0.0,0.0
30-08-2021,143.79,146.02,142.61,144.58,282119,,0.0,0.0
31-08-2021,144.88,148.07,144.05,145.5,420878,,0.0,0.0
01-09-2021,146.15,147.5,144.62,146.37,254891,,0.0,0.0
02-09-2021,147.02,150.78,146.67,148.51,421382,,0.0,0.0
03-09-2021,148.86,150.17,147.55,147.85,296397,,0.0,0.0
06-09-2021,148.59,158.46,148.42,153.44,1626217,,0.0,0.0
07-09-2021,154.92,156.67,152.83,153.57,607328,,0.0,0.0
08-09-2021,156.18,156.18,151.77,152.09,546788,,4.9,0.0
09-09-2021,152.18,152.27,146.39,147.06,704508,,0.0,0.0
13-09-2021,147.28,148.72,145.49,145.85,424013,,0.0,0.0
14-09-2021,146.39,152.67,146.39,151.24,616973,,0.0,0.0
15-09-2021,149.98,153.21,149.53,152.18,420388,,0.0,0.0
16-09-2021,152.94,154.47,151.24,151.95,408536,,0.0,0.0
17-09-2021,152.67,152.72,145.76,146.3,518928,,0.0,0.0
20-09-2021,145.58,147.91,141.9,142.48,639929,,0.0,0.0
21-09-2021,142.52,143.51,140.23,140.91,331876,,0.0,0.0
22-09-2021,140.55,146.61,140.55,145.71,507626,,0.0,0.0
23-09-2021,146.93,148.77,145.35,145.8,418641,,0.0,0.0
24-09-2021,146.34,146.79,143.74,144.41,185289,,0.0,0.0
27-09-2021,144.86,145.8,141.99,142.88,269786,,0.0,0.0
28-09-2021,143.06,144.68,141.99,142.7,288868,,0.0,0.0
29-09-2021,141.9,148.14,141.81,146.34,1068062,,0.0,0.0
30-09-2021,147.28,149.04,146.39,146.93,410163,,0.0,0.0
01-10-2021,146.39,147.1,145.49,146.75,208748,,0.0,0.0
04-10-2021,147.28,150.88,146.79,149.66,835088,,0.0,0.0
05-10-2021,148.99,151.24,148.81,149.8,439910,,0.0,0.0
06-10-2021,150.52,155.73,149.53,151.28,1776792,,0.0,0.0
07-10-2021,152.58,154.47,144.77,147.78,952181,,0.0,0.0
08-10-2021,148.23,152.58,148.23,148.9,402870,,0.0,0.0
11-10-2021,149.62,150.7,148.41,149.08,482719,,0.0,0.0
12-10-2021,149.04,149.89,146.84,148.27,297885,,0.0,0.0
13-10-2021,148.81,153.62,148.77,151.64,778025,,0.0,0.0
14-10-2021,152.49,153.8,151.01,151.68,448986,,0.0,0.0
18-10-2021,152.54,156.89,152.54,154.02,869185,,0.0,0.0
19-10-2021,154.83,156.4,149.44,150.2,458536,,0.0,0.0
20-10-2021,150.43,154.42,147.28,151.91,567776,,0.0,0.0
21-10-2021,152.18,154.47,142.79,144.1,1230417,,0.0,0.0
22-10-2021,144.63,147.19,143.24,144.68,302881,,0.0,0.0
25-10-2021,145.49,145.67,141.81,142.43,264023,,0.0,0.0
26-10-2021,142.97,146.16,142.43,144.55,257443,,0.0,0.0
27-10-2021,145.31,146.03,142.93,143.92,220978,,0.0,0.0
28-10-2021,144.86,144.86,140.55,141.31,239851,,0.0,0.0
29-10-2021,141.76,142.3,138.75,140.19,226243,,0.0,0.0
01-11-2021,142.17,144.95,141.13,142.88,359015,,0.0,0.0
02-11-2021,144.63,146.66,143.47,145.04,302447,,0.0,0.0
03-11-2021,151.51,154.2,149.84,151.15,2327004,,0.0,0.0
04-11-2021,152.31,152.67,151.42,152.09,185599,,0.0,0.0
08-11-2021,152.4,154.24,150.88,152.9,480776,,0.0,0.0
09-11-2021,152.67,156.62,152.67,155.01,749484,,0.0,0.0
10-11-2021,156.0,158.42,155.01,156.18,1225262,,0.0,0.0
11-11-2021,160.31,161.47,157.43,158.33,2729525,,0.0,0.0
