Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
07-09-2023,89.71,90.93,86.69,88.0,571554,,0.0,0.0
08-09-2023,86.53,89.27,84.97,85.74,261648,,0.0,0.0
11-09-2023,86.24,87.01,84.99,86.53,532620,,0.0,0.0
12-09-2023,87.02,87.07,79.36,81.7,505800,,0.0,0.0
13-09-2023,82.28,83.84,79.68,82.11,326574,,0.28,0.0
14-09-2023,82.66,89.06,82.66,86.61,952812,,0.0,0.0
15-09-2023,87.8,91.79,85.71,89.39,838908,,0.0,0.0
18-09-2023,89.57,91.67,87.09,88.57,800334,,0.0,0.0
20-09-2023,87.36,89.93,86.53,87.64,256932,,0.0,0.0
21-09-2023,87.09,88.19,85.26,85.49,202446,,0.0,0.0
22-09-2023,85.15,86.51,83.33,84.65,251640,,0.0,0.0
25-09-2023,84.65,85.14,81.91,82.45,305478,,0.0,0.0
26-09-2023,82.41,82.49,79.68,80.08,450918,,0.0,0.0
27-09-2023,80.08,82.25,79.05,81.97,477144,,0.0,0.0
28-09-2023,82.39,84.85,81.67,83.35,285354,,0.0,0.0
29-09-2023,83.81,84.73,82.88,83.52,236214,,0.0,0.0
03-10-2023,82.44,85.17,82.44,84.05,234558,,0.0,0.0
04-10-2023,84.59,85.13,81.07,81.92,252522,,0.0,0.0
05-10-2023,82.89,84.82,81.56,83.1,301680,,0.0,0.0
06-10-2023,83.75,84.4,82.08,83.74,176256,,0.0,0.0
09-10-2023,80.79,87.33,80.79,85.29,782928,,0.0,0.0
10-10-2023,86.79,89.85,86.32,87.8,938538,,0.0,0.0
11-10-2023,88.19,94.88,87.31,93.95,3890358,,0.0,0.0
12-10-2023,95.32,97.85,92.07,93.6,2329452,,0.0,0.0
13-10-2023,93.55,95.35,92.28,92.89,636372,,0.0,0.0
16-10-2023,93.67,94.27,91.23,91.61,358020,,0.0,0.0
17-10-2023,92.86,94.0,90.13,90.64,473472,,0.0,0.0
18-10-2023,90.9,92.72,89.7,91.01,333450,,0.0,0.0
19-10-2023,90.13,92.61,89.91,91.12,353808,,0.0,0.0
20-10-2023,90.68,92.58,88.88,89.23,413622,,0.0,0.0
23-10-2023,90.4,92.02,82.88,83.41,1139742,,0.0,0.0
25-10-2023,83.77,85.65,80.73,82.94,728658,,0.0,0.0
26-10-2023,82.94,84.04,80.68,83.28,488286,,0.0,0.0
27-10-2023,83.92,86.53,83.92,84.38,404136,,0.0,0.0
30-10-2023,84.32,85.29,83.22,84.18,194076,,0.0,0.0
31-10-2023,84.54,86.86,84.04,84.74,266400,,0.0,0.0
01-11-2023,85.14,85.56,82.39,83.0,189216,,0.0,0.0
02-11-2023,84.31,84.65,81.12,81.97,447840,,0.0,0.0
03-11-2023,82.82,84.04,81.61,83.54,693756,,0.0,0.0
06-11-2023,84.32,90.33,84.29,89.26,1073196,,0.0,0.0
07-11-2023,89.09,90.15,79.27,82.77,1695204,,0.0,0.0
08-11-2023,81.22,82.76,79.86,81.37,1117098,,0.0,0.0
09-11-2023,79.68,83.49,79.68,82.93,834372,,0.0,0.0
10-11-2023,82.66,83.48,81.29,81.47,312048,,0.0,0.0
13-11-2023,82.77,82.93,80.62,81.05,300096,,0.0,0.0
15-11-2023,81.94,88.52,81.52,87.38,1374840,,0.0,0.0
16-11-2023,88.03,88.33,85.43,85.87,551682,,0.0,0.0
17-11-2023,86.26,86.59,83.81,84.18,406080,,0.0,0.0
20-11-2023,84.18,86.08,83.1,84.71,466020,,0.0,0.0
21-11-2023,84.71,89.08,84.4,87.64,1022274,,0.0,0.0
22-11-2023,88.47,88.88,84.6,85.89,532764,,0.0,0.0
23-11-2023,86.81,88.47,85.34,88.12,433638,,0.0,0.0
24-11-2023,87.92,89.84,85.81,86.42,511578,,0.0,0.0
28-11-2023,85.81,87.39,83.82,84.35,442818,,0.0,0.0
29-11-2023,84.65,89.02,83.61,87.49,1463058,,0.0,0.0
30-11-2023,87.97,88.19,84.9,85.6,547956,,0.0,0.0
01-12-2023,86.26,86.81,84.49,85.01,599724,,0.0,0.0
04-12-2023,85.59,87.86,85.59,87.45,826380,,0.0,0.0
05-12-2023,86.81,90.85,86.51,89.92,1540278,,0.0,0.0
06-12-2023,90.24,90.57,86.81,90.32,600750,,0.0,0.0
07-12-2023,90.68,104.29,88.36,103.54,10074348,,0.0,0.0
08-12-2023,105.06,107.3,103.51,106.21,3341394,,0.0,0.0
11-12-2023,107.6,125.24,107.54,123.25,10035810,,0.0,0.0
12-12-2023,124.41,124.96,117.56,121.41,3483234,,0.0,0.0
13-12-2023,123.03,126.51,113.98,125.62,1856232,,0.0,0.0
14-12-2023,127.28,129.27,122.2,123.06,1536012,,0.0,0.0
15-12-2023,123.85,129.65,121.31,127.92,1564524,,0.0,0.0
18-12-2023,129.94,140.72,125.62,140.72,5878188,,0.0,0.0
19-12-2023,148.74,154.79,140.72,145.69,9924264,,0.0,0.0
20-12-2023,148.46,149.22,136.02,137.98,2420784,,0.0,0.0
21-12-2023,136.35,145.29,135.91,142.67,1902996,,0.0,0.0
22-12-2023,146.36,146.36,141.6,142.85,1175778,,0.0,0.0
26-12-2023,143.82,145.08,141.62,143.45,1382130,,0.0,0.0
27-12-2023,143.82,150.95,142.66,149.55,1600362,,0.0,0.0
28-12-2023,150.84,162.7,150.84,159.63,3462498,,0.0,0.0
29-12-2023,161.39,164.21,159.8,160.64,1905174,,0.0,0.0
01-01-2024,161.95,163.11,151.45,152.0,1928466,,0.0,0.0
02-01-2024,153.71,154.11,145.49,149.65,1313766,,0.0,0.0
03-01-2024,150.83,154.76,149.68,154.03,751806,,0.0,0.0
04-01-2024,154.82,156.11,150.4,151.59,793440,,0.0,0.0
05-01-2024,152.88,153.66,149.9,151.08,493542,,0.0,0.0
08-01-2024,153.65,153.65,147.19,147.92,686538,,0.0,0.0
09-01-2024,148.74,150.89,147.94,149.51,537534,,0.0,0.0
10-01-2024,149.29,156.59,148.18,153.46,762624,,0.0,0.0
11-01-2024,154.82,155.65,149.34,150.1,765000,,0.0,0.0
12-01-2024,150.78,152.05,150.45,151.67,214812,,0.0,0.0
15-01-2024,151.67,151.67,151.67,151.67,0,,0.0,0.0
16-01-2024,152.0,157.31,150.02,153.84,1460808,,0.0,0.0
17-01-2024,153.44,156.75,149.84,152.25,711234,,0.0,0.0
18-01-2024,152.05,154.21,144.04,149.52,840978,,0.0,0.0
19-01-2024,152.28,155.26,150.23,154.51,820584,,0.0,0.0
23-01-2024,180.14,180.14,166.43,170.52,3359214,,0.0,0.0
24-01-2024,173.73,175.17,165.93,171.28,1807416,,0.0,0.0
25-01-2024,174.12,177.43,172.52,176.99,2022696,,0.0,0.0
29-01-2024,184.29,189.8,179.26,187.18,3531672,,0.0,0.0
30-01-2024,190.76,193.11,181.09,181.74,2262060,,0.0,0.0
31-01-2024,184.62,185.17,168.64,170.64,2777868,,0.0,0.0
01-02-2024,173.63,173.84,166.98,170.06,2550474,,0.0,0.0
02-02-2024,180.64,187.06,178.33,187.06,935865,,0.0,6.0
05-02-2024,197.39,203.7,187.29,190.88,1665105,,0.0,0.0
06-02-2024,191.42,194.06,177.6,185.15,673065,,0.0,0.0
07-02-2024,187.71,191.07,185.12,189.43,365463,,0.0,0.0
08-02-2024,191.26,191.26,179.83,181.22,368634,,0.0,0.0
09-02-2024,163.11,172.51,163.11,163.47,1218369,,0.0,0.0
12-02-2024,163.47,165.71,159.44,161.03,431991,,0.0,0.0
13-02-2024,160.24,177.12,158.78,177.12,696549,,0.0,0.0
14-02-2024,170.85,183.53,168.18,179.99,638433,,0.0,0.0
15-02-2024,162.0,172.18,162.0,162.36,1579746,,0.0,0.0
16-02-2024,159.91,160.98,148.64,150.72,1524270,,0.0,0.0
19-02-2024,151.6,154.3,147.66,150.92,705744,,0.0,0.0
20-02-2024,150.92,152.57,143.77,145.36,886308,,0.0,0.0
21-02-2024,146.35,147.95,137.69,138.77,824586,,0.0,0.0
22-02-2024,141.0,144.23,134.69,136.3,1056285,,0.0,0.0
23-02-2024,136.68,143.1,135.04,143.1,824913,,0.0,0.0
26-02-2024,143.1,145.57,139.7,140.63,629394,,0.0,0.0
27-02-2024,141.54,145.21,138.04,143.88,663807,,0.0,0.0
28-02-2024,144.43,144.63,137.05,137.5,390633,,0.0,0.0
29-02-2024,137.55,139.27,133.37,137.63,2124132,,0.0,0.0
01-03-2024,140.33,141.26,133.7,134.59,565302,,0.0,0.0
04-03-2024,138.51,138.97,135.36,135.8,354780,,0.0,0.0
05-03-2024,135.99,137.46,132.37,133.46,474639,,0.0,0.0
06-03-2024,133.8,134.26,128.06,131.64,515406,,0.0,0.0
07-03-2024,132.7,135.36,131.28,132.02,258891,,0.0,0.0
11-03-2024,132.02,133.17,126.56,127.18,308322,,0.0,0.0
12-03-2024,127.21,127.36,120.83,121.02,655167,,0.0,0.0
13-03-2024,119.43,124.41,114.99,114.99,574722,,0.0,0.0
14-03-2024,111.24,120.73,109.48,120.73,893394,,0.0,0.0
15-03-2024,123.05,125.04,114.69,117.92,635046,,0.0,0.0
18-03-2024,118.88,123.41,117.92,119.63,355722,,0.0,0.0
19-03-2024,120.1,122.09,119.43,120.58,300264,,0.0,0.0
20-03-2024,121.75,122.75,114.55,114.77,521106,,0.0,0.0
21-03-2024,116.78,120.49,116.4,120.49,204504,,0.0,0.0
22-03-2024,121.06,126.51,121.06,126.51,416274,,0.0,0.0
26-03-2024,128.39,129.05,121.12,122.2,535383,,0.0,0.0
27-03-2024,124.41,124.81,118.44,119.9,628206,,0.0,0.0
28-03-2024,121.09,123.08,118.44,119.23,623358,,0.0,0.0
01-04-2024,120.43,124.23,118.44,121.97,747384,,0.0,0.0
02-04-2024,123.74,128.06,123.11,127.84,567777,,0.0,0.0
03-04-2024,127.71,132.37,126.88,130.26,661662,,0.0,0.0
04-04-2024,134.69,134.69,128.64,130.89,526914,,0.0,0.0
05-04-2024,132.29,135.92,131.04,135.16,565758,,0.0,0.0
08-04-2024,136.02,137.56,136.0,136.24,255807,,0.0,0.0
09-04-2024,137.45,137.68,134.38,134.91,205359,,0.0,0.0
10-04-2024,136.02,141.64,134.44,141.64,544965,,0.0,0.0
12-04-2024,143.98,148.71,143.73,148.71,454194,,0.0,0.0
15-04-2024,148.71,156.14,141.28,154.85,2293998,,0.0,0.0
16-04-2024,155.59,159.14,147.42,149.97,765537,,0.0,0.0
18-04-2024,149.11,157.47,146.4,154.3,1097805,,0.0,0.0
19-04-2024,149.79,159.19,149.79,156.07,953682,,0.0,0.0
