Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
23-03-2022,48.0,48.0,45.6,45.6,924151,,0.0,0.0
24-03-2022,43.35,43.35,43.35,43.35,35801,,0.0,0.0
25-03-2022,41.2,41.2,41.2,41.2,25042,,0.0,0.0
28-03-2022,39.15,39.15,39.15,39.15,9835,,0.0,0.0
29-03-2022,37.2,37.2,37.2,37.2,17115,,0.0,0.0
30-03-2022,35.35,35.35,35.35,35.35,25015,,0.0,0.0
31-03-2022,33.6,33.6,33.6,33.6,25601,,0.0,0.0
01-04-2022,31.95,31.95,31.95,31.95,32369,,0.0,0.0
04-04-2022,30.4,33.4,30.4,30.4,8552365,,0.0,0.0
05-04-2022,28.9,28.9,28.9,28.9,706287,,0.0,0.0
06-04-2022,27.3,28.45,26.05,27.3,26896669,,0.0,0.0
07-04-2022,26.85,27.85,24.6,24.6,5550096,,0.0,0.0
08-04-2022,24.0,25.0,23.2,23.7,3332536,,0.0,0.0
11-04-2022,23.8,26.05,23.5,26.05,5814197,,0.0,0.0
12-04-2022,28.65,28.65,27.15,28.65,10208254,,0.0,0.0
13-04-2022,31.5,31.5,29.75,31.5,10927090,,0.0,0.0
18-04-2022,30.5,33.25,28.9,32.25,7993128,,0.0,0.0
19-04-2022,33.1,33.3,30.65,30.95,1848706,,0.0,0.0
20-04-2022,30.75,32.45,30.55,32.45,3356309,,0.0,0.0
21-04-2022,33.1,33.9,30.85,31.05,1029572,,0.0,0.0
22-04-2022,30.8,32.6,30.35,32.6,846020,,0.0,0.0
25-04-2022,34.2,34.2,33.1,34.2,1751434,,0.0,0.0
26-04-2022,35.6,35.6,32.5,32.5,1183934,,0.0,0.0
27-04-2022,31.9,31.9,30.9,31.35,2124896,,0.0,0.0
28-04-2022,31.35,32.9,31.25,31.65,706113,,0.0,0.0
29-04-2022,31.15,32.9,30.1,30.1,514971,,0.0,0.0
02-05-2022,29.1,30.85,28.6,30.05,981036,,0.0,0.0
04-05-2022,30.05,31.55,28.55,28.65,412645,,0.0,0.0
05-05-2022,29.7,30.05,29.0,29.5,817823,,0.0,0.0
06-05-2022,28.9,28.95,28.05,28.05,490738,,0.0,0.0
09-05-2022,27.0,29.45,26.65,29.05,4591024,,0.0,0.0
10-05-2022,29.45,30.15,27.6,28.4,2870773,,0.0,0.0
11-05-2022,27.6,29.1,27.0,28.7,1767001,,0.0,0.0
12-05-2022,28.0,28.5,27.3,27.3,769122,,0.0,0.0
13-05-2022,27.3,28.65,26.3,27.05,665363,,0.0,0.0
16-05-2022,27.2,27.5,26.15,26.35,206203,,0.0,0.0
17-05-2022,26.45,27.65,26.45,27.65,236146,,0.0,0.0
18-05-2022,28.4,29.0,26.9,28.6,733853,,0.0,0.0
19-05-2022,27.6,28.0,27.2,27.2,504632,,0.0,0.0
20-05-2022,27.8,28.15,26.5,26.8,814220,,0.0,0.0
23-05-2022,27.3,27.4,25.5,25.5,618944,,0.0,0.0
24-05-2022,26.0,26.0,24.25,24.25,278411,,0.0,0.0
25-05-2022,24.0,24.0,23.05,23.05,736044,,0.0,0.0
26-05-2022,22.2,22.95,21.9,22.15,1296528,,0.0,0.0
27-05-2022,21.35,22.35,21.05,21.15,1282645,,0.0,0.0
30-05-2022,20.8,22.0,20.8,21.05,666138,,0.0,0.0
31-05-2022,21.35,21.6,20.0,20.1,4314818,,0.0,0.0
01-06-2022,19.3,21.1,19.2,21.05,3498465,,0.0,0.0
02-06-2022,20.65,21.75,20.55,20.95,2358378,,0.0,0.0
03-06-2022,21.45,21.45,19.95,19.95,3068832,,0.0,0.0
06-06-2022,20.4,20.9,20.0,20.9,1029166,,0.0,0.0
07-06-2022,21.0,21.9,20.75,21.9,824346,,0.0,0.0
08-06-2022,21.8,22.15,21.05,21.9,1597701,,0.0,0.0
09-06-2022,21.9,22.95,21.65,22.95,1995357,,0.0,0.0
10-06-2022,23.05,24.05,22.15,24.05,673755,,0.0,0.0
13-06-2022,23.8,25.25,23.25,24.5,2419544,,0.0,0.0
14-06-2022,24.9,25.0,23.3,23.5,493948,,0.0,0.0
15-06-2022,23.5,23.7,22.35,22.4,325289,,0.0,0.0
16-06-2022,22.3,23.25,21.3,21.3,422981,,0.0,0.0
17-06-2022,21.1,21.1,20.25,20.25,729878,,0.0,0.0
20-06-2022,19.35,20.25,19.25,19.25,450978,,0.0,0.0
21-06-2022,18.75,19.7,18.5,19.1,765840,,0.0,0.0
22-06-2022,19.3,20.05,18.45,20.05,452586,,0.0,0.0
23-06-2022,20.95,21.05,20.55,21.05,418973,,0.0,0.0
24-06-2022,21.9,22.1,21.6,22.1,181868,,0.0,0.0
27-06-2022,23.2,23.2,21.0,21.1,825812,,0.0,0.0
28-06-2022,20.5,21.0,20.25,20.6,2272422,,0.0,0.0
29-06-2022,20.65,20.75,20.15,20.4,149362,,0.0,0.0
30-06-2022,20.4,20.65,19.45,19.55,303773,,0.0,0.0
01-07-2022,19.65,20.5,19.55,20.1,155588,,0.0,0.0
04-07-2022,20.45,21.1,19.8,21.0,567866,,0.0,0.0
05-07-2022,21.0,22.05,20.85,21.25,695713,,0.0,0.0
06-07-2022,21.5,21.85,20.4,20.85,162842,,0.0,0.0
07-07-2022,20.65,21.45,19.85,19.9,741055,,0.0,0.0
08-07-2022,20.5,20.85,19.8,20.7,1281646,,0.0,0.0
11-07-2022,20.3,20.95,19.7,20.0,1199561,,0.0,0.0
12-07-2022,20.15,20.4,19.65,19.75,307514,,0.0,0.0
13-07-2022,20.35,20.35,19.5,19.7,401572,,0.0,0.0
14-07-2022,19.7,20.6,19.25,20.4,1034615,,0.0,0.0
