Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,16.77,16.99,16.33,16.54,913266,,0.0,0.0
09-08-2021,16.93,17.04,15.78,15.89,989109,,0.0,0.0
10-08-2021,16.22,16.22,15.1,15.1,553995,,0.0,0.0
11-08-2021,14.36,14.66,14.35,14.35,1506339,,0.0,0.0
12-08-2021,14.58,14.75,13.68,14.12,2234259,,0.0,0.0
13-08-2021,14.57,14.82,13.44,14.82,1333521,,0.0,0.0
16-08-2021,15.56,15.56,15.35,15.56,579744,,0.0,0.0
17-08-2021,16.1,16.1,14.79,14.79,1185084,,0.0,0.0
18-08-2021,14.79,14.79,14.05,14.14,358650,,0.0,0.0
20-08-2021,13.63,14.52,13.63,14.12,393327,,0.0,0.0
23-08-2021,14.15,14.79,13.42,13.42,435312,,0.0,0.0
24-08-2021,13.47,14.02,12.75,13.48,797139,,0.0,0.0
25-08-2021,13.59,14.15,13.59,13.99,587394,,0.0,0.0
26-08-2021,14.45,14.68,13.92,14.47,953253,,0.0,0.0
27-08-2021,14.63,14.68,14.03,14.12,205767,,0.0,0.0
30-08-2021,14.57,14.82,14.2,14.81,556821,,0.0,0.0
31-08-2021,15.16,15.5,14.83,15.02,479529,,0.0,0.0
01-09-2021,15.5,15.5,14.37,14.46,312714,,0.0,0.0
02-09-2021,14.68,14.68,13.86,13.91,415494,,0.0,0.0
03-09-2021,14.14,14.32,13.48,13.58,379323,,0.0,0.0
06-09-2021,13.92,13.92,13.15,13.52,394686,,0.0,0.0
07-09-2021,13.69,13.81,13.15,13.28,481455,,0.0,0.0
08-09-2021,13.45,13.48,13.15,13.36,253269,,0.0,0.0
09-09-2021,13.56,13.65,13.13,13.17,387279,,0.0,0.0
13-09-2021,13.15,13.35,13.06,13.12,269991,,0.0,0.0
14-09-2021,13.19,13.77,13.15,13.77,781551,,0.0,0.0
15-09-2021,14.36,14.45,14.08,14.45,555219,,0.0,0.0
16-09-2021,15.12,15.17,14.79,15.17,1758897,,0.0,0.0
17-09-2021,15.23,15.45,14.52,14.79,1201878,,0.0,0.0
20-09-2021,15.01,15.43,14.82,15.03,1100142,,0.0,0.0
21-09-2021,15.34,15.34,14.29,14.34,749403,,0.0,0.0
22-09-2021,14.77,14.77,13.72,13.9,618003,,0.0,0.0
23-09-2021,14.41,14.59,13.96,14.58,603765,,0.0,0.0
24-09-2021,14.71,15.08,14.25,14.57,337077,,0.0,0.0
27-09-2021,14.8,14.8,13.86,14.37,289917,,0.0,0.0
28-09-2021,14.39,14.8,14.25,14.49,218178,,0.0,0.0
29-09-2021,14.79,15.21,14.03,14.36,300069,,0.0,0.0
30-09-2021,14.4,14.72,13.82,13.96,377073,,0.0,0.0
01-10-2021,13.96,14.36,13.73,14.1,101205,,0.0,0.0
04-10-2021,14.79,14.8,14.47,14.8,232362,,0.0,0.0
05-10-2021,15.02,15.34,14.36,14.63,500031,,0.0,0.0
06-10-2021,14.79,14.79,14.03,14.18,335898,,0.0,0.0
07-10-2021,14.68,14.68,13.98,14.12,225828,,0.0,0.0
08-10-2021,15.45,15.45,14.92,15.01,1203705,,0.0,0.0
11-10-2021,15.28,16.51,15.24,15.95,1905651,,0.0,0.0
12-10-2021,16.11,16.11,14.97,15.42,806274,,0.0,0.0
13-10-2021,15.35,16.1,15.27,15.76,737658,,0.0,0.0
14-10-2021,15.76,16.08,15.51,15.58,296658,,0.0,0.0
18-10-2021,16.0,16.2,15.45,15.48,440127,,0.0,0.0
19-10-2021,15.52,15.86,14.37,14.59,550764,,0.0,0.0
20-10-2021,14.15,14.8,14.03,14.57,278802,,0.0,0.0
21-10-2021,14.8,14.84,14.24,14.69,146799,,0.0,0.0
22-10-2021,13.26,14.78,13.26,14.48,117909,,0.0,0.0
25-10-2021,15.23,15.31,14.26,14.81,346230,,0.0,0.0
26-10-2021,15.01,16.29,15.01,16.29,1054323,,0.0,0.0
27-10-2021,16.17,17.92,16.02,17.92,1935261,,0.0,0.0
28-10-2021,19.45,19.45,18.21,18.59,1722681,,0.0,0.0
29-10-2021,18.47,18.79,17.67,17.69,1444248,,0.0,0.0
01-11-2021,17.43,18.58,17.43,18.58,521757,,0.0,0.0
02-11-2021,18.85,19.5,18.85,19.48,1016784,,0.0,0.0
03-11-2021,20.17,20.45,19.87,20.45,414675,,0.0,0.0
04-11-2021,21.47,21.47,20.82,21.27,512811,,0.0,0.0
08-11-2021,22.11,22.25,20.3,20.76,1195668,,0.0,0.0
09-11-2021,20.28,21.79,20.18,21.79,604431,,0.0,0.0
10-11-2021,22.79,22.88,22.09,22.88,1961640,,0.0,0.0
11-11-2021,23.84,23.84,21.87,22.03,1398015,,0.07,0.0
12-11-2021,22.09,22.48,21.24,21.65,648414,,0.0,0.0
15-11-2021,22.42,22.74,21.45,22.74,431496,,0.0,0.0
16-11-2021,23.63,23.87,23.19,23.53,1295451,,0.0,0.0
17-11-2021,23.86,24.18,22.53,22.69,934128,,0.0,0.0
18-11-2021,22.64,23.41,22.13,23.07,594864,,0.0,0.0
22-11-2021,23.42,23.42,22.23,22.32,485793,,0.0,0.0
23-11-2021,22.26,23.44,21.98,23.44,496080,,0.0,0.0
24-11-2021,24.02,24.61,23.8,24.61,318321,,0.0,0.0
25-11-2021,25.84,25.84,25.28,25.84,529245,,0.0,0.0
26-11-2021,25.94,27.13,25.78,27.04,1296126,,0.0,0.0
29-11-2021,27.48,28.03,25.69,25.72,812169,,0.0,0.0
30-11-2021,25.28,27.01,24.76,26.27,572265,,0.0,0.0
01-12-2021,26.93,27.58,25.89,27.29,491625,,0.0,0.0
02-12-2021,28.18,28.65,27.54,28.65,1002753,,0.0,0.0
03-12-2021,29.66,30.08,29.27,30.08,482454,,0.0,0.0
06-12-2021,31.11,31.22,28.58,28.78,1084860,,0.0,0.0
07-12-2021,29.35,30.22,27.94,30.22,796707,,0.0,0.0
08-12-2021,31.32,31.72,30.78,31.72,635571,,0.0,0.0
09-12-2021,33.17,33.3,31.33,33.3,1047762,,0.0,0.0
10-12-2021,34.61,34.97,34.59,34.97,260730,,0.0,0.0
13-12-2021,36.27,36.72,35.72,36.64,2118393,,0.0,0.0
14-12-2021,37.26,37.26,34.8,34.8,475254,,0.0,0.0
15-12-2021,33.07,34.63,33.07,33.09,1573515,,0.0,0.0
16-12-2021,34.61,34.73,31.44,31.5,1167093,,0.0,0.0
17-12-2021,32.63,33.07,31.66,33.07,761958,,0.0,0.0
20-12-2021,33.41,33.41,31.42,31.44,922887,,0.0,0.0
21-12-2021,31.56,33.01,31.33,32.44,427788,,0.0,0.0
22-12-2021,33.4,33.74,31.4,31.78,469773,,0.0,0.0
23-12-2021,32.41,33.37,31.42,33.37,591750,,0.0,0.0
24-12-2021,34.4,35.03,33.3,35.03,901278,,0.0,0.0
27-12-2021,36.14,36.78,35.41,36.78,978066,,0.0,0.0
28-12-2021,38.28,38.3,35.29,35.68,981972,,0.0,0.0
29-12-2021,34.73,36.71,33.9,33.9,633060,,0.0,0.0
30-12-2021,35.0,35.59,34.4,35.34,975429,,0.0,0.0
31-12-2021,35.17,35.59,34.21,35.2,527265,,0.0,0.0
03-01-2022,36.28,36.38,34.79,36.0,541179,,0.0,0.0
04-01-2022,36.49,37.79,35.32,37.79,1009521,,0.0,0.0
05-01-2022,38.64,39.68,38.47,39.68,622134,,0.0,0.0
06-01-2022,41.31,41.66,39.82,41.66,854154,,0.0,0.0
07-01-2022,43.75,43.75,43.21,43.75,422532,,0.0,0.0
10-01-2022,45.93,45.93,43.85,45.93,952758,,0.0,0.0
11-01-2022,48.23,48.23,43.64,43.64,2080989,,0.0,0.0
12-01-2022,43.8,45.7,41.46,44.65,2358234,,0.0,0.0
13-01-2022,45.73,45.73,42.98,45.27,766602,,0.0,0.0
14-01-2022,45.8,47.53,44.71,47.53,628083,,0.0,0.0
17-01-2022,49.9,49.9,49.9,49.9,385677,,0.0,0.0
18-01-2022,52.4,52.4,49.68,50.71,2622798,,0.0,0.0
19-01-2022,51.55,51.55,48.18,49.54,1475847,,0.0,0.0
20-01-2022,51.11,51.99,50.56,51.66,1056870,,0.0,0.0
21-01-2022,51.66,51.66,49.19,49.56,553275,,0.0,0.0
24-01-2022,50.28,51.04,47.09,47.32,895986,,0.04,0.0
25-01-2022,47.32,49.69,45.0,49.69,1061406,,0.0,0.0
27-01-2022,51.04,52.17,49.84,52.17,908847,,0.0,0.0
28-01-2022,53.31,54.78,53.02,54.78,447867,,0.0,0.0
31-01-2022,57.51,57.51,52.81,54.51,1985463,,0.0,0.0
01-02-2022,55.01,55.69,51.78,51.78,1674297,,0.0,0.0
02-02-2022,51.55,54.37,50.83,54.37,766242,,0.0,0.0
03-02-2022,55.56,55.67,52.31,52.83,677853,,0.0,0.0
04-02-2022,53.91,53.91,51.38,53.24,342477,,0.0,0.0
07-02-2022,55.05,55.05,51.06,51.78,915300,,0.0,0.0
08-02-2022,51.71,52.81,49.2,49.78,1504224,,0.0,0.0
09-02-2022,51.35,52.26,50.19,50.61,1215693,,0.0,0.0
10-02-2022,50.94,50.94,48.41,48.91,450027,,0.0,0.0
11-02-2022,48.41,51.16,46.82,50.44,665145,,0.0,0.0
14-02-2022,48.52,50.5,47.92,48.04,876465,,0.0,0.0
15-02-2022,48.04,49.51,46.32,47.11,375318,,0.0,0.0
16-02-2022,48.08,49.47,47.97,49.32,600867,,0.0,0.0
17-02-2022,50.06,50.35,48.08,48.37,396765,,0.0,0.0
