Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,73.75,75.0,73.23,74.08,771457,,0.0,0.0
09-08-2021,74.41,74.82,72.79,73.19,457031,,0.0,0.0
10-08-2021,73.01,73.38,71.09,71.39,581132,,0.0,0.0
11-08-2021,72.27,72.42,68.25,70.72,801343,,0.0,0.0
12-08-2021,73.53,75.52,72.46,73.3,2119816,,0.0,0.0
13-08-2021,73.53,73.53,71.39,71.76,802145,,0.0,0.0
16-08-2021,71.76,73.01,69.1,71.83,803471,,0.0,0.0
17-08-2021,71.53,72.27,69.69,69.99,704818,,0.0,0.0
18-08-2021,70.1,71.31,69.69,70.06,687708,,0.0,0.0
20-08-2021,70.06,70.65,69.14,69.21,707068,,0.0,0.0
23-08-2021,69.62,70.1,67.29,67.59,861853,,0.0,0.0
24-08-2021,67.77,72.2,67.59,69.73,913905,,0.0,0.0
25-08-2021,70.06,70.98,69.17,69.69,596638,,0.0,0.0
26-08-2021,70.13,71.02,69.62,70.5,428966,,0.0,0.0
27-08-2021,70.72,72.64,70.43,72.2,819057,,0.0,0.0
30-08-2021,73.01,74.15,72.86,73.56,1126803,,0.0,0.0
31-08-2021,73.89,77.36,73.56,76.25,3310376,,0.0,0.0
01-09-2021,76.55,77.88,74.12,75.89,1916634,,0.0,0.0
02-09-2021,76.51,82.23,76.14,81.75,8869563,,0.0,0.0
03-09-2021,82.45,83.15,79.65,80.31,3695814,,0.0,0.0
06-09-2021,80.72,81.27,78.02,79.94,2475694,,0.0,0.0
07-09-2021,79.79,79.94,77.95,78.39,1706070,,0.0,0.0
08-09-2021,79.21,80.22,78.55,79.83,1519372,,5.5,0.0
09-09-2021,78.86,79.6,78.63,78.82,868769,,0.0,0.0
13-09-2021,77.89,78.51,76.64,77.3,1080165,,0.0,0.0
14-09-2021,77.89,78.08,76.14,76.29,1180111,,0.0,0.0
15-09-2021,76.92,78.47,76.25,77.85,1205556,,0.0,0.0
16-09-2021,78.24,78.47,77.3,77.97,701215,,0.0,0.0
17-09-2021,78.08,78.2,75.71,76.88,824154,,0.0,0.0
20-09-2021,76.99,76.99,74.7,75.09,641584,,0.0,0.0
21-09-2021,74.93,75.63,73.45,74.47,730502,,0.0,0.0
22-09-2021,76.76,76.76,74.27,74.89,581119,,0.0,0.0
23-09-2021,75.44,76.06,75.05,75.32,419642,,0.0,0.0
24-09-2021,75.36,76.99,75.36,76.45,874139,,0.0,0.0
27-09-2021,76.76,77.23,75.52,75.79,409888,,0.0,0.0
28-09-2021,76.29,78.0,75.79,76.68,1920030,,0.0,0.0
29-09-2021,77.42,90.18,77.38,86.75,21882348,,0.0,0.0
30-09-2021,87.06,92.08,84.26,90.1,11653142,,0.0,0.0
01-10-2021,88.66,91.54,87.73,89.48,3642398,,0.0,0.0
04-10-2021,90.06,92.39,88.11,89.2,2948676,,0.0,0.0
05-10-2021,88.58,90.64,88.27,89.83,2393413,,0.0,0.0
06-10-2021,90.41,96.79,89.09,92.28,7427355,,0.0,0.0
07-10-2021,92.86,92.86,90.21,90.84,1525212,,0.0,0.0
08-10-2021,91.5,99.43,89.63,97.52,13237758,,0.0,0.0
11-10-2021,101.88,107.13,97.99,104.06,12547156,,0.0,0.0
12-10-2021,102.19,105.46,101.49,104.25,3979667,,0.0,0.0
13-10-2021,105.07,109.62,104.17,106.66,5814413,,0.0,0.0
14-10-2021,107.71,107.79,102.66,103.75,2995676,,0.0,0.0
18-10-2021,104.87,106.23,102.81,104.49,1612521,,0.0,0.0
19-10-2021,104.99,112.3,99.16,101.26,7391823,,0.0,0.0
20-10-2021,99.55,100.91,93.75,98.73,1850808,,0.0,0.0
21-10-2021,100.32,104.99,94.49,103.98,3393965,,0.0,0.0
22-10-2021,104.02,107.71,98.38,100.44,2209749,,0.0,0.0
25-10-2021,100.71,102.11,97.52,99.24,1304560,,0.0,0.0
26-10-2021,100.91,103.44,100.36,102.81,784287,,0.0,0.0
27-10-2021,103.36,103.36,98.92,100.17,648282,,0.0,0.0
28-10-2021,99.39,100.29,97.21,97.8,736057,,0.0,0.0
29-10-2021,97.99,99.24,94.34,98.19,806362,,0.0,0.0
01-11-2021,98.89,100.17,97.6,99.16,421314,,0.0,0.0
02-11-2021,99.43,100.32,97.21,97.41,575366,,0.0,0.0
03-11-2021,97.95,99.16,97.21,98.03,564350,,0.0,0.0
04-11-2021,98.92,99.62,98.46,99.39,190152,,0.0,0.0
08-11-2021,100.4,102.39,98.3,98.57,1046319,,0.0,0.0
09-11-2021,99.27,100.25,97.21,97.95,435061,,0.0,0.0
10-11-2021,98.89,99.47,95.58,96.4,839527,,0.0,0.0
11-11-2021,96.47,97.76,94.65,94.96,705275,,0.0,0.0
12-11-2021,95.07,95.66,91.69,93.52,1369730,,0.0,0.0
15-11-2021,94.02,94.37,92.39,92.7,427322,,0.0,0.0
16-11-2021,93.32,93.32,90.99,91.46,673305,,0.0,0.0
17-11-2021,91.23,95.81,91.23,94.49,1235321,,0.0,0.0
18-11-2021,94.84,95.39,90.99,91.15,977079,,0.0,0.0
22-11-2021,92.47,92.47,86.4,87.57,982964,,0.0,0.0
23-11-2021,88.54,90.76,87.65,90.1,758618,,0.0,0.0
24-11-2021,91.34,92.55,90.8,91.3,643306,,0.0,0.0
25-11-2021,91.62,93.32,90.79,92.57,417547,,2.0,0.0
26-11-2021,90.59,93.91,88.81,89.32,953558,,0.0,0.0
29-11-2021,88.61,89.09,83.55,84.89,1229974,,0.0,0.0
30-11-2021,86.08,90.2,85.21,87.74,1362938,,0.0,0.0
01-12-2021,89.32,89.56,86.75,87.58,542456,,0.0,0.0
02-12-2021,87.58,89.01,87.11,88.49,503032,,0.0,0.0
03-12-2021,88.61,90.39,88.38,88.77,488656,,0.0,0.0
06-12-2021,89.92,90.59,87.03,87.43,736060,,0.0,0.0
07-12-2021,88.1,88.89,87.03,87.31,479726,,0.0,0.0
08-12-2021,88.22,90.51,88.14,90.35,945880,,0.0,0.0
09-12-2021,90.99,91.14,88.65,89.36,821548,,0.0,0.0
10-12-2021,88.73,89.96,88.61,89.21,502175,,0.0,0.0
13-12-2021,90.2,92.09,89.48,89.72,763165,,0.0,0.0
14-12-2021,89.72,90.83,89.21,90.08,570099,,0.0,0.0
15-12-2021,90.27,90.27,89.01,89.25,388381,,0.0,0.0
16-12-2021,89.32,89.32,87.82,87.98,405255,,0.0,0.0
17-12-2021,87.98,88.14,85.09,86.2,829975,,0.0,0.0
20-12-2021,85.76,85.76,81.61,82.8,977122,,0.0,0.0
21-12-2021,84.42,85.65,83.15,83.98,534710,,0.0,0.0
22-12-2021,84.06,85.29,83.59,84.78,346794,,0.0,0.0
23-12-2021,85.84,86.0,84.97,85.21,276110,,0.0,0.0
24-12-2021,86.0,89.32,83.55,83.98,704331,,0.0,0.0
27-12-2021,83.94,84.26,82.28,82.76,592782,,0.0,0.0
28-12-2021,83.07,86.16,83.07,85.33,558719,,0.0,0.0
29-12-2021,85.29,86.4,84.93,85.53,410077,,0.0,0.0
30-12-2021,85.61,86.24,83.94,84.3,388810,,0.0,0.0
31-12-2021,85.33,86.56,85.05,86.28,373504,,0.0,0.0
03-01-2022,86.79,87.94,86.63,87.35,437377,,0.0,0.0
04-01-2022,88.02,88.93,87.11,87.86,512136,,0.0,0.0
05-01-2022,87.86,88.61,86.67,87.27,468272,,0.0,0.0
06-01-2022,87.03,87.27,86.04,86.52,413574,,0.0,0.0
07-01-2022,87.03,88.53,85.76,86.87,586985,,0.0,0.0
10-01-2022,87.19,88.14,86.67,86.83,631953,,0.0,0.0
11-01-2022,87.23,87.35,85.53,85.8,533703,,0.0,0.0
12-01-2022,86.0,87.98,85.84,87.11,919622,,0.0,0.0
13-01-2022,87.94,87.94,86.67,86.87,641309,,0.0,0.0
14-01-2022,86.91,87.43,86.04,87.15,594657,,0.0,0.0
17-01-2022,87.31,87.51,86.12,86.56,454606,,0.0,0.0
18-01-2022,87.74,90.91,86.67,88.57,2114163,,0.0,0.0
19-01-2022,89.25,90.12,87.11,89.29,1286119,,0.0,0.0
20-01-2022,84.89,86.12,79.16,79.51,8459900,,0.0,0.0
21-01-2022,79.12,80.03,74.17,74.73,5838335,,0.0,0.0
24-01-2022,74.45,74.73,63.41,70.69,3856086,,0.0,0.0
25-01-2022,68.83,75.56,68.83,75.0,2732783,,0.0,0.0
27-01-2022,74.37,76.31,72.24,74.77,1550817,,0.0,0.0
28-01-2022,74.57,77.22,74.41,74.77,993343,,0.0,0.0
31-01-2022,74.89,76.51,74.49,75.24,750790,,0.0,0.0
01-02-2022,76.23,76.23,74.57,75.2,848759,,0.0,0.0
02-02-2022,75.91,76.51,75.4,76.11,687905,,0.0,0.0
03-02-2022,76.11,76.98,75.68,75.76,555301,,0.0,0.0
04-02-2022,75.95,76.35,75.16,75.4,436905,,0.0,0.0
07-02-2022,76.19,76.19,74.85,75.44,351713,,0.0,0.0
08-02-2022,76.03,76.03,73.74,74.02,582001,,0.0,0.0
09-02-2022,74.69,77.46,74.53,76.78,783029,,0.0,0.0
10-02-2022,77.38,78.09,76.75,77.22,843523,,0.0,0.0
11-02-2022,76.59,77.1,75.2,75.44,551076,,0.0,0.0
