Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,6.15,6.75,6.15,6.75,7168971,,0.0,0.0
09-08-2021,7.0,7.0,6.45,6.55,5672091,,0.0,0.0
10-08-2021,6.55,6.75,6.25,6.25,4948761,,0.0,0.0
11-08-2021,6.1,6.5,5.95,6.05,8350868,,0.0,0.0
12-08-2021,6.05,6.35,6.0,6.35,3175141,,0.0,0.0
13-08-2021,6.55,6.6,6.35,6.5,5660315,,0.0,0.0
16-08-2021,6.35,6.5,6.2,6.2,4258349,,0.0,0.0
17-08-2021,5.9,5.9,5.9,5.9,1972855,,0.0,0.0
18-08-2021,5.65,5.65,5.65,5.65,1842119,,0.0,0.0
20-08-2021,5.4,5.5,5.4,5.4,3288086,,0.0,0.0
23-08-2021,5.15,5.25,5.15,5.15,3578101,,0.0,0.0
24-08-2021,4.9,5.3,4.9,4.9,17086660,,0.0,0.0
25-08-2021,5.05,5.05,4.7,4.7,9790855,,0.0,0.0
26-08-2021,4.8,4.9,4.7,4.85,10369054,,0.0,0.0
27-08-2021,4.95,4.95,4.7,4.8,7101127,,0.0,0.0
30-08-2021,4.8,4.85,4.65,4.75,9444392,,0.0,0.0
31-08-2021,4.8,4.9,4.55,4.55,7796010,,0.0,0.0
01-09-2021,4.5,4.7,4.35,4.7,10989825,,0.0,0.0
02-09-2021,4.8,4.8,4.6,4.65,4964065,,0.0,0.0
03-09-2021,4.75,4.75,4.6,4.7,4707831,,0.0,0.0
06-09-2021,4.75,4.75,4.6,4.65,4158447,,0.0,0.0
07-09-2021,4.65,4.65,4.5,4.55,3837547,,0.0,0.0
08-09-2021,4.5,4.75,4.45,4.7,13909771,,0.0,0.0
09-09-2021,4.75,4.75,4.55,4.65,5976373,,0.0,0.0
13-09-2021,4.7,4.7,4.5,4.6,5591373,,0.0,0.0
14-09-2021,4.65,4.8,4.6,4.65,14723151,,0.0,0.0
15-09-2021,4.7,4.75,4.6,4.65,7904734,,0.0,0.0
16-09-2021,4.7,4.75,4.55,4.6,8932911,,0.0,0.0
17-09-2021,4.6,4.75,4.5,4.7,17160801,,0.0,0.0
20-09-2021,4.7,4.9,4.6,4.65,14804019,,0.0,0.0
21-09-2021,4.6,4.7,4.5,4.65,6459293,,0.0,0.0
