Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,25.05,26.3,24.55,24.95,608615,,0.0,0.0
09-08-2021,25.45,25.8,22.8,23.8,551384,,0.0,0.0
10-08-2021,23.8,24.45,22.2,22.75,371418,,0.0,0.0
11-08-2021,22.5,24.3,21.15,23.45,774233,,0.0,0.0
12-08-2021,23.45,24.5,23.0,23.9,285423,,0.0,0.0
13-08-2021,23.6,24.5,22.95,23.3,231705,,0.0,0.0
16-08-2021,23.5,24.3,22.2,24.1,320998,,0.0,0.0
17-08-2021,24.25,24.5,23.0,23.1,197255,,0.0,0.0
18-08-2021,23.0,23.6,21.6,22.4,223324,,0.0,0.0
20-08-2021,22.4,22.75,21.1,21.3,306871,,0.0,0.0
23-08-2021,21.7,22.35,19.5,20.45,246202,,0.0,0.0
24-08-2021,20.0,22.25,20.0,22.0,198346,,0.0,0.0
25-08-2021,22.95,23.05,22.25,22.7,119046,,0.0,0.0
26-08-2021,23.5,23.5,20.45,20.75,699115,,0.0,0.0
27-08-2021,20.65,21.5,20.65,21.35,124948,,0.0,0.0
30-08-2021,22.0,23.45,21.4,23.45,402972,,0.0,0.0
31-08-2021,24.8,24.8,22.2,22.65,577392,,0.0,0.0
01-09-2021,22.95,24.0,22.65,23.2,266782,,0.0,0.0
02-09-2021,23.6,25.5,23.2,24.6,663551,,0.0,0.0
03-09-2021,24.7,25.45,24.0,24.45,183680,,0.0,0.0
06-09-2021,24.5,26.25,24.45,25.15,614355,,0.0,0.0
07-09-2021,25.05,27.6,25.05,26.1,1130181,,0.0,0.0
08-09-2021,26.5,27.8,25.65,26.15,1127154,,0.0,0.0
09-09-2021,26.0,27.4,25.95,26.9,626466,,0.0,0.0
13-09-2021,27.0,29.55,26.0,29.55,3285728,,0.0,0.0
14-09-2021,30.0,32.5,28.4,30.05,4064964,,0.0,0.0
15-09-2021,30.0,30.95,28.55,28.65,1333661,,0.0,0.0
16-09-2021,28.1,29.45,27.55,28.8,687269,,0.0,0.0
17-09-2021,28.55,29.25,27.4,27.4,502695,,0.0,0.0
20-09-2021,27.75,27.75,26.05,26.05,524820,,0.0,0.0
21-09-2021,25.6,26.8,25.25,25.8,445031,,0.0,0.0
22-09-2021,26.05,27.05,25.6,27.05,952989,,0.0,0.0
23-09-2021,27.5,28.4,27.15,28.4,1447645,,0.0,0.0
24-09-2021,28.95,29.3,27.3,27.55,672956,,0.0,0.0
27-09-2021,28.0,28.8,27.75,28.0,643709,,0.0,0.0
28-09-2021,28.4,28.4,26.6,27.0,466965,,0.0,0.0
29-09-2021,27.15,27.8,25.7,26.05,791167,,0.0,0.0
30-09-2021,26.3,27.35,26.3,27.35,646431,,0.0,0.0
01-10-2021,28.0,28.4,27.5,27.8,580102,,0.0,0.0
04-10-2021,28.5,29.15,27.75,29.15,688568,,0.0,0.0
05-10-2021,29.15,30.3,28.65,28.95,948178,,0.0,0.0
06-10-2021,28.9,30.35,28.75,30.35,2333903,,0.0,0.0
07-10-2021,31.75,31.85,29.15,30.95,6117930,,0.0,0.0
08-10-2021,30.5,32.45,30.0,32.45,2998839,,0.0,0.0
11-10-2021,33.4,34.05,33.15,34.05,1947281,,0.0,0.0
12-10-2021,34.9,35.75,33.75,35.75,3030522,,0.0,0.0
13-10-2021,37.5,37.5,37.5,37.5,585318,,0.0,0.0
14-10-2021,39.35,39.35,37.3,39.35,4821112,,0.0,0.0
18-10-2021,41.3,41.3,41.3,41.3,807342,,0.0,0.0
19-10-2021,43.35,43.35,39.25,42.4,7072065,,0.0,0.0
20-10-2021,42.0,44.5,40.3,44.5,4080460,,0.0,0.0
21-10-2021,46.7,46.7,44.5,46.7,4021515,,0.0,0.0
22-10-2021,47.9,48.05,44.4,44.4,1441136,,0.0,0.0
25-10-2021,42.2,43.5,42.2,42.2,726310,,0.0,0.0
26-10-2021,40.1,42.2,40.1,40.1,3006989,,0.0,0.0
27-10-2021,39.2,41.85,38.2,38.6,975081,,0.0,0.0
28-10-2021,37.7,38.5,36.7,36.7,768673,,0.0,0.0
29-10-2021,37.4,38.45,35.25,35.9,861645,,0.0,0.0
01-11-2021,36.0,37.65,35.85,37.65,534970,,0.0,0.0
02-11-2021,39.15,39.5,39.15,39.5,468641,,0.0,0.0
