Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,144.1,148.6,142.0,143.45,5916487,,0.0,0.0
09-08-2021,145.25,149.4,141.05,142.65,7439882,,0.0,0.0
10-08-2021,142.65,146.0,129.15,135.65,9856418,,0.0,0.0
11-08-2021,136.25,151.0,127.65,147.4,23336844,,0.0,0.0
12-08-2021,150.25,155.5,148.65,152.95,12146492,,0.0,0.0
13-08-2021,153.0,154.35,146.55,149.8,7312043,,0.0,0.0
16-08-2021,150.45,159.0,148.05,153.75,14055915,,0.0,0.0
17-08-2021,156.65,162.3,148.65,149.85,16602721,,0.0,0.0
18-08-2021,150.5,151.4,142.6,144.5,7603361,,0.0,0.0
20-08-2021,142.0,147.45,136.4,138.1,8705988,,0.0,0.0
23-08-2021,140.3,142.65,131.6,135.4,7009846,,0.0,0.0
24-08-2021,136.0,142.5,134.0,141.6,7041250,,0.0,0.0
25-08-2021,142.0,143.3,136.1,137.4,5204351,,0.0,0.0
26-08-2021,137.55,138.3,133.6,134.6,3986680,,0.0,0.0
27-08-2021,134.4,139.7,134.0,135.45,6510561,,0.0,0.0
30-08-2021,136.7,141.5,136.2,139.4,6700346,,0.0,0.0
31-08-2021,139.6,140.6,135.5,136.4,5211033,,0.0,0.0
01-09-2021,136.9,146.25,132.2,144.25,18598969,,0.0,0.0
02-09-2021,143.95,149.0,141.9,145.05,10261770,,0.0,0.0
03-09-2021,145.5,151.5,144.2,145.95,9860764,,0.0,0.0
06-09-2021,146.7,149.25,143.5,146.6,8641044,,0.0,0.0
07-09-2021,147.3,147.4,142.25,143.5,5023840,,0.0,0.0
08-09-2021,143.7,150.5,141.75,148.5,11361503,,0.0,0.0
09-09-2021,148.15,148.9,143.1,144.05,6699815,,0.0,0.0
13-09-2021,143.25,144.7,139.3,141.3,7497561,,0.0,0.0
14-09-2021,142.25,144.0,137.55,139.8,8930014,,0.0,0.0
15-09-2021,140.15,142.0,136.6,137.65,5176433,,0.0,0.0
16-09-2021,138.55,144.25,137.2,139.85,8243618,,0.0,0.0
17-09-2021,141.15,141.3,133.05,134.7,8003229,,0.0,0.0
20-09-2021,131.1,134.25,125.5,127.3,8660819,,0.0,0.0
21-09-2021,128.0,134.3,125.8,133.5,9192166,,0.0,0.0
22-09-2021,134.2,148.35,133.05,145.2,23878994,,0.0,0.0
23-09-2021,146.8,157.0,146.35,154.15,29188716,,0.0,0.0
24-09-2021,154.7,161.0,149.35,150.65,19096501,,0.0,0.0
27-09-2021,151.9,155.1,150.0,150.9,9004084,,0.0,0.0
28-09-2021,151.75,152.65,140.8,144.6,11306345,,0.0,0.0
29-09-2021,142.5,148.7,142.1,145.6,7721276,,0.0,0.0
30-09-2021,146.4,153.35,145.7,149.95,10268442,,0.0,0.0
01-10-2021,147.75,153.45,147.75,152.35,12508856,,0.0,0.0
04-10-2021,153.25,160.45,153.25,158.05,16823560,,0.0,0.0
05-10-2021,156.4,158.2,153.05,154.85,9320644,,0.0,0.0
06-10-2021,155.5,156.7,146.7,147.6,10186745,,0.0,0.0
07-10-2021,149.55,154.4,149.5,150.1,10390429,,0.0,0.0
08-10-2021,150.95,153.9,148.0,148.95,6433726,,0.0,0.0
11-10-2021,149.3,153.7,148.6,150.0,7500457,,0.0,0.0
12-10-2021,149.5,154.0,148.1,152.35,8438585,,0.0,0.0
13-10-2021,152.9,157.0,149.35,151.05,11163130,,0.0,0.0
14-10-2021,152.45,166.6,151.75,164.1,32913771,,0.0,0.0
18-10-2021,182.0,186.0,172.5,174.45,29862107,,0.0,0.0
19-10-2021,175.6,176.0,160.0,162.15,12936333,,0.0,0.0
20-10-2021,162.45,164.4,153.0,155.6,12441581,,0.0,0.0
21-10-2021,157.1,165.75,154.25,159.6,13334446,,0.0,0.0
22-10-2021,163.0,168.0,158.0,162.8,13362186,,0.0,0.0
25-10-2021,163.4,164.35,153.0,153.7,8628871,,0.0,0.0
26-10-2021,154.1,161.0,153.45,158.45,8428605,,0.0,0.0
27-10-2021,160.6,164.25,157.6,159.1,7999670,,0.0,0.0
28-10-2021,159.9,160.5,150.95,152.1,8487232,,0.0,0.0
29-10-2021,151.65,155.2,148.35,151.8,6965023,,0.0,0.0
01-11-2021,153.15,163.4,153.15,161.45,12367233,,0.0,0.0
02-11-2021,163.2,180.5,161.05,176.5,35322329,,0.0,0.0
03-11-2021,178.0,183.4,173.2,176.6,18213898,,0.0,0.0
04-11-2021,179.6,184.7,179.6,181.25,10353712,,0.0,0.0
08-11-2021,183.6,191.8,182.2,189.8,18962205,,0.0,0.0
09-11-2021,190.45,195.9,187.7,191.05,20040324,,0.0,0.0
10-11-2021,188.65,192.7,184.0,184.6,9541362,,0.0,0.0
11-11-2021,185.7,188.7,178.5,181.25,10697867,,0.0,0.0
12-11-2021,182.5,191.7,176.1,189.6,15345250,,0.0,0.0
15-11-2021,190.95,191.6,184.65,186.95,8230509,,0.0,0.0
16-11-2021,187.35,190.45,182.55,183.55,8502222,,0.0,0.0
17-11-2021,183.3,188.2,179.55,180.55,10363545,,0.0,0.0
18-11-2021,180.15,181.55,172.1,173.4,11704089,,0.0,0.0
22-11-2021,174.7,177.65,159.35,162.1,16600806,,0.0,0.0
23-11-2021,161.0,176.4,160.8,174.05,17366983,,0.0,0.0
24-11-2021,175.1,182.4,174.75,176.7,13510309,,0.0,0.0
25-11-2021,177.4,179.5,174.05,177.3,8589400,,0.0,0.0
