Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,99.32,101.94,98.77,99.65,366817,,0.0,0.0
09-08-2021,99.42,100.26,96.39,97.69,301093,,0.0,0.0
10-08-2021,96.48,98.39,86.08,92.47,771571,,0.0,0.0
11-08-2021,93.82,95.59,87.06,93.31,956352,,0.0,0.0
12-08-2021,94.06,97.37,92.84,94.1,437310,,0.0,0.0
13-08-2021,94.57,105.01,92.84,103.47,3931234,,0.0,0.0
16-08-2021,102.12,103.01,98.3,99.32,629614,,0.0,0.0
17-08-2021,98.86,99.79,96.15,96.95,356614,,0.0,0.0
18-08-2021,97.37,98.3,92.8,93.64,336669,,0.0,0.0
20-08-2021,93.08,94.66,88.93,89.67,495624,,0.0,0.0
23-08-2021,90.93,91.82,83.1,84.54,585348,,0.0,0.0
24-08-2021,85.24,91.4,85.01,89.72,563480,,0.0,0.0
25-08-2021,90.7,92.33,89.44,90.18,186613,,0.0,0.0
26-08-2021,90.46,90.7,87.67,88.27,146374,,0.0,0.0
27-08-2021,87.29,90.09,85.24,87.62,313044,,0.0,0.0
30-08-2021,88.51,91.72,88.18,89.91,284433,,0.0,0.0
31-08-2021,90.0,92.33,89.53,91.02,256064,,0.0,0.0
01-09-2021,90.93,100.72,90.93,98.53,1459298,,0.0,0.0
02-09-2021,96.99,102.59,96.81,100.07,778061,,0.0,0.0
03-09-2021,100.72,106.32,100.12,104.83,1356012,,0.0,0.0
06-09-2021,105.39,109.3,105.01,107.35,1091562,,0.0,0.0
07-09-2021,107.53,107.53,101.0,102.03,562940,,0.0,0.0
08-09-2021,102.78,103.99,100.68,101.24,359241,,0.0,0.0
09-09-2021,101.28,104.17,99.56,102.4,321702,,0.0,0.0
13-09-2021,103.01,104.31,101.14,101.94,364210,,0.0,0.0
14-09-2021,102.59,105.95,101.8,102.5,573532,,0.0,0.0
15-09-2021,103.43,104.64,101.05,101.38,205185,,0.0,0.0
16-09-2021,102.78,103.8,99.65,101.19,383604,,0.0,0.0
17-09-2021,102.03,103.06,96.76,98.58,300317,,0.0,0.0
20-09-2021,97.55,101.61,94.38,95.08,344397,,0.0,0.0
21-09-2021,95.59,101.56,91.4,99.04,1383287,,0.0,0.0
22-09-2021,103.24,116.39,100.72,108.7,4607377,,0.0,0.0
23-09-2021,110.05,122.59,110.05,118.63,5245076,,0.0,0.0
24-09-2021,119.84,127.68,114.71,117.7,3602172,,0.0,0.0
27-09-2021,118.86,123.71,118.44,120.96,1003503,,0.0,0.0
28-09-2021,121.24,125.9,116.62,123.2,1466284,,0.0,0.0
29-09-2021,121.75,124.51,118.58,119.38,664100,,0.0,0.0
30-09-2021,119.8,130.01,119.8,126.23,1493915,,0.0,0.0
01-10-2021,126.18,132.43,124.18,128.52,944489,,0.0,0.0
04-10-2021,128.52,131.22,128.28,130.05,647798,,0.0,0.0
05-10-2021,130.75,132.67,127.21,130.8,564420,,0.0,0.0
06-10-2021,131.83,134.95,122.45,123.9,812186,,0.0,0.0
07-10-2021,125.67,134.76,125.67,129.5,1232248,,0.0,0.0
08-10-2021,130.66,132.43,128.0,128.89,649734,,0.0,0.0
11-10-2021,129.54,131.59,124.97,125.39,703275,,0.0,0.0
12-10-2021,125.9,127.3,121.61,123.48,524201,,0.0,0.0
13-10-2021,126.23,127.3,122.64,123.25,368382,,0.0,0.0
14-10-2021,124.51,128.98,123.71,127.68,593072,,0.0,0.0
