Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,390.81,401.78,389.24,394.35,863624,,0.0,0.0
09-08-2021,395.24,397.11,380.87,389.09,628114,,0.0,0.0
10-08-2021,386.48,388.6,361.09,375.01,1094194,,0.0,0.0
11-08-2021,366.8,370.83,347.41,365.86,1123825,,0.0,0.0
12-08-2021,365.12,378.61,362.17,373.29,466117,,0.0,0.0
13-08-2021,373.0,381.85,369.95,375.9,804310,,0.0,0.0
16-08-2021,375.36,379.89,369.11,372.7,311966,,0.0,0.0
17-08-2021,371.52,373.93,359.42,370.39,435125,,0.0,0.0
18-08-2021,369.55,379.44,367.09,371.77,381920,,0.0,0.0
20-08-2021,364.88,368.57,349.62,357.3,291862,,0.0,0.0
23-08-2021,357.35,359.46,331.42,339.29,410709,,0.0,0.0
24-08-2021,336.68,353.12,332.7,347.16,786445,,0.0,0.0
25-08-2021,347.16,353.71,344.95,350.36,376330,,0.0,0.0
26-08-2021,348.39,353.31,341.5,344.75,335498,,0.0,0.0
27-08-2021,343.37,357.94,341.5,351.64,853241,,0.0,0.0
30-08-2021,354.35,359.07,347.01,351.44,504162,,0.0,0.0
31-08-2021,351.54,363.06,351.54,359.42,937219,,0.0,0.0
01-09-2021,361.09,373.98,357.0,370.98,2807568,,0.0,0.0
02-09-2021,370.0,377.92,366.11,370.63,1658751,,0.0,0.0
03-09-2021,373.0,383.43,369.26,370.98,2114517,,0.0,0.0
06-09-2021,371.77,381.41,368.03,379.2,2693434,,0.0,0.0
07-09-2021,381.76,383.53,373.14,375.6,1537951,,0.0,0.0
08-09-2021,379.89,387.17,376.49,379.84,2401502,,0.0,0.0
09-09-2021,378.41,381.66,373.98,378.75,3075347,,0.0,0.0
13-09-2021,377.57,390.51,371.52,388.4,3178180,,0.0,0.0
14-09-2021,389.73,409.9,388.69,406.85,6993301,,0.0,0.0
15-09-2021,410.64,435.69,406.65,418.76,5119924,,0.0,0.0
16-09-2021,430.08,441.89,419.99,432.34,3765738,,0.0,0.0
17-09-2021,436.97,457.14,418.37,426.53,3397360,,0.0,0.0
20-09-2021,421.22,441.59,409.9,427.03,2058277,,0.0,0.0
21-09-2021,430.67,446.32,420.48,441.35,3259363,,0.0,0.0
22-09-2021,443.27,467.96,437.59,458.68,3246397,,1.5,0.0
23-09-2021,463.22,494.72,460.16,484.45,5292626,,0.0,0.0
24-09-2021,489.78,500.64,476.4,483.12,2524505,,0.0,0.0
27-09-2021,482.87,497.68,480.89,492.89,1442942,,0.0,0.0
28-09-2021,493.34,495.31,455.71,479.02,1953193,,0.0,0.0
29-09-2021,473.59,474.87,459.17,462.08,4294204,,0.0,0.0
30-09-2021,467.76,485.78,467.76,475.61,1902992,,0.0,0.0
01-10-2021,472.99,489.29,471.12,478.48,1376973,,0.0,0.0
04-10-2021,475.96,487.26,475.27,479.91,1258888,,0.0,0.0
05-10-2021,478.43,491.46,474.38,487.56,787353,,0.0,0.0
06-10-2021,486.23,490.03,465.1,470.62,734457,,0.0,0.0
07-10-2021,474.18,502.62,472.45,491.41,2659952,,0.0,0.0
08-10-2021,492.74,502.32,479.91,490.52,1886963,,0.0,0.0
11-10-2021,495.16,517.83,493.83,503.95,1866477,,0.0,0.0
12-10-2021,505.58,506.07,489.78,497.78,1301633,,0.0,0.0
13-10-2021,502.22,505.38,489.88,494.92,879674,,0.0,0.0
14-10-2021,497.48,505.58,492.74,503.16,817599,,0.0,0.0
18-10-2021,507.56,508.25,488.4,491.21,1089668,,0.0,0.0
19-10-2021,489.78,497.14,465.29,477.04,813178,,0.0,0.0
20-10-2021,479.17,482.57,459.17,462.53,472780,,0.0,0.0
21-10-2021,465.1,473.83,456.21,464.01,579526,,0.0,0.0
22-10-2021,467.66,481.54,460.16,463.52,505029,,0.0,0.0
25-10-2021,454.23,460.4,421.89,429.35,981456,,0.0,0.0
26-10-2021,432.61,469.0,432.51,461.0,501743,,0.0,0.0
27-10-2021,461.15,472.8,453.25,458.38,505519,,0.0,0.0
28-10-2021,459.17,459.96,447.32,455.17,316030,,0.0,0.0
29-10-2021,454.23,466.08,445.79,454.68,391689,,0.0,0.0
01-11-2021,459.17,475.12,458.63,467.07,1210577,,0.0,0.0
02-11-2021,467.07,477.93,462.73,471.71,985389,,0.0,0.0
03-11-2021,471.02,484.84,468.11,472.06,728929,,0.0,0.0
04-11-2021,476.65,486.62,473.98,480.75,209438,,0.0,0.0
08-11-2021,482.38,484.55,471.02,474.48,402219,,0.0,0.0
09-11-2021,473.74,487.81,470.43,482.38,531527,,0.0,0.0
10-11-2021,478.72,481.24,469.24,473.59,276734,,0.0,0.0
11-11-2021,472.01,477.09,458.18,464.55,1162772,,0.0,0.0
12-11-2021,476.94,486.82,470.72,481.78,916535,,0.0,0.0
15-11-2021,483.56,485.83,471.02,478.62,526289,,0.0,0.0
16-11-2021,477.78,497.68,473.04,488.79,613806,,0.0,0.0
17-11-2021,488.7,494.72,466.92,474.38,523915,,0.0,0.0
18-11-2021,472.5,479.76,462.63,472.11,512661,,0.0,0.0
22-11-2021,473.98,476.25,441.49,452.6,518840,,0.0,0.0
23-11-2021,444.26,467.96,440.7,460.26,399890,,0.0,0.0
24-11-2021,459.76,469.93,455.76,459.42,284564,,0.0,0.0
25-11-2021,460.16,467.86,457.99,464.21,300043,,0.0,0.0
26-11-2021,458.38,462.73,425.6,435.72,388343,,0.0,0.0
29-11-2021,434.48,434.48,405.4,411.03,549438,,0.0,0.0
30-11-2021,408.81,432.11,406.49,427.67,628535,,0.0,0.0
01-12-2021,429.69,435.47,419.92,423.08,321263,,0.0,0.0
02-12-2021,423.62,433.4,423.03,431.18,252283,,0.0,0.0
03-12-2021,429.79,434.48,416.36,421.6,281700,,0.0,0.0
06-12-2021,421.6,428.11,416.71,424.12,345091,,0.0,0.0
07-12-2021,425.84,439.42,425.84,433.94,268848,,0.0,0.0
08-12-2021,437.15,448.51,434.53,441.45,285909,,0.0,0.0
09-12-2021,443.07,445.35,427.42,434.63,280767,,0.0,0.0
10-12-2021,433.99,438.63,426.58,430.78,342473,,0.0,0.0
13-12-2021,433.99,446.28,433.3,442.04,691392,,0.0,0.0
14-12-2021,435.82,441.4,431.13,436.95,276507,,0.0,0.0
15-12-2021,436.26,457.2,434.83,448.9,930419,,0.0,0.0
16-12-2021,449.3,453.84,437.94,446.98,562891,,0.0,0.0
17-12-2021,445.25,446.83,428.07,432.26,305366,,0.0,0.0
20-12-2021,425.6,425.6,404.86,415.18,359389,,0.0,0.0
21-12-2021,419.03,433.3,413.9,419.87,549808,,0.0,0.0
22-12-2021,419.62,441.4,419.52,434.43,465986,,0.0,0.0
23-12-2021,433.99,447.96,433.0,442.63,395760,,0.0,0.0
24-12-2021,442.68,445.54,433.1,437.54,291464,,0.0,0.0
27-12-2021,438.43,481.88,433.1,476.2,2183107,,0.0,0.0
28-12-2021,477.83,491.76,472.11,487.41,1528311,,0.0,0.0
29-12-2021,482.38,488.2,461.0,473.49,1263312,,0.0,0.0
30-12-2021,461.15,492.15,458.18,489.93,1700059,,0.0,0.0
31-12-2021,490.72,503.56,476.5,485.29,793987,,0.0,0.0
03-01-2022,485.83,497.68,478.77,495.56,635180,,0.0,0.0
04-01-2022,496.0,499.66,485.34,491.41,358115,,0.0,0.0
05-01-2022,489.09,513.18,486.03,508.0,1733116,,0.0,0.0
06-01-2022,506.62,527.8,502.62,509.93,1167029,,0.0,0.0
07-01-2022,509.93,517.43,501.63,504.4,568819,,0.0,0.0
10-01-2022,509.48,571.94,508.79,562.61,4147950,,0.0,0.0
11-01-2022,566.75,581.12,555.35,562.61,2471705,,0.0,0.0
12-01-2022,565.82,578.41,549.87,556.78,1260002,,0.0,0.0
13-01-2022,561.27,564.04,549.33,553.57,506291,,0.0,0.0
14-01-2022,547.1,569.42,545.67,563.55,580493,,0.0,0.0
17-01-2022,567.69,576.63,562.85,565.87,446500,,0.0,0.0
18-01-2022,567.79,582.5,528.39,542.96,1265711,,0.0,0.0
19-01-2022,538.17,572.48,533.33,565.52,770542,,0.0,0.0
20-01-2022,567.54,570.46,550.76,557.13,704464,,0.0,0.0
21-01-2022,549.03,560.73,527.31,533.23,586075,,0.0,0.0
24-01-2022,532.19,539.15,482.18,492.1,923243,,0.0,0.0
25-01-2022,483.86,519.85,479.91,501.19,784760,,0.0,0.0
27-01-2022,491.51,508.49,484.05,496.05,640488,,0.0,0.0
28-01-2022,502.32,516.44,493.88,499.66,628445,,0.0,0.0
31-01-2022,500.64,515.95,499.11,503.95,476827,,0.0,0.0
01-02-2022,507.46,517.78,501.29,510.22,463434,,0.0,0.0
02-02-2022,512.2,516.39,505.83,509.43,378659,,0.0,0.0
03-02-2022,511.31,528.19,507.65,520.39,607093,,0.0,0.0
04-02-2022,525.28,538.17,513.63,517.04,433893,,0.0,0.0
07-02-2022,516.39,519.45,482.52,487.16,580273,,0.0,0.0
08-02-2022,487.81,492.1,473.19,482.97,330745,,0.0,0.0
09-02-2022,485.73,491.66,469.09,471.86,285699,,0.0,0.0
10-02-2022,475.96,483.66,465.24,468.4,321451,,0.0,0.0
11-02-2022,456.21,472.99,452.31,466.92,480985,,0.0,0.0
14-02-2022,452.31,459.71,436.71,446.09,810949,,0.0,0.0
15-02-2022,448.31,462.08,439.72,443.67,516467,,0.0,0.0
16-02-2022,446.33,456.21,441.4,444.65,349320,,0.0,0.0
17-02-2022,451.27,457.89,444.61,447.32,1205471,,0.0,0.0
18-02-2022,445.4,459.71,437.69,442.78,1673830,,0.0,0.0
21-02-2022,439.03,442.38,426.58,435.13,335678,,0.0,0.0
22-02-2022,424.61,429.6,413.99,419.08,446802,,0.0,0.0
23-02-2022,424.61,447.86,424.61,438.29,444235,,0.0,0.0
24-02-2022,421.65,447.32,406.83,439.12,2994645,,0.0,0.0
25-02-2022,444.36,483.86,444.36,478.43,2213104,,0.0,0.0
28-02-2022,473.83,489.78,465.14,479.96,553199,,0.0,0.0
02-03-2022,471.12,476.7,464.85,473.93,276363,,0.0,0.0
03-03-2022,473.69,495.56,472.11,488.94,994969,,0.0,0.0
04-03-2022,482.38,493.63,476.8,482.62,1170295,,0.0,0.0
07-03-2022,478.43,483.66,448.31,469.98,1077966,,0.0,0.0
