Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,41.4,43.5,41.0,43.0,1170398,,0.0,0.0
09-08-2021,44.8,44.8,41.05,42.2,425053,,0.0,0.0
10-08-2021,40.35,42.2,40.1,40.2,300715,,0.0,0.0
11-08-2021,40.1,40.1,38.2,39.25,361253,,0.0,0.0
12-08-2021,38.5,40.0,38.5,39.5,156740,,0.0,0.0
13-08-2021,39.6,41.45,39.0,40.9,403374,,0.0,0.0
16-08-2021,40.2,41.95,39.2,40.35,319367,,0.0,0.0
17-08-2021,41.0,41.0,39.1,39.4,231052,,0.0,0.0
18-08-2021,39.9,40.0,37.45,37.9,292104,,0.0,0.0
20-08-2021,36.9,37.45,36.05,36.2,303835,,0.0,0.0
23-08-2021,37.55,37.55,34.4,34.4,514538,,0.0,0.0
24-08-2021,34.4,36.1,34.1,36.1,799842,,0.0,0.0
25-08-2021,37.3,37.55,36.35,36.8,266724,,0.0,0.0
26-08-2021,38.55,38.6,37.4,38.3,726889,,0.0,0.0
27-08-2021,38.6,39.55,37.55,38.65,155468,,0.0,0.0
30-08-2021,38.6,38.75,37.15,37.45,186966,,0.0,0.0
31-08-2021,37.05,37.85,36.5,36.7,152418,,0.0,0.0
01-09-2021,36.1,37.8,36.0,37.3,365420,,0.0,0.0
02-09-2021,37.8,39.15,37.75,39.15,426006,,0.0,0.0
03-09-2021,39.85,40.75,38.55,39.05,305781,,0.0,0.0
06-09-2021,39.85,41.0,38.0,40.9,760611,,0.0,0.0
07-09-2021,40.2,40.5,39.2,39.5,234456,,0.0,0.0
08-09-2021,39.55,39.95,38.6,39.45,189621,,0.0,0.0
09-09-2021,39.45,40.55,39.05,39.95,434821,,0.0,0.0
13-09-2021,39.95,40.05,38.7,39.2,381667,,0.0,0.0
14-09-2021,39.3,39.95,38.7,38.95,546351,,0.0,0.0
15-09-2021,39.0,40.85,38.55,40.85,606205,,0.0,0.0
16-09-2021,42.2,42.85,41.7,42.85,893274,,0.0,0.0
17-09-2021,43.3,44.95,41.1,42.7,694417,,0.0,0.0
20-09-2021,41.8,44.8,41.8,44.45,4301836,,0.0,0.0
21-09-2021,44.1,45.25,42.25,43.7,748072,,0.0,0.0
22-09-2021,44.0,45.85,44.0,45.85,1253050,,0.0,0.0
23-09-2021,47.4,48.1,46.15,47.65,1158947,,0.0,0.0
24-09-2021,47.95,49.0,45.8,46.25,760648,,0.0,0.0
27-09-2021,47.25,48.45,46.0,47.2,759120,,0.0,0.0
28-09-2021,47.0,47.8,45.7,46.3,806419,,0.0,0.0
29-09-2021,45.5,46.9,45.2,45.9,221323,,0.0,0.0
30-09-2021,45.9,46.35,44.8,45.35,228294,,0.0,0.0
01-10-2021,45.35,46.25,43.1,43.45,546251,,0.0,0.0
04-10-2021,43.5,45.6,43.2,45.6,993958,,0.0,0.0
05-10-2021,46.45,47.6,45.0,45.7,1322421,,0.0,0.0
06-10-2021,46.3,46.45,44.2,44.7,470774,,0.0,0.0
07-10-2021,45.7,46.9,45.1,46.9,502667,,0.0,0.0
08-10-2021,47.75,48.6,47.1,47.95,636903,,0.0,0.0
11-10-2021,48.5,48.5,45.7,46.1,411870,,0.0,0.0
12-10-2021,46.4,46.8,44.75,45.05,462760,,0.0,0.0
13-10-2021,45.6,46.5,44.5,44.7,436522,,0.0,0.0
14-10-2021,45.5,45.5,43.25,43.95,360681,,0.0,0.0
18-10-2021,45.75,46.1,44.0,44.45,981426,,0.0,0.0
19-10-2021,45.45,45.45,42.25,42.3,1173961,,0.0,0.0
20-10-2021,42.6,43.1,40.2,40.8,616182,,0.0,0.0
21-10-2021,38.8,42.8,38.8,41.9,1234050,,0.0,0.0
22-10-2021,42.9,43.95,41.0,42.05,588484,,0.0,0.0
25-10-2021,42.9,42.9,39.95,41.55,580944,,0.0,0.0
26-10-2021,41.0,43.15,41.0,42.9,351579,,0.0,0.0
27-10-2021,43.7,45.0,42.5,44.0,846024,,0.0,0.0
28-10-2021,44.0,45.8,43.5,44.05,951216,,0.0,0.0
29-10-2021,44.55,44.9,42.25,43.7,401277,,0.0,0.0
01-11-2021,44.15,45.4,43.85,44.85,587561,,0.0,0.0
02-11-2021,44.9,46.4,43.8,45.05,1670420,,0.0,0.0
03-11-2021,44.95,46.2,44.75,45.15,1000564,,0.0,0.0
04-11-2021,45.85,46.8,45.8,46.45,464929,,0.0,0.0
08-11-2021,47.0,48.75,46.55,48.75,2613282,,0.0,0.0
09-11-2021,49.2,51.15,49.0,51.15,1900004,,0.0,0.0
10-11-2021,53.0,53.7,52.0,53.65,3383187,,0.0,0.0
11-11-2021,54.5,54.9,51.0,51.6,2694526,,0.0,0.0
12-11-2021,51.8,52.5,49.6,49.85,776243,,0.0,0.0
15-11-2021,51.2,51.55,47.5,48.05,1153673,,0.0,0.0
16-11-2021,47.6,50.45,47.15,49.1,2490855,,0.0,0.0
17-11-2021,48.7,50.7,48.35,49.65,1717127,,0.0,0.0
18-11-2021,49.8,50.25,47.2,48.2,1259992,,0.0,0.0
22-11-2021,48.5,48.55,45.8,45.85,791282,,0.0,0.0
23-11-2021,45.8,47.0,44.7,46.2,705623,,0.0,0.0
24-11-2021,46.7,48.5,46.5,47.8,1066625,,0.0,0.0
25-11-2021,48.25,49.5,46.25,48.05,1208113,,0.0,0.0
26-11-2021,47.6,47.85,46.05,46.15,942716,,0.0,0.0
29-11-2021,46.0,46.9,44.0,44.3,993593,,0.0,0.0
30-11-2021,44.8,46.4,44.25,44.95,1053970,,0.0,0.0
01-12-2021,45.5,46.0,44.45,45.05,269868,,0.0,0.0
02-12-2021,44.7,46.0,44.7,45.05,1374811,,0.0,0.0
03-12-2021,44.9,46.7,43.6,44.15,1153523,,0.0,0.0
06-12-2021,44.15,45.6,43.15,43.85,1277029,,0.0,0.0
07-12-2021,44.7,45.2,44.0,44.75,882942,,0.0,0.0
08-12-2021,45.2,47.7,45.0,46.85,2217847,,0.0,0.0
09-12-2021,47.25,47.5,45.5,46.65,901819,,0.0,0.0
