Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
30-05-2024,435.0,451.45,415.2,421.75,13664267,,0.0,0.0
31-05-2024,421.0,424.45,396.0,402.95,1663442,,0.0,0.0
03-06-2024,420.0,423.5,405.0,419.35,1135227,,0.0,0.0
04-06-2024,417.0,417.0,371.4,407.05,706925,,0.0,0.0
05-06-2024,400.0,423.7,384.0,413.25,422329,,0.0,0.0
06-06-2024,408.0,418.15,406.95,408.65,308675,,0.0,0.0
07-06-2024,415.95,468.8,410.3,448.5,1935606,,0.0,0.0
10-06-2024,448.5,455.0,433.25,439.8,536318,,0.0,0.0
11-06-2024,447.0,468.0,443.05,455.85,695332,,0.0,0.0
12-06-2024,463.95,485.9,457.2,472.55,717967,,0.0,0.0
13-06-2024,474.8,478.45,462.1,466.95,298522,,0.0,0.0
14-06-2024,470.0,491.8,464.85,483.35,616614,,0.0,0.0
18-06-2024,489.35,494.8,473.2,486.5,351370,,0.0,0.0
19-06-2024,488.0,507.25,479.25,499.85,597141,,0.0,0.0
20-06-2024,530.15,544.0,500.0,504.9,1736521,,0.0,0.0
21-06-2024,504.9,512.8,484.6,491.1,280205,,0.0,0.0
24-06-2024,494.9,515.0,474.7,507.05,371253,,0.0,0.0
25-06-2024,511.0,540.0,505.0,536.6,699993,,0.0,0.0
26-06-2024,544.95,578.95,544.0,561.95,955436,,0.0,0.0
27-06-2024,559.95,561.5,507.5,517.65,609993,,0.0,0.0
28-06-2024,517.05,524.7,505.5,514.6,595151,,0.0,0.0
01-07-2024,522.3,522.5,501.0,515.55,281660,,0.0,0.0
02-07-2024,514.0,522.95,510.1,516.35,422263,,0.0,0.0
03-07-2024,518.0,532.0,510.7,518.85,237784,,0.0,0.0
04-07-2024,518.85,568.9,518.05,553.65,759783,,0.0,0.0
05-07-2024,553.9,553.9,543.0,552.15,155827,,0.0,0.0
08-07-2024,552.0,592.0,551.95,573.4,512050,,0.0,0.0
09-07-2024,573.5,573.5,544.75,548.2,194899,,0.0,0.0
10-07-2024,550.35,613.45,521.95,600.35,668627,,0.0,0.0
11-07-2024,604.35,634.8,597.95,626.15,913989,,0.0,0.0
12-07-2024,630.5,634.9,604.25,619.75,230499,,0.0,0.0
15-07-2024,624.8,628.75,608.25,615.45,162300,,0.0,0.0
16-07-2024,620.0,637.4,615.55,631.55,247276,,0.0,0.0
18-07-2024,633.15,757.85,632.0,701.3,2608734,,0.0,0.0
19-07-2024,701.3,747.6,641.3,647.1,1029854,,0.0,0.0
22-07-2024,640.0,648.0,613.7,621.6,264417,,0.0,0.0
23-07-2024,631.0,641.2,578.9,615.4,202176,,0.0,0.0
24-07-2024,621.8,652.0,615.4,645.9,211081,,0.0,0.0
25-07-2024,643.9,657.3,636.25,641.5,117240,,0.0,0.0
26-07-2024,636.25,650.0,636.25,639.95,72381,,0.0,0.0
29-07-2024,694.9,701.0,656.35,695.4,374205,,0.0,0.0
30-07-2024,695.4,706.15,674.5,682.2,165313,,0.0,0.0
31-07-2024,685.75,697.5,676.0,691.2,117753,,0.0,0.0
01-08-2024,693.95,695.1,660.6,681.05,102852,,0.0,0.0
02-08-2024,670.0,675.8,648.05,670.0,119527,,0.0,0.0
05-08-2024,651.0,662.0,620.05,625.7,207233,,0.0,0.0
06-08-2024,629.4,648.3,612.55,626.55,121162,,0.0,0.0
07-08-2024,634.0,656.0,621.2,629.25,91400,,0.0,0.0
08-08-2024,640.05,683.0,631.65,668.35,289766,,0.0,0.0
09-08-2024,690.0,712.0,678.05,696.1,252655,,0.0,0.0
12-08-2024,690.0,710.0,680.0,687.05,219656,,0.0,0.0
13-08-2024,688.2,704.9,665.55,670.95,145954,,0.0,0.0
14-08-2024,700.0,746.65,676.55,708.5,1020405,,0.0,0.0
