Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
22-11-2024,280.9,285.9,255.35,260.05,6737252,,0.0,0.0
25-11-2024,260.0,270.85,253.0,263.75,1220081,,0.0,0.0
26-11-2024,260.25,261.3,248.35,253.15,610591,,0.0,0.0
27-11-2024,250.6,268.35,250.6,265.15,926033,,0.0,0.0
28-11-2024,265.95,274.0,263.1,270.4,662453,,0.0,0.0
29-11-2024,269.95,277.0,265.85,271.1,878299,,0.0,0.0
02-12-2024,267.25,325.3,262.9,325.3,5755861,,0.0,0.0
03-12-2024,329.0,341.45,295.05,319.3,4802212,,0.0,0.0
04-12-2024,316.85,382.85,316.1,361.9,6062982,,0.0,0.0
05-12-2024,351.0,368.0,341.2,347.7,1306989,,0.0,0.0
06-12-2024,347.7,356.55,334.7,340.75,493260,,0.0,0.0
09-12-2024,341.95,362.0,337.8,344.6,552110,,0.0,0.0
10-12-2024,347.8,381.75,345.05,356.35,1042518,,0.0,0.0
11-12-2024,357.0,371.9,355.0,357.85,489340,,0.0,0.0
12-12-2024,360.0,429.4,358.5,424.1,4771978,,0.0,0.0
13-12-2024,441.2,460.5,408.6,423.2,3682964,,0.0,0.0
16-12-2024,410.0,425.65,399.2,403.15,647777,,0.0,0.0
17-12-2024,407.45,443.45,400.3,422.45,1333265,,0.0,0.0
18-12-2024,429.0,462.3,427.45,453.0,1307812,,0.0,0.0
19-12-2024,444.0,498.3,433.3,498.05,1105717,,0.0,0.0
20-12-2024,496.95,514.7,460.6,501.65,2253098,,0.0,0.0
23-12-2024,509.4,550.7,502.3,510.85,1743530,,0.0,0.0
24-12-2024,513.0,528.95,487.15,517.9,904704,,0.0,0.0
26-12-2024,520.35,543.75,520.0,522.35,582871,,0.0,0.0
27-12-2024,526.0,547.8,526.0,533.95,478833,,0.0,0.0
30-12-2024,534.0,536.5,507.25,507.25,300212,,0.0,0.0
31-12-2024,481.9,481.9,481.9,481.9,18307,,0.0,0.0
01-01-2025,457.8,471.1,457.8,457.8,223057,,0.0,0.0
02-01-2025,444.0,465.0,434.95,451.3,665037,,0.0,0.0
03-01-2025,451.25,461.45,440.0,453.4,261161,,0.0,0.0
06-01-2025,453.4,453.4,430.75,432.3,178687,,0.0,0.0
07-01-2025,424.6,439.0,415.0,425.1,272415,,0.0,0.0
08-01-2025,420.0,442.0,414.0,421.4,173126,,0.0,0.0
09-01-2025,420.0,423.7,404.5,408.85,85267,,0.0,0.0
10-01-2025,408.75,408.75,393.0,403.5,123230,,0.0,0.0
13-01-2025,390.0,404.65,383.35,383.35,63137,,0.0,0.0
14-01-2025,385.55,398.45,366.3,394.1,125557,,0.0,0.0
15-01-2025,400.0,403.0,388.0,394.6,66711,,0.0,0.0
16-01-2025,402.95,407.3,398.2,404.65,192306,,0.0,0.0
17-01-2025,400.0,424.85,399.1,421.5,50922,,0.0,0.0
20-01-2025,442.55,442.55,414.0,428.4,161194,,0.0,0.0
21-01-2025,428.0,438.15,407.0,416.7,79621,,0.0,0.0
22-01-2025,416.7,416.7,395.9,398.7,85616,,0.0,0.0
23-01-2025,394.6,394.6,378.8,379.95,149544,,0.0,0.0
24-01-2025,385.3,388.0,360.95,361.65,90082,,0.0,0.0
27-01-2025,361.65,365.85,343.6,343.6,72875,,0.0,0.0
28-01-2025,345.0,348.75,326.45,332.55,102150,,0.0,0.0
29-01-2025,329.95,349.15,329.45,349.15,28541,,0.0,0.0
30-01-2025,366.6,366.6,355.1,366.6,34526,,0.0,0.0
31-01-2025,384.9,384.9,384.9,384.9,17725,,0.0,0.0
03-02-2025,400.85,411.75,395.0,409.3,82672,,0.0,0.0
04-02-2025,414.0,429.75,413.95,429.75,209980,,0.0,0.0
05-02-2025,451.2,451.2,433.3,444.0,146566,,0.0,0.0
06-02-2025,466.2,466.2,466.2,466.2,49870,,0.0,0.0
07-02-2025,489.5,489.5,489.5,489.5,43096,,0.0,0.0
10-02-2025,513.95,513.95,513.95,513.95,404147,,0.0,0.0
11-02-2025,519.0,520.0,488.25,488.25,48130,,0.0,0.0
12-02-2025,463.85,510.95,463.85,480.4,261078,,0.0,0.0
13-02-2025,473.15,484.35,465.25,469.95,60146,,0.0,0.0
14-02-2025,485.9,485.9,460.25,465.05,62595,,0.0,0.0
17-02-2025,458.0,459.95,441.8,447.8,55270,,0.0,0.0
18-02-2025,433.05,447.0,425.45,425.45,82055,,0.0,0.0
19-02-2025,408.0,438.8,406.3,421.15,113625,,0.0,0.0
20-02-2025,416.8,432.6,405.3,426.4,96703,,0.0,0.0
21-02-2025,429.9,435.0,416.2,420.8,43570,,0.0,0.0
24-02-2025,419.0,430.2,410.1,423.9,113032,,0.0,0.0
25-02-2025,423.0,426.75,416.0,423.85,38307,,0.0,0.0
27-02-2025,423.0,423.0,405.15,417.55,58959,,0.0,0.0
28-02-2025,414.0,430.7,406.2,422.7,59771,,0.0,0.0
03-03-2025,419.0,421.1,405.0,408.6,64653,,0.0,0.0
04-03-2025,401.0,416.65,401.0,414.3,29120,,0.0,0.0
05-03-2025,405.0,426.95,405.0,414.65,75291,,0.0,0.0
06-03-2025,411.0,422.8,411.0,416.0,51798,,0.0,0.0
07-03-2025,411.0,425.25,410.0,419.3,110170,,0.0,0.0
10-03-2025,421.0,440.25,417.1,440.25,58030,,0.0,0.0
11-03-2025,418.25,426.7,418.25,418.25,123985,,0.0,0.0
12-03-2025,398.0,413.0,397.35,410.25,224913,,0.0,0.0
13-03-2025,397.1,408.9,397.1,405.55,53584,,0.0,0.0
