Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
31-12-2021,207.34,244.43,202.53,224.28,49060201,,0.0,0.0
03-01-2022,228.8,241.51,224.47,226.26,7316080,,0.0,0.0
04-01-2022,226.45,228.57,218.68,220.38,2882616,,0.0,0.0
05-01-2022,220.33,236.05,216.14,225.98,5332766,,0.0,0.0
06-01-2022,223.06,244.81,221.27,241.28,9022865,,0.0,0.0
07-01-2022,244.81,266.47,243.77,259.08,13131868,,0.0,0.0
10-01-2022,262.7,268.26,259.4,261.34,4004261,,0.0,0.0
11-01-2022,263.41,272.3,257.19,259.59,3439252,,0.0,0.0
12-01-2022,262.84,268.16,258.13,260.06,1337725,,0.0,0.0
13-01-2022,261.76,272.92,259.4,264.58,3523028,,0.0,0.0
14-01-2022,264.63,281.53,264.63,277.91,5968029,,0.0,0.0
17-01-2022,280.97,298.9,280.54,293.21,5818653,,0.0,0.0
18-01-2022,296.13,298.48,275.08,278.75,2942867,,0.0,0.0
19-01-2022,279.65,286.66,273.53,280.03,2068891,,0.0,0.0
20-01-2022,281.44,290.81,280.45,283.93,2026981,,0.0,0.0
21-01-2022,280.59,285.96,246.51,259.73,2885794,,0.0,0.0
24-01-2022,263.64,267.97,235.02,242.17,2657091,,0.0,0.0
25-01-2022,240.1,258.28,228.47,256.11,2617037,,0.0,0.0
27-01-2022,249.52,267.6,248.62,258.09,1860030,,0.0,0.0
28-01-2022,257.05,267.08,245.75,248.06,1456079,,0.0,0.0
31-01-2022,253.99,257.8,239.44,241.04,931819,,0.0,0.0
01-02-2022,242.93,255.97,239.54,252.2,1589073,,0.0,0.0
02-02-2022,255.17,258.28,246.69,249.05,1046141,,0.0,0.0
03-02-2022,250.37,254.7,248.39,249.8,1003383,,0.0,0.0
04-02-2022,250.18,258.7,250.18,257.29,1093712,,0.0,0.0
07-02-2022,266.47,267.41,255.17,264.68,2388345,,0.0,0.0
08-02-2022,265.43,267.22,251.87,254.18,1108955,,0.0,0.0
09-02-2022,254.41,258.7,249.8,252.77,762663,,0.0,0.0
10-02-2022,256.11,260.63,250.22,252.44,982775,,0.0,0.0
11-02-2022,248.58,252.44,243.02,243.92,638116,,0.0,0.0
14-02-2022,231.63,242.93,229.23,235.72,1318955,,0.0,0.0
15-02-2022,236.34,241.8,231.86,238.22,823958,,0.0,0.0
16-02-2022,239.87,248.58,239.82,244.81,983030,,0.0,0.0
17-02-2022,246.46,249.33,236.34,237.94,667183,,0.0,0.0
18-02-2022,237.94,239.16,229.27,230.55,592483,,0.0,0.0
21-02-2022,227.91,232.29,221.27,226.73,914048,,0.0,0.0
22-02-2022,217.55,230.97,217.55,226.45,1153671,,0.0,0.0
23-02-2022,230.12,236.76,226.59,228.43,1277028,,0.0,0.0
24-02-2022,218.96,222.68,211.95,214.68,1242007,,0.0,0.0
25-02-2022,217.5,228.14,217.5,223.67,775801,,0.0,0.0
28-02-2022,222.21,226.45,218.45,221.79,584097,,0.0,0.0
02-03-2022,220.33,225.08,217.5,222.07,384360,,0.0,0.0
03-03-2022,225.13,230.26,222.68,223.44,483056,,0.0,0.0
04-03-2022,223.44,229.75,221.27,224.28,467344,,0.0,0.0
07-03-2022,220.33,225.88,218.73,223.06,495607,,0.0,0.0
08-03-2022,224.75,228.1,220.99,224.99,240037,,0.0,0.0
09-03-2022,229.27,237.56,227.06,235.91,473013,,0.0,0.0
10-03-2022,240.1,241.47,233.51,234.92,452106,,0.0,0.0
11-03-2022,235.39,245.47,234.45,243.77,551275,,0.0,0.0
14-03-2022,244.81,249.24,240.62,245.09,419458,,0.0,0.0
15-03-2022,243.12,248.62,238.55,239.96,410335,,0.0,0.0
16-03-2022,242.93,249.42,241.47,247.16,375441,,0.0,0.0
17-03-2022,249.14,251.87,246.22,247.78,392780,,0.0,0.0
21-03-2022,249.47,249.47,240.81,241.94,301732,,0.0,0.0
22-03-2022,240.39,243.21,237.56,239.3,238512,,0.0,0.0
23-03-2022,240.06,248.34,239.02,243.96,419705,,0.0,0.0
24-03-2022,244.81,247.59,239.87,241.51,251828,,0.0,0.0
25-03-2022,243.4,245.89,239.21,239.77,186290,,0.0,0.0
28-03-2022,240.76,243.21,234.5,235.77,278548,,0.0,0.0
29-03-2022,236.34,249.85,236.34,247.35,638676,,0.0,0.0
30-03-2022,248.58,260.35,247.68,255.21,733650,,0.0,0.0
31-03-2022,257.24,260.82,246.98,249.47,347571,,0.0,0.0
01-04-2022,249.47,256.77,249.42,255.17,329446,,0.0,0.0
04-04-2022,257.76,260.82,254.74,256.49,374584,,0.0,0.0
05-04-2022,257.8,262.98,254.46,260.02,655575,,0.0,0.0
06-04-2022,257.99,260.68,254.32,255.26,416580,,0.0,0.0
07-04-2022,254.23,255.73,246.36,247.45,460890,,0.0,0.0
08-04-2022,249.42,256.44,247.68,250.74,430503,,0.0,0.0
11-04-2022,250.27,254.23,247.64,248.58,280420,,0.0,0.0
12-04-2022,248.48,248.48,240.76,242.13,382799,,0.0,0.0
13-04-2022,243.49,245.75,240.34,243.3,341492,,0.0,0.0
18-04-2022,241.84,248.58,230.5,245.05,420796,,0.0,0.0
19-04-2022,246.69,247.59,238.22,241.0,215961,,0.0,0.0
20-04-2022,242.88,250.37,242.46,243.54,368109,,0.0,0.0
21-04-2022,245.0,247.31,239.4,240.53,202957,,0.0,0.0
22-04-2022,239.87,249.52,237.28,245.94,444993,,0.0,0.0
25-04-2022,243.87,249.52,239.16,241.7,491267,,0.0,0.0
26-04-2022,244.62,246.51,241.99,244.01,185712,,0.0,0.0
27-04-2022,243.68,243.87,239.16,241.56,182310,,0.0,0.0
28-04-2022,243.3,259.31,241.37,247.59,704875,,0.0,0.0
29-04-2022,249.52,258.56,246.27,248.2,530218,,0.0,0.0
02-05-2022,245.75,247.07,241.99,244.25,144978,,0.0,0.0
04-05-2022,246.13,250.27,241.42,242.88,554367,,0.0,0.0
05-05-2022,244.86,246.51,240.2,241.56,189863,,0.0,0.0
06-05-2022,239.16,245.09,231.63,243.12,373439,,0.0,0.0
