Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,84.24,85.75,83.92,84.6,598301,,0.0,0.0
09-08-2021,84.56,85.27,81.76,82.48,553606,,0.0,0.0
10-08-2021,82.88,84.04,80.97,82.2,346643,,0.0,0.0
11-08-2021,82.52,82.8,80.17,80.53,661385,,0.0,0.0
12-08-2021,80.81,83.76,80.77,83.28,300654,,0.0,0.0
13-08-2021,81.36,82.96,80.57,81.13,570162,,0.0,0.0
16-08-2021,81.4,83.72,80.57,81.52,1189496,,0.0,0.0
17-08-2021,82.76,82.76,80.33,81.56,727771,,0.0,0.0
18-08-2021,82.08,85.11,81.6,83.28,1371716,,0.0,0.0
20-08-2021,82.8,82.8,80.09,80.25,408553,,0.0,0.0
23-08-2021,80.73,81.28,79.29,79.37,435602,,0.0,0.0
24-08-2021,79.37,80.97,78.97,79.77,958003,,0.0,0.0
25-08-2021,80.21,82.08,80.17,81.24,332055,,0.0,0.0
26-08-2021,81.36,81.84,79.77,80.05,175371,,0.0,0.0
27-08-2021,80.25,81.2,79.89,80.49,200679,,0.0,0.0
30-08-2021,81.17,81.68,81.05,81.36,368905,,0.0,0.0
31-08-2021,81.44,82.16,79.93,81.17,1920163,,0.0,0.0
01-09-2021,82.08,82.16,80.61,80.89,475599,,0.0,0.0
02-09-2021,80.89,82.04,80.29,81.28,1343314,,0.0,0.0
03-09-2021,81.05,81.4,80.77,81.09,540735,,0.0,0.0
06-09-2021,81.2,81.36,78.49,79.45,596128,,0.0,0.0
07-09-2021,79.89,81.2,79.53,80.33,1191538,,0.0,0.0
08-09-2021,83.76,83.76,80.01,80.89,677959,,0.0,0.0
09-09-2021,80.61,81.17,80.01,80.65,195376,,0.0,0.0
13-09-2021,80.77,81.17,79.77,80.49,312445,,0.0,0.0
14-09-2021,80.73,81.17,80.49,81.05,377196,,0.0,0.0
15-09-2021,81.28,85.15,80.93,83.64,1292740,,0.0,0.0
16-09-2021,84.67,85.75,82.2,82.88,821127,,0.0,0.0
17-09-2021,83.6,83.64,79.05,79.81,875840,,0.0,0.0
20-09-2021,79.29,81.56,78.97,79.69,497002,,0.0,0.0
21-09-2021,79.77,81.84,78.41,81.32,469720,,0.0,0.0
22-09-2021,81.36,82.32,80.97,81.36,324213,,0.0,0.0
23-09-2021,81.8,83.36,81.76,82.28,383693,,0.0,0.0
24-09-2021,82.28,82.96,79.77,80.09,407093,,0.0,0.0
27-09-2021,80.45,80.57,79.17,79.77,373345,,0.0,0.0
28-09-2021,79.77,83.76,79.61,82.8,716563,,0.0,0.0
29-09-2021,82.48,84.95,81.48,83.8,674469,,0.0,0.0
30-09-2021,84.24,89.22,84.2,88.22,3944707,,0.0,0.0
01-10-2021,87.75,87.99,85.19,85.87,958808,,0.0,0.0
04-10-2021,86.31,86.31,83.36,83.64,789234,,0.0,0.0
05-10-2021,83.64,85.67,83.36,84.32,525608,,0.0,0.0
06-10-2021,84.87,87.35,84.44,85.03,947851,,0.0,0.0
07-10-2021,85.35,86.15,83.52,83.96,420305,,0.0,0.0
08-10-2021,84.48,87.35,83.84,86.15,882858,,0.0,0.0
11-10-2021,86.91,89.5,86.47,89.06,1895643,,0.0,0.0
12-10-2021,90.38,91.42,88.74,89.58,1974114,,0.0,0.0
13-10-2021,90.1,90.62,89.34,89.54,888856,,0.0,0.0
14-10-2021,90.3,92.53,89.5,90.26,1796477,,0.0,0.0
18-10-2021,91.34,94.25,89.38,93.01,2713031,,0.0,0.0
19-10-2021,93.61,94.93,90.42,91.65,1733322,,0.0,0.0
20-10-2021,91.73,93.65,89.62,90.14,1653882,,0.0,0.0
21-10-2021,90.7,93.57,88.62,92.41,1131784,,0.0,0.0
22-10-2021,93.77,93.77,90.78,91.65,1076073,,0.0,0.0
25-10-2021,92.01,92.01,86.95,87.87,784651,,0.0,0.0
26-10-2021,87.87,89.06,86.35,87.47,516583,,0.0,0.0
27-10-2021,86.95,89.7,86.71,88.74,952941,,0.0,0.0
28-10-2021,89.22,89.58,88.22,88.58,528881,,0.0,0.0
29-10-2021,88.54,89.66,86.95,89.14,393218,,0.0,0.0
01-11-2021,89.54,89.94,87.91,88.58,603943,,0.0,0.0
02-11-2021,89.3,91.65,88.9,90.38,386924,,0.0,0.0
03-11-2021,90.78,93.25,90.62,91.57,823087,,0.0,0.0
04-11-2021,91.73,92.61,90.94,91.54,106366,,0.0,0.0
08-11-2021,91.97,93.13,91.18,92.13,418732,,0.0,0.0
09-11-2021,92.45,92.53,90.7,91.26,229233,,0.0,0.0
10-11-2021,90.86,92.45,90.14,90.7,265836,,0.0,0.0
11-11-2021,90.9,92.33,88.94,89.74,292699,,0.0,0.0
12-11-2021,89.02,89.74,85.99,87.71,591710,,0.0,0.0
15-11-2021,87.35,88.86,86.55,87.35,437009,,0.0,0.0
16-11-2021,87.35,88.14,83.76,84.2,676003,,0.0,0.0
17-11-2021,83.76,85.91,83.36,84.04,349606,,0.0,0.0
18-11-2021,84.56,85.11,80.77,80.93,474728,,0.0,0.0
22-11-2021,81.32,81.56,77.38,78.49,1076285,,0.0,0.0
23-11-2021,81.32,84.08,78.65,83.28,1205420,,0.0,0.0
24-11-2021,84.25,86.48,83.56,85.22,465315,,1.6,0.0
25-11-2021,85.79,86.07,82.87,83.4,281947,,0.0,0.0
26-11-2021,82.31,84.17,80.61,81.17,491677,,0.0,0.0
29-11-2021,80.73,82.91,79.11,80.36,380038,,0.0,0.0
30-11-2021,80.2,84.25,78.18,79.8,1050275,,0.0,0.0
01-12-2021,82.67,82.83,78.78,79.92,913626,,0.0,0.0
02-12-2021,80.52,81.82,78.78,80.85,3241572,,0.0,0.0
03-12-2021,82.23,83.24,81.17,81.46,357300,,0.0,0.0
06-12-2021,81.82,82.06,79.88,80.12,247154,,0.0,0.0
07-12-2021,80.52,82.67,80.24,82.02,233856,,0.0,0.0
08-12-2021,82.63,83.32,82.39,82.95,190599,,0.0,0.0
09-12-2021,83.64,83.64,82.31,82.59,142203,,0.0,0.0
10-12-2021,82.59,82.95,81.74,82.27,366014,,0.0,0.0
13-12-2021,83.44,83.85,80.93,81.29,559344,,0.0,0.0
14-12-2021,80.85,82.55,80.32,80.61,272793,,0.0,0.0
15-12-2021,80.85,81.38,79.59,80.93,1262212,,0.0,0.0
16-12-2021,81.42,81.5,80.28,80.61,596300,,0.0,0.0
17-12-2021,80.61,80.93,78.74,79.15,601704,,0.0,0.0
20-12-2021,79.15,79.15,77.2,77.77,444212,,0.0,0.0
21-12-2021,78.05,79.27,76.23,76.64,277461,,0.0,0.0
22-12-2021,78.42,78.42,76.51,77.04,230728,,0.0,0.0
23-12-2021,78.9,78.99,77.04,77.61,284528,,0.0,0.0
24-12-2021,78.05,78.05,75.79,76.11,480122,,0.0,0.0
