Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,227.25,230.6,225.8,226.28,214148,,0.0,0.0
09-08-2021,226.57,228.99,222.82,224.63,192958,,0.0,0.0
10-08-2021,223.38,228.22,211.93,214.31,352863,,0.0,0.0
11-08-2021,215.32,216.41,204.03,209.51,403158,,0.0,0.0
12-08-2021,210.56,218.54,210.56,214.83,385734,,0.0,0.0
13-08-2021,237.9,248.7,228.78,233.78,4855596,,0.0,0.0
16-08-2021,235.24,240.8,226.2,228.66,847742,,0.0,0.0
17-08-2021,226.69,229.03,214.59,217.66,587182,,0.0,0.0
18-08-2021,218.3,220.84,212.09,213.91,324791,,0.0,0.0
20-08-2021,209.51,216.81,207.25,210.8,385427,,0.0,0.0
23-08-2021,213.7,220.96,200.16,202.49,377365,,0.0,0.0
24-08-2021,203.22,211.12,201.61,208.02,293788,,0.0,0.0
25-08-2021,208.87,213.06,207.33,208.06,267666,,0.0,0.0
26-08-2021,208.87,210.88,205.72,206.41,132516,,0.0,0.0
27-08-2021,206.53,212.45,206.0,207.74,234742,,0.0,0.0
30-08-2021,209.19,214.91,209.11,210.96,210985,,0.0,0.0
31-08-2021,211.61,214.83,209.43,211.77,254814,,0.0,0.0
01-09-2021,212.9,212.9,209.67,210.4,132871,,0.0,0.0
02-09-2021,211.37,225.64,209.67,223.66,886996,,0.0,0.0
03-09-2021,224.99,227.41,217.9,218.54,442154,,0.0,0.0
06-09-2021,219.67,221.61,216.2,216.77,158160,,0.0,0.0
07-09-2021,216.93,227.25,216.12,224.87,532509,,0.0,0.0
08-09-2021,225.36,229.03,223.22,226.28,344687,,0.0,0.0
09-09-2021,226.16,248.38,225.56,244.35,2629022,,0.0,0.0
13-09-2021,244.59,260.4,243.91,256.53,2476635,,0.0,0.0
14-09-2021,258.3,261.85,250.48,252.61,959474,,0.0,0.0
15-09-2021,252.57,254.83,246.77,252.21,667490,,0.0,0.0
16-09-2021,249.99,257.98,248.06,249.47,814056,,0.0,0.0
17-09-2021,251.39,273.23,251.06,263.91,4068606,,4.4,0.0
20-09-2021,261.21,275.69,256.87,258.51,1789318,,0.0,0.0
21-09-2021,259.65,262.19,247.87,253.64,898207,,0.0,0.0
22-09-2021,254.42,263.01,254.42,260.47,1173216,,0.0,0.0
23-09-2021,262.27,265.46,256.14,257.53,588234,,0.0,0.0
24-09-2021,258.35,259.82,249.51,250.86,430194,,0.0,0.0
27-09-2021,252.62,253.6,239.78,242.43,528472,,0.0,0.0
28-09-2021,243.29,253.19,240.63,250.57,733327,,0.0,0.0
29-09-2021,247.83,255.4,245.67,251.6,1010493,,0.0,0.0
30-09-2021,251.96,258.51,250.78,253.93,628543,,0.0,0.0
01-10-2021,251.72,264.07,251.27,257.28,958089,,0.0,0.0
04-10-2021,258.22,261.62,252.86,255.28,514167,,0.0,0.0
05-10-2021,253.6,273.64,253.6,270.66,1809494,,0.0,0.0
06-10-2021,275.52,284.61,270.53,272.7,2394398,,0.0,0.0
07-10-2021,276.42,287.96,276.1,280.43,1412860,,0.0,0.0
08-10-2021,281.95,292.87,272.66,288.37,1735825,,0.0,0.0
11-10-2021,302.68,329.6,302.68,320.35,6955641,,0.0,0.0
