Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,603.47,611.92,586.5,591.73,77719,,0.0,0.0
09-08-2021,596.2,598.43,583.0,584.85,50283,,0.0,0.0
10-08-2021,585.96,589.89,553.8,562.14,85993,,0.0,0.0
11-08-2021,563.7,589.7,544.29,585.57,317744,,0.0,0.0
12-08-2021,586.98,598.14,582.66,584.8,84712,,0.0,0.0
13-08-2021,582.23,588.92,574.56,578.39,68679,,0.0,0.0
16-08-2021,576.36,583.49,570.54,573.93,40060,,0.0,0.0
17-08-2021,565.64,591.83,565.64,576.5,81925,,0.0,0.0
18-08-2021,576.31,585.62,572.14,574.76,36543,,0.0,0.0
20-08-2021,564.67,572.38,562.73,563.94,42565,,0.0,0.0
23-08-2021,567.04,571.89,545.31,547.49,39265,,0.0,0.0
24-08-2021,554.87,567.53,546.13,553.56,50182,,0.0,0.0
25-08-2021,555.59,571.55,555.59,566.56,33164,,0.0,0.0
26-08-2021,563.02,570.58,554.96,557.78,21350,,0.0,0.0
27-08-2021,558.07,562.39,550.36,552.78,31862,,0.0,0.0
30-08-2021,555.89,566.12,552.1,555.64,46427,,0.0,0.0
31-08-2021,558.26,563.55,552.0,555.55,34405,,0.0,0.0
01-09-2021,557.83,603.47,552.1,591.88,285909,,0.0,0.0
02-09-2021,588.92,607.36,587.56,595.52,127203,,0.0,0.0
03-09-2021,597.07,603.96,577.81,584.07,75221,,0.0,0.0
06-09-2021,587.37,594.74,581.16,582.71,45307,,0.0,0.0
07-09-2021,583.29,590.86,572.77,574.71,47314,,0.0,0.0
08-09-2021,565.1,580.14,565.1,576.5,21236,,0.0,0.0
09-09-2021,578.25,579.32,570.54,575.1,33929,,0.0,0.0
13-09-2021,575.1,588.0,575.1,578.39,43325,,0.0,0.0
14-09-2021,579.46,586.64,573.01,577.18,46445,,0.0,0.0
15-09-2021,579.9,605.75,576.84,594.21,170418,,0.0,0.0
16-09-2021,599.45,600.18,575.34,580.87,133103,,0.0,0.0
17-09-2021,583.83,586.98,572.43,580.82,75445,,0.0,0.0
20-09-2021,586.45,586.45,561.76,569.13,67062,,0.0,0.0
21-09-2021,564.71,574.37,556.9,568.5,47464,,0.0,0.0
22-09-2021,566.12,608.86,566.12,600.56,434239,,0.0,0.0
23-09-2021,602.02,625.79,594.26,597.94,344790,,0.0,0.0
24-09-2021,601.53,603.43,586.98,592.32,81228,,0.0,0.0
27-09-2021,595.32,606.24,588.05,590.96,124648,,0.0,0.0
28-09-2021,593.77,601.53,588.92,595.37,63900,,0.0,0.0
29-09-2021,595.42,596.25,589.89,592.75,31236,,0.0,0.0
30-09-2021,589.94,598.67,586.01,588.82,42049,,0.0,0.0
01-10-2021,587.47,597.51,578.35,582.47,48312,,0.0,0.0
04-10-2021,587.95,608.03,583.54,592.8,152669,,0.0,0.0
05-10-2021,594.6,601.53,586.59,597.27,117368,,0.0,0.0
06-10-2021,600.56,653.93,600.47,626.27,1306823,,0.0,0.0
07-10-2021,640.34,663.63,634.57,640.63,558306,,0.0,0.0
08-10-2021,646.16,655.72,632.58,642.57,155268,,0.0,0.0
11-10-2021,635.59,654.9,631.85,635.01,85420,,0.0,0.0
12-10-2021,638.21,649.41,627.24,634.28,95634,,0.0,0.0
13-10-2021,635.69,645.19,631.61,633.41,46726,,0.0,0.0
14-10-2021,642.67,666.68,632.58,647.13,286040,,0.0,0.0
18-10-2021,659.75,662.66,634.04,638.35,108687,,0.0,0.0
19-10-2021,658.63,658.63,618.08,624.58,65496,,0.0,0.0
20-10-2021,625.69,625.79,603.47,610.65,70906,,0.0,0.0
21-10-2021,613.71,618.8,604.44,607.36,38780,,0.0,0.0
22-10-2021,607.36,615.6,592.8,603.23,48887,,0.0,0.0
25-10-2021,614.15,614.15,577.23,589.65,60443,,0.0,0.0
26-10-2021,597.65,606.39,591.73,595.76,36130,,0.0,0.0
27-10-2021,598.77,611.24,593.77,603.62,38595,,0.0,0.0
28-10-2021,599.59,606.68,585.28,591.88,26534,,0.0,0.0
29-10-2021,591.83,598.38,582.18,589.5,20831,,0.0,0.0
01-11-2021,599.3,599.3,585.14,590.96,43304,,0.0,0.0
02-11-2021,591.88,616.09,591.83,596.73,55257,,0.0,0.0
03-11-2021,601.53,616.09,598.57,603.38,50966,,0.0,0.0
04-11-2021,606.39,614.15,605.17,608.23,13087,,0.0,0.0
08-11-2021,607.36,610.99,594.11,597.7,46769,,0.0,0.0
09-11-2021,600.71,620.84,600.52,605.56,45415,,0.0,0.0
