Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
02-08-2021,793.62,803.46,783.2,792.23,466327,,0.0,0.0
03-08-2021,796.41,831.99,763.93,791.19,282869,,0.0,0.0
04-08-2021,793.35,804.13,777.22,799.19,334922,,0.0,0.0
05-08-2021,804.13,826.59,754.36,767.92,777359,,0.0,0.0
06-08-2021,767.92,799.64,740.61,787.78,347893,,0.0,0.0
09-08-2021,785.71,795.6,765.68,772.91,257709,,0.0,0.0
10-08-2021,776.86,779.83,755.66,763.12,220944,,0.0,0.0
11-08-2021,768.55,768.55,723.27,738.54,237583,,0.0,0.0
12-08-2021,744.79,778.98,744.74,775.65,307844,,0.0,0.0
13-08-2021,778.89,789.76,763.7,771.52,649972,,0.0,0.0
16-08-2021,770.89,781.67,751.48,761.55,438894,,0.0,0.0
17-08-2021,757.37,769.18,738.09,743.13,90393,,0.0,0.0
18-08-2021,744.47,754.13,736.97,740.97,145203,,0.0,0.0
20-08-2021,733.6,746.09,728.66,738.77,169061,,0.0,0.0
23-08-2021,745.19,748.34,723.27,732.03,211848,,0.0,0.0
24-08-2021,723.72,745.73,714.33,738.63,80455,,0.0,0.0
25-08-2021,742.81,756.51,735.85,747.89,61751,,0.0,0.0
26-08-2021,752.65,761.9,743.08,745.55,310121,,0.0,0.0
27-08-2021,753.82,759.21,742.23,754.09,51425,,0.0,0.0
30-08-2021,758.89,771.79,750.72,758.85,86172,,0.0,0.0
31-08-2021,758.31,770.31,752.11,760.87,128688,,0.0,0.0
01-09-2021,762.67,787.65,756.47,762.58,201604,,0.0,0.0
02-09-2021,767.21,771.83,752.92,756.65,52314,,0.0,0.0
03-09-2021,759.21,765.41,744.83,756.92,67496,,0.0,0.0
06-09-2021,761.81,771.92,749.19,751.39,71146,,0.0,0.0
07-09-2021,749.33,763.43,743.44,746.9,98578,,0.0,0.0
08-09-2021,749.33,778.44,748.61,774.57,531770,,0.0,0.0
09-09-2021,778.93,794.7,768.19,781.49,182204,,0.0,0.0
13-09-2021,785.89,785.89,755.62,759.75,101736,,0.0,0.0
14-09-2021,767.16,799.64,761.9,777.76,485882,,0.0,0.0
15-09-2021,777.13,830.91,773.99,815.45,466283,,0.0,0.0
16-09-2021,816.71,861.59,816.62,854.09,960446,,0.0,0.0
17-09-2021,871.79,889.4,842.95,873.49,613230,,0.0,0.0
20-09-2021,869.63,880.41,821.16,845.51,448991,,0.0,0.0
21-09-2021,849.06,879.6,846.59,863.34,371280,,0.0,0.0
22-09-2021,867.83,882.12,856.56,862.22,136288,,0.0,0.0
23-09-2021,867.92,871.52,834.68,838.27,137632,,0.0,0.0
24-09-2021,840.97,853.55,818.87,822.69,95110,,0.0,0.0
27-09-2021,832.39,848.02,827.94,839.4,175422,,0.0,0.0
28-09-2021,844.29,844.29,818.64,826.24,170544,,0.0,0.0
29-09-2021,817.7,821.2,803.32,814.47,145024,,0.0,0.0
30-09-2021,821.74,844.56,812.4,823.18,568720,,0.0,0.0
01-10-2021,825.52,835.13,820.66,830.46,71869,,0.0,0.0
04-10-2021,835.58,854.63,833.78,852.52,199752,,0.0,0.0
05-10-2021,853.23,854.94,828.39,832.75,83809,,0.0,0.0
06-10-2021,835.49,843.67,815.81,821.61,82830,,0.0,0.0
07-10-2021,823.0,839.17,813.21,830.37,142561,,0.0,0.0
08-10-2021,830.37,859.75,822.46,835.4,370613,,0.0,0.0
11-10-2021,843.08,846.18,822.55,828.71,82843,,0.0,0.0
12-10-2021,831.0,834.55,804.13,814.06,206453,,0.0,0.0
13-10-2021,820.66,825.07,805.12,816.04,63214,,0.0,0.0
14-10-2021,815.81,844.92,814.02,832.61,106660,,0.0,0.0
18-10-2021,841.33,848.97,821.83,843.98,89694,,0.0,0.0
19-10-2021,849.06,852.02,810.15,818.01,105537,,0.0,0.0
20-10-2021,818.01,823.85,766.71,787.02,135328,,0.0,0.0
21-10-2021,786.16,822.91,778.08,805.53,124319,,0.0,0.0
22-10-2021,805.93,813.16,788.45,800.45,86523,,0.0,0.0
25-10-2021,799.64,854.45,791.37,846.41,306567,,0.0,0.0
26-10-2021,853.5,854.45,827.0,840.75,163561,,0.0,0.0
27-10-2021,847.26,847.26,817.61,821.92,49143,,0.0,0.0
28-10-2021,817.61,825.88,786.07,791.15,55532,,0.0,0.0
29-10-2021,789.67,807.73,763.84,778.39,69315,,0.0,0.0
01-11-2021,780.77,806.83,778.26,797.89,313633,,0.0,0.0
02-11-2021,788.32,822.1,788.32,818.37,54486,,0.0,0.0
03-11-2021,816.71,816.71,792.72,797.89,30898,,0.0,0.0
04-11-2021,803.77,807.46,784.64,791.42,12590,,0.0,0.0
08-11-2021,799.55,817.52,786.48,790.52,63047,,0.0,0.0
09-11-2021,793.35,795.15,778.48,788.54,65366,,0.0,0.0
10-11-2021,790.66,813.07,787.92,803.05,49537,,0.0,0.0
11-11-2021,822.1,849.06,805.35,844.25,436449,,0.0,0.0
12-11-2021,849.87,850.13,823.45,843.98,197792,,0.0,0.0
15-11-2021,846.09,846.09,798.02,837.69,652175,,0.0,0.0
16-11-2021,837.69,849.06,817.61,821.61,90050,,0.0,0.0
17-11-2021,817.61,869.54,817.61,847.75,910361,,0.0,0.0
18-11-2021,856.24,856.24,809.97,817.7,267340,,0.0,0.0
22-11-2021,812.19,837.37,779.08,825.91,276862,,4.0,0.0
23-11-2021,823.93,823.93,795.95,811.29,261218,,0.0,0.0
24-11-2021,815.35,818.15,780.61,795.5,156084,,0.0,0.0
25-11-2021,786.88,808.58,785.66,801.46,93687,,0.0,0.0
26-11-2021,785.12,791.98,758.59,783.95,91826,,0.0,0.0
29-11-2021,754.26,816.71,732.33,812.19,310054,,0.0,0.0
30-11-2021,813.14,822.12,796.27,806.46,130201,,0.0,0.0
01-12-2021,798.75,808.36,762.56,777.5,102627,,0.0,0.0
02-12-2021,789.63,789.63,767.07,770.19,47605,,0.0,0.0
03-12-2021,773.98,812.19,770.68,778.31,85781,,0.0,0.0
06-12-2021,778.31,785.21,767.98,775.38,147005,,0.0,0.0
07-12-2021,776.1,783.41,743.02,749.97,107281,,0.0,0.0
08-12-2021,753.54,773.98,752.95,758.23,146123,,0.0,0.0
09-12-2021,759.85,769.06,744.6,753.22,122667,,0.0,0.0
10-12-2021,753.54,762.11,744.69,748.89,33544,,0.0,0.0
13-12-2021,752.63,765.27,728.36,733.91,137634,,0.0,0.0
14-12-2021,738.1,784.22,735.49,771.68,278241,,0.0,0.0
15-12-2021,776.01,776.01,746.54,756.97,85886,,0.0,0.0
16-12-2021,771.4,771.4,738.19,755.93,116732,,0.0,0.0
17-12-2021,755.93,763.28,740.04,750.6,113993,,0.0,0.0
20-12-2021,741.8,742.8,703.04,709.32,164671,,0.0,0.0
21-12-2021,721.05,732.28,705.17,717.35,435171,,0.0,0.0
22-12-2021,717.35,742.17,707.24,717.75,297260,,0.0,0.0
23-12-2021,715.23,733.68,715.23,726.73,410386,,0.0,0.0
24-12-2021,730.07,732.06,716.81,722.31,40369,,0.0,0.0
27-12-2021,724.52,724.52,713.69,715.0,25249,,0.0,0.0
28-12-2021,716.22,731.7,716.22,724.93,146298,,0.0,0.0
29-12-2021,726.46,753.54,721.95,745.28,148292,,0.0,0.0
30-12-2021,734.59,777.9,731.92,769.06,259042,,0.0,0.0
31-12-2021,763.1,776.23,758.5,772.8,72194,,0.0,0.0
03-01-2022,775.83,779.17,760.53,775.24,57619,,0.0,0.0
04-01-2022,782.41,800.82,774.74,796.22,72784,,0.0,0.0
05-01-2022,792.34,794.46,775.19,782.73,41578,,0.0,0.0
06-01-2022,785.12,785.12,750.38,752.45,140570,,0.0,0.0
07-01-2022,750.83,761.88,734.59,739.64,268849,,0.0,0.0
10-01-2022,740.0,746.9,735.94,738.01,46816,,0.0,0.0
11-01-2022,741.71,742.26,712.93,715.23,146366,,0.0,0.0
12-01-2022,730.98,739.46,723.3,733.23,76587,,0.0,0.0
13-01-2022,739.82,740.9,718.48,727.0,144416,,0.0,0.0
14-01-2022,726.46,732.74,717.8,720.15,133161,,0.0,0.0
17-01-2022,723.76,733.64,716.4,726.33,71401,,0.0,0.0
18-01-2022,729.98,753.54,727.41,733.1,131621,,0.0,0.0
19-01-2022,744.42,748.57,730.52,734.18,176710,,0.0,0.0
20-01-2022,737.88,740.0,724.84,727.59,45670,,0.0,0.0
21-01-2022,725.34,732.42,720.51,725.02,27504,,0.0,0.0
24-01-2022,717.44,722.27,674.57,691.13,159709,,0.0,0.0
25-01-2022,691.27,691.27,655.13,667.76,418519,,0.0,0.0
27-01-2022,667.8,667.8,649.3,653.09,142074,,0.0,0.0
28-01-2022,656.39,672.27,642.4,648.72,399635,,0.0,0.0
31-01-2022,669.61,669.61,647.23,653.86,98208,,0.0,0.0
01-02-2022,653.37,653.37,643.44,649.85,251567,,0.0,0.0
02-02-2022,651.65,665.64,648.85,654.72,146865,,0.0,0.0
03-02-2022,656.84,680.35,655.4,670.06,158777,,0.0,0.0
04-02-2022,668.75,668.75,654.27,656.16,67642,,0.0,0.0
07-02-2022,649.76,663.52,646.55,659.68,66493,,0.0,0.0
08-02-2022,667.8,667.8,644.52,654.27,183796,,0.0,0.0
09-02-2022,655.17,665.41,649.76,658.92,38424,,0.0,0.0
10-02-2022,654.27,654.27,568.54,595.25,1130827,,0.0,0.0
11-02-2022,627.65,652.96,573.14,578.73,1803235,,0.0,0.0
14-02-2022,572.01,572.01,503.56,525.94,1395567,,0.0,0.0
15-02-2022,523.32,560.5,513.35,516.6,1652597,,0.0,0.0
16-02-2022,535.42,535.42,516.56,522.56,1223315,,0.0,0.0
17-02-2022,536.95,545.98,520.17,541.15,1072324,,0.0,0.0
18-02-2022,536.05,592.72,535.1,585.01,1584994,,0.0,0.0
21-02-2022,585.77,587.89,547.64,551.89,432625,,0.0,0.0
22-02-2022,539.57,582.12,516.6,559.96,458445,,0.0,0.0
23-02-2022,569.44,592.5,561.41,569.48,473454,,0.0,0.0
24-02-2022,536.95,569.3,531.22,544.76,308817,,0.0,0.0
25-02-2022,573.77,577.11,548.55,557.53,241608,,0.0,0.0
28-02-2022,543.27,578.96,543.27,571.97,350078,,0.0,0.0
02-03-2022,570.34,577.47,559.51,568.36,162590,,0.0,0.0
03-03-2022,571.2,577.34,530.18,547.92,296941,,0.0,0.0
04-03-2022,549.09,554.1,524.32,526.12,306533,,0.0,0.0
07-03-2022,522.51,522.51,496.34,500.67,198735,,0.0,0.0
08-03-2022,501.67,509.79,475.95,495.62,320259,,0.0,0.0
09-03-2022,505.19,505.19,476.58,481.63,467779,,0.0,0.0
10-03-2022,495.39,495.39,477.53,480.37,522801,,0.0,0.0
11-03-2022,481.0,487.23,478.29,482.94,952305,,0.0,0.0
14-03-2022,481.54,513.49,481.54,510.24,484688,,0.0,0.0
15-03-2022,510.78,525.9,503.61,519.26,453390,,0.0,0.0
16-03-2022,524.14,527.93,516.87,522.51,114408,,0.0,0.0
17-03-2022,527.93,531.81,505.37,509.52,218341,,0.0,0.0
21-03-2022,517.77,517.77,506.04,512.13,121830,,0.0,0.0
22-03-2022,509.88,517.95,507.76,515.92,321343,,0.0,0.0
23-03-2022,515.74,517.73,505.55,510.01,151504,,0.0,0.0
24-03-2022,506.67,527.02,505.37,522.38,267567,,0.0,0.0
25-03-2022,522.51,535.28,522.51,529.24,239881,,0.0,0.0
28-03-2022,531.09,546.79,515.2,541.69,470570,,0.0,0.0
29-03-2022,547.78,570.34,542.5,555.95,688646,,0.0,0.0
30-03-2022,564.93,602.83,557.57,591.86,962479,,0.0,0.0
31-03-2022,604.63,620.88,589.7,594.75,764823,,0.0,0.0
01-04-2022,595.34,610.86,589.38,598.99,342313,,0.0,0.0
04-04-2022,603.73,635.68,600.48,630.22,420984,,0.0,0.0
05-04-2022,630.22,636.76,620.88,622.95,252307,,0.0,0.0
06-04-2022,622.95,629.23,607.84,615.96,225101,,0.0,0.0
07-04-2022,613.43,636.72,604.68,629.63,260735,,0.0,0.0
08-04-2022,633.15,650.43,629.99,634.64,204705,,0.0,0.0
11-04-2022,638.93,640.73,626.74,632.07,122847,,0.0,0.0
12-04-2022,634.96,644.3,614.7,620.7,122299,,0.0,0.0
13-04-2022,625.21,628.05,612.39,615.15,120147,,0.0,0.0
18-04-2022,609.06,610.36,587.49,594.71,294168,,0.0,0.0
19-04-2022,597.59,603.69,578.06,583.74,156845,,0.0,0.0
20-04-2022,584.24,602.74,566.73,572.19,133948,,0.0,0.0
21-04-2022,572.69,596.87,572.69,592.72,133645,,0.0,0.0
22-04-2022,591.1,619.93,582.12,597.37,194845,,0.0,0.0
25-04-2022,595.52,657.88,589.56,606.98,1391256,,0.0,0.0
26-04-2022,609.15,628.55,605.54,619.12,210574,,0.0,0.0
27-04-2022,617.27,650.66,612.44,629.9,379885,,0.0,0.0
28-04-2022,632.61,645.11,627.33,638.2,183552,,0.0,0.0
29-04-2022,646.6,648.09,625.39,639.87,154711,,0.0,0.0
02-05-2022,635.32,637.98,610.14,620.16,127129,,0.0,0.0
04-05-2022,629.0,635.27,610.32,617.13,111962,,0.0,0.0
05-05-2022,630.53,630.53,587.22,596.87,72844,,0.0,0.0
06-05-2022,591.1,630.8,575.39,616.5,235693,,0.0,0.0
09-05-2022,622.05,630.76,592.59,613.21,214288,,0.0,0.0
10-05-2022,604.63,614.79,578.06,590.83,103898,,0.0,0.0
11-05-2022,584.64,591.64,560.01,566.28,85627,,0.0,0.0
12-05-2022,559.51,559.51,525.44,528.69,141673,,0.0,0.0
13-05-2022,534.69,557.71,532.44,550.8,86074,,0.0,0.0
16-05-2022,575.58,575.58,553.19,555.77,110078,,0.0,0.0
17-05-2022,555.77,564.11,545.66,557.93,64175,,0.0,0.0
18-05-2022,559.02,583.34,557.08,571.38,172676,,0.0,0.0
19-05-2022,546.02,578.64,546.02,563.08,100460,,0.0,0.0
20-05-2022,574.27,595.61,569.44,591.55,77644,,0.0,0.0
23-05-2022,596.24,596.56,573.18,579.23,45953,,0.0,0.0
24-05-2022,579.0,613.66,573.18,599.9,186251,,0.0,0.0
25-05-2022,607.34,607.34,577.74,583.88,81404,,0.0,0.0
26-05-2022,583.92,605.45,582.98,590.15,122458,,0.0,0.0
27-05-2022,601.07,612.58,593.4,602.83,118506,,0.0,0.0
30-05-2022,610.95,629.9,607.34,620.52,127799,,0.0,0.0
31-05-2022,619.07,640.64,615.33,635.36,204167,,0.0,0.0
01-06-2022,641.63,654.18,631.08,635.99,82310,,0.0,0.0
02-06-2022,633.6,643.84,623.59,625.53,41320,,0.0,0.0
03-06-2022,632.2,636.81,618.26,619.7,32477,,0.0,0.0
06-06-2022,624.35,629.95,601.29,625.8,63926,,0.0,0.0
07-06-2022,619.66,619.66,609.19,612.44,36368,,0.0,0.0
08-06-2022,612.85,636.04,608.97,611.72,67844,,0.0,0.0
09-06-2022,608.22,617.3,600.46,606.5,47422,,4.0,0.0
10-06-2022,594.61,604.59,591.88,595.51,33714,,0.0,0.0
13-06-2022,592.79,607.32,573.73,596.65,114194,,0.0,0.0
14-06-2022,582.03,596.24,566.42,568.73,176664,,0.0,0.0
15-06-2022,569.1,581.26,559.2,575.09,114990,,0.0,0.0
16-06-2022,577.86,582.31,551.94,557.48,116526,,0.0,0.0
17-06-2022,553.98,567.1,541.55,557.75,281935,,0.0,0.0
20-06-2022,562.79,577.36,556.43,568.1,88412,,0.0,0.0
21-06-2022,570.96,587.34,566.51,578.27,34180,,0.0,0.0
22-06-2022,576.45,576.45,554.75,561.79,75997,,0.0,0.0
23-06-2022,579.08,584.89,549.22,554.21,239624,,0.0,0.0
24-06-2022,557.02,559.34,550.85,553.44,140797,,0.0,0.0
27-06-2022,558.43,577.36,555.62,571.96,221257,,0.0,0.0
28-06-2022,568.28,569.69,547.45,551.53,78194,,0.0,0.0
29-06-2022,547.49,554.07,542.04,545.49,48358,,0.0,0.0
30-06-2022,544.68,559.61,525.8,557.07,234789,,0.0,0.0
01-07-2022,556.93,556.93,537.51,544.18,76594,,0.0,0.0
04-07-2022,544.68,557.11,543.68,551.85,26301,,0.0,0.0
05-07-2022,556.39,558.29,535.55,544.54,43070,,0.0,0.0
06-07-2022,544.54,546.86,532.74,536.19,68138,,0.0,0.0
07-07-2022,538.91,541.86,531.97,534.83,73522,,0.0,0.0
08-07-2022,537.51,539.23,522.48,524.25,76594,,0.0,0.0
11-07-2022,521.98,531.24,519.71,522.48,58930,,0.0,0.0
12-07-2022,521.07,522.84,509.36,511.13,59554,,0.0,0.0
13-07-2022,513.27,534.69,506.55,526.57,111753,,0.0,0.0
14-07-2022,529.24,529.24,508.82,515.63,67360,,0.0,0.0
15-07-2022,518.22,537.42,516.99,533.92,121554,,0.0,0.0
18-07-2022,532.06,548.31,523.71,544.95,146353,,0.0,0.0
19-07-2022,542.04,542.04,531.06,533.83,71850,,0.0,0.0
20-07-2022,537.19,540.09,522.44,530.42,225476,,0.0,0.0
21-07-2022,532.88,542.86,530.7,537.69,90326,,0.0,0.0
22-07-2022,540.14,540.41,529.2,530.06,61819,,0.0,0.0
25-07-2022,532.01,532.51,515.22,521.89,174867,,0.0,0.0
26-07-2022,519.44,530.15,503.83,505.01,108983,,0.0,0.0
27-07-2022,506.28,508.41,498.38,503.96,83389,,0.0,0.0
28-07-2022,505.73,524.12,503.83,516.35,292636,,0.0,0.0
29-07-2022,521.89,537.96,513.54,535.78,282287,,0.0,0.0
01-08-2022,537.41,540.05,528.43,537.19,88987,,0.0,0.0
02-08-2022,537.55,551.94,530.61,535.05,152544,,0.0,0.0
03-08-2022,536.37,540.14,519.35,523.71,103622,,0.0,0.0
04-08-2022,526.52,539.14,519.08,526.16,117308,,0.0,0.0
05-08-2022,528.34,534.56,512.22,515.99,355001,,0.0,0.0
08-08-2022,514.36,523.66,512.77,517.44,114041,,0.0,0.0
10-08-2022,518.26,521.44,514.81,516.9,78155,,0.0,0.0
