Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
23-08-2023,207.05,208.6,199.0,201.0,24133608,,0.0,0.0
24-08-2023,201.05,202.9,193.8,199.1,2675099,,0.0,0.0
25-08-2023,198.05,198.3,195.5,197.05,946520,,0.0,0.0
28-08-2023,198.95,198.95,195.1,197.4,601097,,0.0,0.0
29-08-2023,197.45,201.85,197.4,200.0,1645512,,0.0,0.0
30-08-2023,201.1,204.1,200.0,200.3,1396819,,0.0,0.0
31-08-2023,201.9,203.05,199.55,200.15,531338,,0.0,0.0
01-09-2023,201.8,202.0,196.7,200.2,540220,,0.0,0.0
04-09-2023,202.4,202.95,199.3,200.05,786608,,0.0,0.0
05-09-2023,202.0,202.7,199.85,200.05,633999,,0.0,0.0
06-09-2023,200.0,203.7,199.75,201.05,557607,,0.0,0.0
07-09-2023,202.0,232.95,200.85,221.3,7039853,,0.0,0.0
08-09-2023,221.45,241.45,221.0,230.9,5421706,,0.0,0.0
11-09-2023,253.0,258.0,242.0,245.35,6766049,,0.0,0.0
12-09-2023,244.0,244.0,225.0,229.05,3008560,,0.0,0.0
13-09-2023,230.85,232.85,217.95,221.35,2810594,,0.0,0.0
14-09-2023,223.6,227.7,216.8,226.15,4628575,,0.0,0.0
15-09-2023,227.5,229.5,221.0,222.4,1424989,,0.0,0.0
18-09-2023,222.4,224.5,220.55,222.65,1172985,,0.0,0.0
20-09-2023,221.0,222.75,213.0,214.65,1582128,,0.0,0.0
21-09-2023,215.9,218.65,212.1,214.15,1253075,,0.0,0.0
22-09-2023,214.95,217.8,211.3,213.45,463679,,0.0,0.0
25-09-2023,214.9,215.4,209.55,210.45,714959,,0.0,0.0
26-09-2023,211.5,212.5,209.0,210.1,697093,,0.0,0.0
27-09-2023,210.95,214.9,208.05,211.5,2146030,,0.0,0.0
28-09-2023,213.7,221.35,213.7,217.05,4189468,,0.0,0.0
29-09-2023,221.8,222.5,214.75,215.55,2490124,,0.0,0.0
03-10-2023,215.0,215.35,213.5,214.15,462948,,0.0,0.0
04-10-2023,213.0,215.2,210.8,214.25,940862,,0.0,0.0
05-10-2023,216.7,216.75,210.5,211.55,1588150,,0.0,0.0
06-10-2023,212.4,218.0,210.7,216.2,1255675,,0.0,0.0
09-10-2023,215.0,215.0,210.05,210.95,1103443,,0.0,0.0
10-10-2023,211.75,214.0,210.5,211.1,1036483,,0.0,0.0
11-10-2023,212.0,230.8,211.35,228.25,5820082,,0.0,0.0
12-10-2023,228.4,231.15,222.7,223.85,1868474,,0.0,0.0
13-10-2023,223.45,228.7,222.0,226.65,1361962,,0.0,0.0
16-10-2023,227.0,227.8,221.0,221.75,1183108,,0.0,0.0
17-10-2023,223.7,229.5,221.8,223.15,1451931,,0.0,0.0
18-10-2023,223.8,226.25,213.1,214.45,1803319,,0.0,0.0
19-10-2023,213.9,216.95,212.2,215.75,1297434,,0.0,0.0
20-10-2023,215.7,215.7,211.0,212.15,745206,,0.0,0.0
23-10-2023,226.0,226.0,208.95,210.3,2713317,,0.0,0.0
25-10-2023,213.5,214.2,207.1,208.85,1119342,,0.0,0.0
26-10-2023,208.6,210.9,202.65,209.7,1323291,,0.0,0.0
27-10-2023,211.0,214.0,209.3,210.45,2106636,,0.0,0.0
30-10-2023,211.2,214.9,210.05,213.2,736861,,0.0,0.0
31-10-2023,213.75,216.45,212.0,212.9,508171,,0.0,0.0
01-11-2023,213.45,214.85,210.95,211.8,400151,,0.0,0.0
02-11-2023,213.3,214.4,212.2,212.85,324175,,0.0,0.0
03-11-2023,214.3,216.2,213.35,213.85,306545,,0.0,0.0
06-11-2023,215.3,219.6,214.6,218.5,1182397,,0.0,0.0
07-11-2023,211.0,223.9,210.15,219.15,2730848,,0.0,0.0
08-11-2023,220.0,220.2,214.2,214.85,784662,,0.0,0.0
09-11-2023,214.7,215.8,212.0,212.35,489216,,0.0,0.0
10-11-2023,212.8,213.65,211.0,211.85,426776,,0.0,0.0
13-11-2023,213.95,215.0,212.0,213.35,594740,,0.0,0.0
15-11-2023,215.0,215.0,211.6,211.9,816528,,0.0,0.0
16-11-2023,212.85,215.75,211.0,212.3,1164984,,0.0,0.0
17-11-2023,213.3,214.6,211.45,211.9,844728,,0.0,0.0
20-11-2023,212.6,214.3,209.2,209.95,836895,,0.0,0.0
21-11-2023,210.6,215.5,210.6,212.55,1822758,,0.0,0.0
