Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,146.98,146.98,142.07,143.86,27245,,0.0,0.0
09-08-2021,148.82,151.01,142.17,150.26,41813,,0.0,0.0
10-08-2021,153.0,153.04,142.76,142.96,47696,,0.0,0.0
11-08-2021,144.75,144.75,135.86,142.71,36696,,0.0,0.0
12-08-2021,146.64,149.02,140.08,148.38,100172,,0.0,0.0
13-08-2021,142.12,152.5,142.07,147.13,40393,,0.0,0.0
16-08-2021,147.03,147.03,141.07,142.56,21845,,0.0,0.0
17-08-2021,146.84,146.84,135.46,139.29,35656,,0.0,0.0
18-08-2021,141.57,143.95,136.6,141.97,71187,,0.0,0.0
20-08-2021,141.07,144.05,136.11,139.98,50566,,0.0,0.0
23-08-2021,142.02,146.54,135.11,139.43,32077,,0.0,0.0
24-08-2021,139.29,146.39,139.29,146.39,92486,,0.0,0.0
25-08-2021,153.69,153.69,153.69,153.69,20524,,0.0,0.0
26-08-2021,161.34,161.34,161.34,161.34,4704,,0.0,0.0
27-08-2021,169.39,169.39,169.39,169.39,5197,,0.0,0.0
30-08-2021,177.83,177.83,177.83,177.83,17697,,0.0,0.0
31-08-2021,186.72,186.72,186.72,186.72,16764,,0.0,0.0
01-09-2021,196.01,196.01,196.01,196.01,15470,,0.0,0.0
02-09-2021,205.8,205.8,200.78,205.8,296943,,0.0,0.0
03-09-2021,213.6,216.08,208.63,216.08,69398,,0.0,0.0
06-09-2021,226.86,226.86,226.86,226.86,17506,,0.0,0.0
07-09-2021,238.19,238.19,238.19,238.19,14890,,0.0,0.0
08-09-2021,250.06,250.06,250.06,250.06,19059,,0.0,0.0
09-09-2021,262.53,262.53,262.53,262.53,46438,,0.0,0.0
13-09-2021,275.64,275.64,275.64,275.64,22667,,0.0,0.0
14-09-2021,289.4,289.4,289.4,289.4,191829,,0.0,0.0
15-09-2021,303.85,303.85,303.85,303.85,26583,,0.0,0.0
16-09-2021,319.0,319.0,319.0,319.0,27345,,0.0,0.0
17-09-2021,334.95,334.95,303.06,334.95,268399,,0.0,0.0
20-09-2021,342.55,351.69,318.96,351.69,107455,,0.0,0.0
21-09-2021,365.2,369.27,334.11,367.14,329570,,0.0,0.0
22-09-2021,377.42,377.42,348.81,348.81,88363,,0.0,0.0
23-09-2021,331.37,331.37,331.37,331.37,11548,,0.0,0.0
24-09-2021,314.83,347.92,314.83,335.4,292739,,0.0,0.0
27-09-2021,332.81,332.81,318.66,318.66,61813,,0.0,0.0
28-09-2021,302.76,324.27,302.76,302.81,153033,,0.0,0.0
29-09-2021,290.09,303.46,287.71,289.75,82334,,0.0,0.0
30-09-2021,300.03,304.2,296.06,304.2,33605,,0.0,0.0
01-10-2021,319.4,319.4,319.4,319.4,66533,,0.0,0.0
04-10-2021,335.35,335.35,328.84,335.35,56580,,0.0,0.0
05-10-2021,352.09,352.09,349.41,352.09,67534,,0.0,0.0
06-10-2021,364.41,369.67,334.8,342.9,142601,,0.0,0.0
07-10-2021,357.65,357.65,333.81,343.05,66830,,0.0,0.0
08-10-2021,341.76,360.18,341.76,359.74,166705,,0.0,0.0
11-10-2021,358.64,370.32,344.98,358.55,98386,,0.0,0.0
12-10-2021,366.59,370.91,341.76,360.53,105436,,0.0,0.0
13-10-2021,364.41,365.1,343.74,348.66,123902,,0.0,0.0
14-10-2021,353.68,366.05,343.74,366.05,228818,,0.0,0.0
18-10-2021,384.33,384.33,375.53,384.33,299085,,0.0,0.0
19-10-2021,397.29,397.29,365.15,365.15,214288,,0.0,0.0
20-10-2021,346.92,346.92,346.92,346.92,8628,,0.0,0.0
21-10-2021,329.59,329.59,329.59,329.59,10438,,0.0,0.0
22-10-2021,317.91,345.73,313.14,313.14,144057,,0.0,0.0
25-10-2021,303.31,312.75,297.5,297.5,102059,,0.0,0.0
26-10-2021,297.5,312.35,291.59,307.68,88983,,0.0,0.0
27-10-2021,303.26,309.86,293.22,299.78,102033,,0.0,0.0
28-10-2021,304.5,304.5,286.12,296.35,87034,,0.0,0.0
29-10-2021,297.94,303.01,283.34,294.32,45959,,0.0,0.0
