Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,289.99,296.73,288.77,289.6,363675,,0.0,0.0
09-08-2021,291.52,294.67,286.06,287.93,270460,,0.0,0.0
10-08-2021,287.93,289.11,271.16,277.75,534753,,0.0,0.0
11-08-2021,277.75,282.37,257.79,273.23,727563,,0.0,0.0
12-08-2021,273.23,294.42,273.23,292.11,761625,,0.0,0.0
13-08-2021,293.04,293.04,278.44,280.75,557739,,0.0,0.0
16-08-2021,282.03,284.14,272.44,275.29,335291,,0.0,0.0
17-08-2021,275.34,276.52,265.51,267.03,532201,,0.0,0.0
18-08-2021,271.41,274.31,267.97,268.85,255277,,0.0,0.0
20-08-2021,266.97,269.64,257.71,259.49,418546,,2.0,0.0
23-08-2021,262.66,266.43,242.75,244.63,618465,,0.0,0.0
24-08-2021,244.09,270.44,242.7,264.64,1121114,,0.0,0.0
25-08-2021,265.48,272.37,262.71,264.79,497991,,0.0,0.0
26-08-2021,264.99,267.22,255.13,256.87,307441,,0.0,0.0
27-08-2021,257.36,263.5,252.85,258.2,354241,,0.0,0.0
30-08-2021,258.15,262.51,256.47,258.9,465045,,0.0,0.0
31-08-2021,259.54,262.02,254.88,256.57,577001,,0.0,0.0
01-09-2021,257.51,263.5,252.9,256.97,367516,,0.0,0.0
02-09-2021,256.52,264.64,256.47,260.38,596555,,0.0,0.0
03-09-2021,261.32,274.35,260.68,271.28,870845,,0.0,0.0
06-09-2021,273.31,281.33,270.04,272.22,1211180,,0.0,0.0
07-09-2021,271.43,273.71,266.47,270.04,345164,,0.0,0.0
08-09-2021,270.04,282.32,270.04,276.63,1411648,,0.0,0.0
09-09-2021,277.37,278.86,269.25,273.46,319286,,0.0,0.0
13-09-2021,276.28,277.37,269.55,274.1,459500,,0.0,0.0
14-09-2021,274.6,281.24,271.58,279.65,645184,,0.0,0.0
15-09-2021,279.95,280.59,275.59,277.67,292393,,0.0,0.0
16-09-2021,277.67,281.78,272.57,273.66,491961,,0.0,0.0
17-09-2021,275.29,277.87,270.24,275.24,609058,,0.0,0.0
20-09-2021,270.34,277.27,267.61,270.24,464080,,0.0,0.0
21-09-2021,267.47,273.95,262.56,269.1,596888,,0.0,0.0
22-09-2021,269.15,273.01,266.72,269.94,726112,,0.0,0.0
23-09-2021,271.77,280.79,270.44,279.35,1956869,,0.0,0.0
24-09-2021,282.32,296.54,279.35,288.57,2474649,,0.0,0.0
27-09-2021,289.31,289.31,280.34,283.27,708678,,0.0,0.0
28-09-2021,284.7,294.16,281.19,288.47,1258508,,0.0,0.0
29-09-2021,286.29,288.17,282.92,284.26,259961,,0.0,0.0
30-09-2021,285.74,291.79,282.13,283.36,376175,,0.0,0.0
01-10-2021,281.24,283.32,277.37,279.25,216225,,0.0,0.0
04-10-2021,281.24,285.54,279.35,283.81,327979,,0.0,0.0
05-10-2021,283.81,286.19,278.71,279.75,332997,,0.0,0.0
06-10-2021,282.08,283.86,273.41,275.24,232270,,0.0,0.0
07-10-2021,277.47,281.83,273.31,275.94,238752,,0.0,0.0
08-10-2021,277.47,285.79,275.49,281.58,486029,,0.0,0.0
11-10-2021,284.11,284.21,274.9,275.98,658534,,0.0,0.0
12-10-2021,276.83,282.82,274.0,274.99,287575,,0.0,0.0
13-10-2021,275.89,283.81,273.11,276.93,511734,,0.0,0.0
14-10-2021,278.86,284.21,277.67,279.95,397540,,0.0,0.0
18-10-2021,282.23,284.31,276.88,277.92,909026,,0.0,0.0
19-10-2021,279.35,281.24,267.56,270.93,511843,,0.0,0.0
20-10-2021,272.12,282.92,268.8,280.19,1284000,,0.0,0.0
21-10-2021,282.23,286.78,271.43,273.9,2624434,,0.0,0.0
22-10-2021,274.4,300.65,274.4,297.88,4510955,,0.0,0.0
25-10-2021,301.64,305.11,287.28,288.47,2500902,,0.0,0.0
26-10-2021,288.47,297.08,284.31,285.45,1190596,,0.0,0.0
27-10-2021,286.29,290.84,278.46,279.55,520534,,0.0,0.0
28-10-2021,281.28,281.78,269.2,270.78,482594,,0.0,0.0
29-10-2021,270.44,274.9,261.77,271.28,508258,,0.0,0.0
01-11-2021,271.73,276.08,267.56,270.44,555325,,0.0,0.0
02-11-2021,271.82,280.79,270.73,273.86,525213,,0.0,0.0
03-11-2021,276.13,278.31,268.6,269.84,298940,,0.0,0.0
04-11-2021,272.32,275.19,270.44,272.86,70675,,0.0,0.0
08-11-2021,275.39,276.18,269.45,269.89,280195,,0.0,0.0
09-11-2021,270.44,275.04,269.05,269.84,229539,,0.0,0.0
10-11-2021,269.94,272.22,266.57,267.52,209013,,0.0,0.0
11-11-2021,268.36,270.24,264.59,265.14,198611,,0.0,0.0
12-11-2021,267.27,274.94,265.88,273.76,519634,,0.0,0.0
15-11-2021,274.9,284.31,274.05,282.82,1298988,,0.0,0.0
16-11-2021,284.11,308.58,280.59,301.49,5751333,,0.0,0.0
17-11-2021,297.18,302.09,289.26,292.68,816755,,0.0,0.0
18-11-2021,297.13,297.13,280.1,285.05,713825,,0.0,0.0
22-11-2021,284.6,287.28,272.42,273.71,456719,,0.0,0.0
23-11-2021,272.42,277.37,269.0,274.99,385081,,0.0,0.0
24-11-2021,275.39,283.27,274.05,275.74,337884,,0.0,0.0
25-11-2021,276.28,282.42,275.39,276.08,266802,,0.0,0.0
26-11-2021,274.1,278.16,265.48,266.72,472622,,0.0,0.0
29-11-2021,268.6,270.04,258.15,265.78,437270,,0.0,0.0
30-11-2021,268.46,276.28,265.53,273.76,489347,,0.0,0.0
01-12-2021,276.28,276.28,266.33,268.26,274742,,0.0,0.0
02-12-2021,268.46,273.01,267.52,269.15,153013,,0.0,0.0
03-12-2021,270.34,285.3,270.24,282.52,892306,,0.0,0.0
06-12-2021,284.21,286.14,276.93,281.68,481453,,0.0,0.0
07-12-2021,282.32,284.31,280.34,281.53,222609,,0.0,0.0
08-12-2021,280.84,292.78,280.84,286.14,656767,,0.0,0.0
09-12-2021,286.14,295.2,286.14,290.94,477260,,0.0,0.0
10-12-2021,292.23,297.18,288.62,292.53,935612,,0.0,0.0
13-12-2021,299.17,314.42,292.97,297.08,3095537,,0.0,0.0
14-12-2021,296.94,304.81,293.22,302.34,720039,,0.0,0.0
15-12-2021,302.34,303.52,288.27,291.04,536947,,0.0,0.0
16-12-2021,293.02,293.82,284.31,286.24,417025,,0.0,0.0
17-12-2021,287.97,296.84,278.81,289.51,1343283,,0.0,0.0
20-12-2021,287.28,287.48,278.36,282.37,599799,,0.0,0.0
21-12-2021,286.73,291.59,283.02,286.63,401580,,0.0,0.0
22-12-2021,287.97,291.24,282.13,283.41,278623,,0.0,0.0
23-12-2021,286.29,288.62,281.48,282.13,174668,,0.0,0.0
24-12-2021,284.7,285.0,278.36,279.11,218332,,0.0,0.0
27-12-2021,278.81,283.86,276.48,278.16,241572,,0.0,0.0
28-12-2021,279.55,287.18,279.55,285.49,320215,,0.0,0.0
29-12-2021,288.17,291.14,285.1,289.46,989845,,0.0,0.0
30-12-2021,291.83,296.09,283.41,288.86,1420106,,0.0,0.0
31-12-2021,288.91,291.14,283.32,285.05,295081,,0.0,0.0
03-01-2022,285.25,289.95,281.43,281.98,942789,,0.0,0.0
04-01-2022,283.32,284.7,276.53,278.36,498527,,0.0,0.0
05-01-2022,279.15,282.82,276.38,277.77,1067393,,0.0,0.0
06-01-2022,277.62,277.62,271.87,272.37,521660,,0.0,0.0
07-01-2022,272.67,276.93,268.41,272.67,629045,,0.0,0.0
10-01-2022,270.44,279.06,270.44,271.13,922099,,0.0,0.0
11-01-2022,272.42,272.91,269.74,271.03,334328,,0.0,0.0
12-01-2022,273.26,275.29,270.83,271.68,308900,,0.0,0.0
13-01-2022,274.2,277.32,270.93,271.48,624112,,0.0,0.0
14-01-2022,271.43,275.14,269.94,271.48,510284,,0.0,0.0
17-01-2022,273.21,275.09,267.96,269.0,680572,,0.0,0.0
18-01-2022,271.33,274.9,264.49,266.72,970020,,0.0,0.0
19-01-2022,268.26,271.33,244.78,246.81,4860325,,0.0,0.0
20-01-2022,239.73,243.89,215.56,219.87,7571750,,0.0,0.0
21-01-2022,218.93,221.9,203.17,207.29,3567950,,0.0,0.0
24-01-2022,207.04,210.9,196.83,198.47,3046150,,0.0,0.0
25-01-2022,198.22,207.34,194.16,206.0,2476462,,0.0,0.0
27-01-2022,207.04,211.0,203.08,206.54,2006574,,0.0,0.0
28-01-2022,207.93,211.94,201.74,203.22,1366423,,0.0,0.0
31-01-2022,205.55,208.03,201.09,201.89,595436,,0.0,0.0
01-02-2022,203.97,210.41,203.92,208.47,1985094,,0.0,0.0
02-02-2022,211.0,212.64,208.03,208.67,895746,,0.0,0.0
03-02-2022,209.02,217.64,207.04,212.24,5656347,,0.0,0.0
04-02-2022,213.58,219.77,211.0,214.02,2273345,,0.0,0.0
07-02-2022,214.76,216.5,207.58,208.97,993769,,0.0,0.0
08-02-2022,208.03,213.68,201.69,203.52,1066516,,0.0,0.0
09-02-2022,204.07,205.75,202.58,204.02,690722,,0.0,0.0
10-02-2022,205.8,218.93,203.32,214.42,2434886,,0.0,0.0
11-02-2022,211.99,212.73,206.84,207.88,838605,,0.0,0.0
14-02-2022,202.09,204.56,195.1,196.74,683032,,0.0,0.0
15-02-2022,199.01,203.08,192.77,201.84,866656,,0.0,0.0
16-02-2022,203.77,205.01,200.85,201.94,670554,,0.0,0.0
17-02-2022,202.09,203.62,196.39,197.43,427132,,0.0,0.0
18-02-2022,197.13,199.86,193.42,194.85,430715,,0.0,0.0
21-02-2022,193.27,194.56,187.67,193.02,552853,,0.0,0.0
22-02-2022,185.29,188.22,178.95,183.71,799382,,0.0,0.0
23-02-2022,188.17,190.69,185.94,188.51,460155,,0.0,0.0
24-02-2022,176.33,181.98,168.45,169.2,1035371,,0.0,0.0
25-02-2022,176.33,185.15,174.89,183.41,691212,,0.0,0.0
28-02-2022,178.31,180.19,173.65,175.14,1253030,,0.0,0.0
02-03-2022,174.35,180.09,173.21,179.0,775476,,0.0,0.0
03-03-2022,183.26,188.12,182.77,183.81,1268525,,0.0,0.0
04-03-2022,182.27,187.08,180.59,185.74,1189221,,0.0,0.0
07-03-2022,179.3,182.07,176.33,178.51,753751,,0.0,0.0
08-03-2022,178.46,183.66,177.72,179.65,386509,,0.0,0.0
09-03-2022,181.98,185.94,180.74,182.92,583695,,0.0,0.0
10-03-2022,185.24,187.18,179.4,179.94,845941,,0.0,0.0
11-03-2022,179.3,186.73,179.3,184.8,1013899,,0.0,0.0
14-03-2022,183.31,189.55,180.54,185.24,724777,,0.0,0.0
15-03-2022,184.35,188.02,180.39,184.11,831496,,0.0,0.0
16-03-2022,186.98,186.98,182.27,183.11,236672,,0.0,0.0
17-03-2022,185.2,191.44,184.65,188.76,1029668,,0.0,0.0
21-03-2022,188.32,209.02,187.13,207.19,2953664,,0.0,0.0
22-03-2022,209.07,220.41,207.09,218.28,3127660,,0.0,0.0
