Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,229.7,229.7,229.7,229.7,173338,,0.0,0.0
09-08-2021,233.39,233.39,218.71,223.46,519469,,0.0,0.0
10-08-2021,222.71,231.45,212.32,214.52,763624,,0.0,0.0
11-08-2021,207.73,221.21,203.83,217.67,453187,,0.0,0.0
12-08-2021,219.71,225.8,215.72,220.01,194098,,0.0,0.0
13-08-2021,223.11,228.7,213.97,217.81,202652,,0.0,0.0
16-08-2021,217.81,217.81,207.73,208.83,168310,,0.0,0.0
17-08-2021,211.72,217.42,205.93,210.32,268330,,0.0,0.0
18-08-2021,210.72,216.42,205.78,209.48,218317,,0.0,0.0
20-08-2021,210.72,210.72,199.04,199.04,162094,,0.0,0.0
23-08-2021,199.79,202.68,189.1,189.1,277241,,0.0,0.0
24-08-2021,187.75,198.54,181.36,194.94,479984,,0.0,0.0
25-08-2021,197.54,197.54,188.0,188.7,179148,,0.0,0.0
26-08-2021,188.75,192.75,182.06,185.11,60136,,0.0,0.0
27-08-2021,185.71,187.7,181.41,185.16,90514,,0.0,0.0
30-08-2021,194.4,194.4,188.9,193.8,523649,,0.0,0.0
31-08-2021,192.05,192.05,185.76,188.3,154940,,0.0,0.0
01-09-2021,189.35,190.75,180.31,182.46,139230,,0.0,0.0
02-09-2021,182.46,191.55,182.46,188.55,232341,,0.0,0.0
03-09-2021,194.55,197.94,185.81,197.94,439870,,0.0,0.0
06-09-2021,201.74,207.83,198.74,203.43,541197,,0.0,0.0
07-09-2021,204.73,205.08,193.3,202.44,552432,,0.0,0.0
08-09-2021,205.73,211.07,201.99,205.48,458877,,0.0,0.0
09-09-2021,209.73,211.72,202.98,205.63,224234,,0.0,0.0
13-09-2021,208.13,214.62,201.74,207.68,341318,,0.0,0.0
14-09-2021,208.23,212.72,204.18,206.08,144685,,0.0,0.0
15-09-2021,208.58,209.68,203.73,205.28,81622,,0.0,0.0
16-09-2021,207.53,208.18,199.74,200.29,173468,,0.0,0.0
17-09-2021,202.68,202.68,192.15,196.59,152512,,0.0,0.0
20-09-2021,192.25,196.69,187.4,189.45,70217,,0.0,0.0
21-09-2021,189.45,191.75,184.76,187.8,121998,,0.0,0.0
22-09-2021,188.75,197.19,188.7,196.44,144694,,0.0,0.0
23-09-2021,196.54,199.29,191.6,194.7,126866,,0.0,0.0
24-09-2021,196.14,198.74,191.75,192.45,109556,,0.0,0.0
27-09-2021,196.74,196.84,189.25,189.5,116968,,0.0,0.0
28-09-2021,191.75,194.99,188.75,190.25,125333,,0.0,0.0
29-09-2021,189.5,193.0,188.55,190.45,65644,,0.0,0.0
30-09-2021,191.85,196.84,191.55,194.55,99025,,0.0,0.0
01-10-2021,196.24,204.23,190.55,203.53,404939,,0.0,0.0
04-10-2021,202.73,213.67,202.73,213.67,234130,,0.0,0.0
05-10-2021,224.31,224.31,214.92,217.57,840507,,0.0,0.0
06-10-2021,218.51,221.86,207.33,208.28,266717,,0.0,0.0
07-10-2021,209.93,214.57,204.23,208.68,131818,,0.0,0.0
08-10-2021,210.72,219.06,210.72,219.06,364807,,0.0,0.0
11-10-2021,227.5,230.0,221.36,222.56,361962,,0.0,0.0
12-10-2021,223.41,225.55,215.37,216.67,256146,,0.0,0.0
13-10-2021,221.71,223.11,213.72,216.67,375265,,0.0,0.0
14-10-2021,220.41,226.5,215.47,220.96,260251,,0.0,0.0
18-10-2021,227.05,230.7,220.71,223.66,349496,,0.0,0.0
19-10-2021,226.3,227.2,212.52,215.37,319105,,0.0,0.0
20-10-2021,215.37,215.72,204.63,204.63,332331,,0.0,0.0
21-10-2021,208.68,209.73,194.45,206.28,174836,,0.0,0.0
22-10-2021,206.28,207.83,195.99,195.99,216361,,0.0,0.0
25-10-2021,196.74,199.74,186.21,192.65,365128,,0.0,0.0
26-10-2021,193.45,202.19,193.45,199.19,226435,,0.0,0.0
27-10-2021,203.48,209.13,198.69,208.33,209840,,0.0,0.0
28-10-2021,208.33,209.43,198.54,204.93,223507,,0.0,0.0
29-10-2021,207.73,215.17,198.44,215.17,349350,,0.0,0.0
01-11-2021,225.9,225.9,222.16,225.9,233011,,0.0,0.0
02-11-2021,237.19,237.19,237.19,237.19,84112,,0.0,0.0
03-11-2021,249.02,249.02,249.02,249.02,319196,,0.0,0.0
04-11-2021,254.17,256.11,236.59,237.24,1031077,,0.0,0.0
