Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,264.96,267.59,258.59,261.99,270433,,0.0,0.0
09-08-2021,263.95,265.05,253.98,257.15,272430,,0.0,0.0
10-08-2021,257.39,257.67,230.36,243.73,559585,,0.0,0.0
11-08-2021,239.61,244.3,221.06,241.67,708856,,0.0,0.0
12-08-2021,237.26,253.89,237.26,252.93,302566,,0.0,0.0
13-08-2021,256.0,256.48,247.28,248.86,218181,,0.0,0.0
16-08-2021,248.86,250.68,240.95,246.94,175908,,0.0,0.0
17-08-2021,244.98,248.04,240.95,241.86,129118,,0.0,0.0
18-08-2021,244.3,251.11,236.73,244.78,278644,,0.0,0.0
20-08-2021,235.87,239.46,215.79,223.27,578228,,0.0,0.0
23-08-2021,225.18,228.11,206.16,210.47,402818,,0.0,0.0
24-08-2021,211.81,244.3,211.81,241.53,832884,,0.0,0.0
25-08-2021,242.48,244.59,230.26,231.51,295836,,0.0,0.0
26-08-2021,232.43,236.48,226.25,227.6,258331,,1.5,0.0
27-08-2021,229.34,232.43,217.96,219.89,466783,,0.0,0.0
30-08-2021,221.82,238.21,221.82,232.67,553022,,0.0,0.0
31-08-2021,232.52,232.86,219.7,226.45,547548,,0.0,0.0
01-09-2021,228.47,229.24,222.78,226.4,171660,,0.0,0.0
02-09-2021,221.82,232.43,221.82,227.94,267739,,0.0,0.0
03-09-2021,238.21,244.24,233.58,237.68,738091,,0.0,0.0
06-09-2021,240.04,269.65,240.04,265.46,3031528,,0.0,0.0
07-09-2021,266.66,267.82,256.05,261.7,795430,,0.0,0.0
08-09-2021,263.19,267.39,255.04,256.49,662080,,0.0,0.0
09-09-2021,257.31,261.5,253.64,254.9,338919,,0.0,0.0
13-09-2021,255.67,269.56,255.67,266.47,609564,,0.0,0.0
14-09-2021,267.92,270.04,258.47,259.19,368193,,0.0,0.0
15-09-2021,260.39,265.55,256.54,258.66,404112,,0.0,0.0
16-09-2021,258.95,261.12,253.64,258.42,358724,,0.0,0.0
17-09-2021,260.68,261.41,246.17,259.28,690509,,0.0,0.0
20-09-2021,255.57,258.9,247.28,250.12,451381,,0.0,0.0
21-09-2021,248.05,250.22,237.01,244.43,507826,,0.0,0.0
22-09-2021,244.43,256.05,244.43,254.08,326396,,0.0,0.0
23-09-2021,255.57,257.36,248.87,250.61,359972,,0.0,0.0
24-09-2021,253.59,273.94,251.71,263.91,2238359,,0.0,0.0
27-09-2021,265.99,289.33,265.94,287.93,3763504,,0.0,0.0
28-09-2021,291.26,294.05,280.74,288.56,1591982,,0.0,0.0
29-09-2021,287.4,294.05,284.84,288.02,1012416,,0.0,0.0
30-09-2021,289.33,294.05,281.71,285.32,1041499,,0.0,0.0
01-10-2021,282.67,284.41,267.34,269.12,1045049,,0.0,0.0
04-10-2021,269.07,277.17,268.88,273.75,548187,,0.0,0.0
05-10-2021,274.38,280.31,271.97,273.41,326312,,0.0,0.0
06-10-2021,272.93,292.08,272.93,287.25,1582100,,0.0,0.0
07-10-2021,289.33,297.28,282.14,288.07,895784,,0.0,0.0
08-10-2021,288.36,297.04,283.59,291.5,727778,,0.0,0.0
11-10-2021,292.22,303.79,292.22,298.39,1149963,,0.0,0.0
12-10-2021,298.83,302.59,288.6,290.97,424440,,0.0,0.0
13-10-2021,290.29,293.52,282.58,283.68,321365,,0.0,0.0
14-10-2021,284.5,287.54,278.72,280.55,262701,,0.0,0.0
18-10-2021,279.68,292.22,277.32,288.65,422066,,0.0,0.0
19-10-2021,285.47,289.04,275.39,278.57,316845,,0.0,0.0
20-10-2021,276.31,278.57,249.45,261.45,925722,,0.0,0.0
21-10-2021,261.45,269.65,254.32,261.5,276391,,0.0,0.0
22-10-2021,270.86,279.15,261.36,269.36,534720,,0.0,0.0
25-10-2021,271.48,275.05,252.68,258.32,406608,,0.0,0.0
26-10-2021,260.39,265.22,258.9,262.27,278653,,0.0,0.0
27-10-2021,250.75,254.51,242.17,244.53,978466,,0.0,0.0
28-10-2021,248.63,250.41,223.5,225.72,1013153,,0.0,0.0
29-10-2021,227.41,237.59,220.71,233.0,520420,,0.0,0.0
01-11-2021,231.46,237.25,223.17,230.69,694620,,0.0,0.0
02-11-2021,231.08,239.27,231.08,234.07,405971,,0.0,0.0
03-11-2021,240.62,240.62,232.47,234.16,345724,,0.0,0.0
04-11-2021,236.28,241.11,235.32,239.51,146650,,0.0,0.0
08-11-2021,241.2,243.42,234.84,242.31,224230,,0.0,0.0
09-11-2021,245.45,249.59,242.07,243.71,330512,,0.0,0.0
10-11-2021,243.52,246.07,239.76,241.59,262851,,0.0,0.0
11-11-2021,242.07,248.92,241.68,243.85,443423,,0.0,0.0
12-11-2021,246.55,262.71,245.01,254.85,1296828,,0.0,0.0
15-11-2021,256.87,256.87,248.63,255.09,251179,,0.0,0.0
16-11-2021,256.73,256.73,249.16,250.41,189218,,0.0,0.0
17-11-2021,252.68,256.54,250.27,255.09,272753,,0.0,0.0
18-11-2021,256.87,259.04,238.21,247.66,362540,,0.0,0.0
22-11-2021,249.59,255.57,240.33,245.2,391616,,0.0,0.0
23-11-2021,241.11,257.79,238.21,254.41,327226,,0.0,0.0
