Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,53.61,54.04,52.42,52.63,475353,,0.0,0.0
09-08-2021,53.37,53.37,50.95,51.25,541452,,0.0,0.0
10-08-2021,51.25,51.77,47.89,48.02,1097430,,0.0,0.0
11-08-2021,47.89,52.81,45.95,52.81,2977344,,0.0,0.0
12-08-2021,55.01,56.49,53.39,53.71,2518455,,0.0,0.0
13-08-2021,54.36,54.83,52.43,52.98,791982,,0.0,0.0
16-08-2021,51.93,53.55,50.67,51.25,496647,,0.0,0.0
17-08-2021,52.06,52.06,50.25,50.49,422130,,0.0,0.0
18-08-2021,50.69,51.45,49.99,50.35,401865,,0.0,0.0
20-08-2021,48.53,49.89,47.97,48.23,470607,,0.0,0.0
23-08-2021,48.86,49.18,45.69,47.19,559479,,0.0,0.0
24-08-2021,48.11,49.7,45.7,49.0,454245,,0.0,0.0
25-08-2021,49.8,49.97,48.53,48.83,303129,,0.0,0.0
26-08-2021,48.15,49.17,47.9,48.1,246792,,0.0,0.0
27-08-2021,47.56,50.96,47.32,49.54,949491,,0.0,0.0
30-08-2021,50.65,50.75,49.34,49.57,451458,,0.5,0.0
31-08-2021,49.6,50.11,49.01,49.26,265587,,0.0,0.0
01-09-2021,49.34,49.6,47.99,48.75,417534,,0.0,0.0
02-09-2021,51.3,53.62,51.3,53.62,851286,,0.0,0.0
03-09-2021,58.98,58.98,54.78,55.94,4765251,,0.0,0.0
06-09-2021,56.29,56.5,53.65,54.64,1101705,,0.0,0.0
07-09-2021,55.22,57.12,53.12,56.51,1293363,,0.0,0.0
08-09-2021,57.18,57.49,55.01,55.62,918264,,0.0,0.0
09-09-2021,56.2,57.15,54.9,55.8,983790,,0.0,0.0
13-09-2021,56.35,58.79,54.1,56.53,1779555,,0.0,0.0
14-09-2021,56.99,57.15,55.55,55.81,495891,,0.0,0.0
15-09-2021,56.24,56.27,55.29,55.47,369138,,0.0,0.0
16-09-2021,55.84,55.84,54.31,54.8,386559,,0.0,0.0
17-09-2021,54.96,55.55,53.92,54.72,578283,,0.0,0.0
20-09-2021,59.14,59.14,54.9,55.42,2110803,,0.0,0.0
21-09-2021,58.39,58.39,55.47,56.53,1257522,,0.0,0.0
22-09-2021,56.53,56.53,55.55,55.86,546963,,0.0,0.0
23-09-2021,55.97,56.47,55.55,55.63,377805,,0.0,0.0
24-09-2021,55.71,56.15,54.95,55.06,310716,,0.0,0.0
27-09-2021,55.52,55.71,54.6,54.98,343761,,0.0,0.0
28-09-2021,55.31,55.31,53.75,54.18,359226,,0.0,0.0
29-09-2021,53.92,55.34,53.33,54.44,290007,,0.0,0.0
30-09-2021,54.8,54.96,54.18,54.36,229638,,0.0,0.0
01-10-2021,54.54,54.9,53.67,54.57,243468,,0.0,0.0
04-10-2021,54.0,55.84,54.0,55.39,632154,,0.0,0.0
05-10-2021,54.96,57.12,54.96,56.58,1041258,,0.0,0.0
06-10-2021,56.86,57.67,55.55,55.71,739722,,0.0,0.0
07-10-2021,56.17,56.86,55.45,55.96,360306,,0.0,0.0
08-10-2021,56.47,56.86,55.55,55.71,309855,,0.0,0.0
11-10-2021,55.78,56.12,54.86,55.19,306483,,0.0,0.0
12-10-2021,55.73,55.73,54.18,54.75,393285,,0.0,0.0
13-10-2021,55.06,55.39,54.41,54.55,394956,,0.0,0.0
14-10-2021,54.57,55.39,54.24,54.36,315393,,0.0,0.0
18-10-2021,54.9,54.9,53.74,53.98,389418,,0.0,0.0
19-10-2021,54.55,54.72,53.15,53.23,363246,,0.0,0.0
20-10-2021,53.28,53.43,50.98,52.0,351174,,0.0,0.0
21-10-2021,52.45,52.66,51.47,51.66,195570,,0.0,0.0
22-10-2021,52.64,52.64,50.98,51.2,202164,,0.0,0.0
25-10-2021,51.83,52.07,50.0,50.17,322686,,0.0,0.0
26-10-2021,50.62,52.25,50.5,51.84,357039,,0.0,0.0
27-10-2021,51.92,53.23,51.37,51.79,313788,,0.0,0.0
28-10-2021,52.28,52.28,50.78,51.02,220113,,0.0,0.0
29-10-2021,51.6,51.6,49.77,51.09,262596,,0.0,0.0
01-11-2021,51.63,52.27,50.93,52.02,290328,,0.0,0.0
02-11-2021,52.35,53.43,51.97,52.27,340062,,0.0,0.0
03-11-2021,53.07,53.07,51.3,52.32,228600,,0.0,0.0
04-11-2021,52.33,53.36,52.33,53.02,174150,,0.0,0.0
08-11-2021,53.38,55.55,53.12,55.26,952503,,0.0,0.0
09-11-2021,55.81,57.02,55.26,55.94,2153778,,0.0,0.0
10-11-2021,56.5,56.69,54.57,54.77,664194,,0.0,0.0
11-11-2021,55.09,55.44,53.61,54.11,364527,,0.0,0.0
