Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,194.6,200.78,189.45,194.41,65978,,0.0,0.0
09-08-2021,196.01,197.42,179.09,190.28,102884,,0.0,0.0
10-08-2021,191.76,192.91,161.06,174.01,111906,,0.0,0.0
11-08-2021,178.12,178.12,155.63,168.02,158226,,0.0,0.0
12-08-2021,174.86,186.35,170.18,175.92,132304,,0.0,0.0
13-08-2021,180.87,182.85,167.9,170.77,62586,,0.0,0.0
16-08-2021,168.75,172.51,157.98,159.91,70852,,0.0,0.0
17-08-2021,163.11,172.3,156.67,166.04,86330,,0.0,0.0
18-08-2021,166.04,168.02,157.51,160.66,41506,,0.0,0.0
20-08-2021,159.35,159.35,146.75,149.99,57234,,0.0,0.0
23-08-2021,157.37,157.37,139.35,142.21,43110,,0.0,0.0
24-08-2021,137.28,149.9,137.28,143.91,47712,,0.0,0.0
25-08-2021,147.6,152.27,145.6,146.77,24320,,0.0,0.0
26-08-2021,146.96,150.65,145.13,146.33,21084,,0.0,0.0
27-08-2021,150.18,150.18,141.84,143.74,21810,,0.0,0.0
30-08-2021,145.64,155.12,145.2,153.73,28458,,0.0,0.0
31-08-2021,155.59,162.64,155.59,158.08,41484,,0.0,0.0
01-09-2021,158.41,161.13,152.23,152.72,31198,,0.0,0.0
02-09-2021,155.56,156.03,146.82,151.94,46062,,0.0,0.0
03-09-2021,151.94,152.2,146.65,147.45,21774,,0.0,0.0
06-09-2021,150.89,150.89,147.6,148.49,15518,,0.0,0.0
07-09-2021,148.07,151.92,148.07,150.32,15168,,0.0,0.0
08-09-2021,150.49,159.28,149.55,154.46,66896,,0.0,0.0
09-09-2021,158.41,158.88,142.19,148.49,49580,,0.0,0.0
13-09-2021,148.07,151.8,145.88,150.25,20802,,0.0,0.0
14-09-2021,150.49,153.64,146.84,151.03,35944,,0.0,0.0
15-09-2021,150.34,155.02,149.76,152.23,18594,,0.0,0.0
16-09-2021,152.72,154.6,151.36,152.74,12046,,0.0,0.0
17-09-2021,151.59,159.75,150.42,152.79,113414,,0.0,0.0
20-09-2021,149.95,152.77,144.3,145.86,35356,,0.0,0.0
21-09-2021,142.07,150.13,139.67,143.58,35582,,0.0,0.0
22-09-2021,148.98,150.39,139.86,141.86,58742,,0.0,0.0
23-09-2021,141.95,148.54,141.01,141.51,20444,,0.0,0.0
24-09-2021,142.42,145.69,137.42,139.91,26698,,0.0,0.0
27-09-2021,140.59,143.83,138.66,141.72,11126,,0.0,0.0
28-09-2021,144.75,144.75,138.71,140.29,7660,,0.0,0.0
29-09-2021,142.87,149.48,140.1,148.07,38604,,0.0,0.0
30-09-2021,150.25,150.25,144.19,147.62,23358,,0.0,0.0
01-10-2021,149.8,149.8,141.58,142.8,18534,,0.0,0.0
04-10-2021,144.54,146.65,142.61,144.75,16714,,0.0,0.0
05-10-2021,141.98,146.65,141.48,145.39,35614,,0.0,0.0
06-10-2021,148.04,149.4,143.41,144.45,23480,,0.0,0.0
07-10-2021,148.07,148.07,140.33,142.17,43864,,0.0,0.0
08-10-2021,141.98,145.53,140.66,141.46,28802,,0.0,0.0
11-10-2021,143.2,143.32,139.18,141.01,19270,,0.0,0.0
12-10-2021,138.78,145.69,138.78,141.11,27354,,0.0,0.0
13-10-2021,141.2,152.18,141.13,146.54,66908,,0.0,0.0
14-10-2021,148.77,154.65,143.98,146.26,76912,,0.0,0.0
18-10-2021,149.92,149.92,143.22,144.23,42948,,0.0,0.0
19-10-2021,145.2,146.73,141.01,141.37,30130,,0.0,0.0
20-10-2021,140.07,144.89,140.07,140.57,27210,,0.0,0.0
21-10-2021,141.48,142.42,139.37,140.33,17268,,0.0,0.0
22-10-2021,139.67,141.06,133.49,134.81,25062,,0.0,0.0
25-10-2021,140.5,140.5,135.09,136.69,31576,,0.0,0.0
26-10-2021,138.62,144.3,136.78,142.1,30820,,0.0,0.0
27-10-2021,144.73,151.36,142.31,143.2,43052,,0.0,0.0
28-10-2021,143.2,145.62,139.6,140.33,6756,,0.0,0.0
29-10-2021,145.22,145.22,138.78,139.56,34130,,0.0,0.0
01-11-2021,139.42,143.36,139.16,139.65,15024,,0.0,0.0
02-11-2021,143.2,143.2,137.44,138.92,18720,,0.0,0.0
03-11-2021,138.99,142.75,138.99,140.24,19478,,0.0,0.0
04-11-2021,144.28,144.28,139.65,141.74,3578,,0.0,0.0
08-11-2021,142.12,142.12,137.56,138.92,19274,,0.0,0.0
09-11-2021,141.77,141.77,138.36,138.88,25266,,0.0,0.0
10-11-2021,139.13,140.76,137.68,137.98,5298,,0.0,0.0
11-11-2021,140.5,140.5,137.42,139.02,5770,,0.0,0.0
12-11-2021,138.66,140.07,136.9,137.54,11052,,0.0,0.0
15-11-2021,142.42,162.03,142.42,158.85,249866,,0.0,0.0
16-11-2021,161.56,189.9,157.49,186.07,1218100,,0.0,0.0
17-11-2021,187.55,190.84,172.79,175.4,282672,,0.0,0.0
18-11-2021,177.28,183.32,171.8,175.33,150946,,0.0,0.0
22-11-2021,175.33,177.07,161.7,163.18,43798,,0.0,0.0
23-11-2021,162.17,188.82,158.88,186.37,147216,,0.0,0.0
24-11-2021,188.96,190.65,179.51,181.39,88814,,0.0,0.0
25-11-2021,180.97,204.47,180.97,197.54,217758,,0.0,0.0
26-11-2021,200.43,200.43,182.85,186.16,61512,,0.0,0.0
29-11-2021,187.08,187.08,171.1,172.88,61290,,0.0,0.0
30-11-2021,178.15,185.2,169.69,173.35,53518,,0.0,0.0
01-12-2021,177.96,187.55,174.79,179.61,24402,,0.0,0.0
02-12-2021,185.15,187.97,176.64,183.11,28374,,0.0,0.0
03-12-2021,179.09,184.45,174.53,177.02,22266,,0.0,0.0
06-12-2021,180.87,180.87,171.57,173.28,22594,,0.0,0.0
07-12-2021,176.24,177.87,172.27,173.49,41776,,0.0,0.0
08-12-2021,173.94,179.56,173.42,174.36,27788,,0.0,0.0
09-12-2021,174.41,179.58,171.54,172.3,49922,,0.0,0.0
10-12-2021,172.51,176.2,169.29,170.6,24644,,0.0,0.0
13-12-2021,173.68,175.28,167.83,169.55,18770,,0.0,0.0
14-12-2021,172.25,175.7,169.66,170.74,31748,,0.0,0.0
15-12-2021,173.19,173.19,169.31,169.5,11268,,0.0,0.0
16-12-2021,172.98,173.92,163.11,164.23,22674,,0.0,0.0
17-12-2021,164.59,164.59,152.77,154.5,27608,,0.0,0.0
20-12-2021,151.43,151.9,146.68,148.63,24988,,0.0,0.0
21-12-2021,151.61,166.77,150.44,159.91,59270,,0.0,0.0
22-12-2021,162.17,162.17,153.47,155.0,21150,,0.0,0.0
23-12-2021,155.14,159.68,152.77,153.64,26594,,0.0,0.0
24-12-2021,154.18,157.42,148.11,150.16,24426,,0.0,0.0
27-12-2021,149.95,157.0,149.87,152.34,21186,,0.0,0.0
28-12-2021,150.58,166.82,150.58,163.93,33080,,0.0,0.0
29-12-2021,164.52,164.52,156.53,157.07,13086,,0.0,0.0
30-12-2021,159.79,172.98,155.16,171.57,65450,,0.0,0.0
31-12-2021,173.17,173.4,161.7,164.4,37934,,0.0,0.0
03-01-2022,166.82,168.25,163.6,166.42,19128,,0.0,0.0
04-01-2022,164.63,167.81,160.92,163.37,14920,,0.0,0.0
05-01-2022,162.17,170.63,161.91,163.08,35698,,0.0,0.0
06-01-2022,163.34,185.67,161.37,180.24,178248,,0.0,0.0
07-01-2022,182.26,196.9,176.24,184.47,142722,,0.0,0.0
10-01-2022,186.52,192.46,183.88,186.26,48034,,0.0,0.0
11-01-2022,183.69,191.73,182.87,187.93,38966,,0.0,0.0
12-01-2022,190.3,225.51,187.31,225.51,675312,,0.0,0.0
13-01-2022,232.16,250.07,229.36,233.24,835910,,0.0,0.0
14-01-2022,230.32,246.28,226.12,242.92,192236,,0.0,0.0
17-01-2022,240.78,244.4,234.93,235.31,154018,,0.0,0.0
18-01-2022,239.14,239.7,230.32,230.49,80566,,0.0,0.0
19-01-2022,231.26,232.74,227.97,228.63,36536,,0.0,0.0
20-01-2022,228.0,245.37,228.0,240.27,103164,,0.0,0.0
21-01-2022,242.54,244.43,235.35,241.63,95614,,0.0,0.0
