Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
05-09-2024,3016.2,3096.1,2865.39,2865.39,141317,,0.0,0.0
06-09-2024,2722.12,2722.12,2722.12,2722.12,19015,,0.0,0.0
09-09-2024,2586.04,2586.04,2586.04,2586.04,13982,,0.0,0.0
10-09-2024,2456.76,2456.76,2456.76,2456.76,42462,,0.0,0.0
11-09-2024,2333.91,2507.84,2333.91,2383.95,797680,,0.0,0.0
12-09-2024,2293.11,2489.86,2288.12,2435.03,433055,,0.0,0.0
13-09-2024,2417.95,2451.91,2377.01,2398.88,162854,,0.0,0.0
16-09-2024,2416.96,2440.93,2278.93,2285.72,234256,,0.0,0.0
17-09-2024,2285.72,2399.98,2171.46,2395.58,295343,,0.0,0.0
18-09-2024,2389.99,2445.92,2297.11,2330.17,170099,,0.0,0.0
19-09-2024,2367.02,2495.61,2347.69,2413.66,279595,,0.0,0.0
20-09-2024,2444.92,2456.91,2335.26,2361.63,157867,,0.0,0.0
23-09-2024,2394.98,2446.92,2372.01,2431.34,111768,,0.0,0.0
24-09-2024,2466.84,2477.78,2405.27,2425.25,109596,,0.0,0.0
25-09-2024,2396.98,2434.03,2372.01,2405.57,149577,,0.0,0.0
26-09-2024,2426.84,2426.84,2376.01,2394.68,65850,,0.0,0.0
27-09-2024,2394.98,2418.7,2362.22,2376.51,69206,,0.0,0.0
30-09-2024,2377.06,2404.37,2352.34,2363.92,61466,,0.0,0.0
01-10-2024,2362.07,2377.81,2324.07,2364.02,73290,,0.0,0.0
03-10-2024,2347.09,2396.98,2282.13,2303.45,106247,,0.0,0.0
04-10-2024,2303.1,2346.99,2247.17,2268.94,96967,,0.0,0.0
07-10-2024,2277.63,2303.1,2103.35,2131.27,221952,,0.0,0.0
08-10-2024,2127.47,2225.85,2127.47,2159.18,89408,,0.0,0.0
09-10-2024,2177.21,2216.11,2127.32,2143.4,67062,,0.0,0.0
10-10-2024,2157.28,2192.24,2137.31,2146.85,73492,,0.0,0.0
