Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
22-02-2022,186.19,188.76,181.95,184.37,64120,,0.0,0.0
23-02-2022,183.64,189.72,182.44,182.79,56830,,0.0,0.0
24-02-2022,177.51,181.85,146.51,169.74,162780,,0.0,0.0
25-02-2022,185.3,187.38,173.15,181.23,139480,,0.0,0.0
28-02-2022,181.52,184.76,177.09,180.63,178300,,0.0,0.0
02-03-2022,179.98,181.26,173.65,176.34,124630,,0.0,0.0
03-03-2022,176.52,181.69,174.07,178.54,74020,,0.0,0.0
04-03-2022,175.54,182.52,173.85,179.62,89010,,0.0,0.0
07-03-2022,179.46,179.46,169.75,171.98,94990,,0.0,0.0
08-03-2022,178.6,178.6,171.6,172.84,135420,,0.0,0.0
09-03-2022,172.83,178.71,171.54,174.32,82560,,0.0,0.0
10-03-2022,179.88,184.81,177.2,180.68,92590,,0.0,0.0
11-03-2022,178.99,184.22,169.84,177.76,189430,,0.0,0.0
14-03-2022,180.43,180.43,168.65,171.22,118800,,0.0,0.0
15-03-2022,173.45,173.45,167.16,168.12,190730,,0.0,0.0
16-03-2022,170.6,171.33,167.99,168.44,79420,,0.0,0.0
17-03-2022,170.96,172.58,163.38,164.07,184880,,0.0,0.0
21-03-2022,166.67,166.67,160.25,161.67,207210,,0.0,0.0
22-03-2022,164.25,165.17,160.55,162.19,139270,,0.0,0.0
23-03-2022,163.71,165.07,161.27,162.23,165660,,0.0,0.0
24-03-2022,165.27,165.28,157.48,157.82,189790,,0.0,0.0
25-03-2022,157.82,164.99,157.82,162.1,186480,,0.0,0.0
28-03-2022,163.71,165.54,159.27,160.96,367680,,0.0,0.0
29-03-2022,161.45,164.32,153.38,155.69,176140,,0.0,0.0
30-03-2022,157.59,159.27,154.73,155.01,117420,,0.0,0.0
31-03-2022,153.7,167.45,153.35,164.02,349300,,0.0,0.0
01-04-2022,164.02,170.85,163.48,168.49,139050,,0.0,0.0
04-04-2022,169.72,176.23,169.64,175.17,155110,,0.0,0.0
05-04-2022,175.03,179.98,175.03,176.48,168110,,0.0,0.0
06-04-2022,177.41,177.51,172.66,174.07,64920,,0.0,0.0
07-04-2022,176.41,177.51,171.24,172.06,81360,,0.0,0.0
08-04-2022,172.58,177.51,172.58,174.0,100100,,0.0,0.0
11-04-2022,177.0,177.5,164.1,168.65,164430,,0.0,0.0
12-04-2022,168.1,170.31,164.35,168.19,77410,,0.0,0.0
13-04-2022,169.43,169.62,164.3,166.93,80950,,0.0,0.0
18-04-2022,167.65,174.03,166.67,171.33,295390,,0.0,0.0
19-04-2022,173.9,177.51,167.65,173.64,98760,,0.0,0.0
20-04-2022,172.49,177.51,169.46,173.81,126020,,0.0,0.0
21-04-2022,175.24,175.24,169.62,170.16,92930,,0.0,0.0
22-04-2022,170.27,177.22,170.27,174.33,81510,,0.0,0.0
25-04-2022,171.5,173.65,168.64,170.49,79340,,0.0,0.0
26-04-2022,172.58,173.51,168.86,169.8,43180,,0.0,0.0
27-04-2022,167.75,170.34,165.48,168.6,100840,,0.0,0.0
28-04-2022,171.5,173.06,166.95,168.9,38210,,0.0,0.0
29-04-2022,169.62,172.58,165.8,168.68,126350,,0.0,0.0
02-05-2022,165.78,168.74,164.69,165.68,56300,,0.0,0.0
04-05-2022,168.64,172.58,162.92,164.74,200710,,0.0,0.0
05-05-2022,167.55,167.98,158.99,161.64,53220,,0.0,0.0
06-05-2022,158.78,172.58,157.12,170.35,131990,,0.0,0.0
09-05-2022,170.35,178.4,165.19,175.03,178540,,0.0,0.0
10-05-2022,174.95,175.54,164.69,166.62,76080,,0.0,0.0
11-05-2022,166.17,169.89,156.8,167.32,227030,,0.0,0.0
12-05-2022,162.72,168.63,158.78,165.51,162080,,0.0,0.0
13-05-2022,167.06,167.94,161.05,165.29,96450,,0.0,0.0
16-05-2022,164.7,172.48,163.76,170.96,101420,,0.0,0.0
17-05-2022,170.91,172.0,166.87,169.16,70730,,0.0,0.0
18-05-2022,170.11,171.6,165.78,167.42,387310,,0.0,0.0
19-05-2022,166.67,167.45,165.09,166.3,39870,,0.0,0.0
20-05-2022,167.65,170.51,165.74,167.63,72150,,0.0,0.0
23-05-2022,170.51,170.51,162.62,163.46,74000,,0.0,0.0
24-05-2022,164.69,166.66,163.22,164.54,76490,,0.0,0.0
25-05-2022,166.17,169.33,158.28,167.61,103390,,0.0,0.0
26-05-2022,168.21,168.21,160.3,164.57,65490,,0.0,0.0
27-05-2022,167.55,170.59,164.82,167.96,35580,,0.0,0.0
30-05-2022,182.44,182.44,175.03,178.38,377210,,0.0,0.0
31-05-2022,179.92,184.91,179.85,182.85,275480,,0.0,0.0
01-06-2022,183.53,186.53,181.97,184.8,255520,,0.0,0.0
02-06-2022,184.82,184.82,179.72,182.23,268440,,0.0,0.0
03-06-2022,182.25,201.28,182.25,194.14,732650,,0.0,0.0
06-06-2022,195.66,198.22,187.53,190.94,474150,,0.0,0.0
07-06-2022,189.84,193.04,187.87,190.95,85550,,0.0,0.0
08-06-2022,191.32,197.24,184.15,186.78,268410,,0.0,0.0
09-06-2022,186.78,189.12,183.55,187.63,93500,,0.0,0.0
10-06-2022,184.82,194.28,184.82,192.07,155200,,0.0,0.0
13-06-2022,190.33,190.33,179.49,184.19,85370,,0.0,0.0
14-06-2022,186.88,187.97,181.46,182.7,45840,,0.0,0.0
15-06-2022,182.72,190.22,182.72,187.51,94650,,0.0,0.0
16-06-2022,190.32,190.33,174.08,176.02,140080,,0.0,0.0
17-06-2022,174.55,175.95,170.9,175.23,81320,,0.0,0.0
20-06-2022,177.51,181.96,170.31,171.81,302270,,0.0,0.0
21-06-2022,173.57,179.97,171.15,179.01,176280,,0.0,0.0
22-06-2022,178.97,178.97,172.58,175.11,51260,,0.0,0.0
23-06-2022,178.2,178.3,172.18,173.83,48820,,0.0,0.0
24-06-2022,178.99,178.99,172.74,174.89,96360,,0.0,0.0
27-06-2022,176.33,180.7,175.32,177.15,89920,,0.0,0.0
28-06-2022,179.39,179.39,170.34,174.16,95010,,0.0,0.0
29-06-2022,174.85,176.09,172.65,173.16,56350,,0.0,0.0
30-06-2022,175.14,176.81,172.17,172.94,38070,,0.0,0.0
01-07-2022,174.3,174.55,170.91,173.17,36170,,0.0,0.0
04-07-2022,175.05,177.51,173.77,174.88,52460,,0.0,0.0
05-07-2022,175.06,179.49,173.06,175.23,57670,,0.0,0.0
06-07-2022,176.92,177.51,174.03,176.93,38370,,0.0,0.0
07-07-2022,176.95,180.77,175.63,178.39,55770,,0.0,0.0
08-07-2022,178.41,180.92,174.73,176.71,130090,,0.0,0.0
11-07-2022,174.65,182.44,174.65,181.35,274020,,0.0,0.0
12-07-2022,178.63,181.12,176.73,177.72,58050,,0.0,0.0
13-07-2022,180.27,180.27,171.11,177.84,59840,,0.0,0.0
14-07-2022,177.41,184.96,177.28,181.13,659220,,0.0,0.0
15-07-2022,183.85,184.9,179.49,180.98,95910,,0.0,0.0
18-07-2022,182.6,186.39,182.6,184.13,98570,,0.0,0.0
19-07-2022,185.12,188.66,182.94,185.29,59700,,0.0,0.0
20-07-2022,188.99,189.64,183.53,185.07,53780,,0.0,0.0
21-07-2022,185.4,188.36,182.44,185.16,103120,,0.0,0.0
22-07-2022,187.27,188.11,184.23,184.72,53250,,0.0,0.0
25-07-2022,186.39,186.88,179.49,183.27,39290,,0.0,0.0
26-07-2022,185.1,185.1,180.47,180.87,35360,,0.0,0.0
27-07-2022,182.68,184.22,179.58,182.01,38180,,0.0,0.0
28-07-2022,183.83,186.39,180.71,182.18,676650,,0.0,0.0
29-07-2022,184.0,184.29,176.53,179.99,182820,,0.0,0.0
01-08-2022,181.75,186.52,180.25,183.62,59530,,0.0,0.0
02-08-2022,186.09,186.09,182.15,182.73,125900,,0.0,0.0
03-08-2022,180.69,181.16,170.59,177.65,376440,,0.0,0.0
04-08-2022,177.65,185.4,174.85,177.36,246540,,0.0,0.0
05-08-2022,177.02,179.48,174.36,177.42,280390,,0.0,0.0
08-08-2022,177.51,179.47,171.72,172.81,178340,,0.0,0.0
10-08-2022,172.83,174.46,164.86,168.38,389930,,0.0,0.0
11-08-2022,168.46,178.4,167.85,174.43,222080,,0.0,0.0
12-08-2022,176.18,176.52,172.8,173.34,82320,,0.0,0.0
16-08-2022,173.34,179.98,173.34,176.99,295610,,0.0,0.0
17-08-2022,178.99,178.99,174.58,175.37,90320,,0.0,0.0
18-08-2022,175.54,180.47,175.25,176.2,300760,,0.0,0.0
19-08-2022,176.72,177.06,172.78,173.55,89730,,0.0,0.0
22-08-2022,173.57,176.03,172.02,173.82,50580,,0.0,0.0
23-08-2022,175.24,176.89,169.62,176.06,60660,,0.0,0.0
24-08-2022,176.06,178.99,171.69,177.15,237890,,0.0,0.0
