Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,27.87,28.24,27.68,27.87,251340,,0.0,0.0
09-08-2021,28.43,28.43,27.3,27.61,270795,,0.0,0.0
10-08-2021,25.92,26.75,25.11,25.67,1094885,,0.0,0.0
11-08-2021,25.7,26.24,23.77,24.57,917605,,0.0,0.0
12-08-2021,24.37,26.74,24.37,26.47,634595,,0.0,0.0
13-08-2021,26.67,27.44,26.59,26.77,641585,,0.0,0.0
16-08-2021,27.62,27.62,25.91,26.09,432890,,0.0,0.0
17-08-2021,26.27,26.48,25.11,25.62,319370,,0.0,0.0
18-08-2021,25.22,25.67,24.96,25.19,316410,,0.0,0.0
20-08-2021,24.42,25.32,24.42,24.75,477995,,0.0,0.0
23-08-2021,24.75,27.62,24.75,26.11,3540200,,0.0,0.0
24-08-2021,26.59,26.59,25.11,25.52,792600,,0.0,0.0
25-08-2021,25.31,30.62,25.31,30.36,11182805,,0.0,0.0
26-08-2021,30.35,34.15,28.87,31.18,17766775,,0.0,0.0
27-08-2021,31.42,32.17,29.92,30.44,3064655,,0.0,0.0
30-08-2021,30.72,31.9,29.78,30.1,2642380,,0.0,0.0
31-08-2021,30.21,30.89,29.66,29.86,952600,,0.0,0.0
01-09-2021,30.16,30.91,29.79,29.96,1850955,,0.0,0.0
02-09-2021,30.24,30.72,30.03,30.09,797210,,0.0,0.0
03-09-2021,30.25,32.08,30.05,31.04,4187345,,0.0,0.0
06-09-2021,30.98,31.6,29.86,30.2,1722835,,0.0,0.0
07-09-2021,30.24,33.21,29.96,31.77,5999075,,0.0,0.0
08-09-2021,32.02,32.62,31.07,31.65,1907685,,0.0,0.0
09-09-2021,31.59,32.58,31.34,31.55,1179350,,0.0,0.0
13-09-2021,31.55,32.58,31.55,32.15,1733085,,0.0,0.0
14-09-2021,32.39,34.28,32.07,32.53,2280745,,0.0,0.0
15-09-2021,32.78,33.21,32.05,32.59,1142910,,0.0,0.0
16-09-2021,32.72,32.96,31.35,31.43,896680,,0.1,0.0
17-09-2021,31.54,32.08,29.95,30.09,1030770,,0.0,0.0
20-09-2021,30.04,30.4,28.95,29.38,796115,,0.0,0.0
21-09-2021,28.8,30.01,28.8,29.72,857465,,0.0,0.0
22-09-2021,30.1,31.36,29.76,30.54,1786905,,0.0,0.0
23-09-2021,30.72,31.26,29.97,30.28,957235,,0.0,0.0
24-09-2021,30.54,30.7,29.59,29.73,552500,,0.0,0.0
27-09-2021,30.21,30.26,29.32,29.39,575930,,0.0,0.0
28-09-2021,29.45,30.13,28.36,28.81,610055,,0.0,0.0
29-09-2021,28.38,29.69,27.14,29.32,843140,,0.0,0.0
30-09-2021,29.75,30.18,28.69,28.83,525095,,0.0,0.0
01-10-2021,28.9,29.65,28.69,29.3,541950,,0.0,0.0
04-10-2021,29.35,30.74,29.35,29.5,487205,,0.0,0.0
05-10-2021,29.83,30.07,29.02,29.18,539635,,0.0,0.0
06-10-2021,29.51,29.79,28.76,28.82,520630,,0.0,0.0
07-10-2021,29.11,29.31,28.76,28.82,313735,,0.0,0.0
08-10-2021,29.13,29.94,29.01,29.25,484090,,0.0,0.0
11-10-2021,29.9,30.63,29.39,29.9,1180935,,0.0,0.0
12-10-2021,29.84,30.19,29.35,29.55,431630,,0.0,0.0
13-10-2021,29.68,30.36,29.45,29.52,433685,,0.0,0.0
