Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,370.14,373.18,363.67,368.4,183733,,0.0,0.0
09-08-2021,373.13,375.81,360.54,366.91,267322,,0.0,0.0
10-08-2021,363.18,369.94,335.32,344.72,778160,,0.0,0.0
11-08-2021,345.27,351.59,323.38,340.29,491203,,0.0,0.0
12-08-2021,347.26,361.14,347.26,354.52,954203,,0.0,0.0
13-08-2021,357.36,363.67,350.84,352.03,276233,,0.0,0.0
16-08-2021,353.63,354.12,340.84,344.67,207659,,0.0,0.0
17-08-2021,344.37,349.5,336.86,339.05,220303,,0.0,0.0
18-08-2021,340.69,348.2,338.4,343.03,145762,,0.0,0.0
20-08-2021,340.29,340.89,323.38,329.4,235306,,0.0,0.0
23-08-2021,333.23,336.81,304.87,311.88,255015,,0.0,0.0
24-08-2021,315.27,332.98,313.43,329.2,210845,,0.0,0.0
25-08-2021,329.45,342.28,329.45,337.9,183361,,0.0,0.0
26-08-2021,340.24,343.28,332.83,339.45,175332,,0.0,0.0
27-08-2021,339.1,340.24,329.55,332.03,152887,,0.0,0.0
30-08-2021,332.73,339.0,330.34,331.83,168671,,0.0,0.0
31-08-2021,333.13,343.28,332.38,334.27,201909,,0.0,0.0
01-09-2021,331.34,346.66,331.34,343.08,162558,,0.0,0.0
02-09-2021,340.49,343.08,336.36,337.56,146938,,0.0,0.0
03-09-2021,337.56,342.63,333.33,334.87,140682,,0.0,0.0
06-09-2021,338.4,343.97,338.4,339.89,219722,,0.0,0.0
07-09-2021,341.73,343.08,333.33,334.07,135389,,0.0,0.0
08-09-2021,334.32,337.8,329.55,330.84,137232,,0.0,0.0
09-09-2021,330.84,339.2,330.24,333.82,155719,,0.0,0.0
13-09-2021,336.01,339.84,331.59,337.46,179411,,0.0,0.0
14-09-2021,339.35,353.18,336.51,350.79,610362,,0.0,0.0
15-09-2021,353.03,359.89,348.25,350.84,537000,,0.0,0.0
16-09-2021,353.23,353.62,340.89,342.48,221333,,0.0,0.0
17-09-2021,343.77,351.09,338.4,349.25,375334,,0.0,0.0
20-09-2021,345.27,356.16,343.43,345.02,307963,,0.0,0.0
21-09-2021,344.27,348.65,334.47,339.05,161377,,0.0,0.0
22-09-2021,341.09,352.13,335.32,345.22,306912,,0.0,0.0
23-09-2021,348.0,350.64,343.28,343.72,115720,,0.0,0.0
24-09-2021,345.27,346.56,336.41,338.4,120789,,0.0,0.0
27-09-2021,341.09,350.24,340.84,341.68,208044,,0.0,0.0
28-09-2021,344.17,346.16,338.7,341.59,200396,,0.0,0.0
29-09-2021,342.28,345.86,338.3,338.9,133627,,0.0,0.0
30-09-2021,340.29,341.24,329.35,331.14,231169,,0.0,0.0
01-10-2021,332.13,337.06,328.35,332.03,233772,,0.0,0.0
04-10-2021,335.91,336.51,329.45,332.33,162474,,0.0,0.0
05-10-2021,332.73,339.65,331.83,334.72,226491,,0.0,0.0
06-10-2021,334.82,340.29,330.59,331.69,181614,,0.0,0.0
07-10-2021,334.32,351.73,332.38,349.05,691353,,0.0,0.0
08-10-2021,350.29,354.27,340.79,342.63,427393,,0.0,0.0
11-10-2021,343.28,347.26,338.45,339.69,177786,,0.0,0.0
12-10-2021,339.74,345.27,336.21,343.43,169557,,0.0,0.0
13-10-2021,348.25,356.56,343.28,344.87,446027,,0.0,0.0
14-10-2021,347.61,352.13,341.88,342.98,176470,,0.0,0.0
18-10-2021,343.28,346.26,338.75,340.24,143808,,0.0,0.0
19-10-2021,342.98,342.98,331.34,334.27,213446,,0.0,0.0
20-10-2021,336.21,344.82,330.69,335.17,221117,,0.0,0.0
21-10-2021,336.31,341.09,334.37,337.75,115349,,0.0,0.0
22-10-2021,339.99,340.89,333.97,335.17,171104,,0.0,0.0
25-10-2021,338.4,339.2,319.45,328.15,173198,,0.0,0.0
26-10-2021,330.24,335.91,328.15,329.6,186750,,0.0,0.0
27-10-2021,331.34,333.33,324.37,326.41,104127,,0.0,0.0
28-10-2021,327.26,328.35,316.81,318.0,99698,,0.0,0.0
29-10-2021,317.41,321.54,308.5,317.51,143753,,0.0,0.0
01-11-2021,318.4,332.48,318.4,330.59,230947,,0.0,0.0
02-11-2021,332.13,333.23,328.45,329.79,153603,,0.0,0.0
03-11-2021,332.43,338.2,331.59,334.62,175117,,0.0,0.0
04-11-2021,341.29,343.28,338.3,340.44,112478,,0.0,0.0
08-11-2021,342.63,343.03,331.78,340.09,180730,,0.0,0.0
09-11-2021,341.68,361.98,339.6,352.28,943552,,0.0,0.0
10-11-2021,351.19,352.23,344.32,346.91,146869,,0.0,0.0
11-11-2021,347.95,355.22,343.77,345.71,166161,,0.0,0.0
12-11-2021,345.27,348.25,331.93,334.82,189721,,0.0,0.0
15-11-2021,347.16,347.21,328.2,329.4,254824,,0.0,0.0
16-11-2021,345.17,365.17,342.38,353.92,2310159,,0.0,0.0
17-11-2021,356.86,373.13,354.12,367.11,1908100,,0.0,0.0
18-11-2021,372.93,373.13,350.24,354.87,702954,,0.0,0.0
22-11-2021,358.0,358.0,331.34,337.06,459262,,0.0,0.0
23-11-2021,334.72,349.25,330.79,344.87,242656,,0.0,0.0
24-11-2021,346.71,358.7,345.76,350.84,463134,,0.0,0.0
25-11-2021,353.03,360.69,352.48,355.32,453788,,0.0,0.0
26-11-2021,354.62,354.62,324.47,336.26,450973,,0.0,0.0
29-11-2021,334.32,336.26,317.31,325.02,313893,,0.0,0.0
30-11-2021,326.76,340.09,326.76,330.64,210424,,0.0,0.0
01-12-2021,334.22,337.06,328.35,331.54,119379,,0.0,0.0
02-12-2021,332.33,335.81,330.39,334.27,90144,,0.0,0.0
03-12-2021,333.82,349.25,333.72,337.16,436250,,0.0,0.0
06-12-2021,343.97,343.97,330.84,332.78,188825,,0.0,0.0
07-12-2021,335.27,337.66,331.29,332.58,92439,,0.0,0.0
08-12-2021,334.32,341.04,332.83,336.11,122612,,0.0,0.0
09-12-2021,339.05,339.4,331.83,334.52,195078,,0.0,0.0
10-12-2021,334.32,339.4,333.33,335.12,149459,,0.0,0.0
13-12-2021,338.25,346.71,336.81,339.74,357401,,0.0,0.0
14-12-2021,334.92,338.5,332.33,334.22,155009,,0.0,0.0
15-12-2021,334.42,335.37,331.09,333.08,102954,,0.0,0.0
16-12-2021,333.43,335.17,327.26,328.15,119528,,0.0,0.0
17-12-2021,329.35,329.35,315.72,316.56,210325,,0.0,0.0
20-12-2021,310.44,314.97,288.9,295.77,341570,,0.0,0.0
21-12-2021,303.97,307.26,298.4,300.54,166827,,0.0,0.0
22-12-2021,302.78,308.15,302.78,305.17,156325,,0.0,0.0
23-12-2021,307.16,311.93,300.49,304.57,113985,,0.0,0.0
24-12-2021,307.01,307.01,301.79,304.72,210205,,0.0,0.0
27-12-2021,305.37,312.43,298.6,310.94,247502,,0.0,0.0
28-12-2021,315.42,318.4,307.95,309.25,129461,,0.0,0.0
29-12-2021,307.56,312.03,305.52,307.01,87974,,0.0,0.0
30-12-2021,308.4,314.97,302.48,304.67,116732,,0.0,0.0
31-12-2021,307.36,310.24,306.11,307.95,98504,,0.0,0.0
03-01-2022,311.39,317.8,309.79,314.77,266078,,0.0,0.0
04-01-2022,315.17,318.1,307.51,309.1,208669,,0.0,0.0
05-01-2022,313.43,316.06,309.99,311.69,167985,,0.0,0.0
06-01-2022,310.39,313.68,308.45,311.54,144619,,0.0,0.0
07-01-2022,312.43,316.71,307.46,308.35,195451,,0.0,0.0
10-01-2022,310.44,319.1,310.44,315.02,460262,,0.0,0.0
11-01-2022,317.56,329.74,313.73,321.34,719417,,0.0,0.0
12-01-2022,325.37,340.29,325.37,330.29,950285,,0.0,0.0
13-01-2022,332.78,337.46,327.01,333.97,413140,,0.0,0.0
14-01-2022,333.43,336.31,330.39,332.13,141631,,0.0,0.0
17-01-2022,342.28,347.9,335.32,337.46,786194,,0.0,0.0
18-01-2022,341.29,343.03,327.36,329.65,452201,,0.0,0.0
19-01-2022,332.28,334.22,323.68,327.11,529956,,0.0,0.0
20-01-2022,324.37,327.11,316.41,317.66,313581,,0.0,0.0
