Label,Ticker,Sector,Universe,CSV_Path,Resolved
ASKAUTOLTD,ASKAUTOLTD.NS,Automobile and Auto Components,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Automobile_and_Auto_Components\askautoltd.csv,Y
AXISCADES,AXISCADES.NS,Capital Goods,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Capital_Goods\axiscades.csv,Y
AARTIDRUGS,AARTIDRUGS.NS,Healthcare,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Healthcare\aartidrugs.csv,Y
AARTIPHARM,AARTIPHARM.NS,Healthcare,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Healthcare\aartipharm.csv,Y
AVL,AVL.NS,Consumer Services,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Consumer_Services\avl.csv,Y
ADVENZYMES,ADVENZYMES.NS,Healthcare,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Healthcare\advenzymes.csv,Y
AEQUS,AEQUS.NS,Capital Goods,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Capital_Goods\aequs.csv,Y
AETHER,AETHER.NS,Chemicals,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Chemicals\aether.csv,Y
AHLUCONT,AHLUCONT.NS,Construction,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Construction\ahlucont.csv,Y
AKUMS,AKUMS.NS,Healthcare,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Healthcare\akums.csv,Y
APLLTD,APLLTD.NS,Healthcare,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Healthcare\aplltd.csv,Y
ALIVUS,ALIVUS.NS,Healthcare,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Healthcare\alivus.csv,Y
ALKYLAMINE,ALKYLAMINE.NS,Chemicals,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Chemicals\alkylamine.csv,Y
ALOKINDS,ALOKINDS.NS,Textiles,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Textiles\alokinds.csv,Y
APOLLO,APOLLO.NS,Capital Goods,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Capital_Goods\apollo.csv,Y
ACI,ACI.NS,Chemicals,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Chemicals\aci.csv,Y
ARVINDFASN,ARVINDFASN.NS,Consumer Services,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Consumer_Services\arvindfasn.csv,Y
ARVIND,ARVIND.NS,Textiles,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Textiles\arvind.csv,Y
ASHAPURMIN,ASHAPURMIN.NS,Metals & Mining,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Metals___Mining\ashapurmin.csv,Y
ASHOKA,ASHOKA.NS,Construction,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Construction\ashoka.csv,Y
ASTRAMICRO,ASTRAMICRO.NS,Capital Goods,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Capital_Goods\astramicro.csv,Y
ATLANTAELE,ATLANTAELE.NS,Capital Goods,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Capital_Goods\atlantaele.csv,Y
AURIONPRO,AURIONPRO.NS,Information Technology,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Information_Technology\aurionpro.csv,Y
AVALON,AVALON.NS,Capital Goods,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Capital_Goods\avalon.csv,Y
AVANTIFEED,AVANTIFEED.NS,Fast Moving Consumer Goods,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Fast_Moving_Consumer_Goods\avantifeed.csv,Y
CCAVENUE,CCAVENUE.NS,Financial Services,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Financial_Services\ccavenue.csv,Y
AWFIS,AWFIS.NS,Services,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Services\awfis.csv,Y
AZAD,AZAD.NS,Capital Goods,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Capital_Goods\azad.csv,Y
BAJAJELEC,BAJAJELEC.NS,Consumer Durables,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Consumer_Durables\bajajelec.csv,Y
BALAMINES,BALAMINES.NS,Chemicals,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Chemicals\balamines.csv,Y
BALUFORGE,BALUFORGE.NS,Capital Goods,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Capital_Goods\baluforge.csv,Y
BANCOINDIA,BANCOINDIA.NS,Automobile and Auto Components,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Automobile_and_Auto_Components\bancoindia.csv,Y
BIRLACORPN,BIRLACORPN.NS,Construction Materials,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Construction_Materials\birlacorpn.csv,Y
BBOX,BBOX.NS,Information Technology,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Information_Technology\bbox.csv,Y
BLACKBUCK,BLACKBUCK.NS,Services,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Services\blackbuck.csv,Y
